snapshot_time_utc,market,symbol,status,currently_trading,base_asset,quote_asset,margin_asset,contract_type,contract_size,underlying_type,underlying_subtypes,classification_subtypes,classification_subtype_source,onboard_date_utc,age_days,delivery_date_utc,tick_size,step_size,min_qty,min_notional,ticker_volume_24h_raw,quote_volume_24h,activity_notional_24h_usd_proxy,activity_proxy_source,trade_count_24h,bid_price,ask_price,relative_spread_bps,activity_tier_24h,market_quality_evidence,economic_exposure,economic_exposure_source,research_bucket,research_eligibility,market_integrity_review,risk_flags,method_profile
2026-07-21T06:42:30Z,BINANCE_COIN_M,AAVEUSD_PERP,TRADING,True,AAVE,USD,AAVE,PERPETUAL,10,COIN,DeFi,DeFi,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2021-12-28T07:00:00Z,1665,2100-12-25T08:00:00Z,0.010,1,1,,78829,,788290,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,11137,93.400,93.410,1.07060650,A3_40_TO_80PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_MID_ACTIVITY_PROVISIONAL,SELECTIVE_AFTER_30_90D_MARKET_QUALITY_GATE,STANDARD_DUE_DILIGENCE,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"selective trend, carry or event tests after history gate; stronger cost, concentration, delisting and regime checks"
2026-07-21T06:42:30Z,BINANCE_COIN_M,ADAUSD_PERP,TRADING,True,ADA,USD,ADA,PERPETUAL,10,COIN,Layer-1,Layer-1,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2020-08-26T07:00:00Z,2154,2100-12-25T08:00:00Z,0.00010,1,1,,919741,,9197410,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,19987,0.17590,0.17610,11.36363636,A2_10_TO_40PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_HIGHER_ACTIVITY_PROVISIONAL,CANDIDATE_AFTER_30_90D_MARKET_QUALITY_GATE,STANDARD_DUE_DILIGENCE,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"cross-sectional and time-series tests after history gate; control market beta, size, momentum, liquidity and single-asset concentration"
2026-07-21T06:42:30Z,BINANCE_COIN_M,AVAXUSD_PERP,TRADING,True,AVAX,USD,AVAX,PERPETUAL,10,COIN,Layer-1,Layer-1,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2021-11-23T07:00:00Z,1700,2100-12-25T08:00:00Z,0.01,1,1,,207870,,2078700,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,6057,6.67,6.68,14.98127341,A2_10_TO_40PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_HIGHER_ACTIVITY_PROVISIONAL,CANDIDATE_AFTER_30_90D_MARKET_QUALITY_GATE,STANDARD_DUE_DILIGENCE,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"cross-sectional and time-series tests after history gate; control market beta, size, momentum, liquidity and single-asset concentration"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BCHUSD_PERP,TRADING,True,BCH,USD,BCH,PERPETUAL,10,COIN,Payment,Payment,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2020-09-07T07:00:00Z,2142,2100-12-25T08:00:00Z,0.01,1,1,,74630,,746300,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,8420,223.38,223.51,5.81798653,A3_40_TO_80PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_MID_ACTIVITY_PROVISIONAL,SELECTIVE_AFTER_30_90D_MARKET_QUALITY_GATE,STANDARD_DUE_DILIGENCE,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"selective trend, carry or event tests after history gate; stronger cost, concentration, delisting and regime checks"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BNBUSD_260925,TRADING,True,BNB,USD,BNB,CURRENT_QUARTER,10,COIN,Layer-1,Layer-1,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2026-03-27T08:00:00Z,115,2026-09-25T08:00:00Z,0.010,1,1,,20196,,201960,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,629,580.030,580.450,7.23838412,A4_BOTTOM_20PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_NEW_OR_EVENT_DRIVEN,EVENT_OR_LISTING_EXPLORATION_ONLY,FORENSIC_EVIDENCE_REQUIRED_FOR_INTEGRITY_CLAIMS,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|LOWER_RELATIVE_24H_ACTIVITY_NOT_LONG_TERM_LIQUIDITY|NEW_LT_180D|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"listing/event study with point-in-time availability, extreme costs and single-event concentration checks"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BNBUSD_261225,TRADING,True,BNB,USD,BNB,NEXT_QUARTER,10,COIN,Layer-1,Layer-1,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2026-06-26T08:00:00Z,24,2026-12-25T08:00:00Z,0.010,1,1,,2749,,27490,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,179,581.540,585.410,66.32674922,A4_BOTTOM_20PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_NEW_OR_EVENT_DRIVEN,EVENT_OR_LISTING_EXPLORATION_ONLY,FORENSIC_EVIDENCE_REQUIRED_FOR_INTEGRITY_CLAIMS,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|LOWER_RELATIVE_24H_ACTIVITY_NOT_LONG_TERM_LIQUIDITY|NEW_LT_180D|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY|WIDE_TOP_OF_BOOK_GT_20BPS,"listing/event study with point-in-time availability, extreme costs and single-event concentration checks"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BNBUSD_PERP,TRADING,True,BNB,USD,BNB,PERPETUAL,10,COIN,Layer-1,Layer-1,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2020-08-21T07:00:00Z,2159,2100-12-25T08:00:00Z,0.010,1,1,,1669636,,16696360,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,37001,576.380,576.390,0.17349515,A2_10_TO_40PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_NATIVE,DEFAULT_CRYPTO_NATIVE_AFTER_EXPLICIT_EXCLUSIONS,CRYPTO_ALT_HIGHER_ACTIVITY_PROVISIONAL,CANDIDATE_AFTER_30_90D_MARKET_QUALITY_GATE,STANDARD_DUE_DILIGENCE,ECONOMIC_EXPOSURE_DEFAULTED_NOT_OFFICIAL_TAXONOMY|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"cross-sectional and time-series tests after history gate; control market beta, size, momentum, liquidity and single-asset concentration"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BTCUSD_260925,TRADING,True,BTC,USD,BTC,CURRENT_QUARTER,100,COIN,PoW,PoW,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2026-03-27T08:00:00Z,115,2026-09-25T08:00:00Z,0.1,1,1,,165755,,16575500,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,10693,66396.0,66396.1,0.01506114,A2_10_TO_40PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_ANCHOR,EXPLICIT_BTC_ETH_MODELING_ROLE,CRYPTO_ANCHOR_REFERENCE,REFERENCE_ALLOWED_STRATEGY_REQUIRES_30_90D_MARKET_QUALITY_AND_COST_GATE,ENHANCED_DUE_DILIGENCE,NEW_LT_180D|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"time-series and cross-market reference; multi-regime costs, funding and beta controls; anchor is a modeling role, not a safety claim"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BTCUSD_261225,TRADING,True,BTC,USD,BTC,NEXT_QUARTER,100,COIN,PoW,PoW,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2026-06-26T08:00:00Z,24,2026-12-25T08:00:00Z,0.1,1,1,,129581,,12958100,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,11517,67068.1,67087.2,2.84744621,A2_10_TO_40PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_ANCHOR,EXPLICIT_BTC_ETH_MODELING_ROLE,CRYPTO_ANCHOR_REFERENCE,REFERENCE_ALLOWED_STRATEGY_REQUIRES_30_90D_MARKET_QUALITY_AND_COST_GATE,ENHANCED_DUE_DILIGENCE,NEW_LT_180D|SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"time-series and cross-market reference; multi-regime costs, funding and beta controls; anchor is a modeling role, not a safety claim"
2026-07-21T06:42:30Z,BINANCE_COIN_M,BTCUSD_PERP,TRADING,True,BTC,USD,BTC,PERPETUAL,100,COIN,PoW,PoW,CURRENT_INSTRUMENT_OFFICIAL_METADATA,2020-08-10T07:00:00Z,2170,2100-12-25T08:00:00Z,0.1,1,1,,6700382,,670038200,COIN_M_CONTRACT_VOLUME_X_USD_FACE_CONTRACT_SIZE,221510,65863.9,65864.0,0.01518281,A1_TOP_10PCT_PROVISIONAL_24H,PROVISIONAL_SINGLE_24H_ACTIVITY_AND_SINGLE_BOOK_SNAPSHOT,CRYPTO_ANCHOR,EXPLICIT_BTC_ETH_MODELING_ROLE,CRYPTO_ANCHOR_REFERENCE,REFERENCE_ALLOWED_STRATEGY_REQUIRES_30_90D_MARKET_QUALITY_AND_COST_GATE,STANDARD_DUE_DILIGENCE,SINGLE_24H_ACTIVITY_ONLY|SINGLE_TOP_OF_BOOK_SNAPSHOT_ONLY,"time-series and cross-market reference; multi-regime costs, funding and beta controls; anchor is a modeling role, not a safety claim"
