decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SNXUSDT,-0.10517851399163713,-0.02834708951524079
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,SNXUSDT,0.03127246585190524,0.005765655445644803
2023-03-18T00:00:00Z,2023-03-20T00:00:00Z,2023-03-27T00:00:00Z,VETUSDT,-0.06349856616140936,-0.017927102557683847
2023-03-25T00:00:00Z,2023-03-27T00:00:00Z,2023-04-03T00:00:00Z,VETUSDT,0.018372703412073532,0.002540714835686876
2023-04-01T00:00:00Z,2023-04-03T00:00:00Z,2023-04-10T00:00:00Z,VETUSDT,0.04467353951890041,0.009115923862393596
2023-04-08T00:00:00Z,2023-04-10T00:00:00Z,2023-04-17T00:00:00Z,VETUSDT,0.07730263157894735,0.01727319687740533
2023-04-15T00:00:00Z,2023-04-17T00:00:00Z,2023-04-24T00:00:00Z,VETUSDT,-0.1564885496183206,-0.04117459842191166
2023-04-22T00:00:00Z,2023-04-24T00:00:00Z,2023-05-01T00:00:00Z,VETUSDT,0.0036199095022622085,-0.001147483641765955
2023-04-29T00:00:00Z,2023-05-01T00:00:00Z,2023-05-08T00:00:00Z,ZILUSDT,-0.06857142857142862,-0.01919531816018866
2023-05-06T00:00:00Z,2023-05-08T00:00:00Z,2023-05-15T00:00:00Z,ZILUSDT,-0.08703987730061347,-0.023812430342484873
2023-05-13T00:00:00Z,2023-05-15T00:00:00Z,2023-05-22T00:00:00Z,ZILUSDT,-0.01301973960520797,-0.0053073959186334995
2023-05-20T00:00:00Z,2023-05-22T00:00:00Z,2023-05-29T00:00:00Z,DASHUSDT,0.00045620437956195303,-0.0019384099224410188
2023-05-27T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,SNXUSDT,-0.053012048192771166,-0.015305473065524298
2023-06-03T00:00:00Z,2023-06-05T00:00:00Z,2023-06-12T00:00:00Z,SNXUSDT,-0.24512298558100087,-0.06333320741258172
2023-06-10T00:00:00Z,2023-06-12T00:00:00Z,2023-06-19T00:00:00Z,VETUSDT,-0.0601646611779606,-0.017093626311821656
2023-06-17T00:00:00Z,2023-06-19T00:00:00Z,2023-06-26T00:00:00Z,RUNEUSDT,0.20818291215403129,0.04999326702117631
2023-06-24T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,SNXUSDT,0.07326007326007322,0.0162625572976868
2023-07-01T00:00:00Z,2023-07-03T00:00:00Z,2023-07-10T00:00:00Z,ZILUSDT,-0.05909725453699399,-0.016826774651580004
2023-07-08T00:00:00Z,2023-07-10T00:00:00Z,2023-07-17T00:00:00Z,ZILUSDT,0.06973293768546007,0.015380773404033512
2023-07-15T00:00:00Z,2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,1000XECUSDT,0.029950083194675514,0.0054350597813373714
2023-07-22T00:00:00Z,2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,1000XECUSDT,0.01033925686591286,0.000532353199146708
2023-07-29T00:00:00Z,2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,1000XECUSDT,-0.07099456347937316,-0.019801101887174797
2023-08-05T00:00:00Z,2023-08-07T00:00:00Z,2023-08-14T00:00:00Z,1000XECUSDT,0.0,-0.002052461017331507
2023-08-12T00:00:00Z,2023-08-14T00:00:00Z,2023-08-21T00:00:00Z,HBARUSDT,0.07690956979806862,0.01717493143218565
2023-08-19T00:00:00Z,2023-08-21T00:00:00Z,2023-08-28T00:00:00Z,1000XECUSDT,-0.014723926380368013,-0.00573344261242351
2023-08-26T00:00:00Z,2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,RUNEUSDT,-0.004092769440654842,-0.0030756533774952176
2023-09-02T00:00:00Z,2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,RUNEUSDT,0.05410958904109586,0.01147493624294246
2023-09-09T00:00:00Z,2023-09-11T00:00:00Z,2023-09-18T00:00:00Z,RUNEUSDT,0.19168291098115664,0.04586826672795765
