decision,entry,exit,symbol,signal,signal_value,underlying_return,short_proxy,dvol_symbol,dvol_underlying_return,dvol_short_proxy
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,ENSUSDT,rv28,0.4283462531988581,0.21687095840169857,-0.056286970369655416,ENSUSDT,0.21687095840169857,-0.056286970369655416
2022-05-21 00:00:00+00:00,2022-05-23 00:00:00+00:00,2022-05-30 00:00:00+00:00,ENSUSDT,rv28,0.509275016300466,-0.19217956852791873,0.04597566136274891,ENSUSDT,-0.19217956852791873,0.04597566136274891
2022-05-28 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-06-06 00:00:00+00:00,ENSUSDT,rv28,0.5169616990282957,0.08365243004418255,-0.022982338280276404,ENSUSDT,0.08365243004418255,-0.022982338280276404
2022-06-04 00:00:00+00:00,2022-06-06 00:00:00+00:00,2022-06-13 00:00:00+00:00,ENSUSDT,rv28,0.42838117046648866,-0.23384977801938944,0.056393213735616586,ENSUSDT,-0.23384977801938944,0.056393213735616586
2022-06-11 00:00:00+00:00,2022-06-13 00:00:00+00:00,2022-06-20 00:00:00+00:00,ENSUSDT,rv28,0.23095417536157534,0.05534531693472089,-0.01590556000291099,ENSUSDT,0.05534531693472089,-0.01590556000291099
2022-06-18 00:00:00+00:00,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,ENSUSDT,rv28,0.24656308656091924,0.04123711340206193,-0.01237850911974625,RUNEUSDT,0.20830993823694577,-0.05414671532846722
2022-06-25 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-07-04 00:00:00+00:00,SNXUSDT,rv28,0.27341117206421106,-0.02890390390390385,0.005156745206745193,SNXUSDT,-0.02890390390390385,0.005156745206745193
2022-07-02 00:00:00+00:00,2022-07-04 00:00:00+00:00,2022-07-11 00:00:00+00:00,SNXUSDT,rv28,0.2758148620594125,-0.05643602628527267,0.012039775802087399,SNXUSDT,-0.05643602628527267,0.012039775802087399
2022-07-09 00:00:00+00:00,2022-07-11 00:00:00+00:00,2022-07-18 00:00:00+00:00,SNXUSDT,rv28,0.2944696034733337,0.08766898811962309,-0.02398647779913654,SNXUSDT,0.08766898811962309,-0.02398647779913654
2022-07-16 00:00:00+00:00,2022-07-18 00:00:00+00:00,2022-07-25 00:00:00+00:00,SNXUSDT,rv28,0.26040252070633085,0.28775894538606406,-0.07400896711574678,SNXUSDT,0.28775894538606406,-0.07400896711574678
2022-07-23 00:00:00+00:00,2022-07-25 00:00:00+00:00,2022-08-01 00:00:00+00:00,SNXUSDT,rv28,0.17279356820719702,0.04007019596373218,-0.012086779760163813,CRVUSDT,-0.04221251819505101,0.008483898779531984
2022-07-30 00:00:00+00:00,2022-08-01 00:00:00+00:00,2022-08-08 00:00:00+00:00,SNXUSDT,rv28,0.1729359442722362,0.14791901012373443,-0.03904898330016438,ETCUSDT,0.03656357388316156,-0.011210124240021158
2022-08-06 00:00:00+00:00,2022-08-08 00:00:00+00:00,2022-08-15 00:00:00+00:00,ETCUSDT,rv28,0.19681062694583581,0.10147195332184067,-0.027437219099690935,ETCUSDT,0.10147195332184067,-0.027437219099690935
2022-08-13 00:00:00+00:00,2022-08-15 00:00:00+00:00,2022-08-22 00:00:00+00:00,ETCUSDT,rv28,0.2063743167961006,-0.1902675110158677,0.04549764698473615,ETCUSDT,-0.1902675110158677,0.04549764698473615
2022-08-20 00:00:00+00:00,2022-08-22 00:00:00+00:00,2022-08-29 00:00:00+00:00,ETCUSDT,rv28,0.16018938766971352,-0.08159624133932009,0.018329829565599254,ETCUSDT,-0.08159624133932009,0.018329829565599254
2022-08-27 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-09-05 00:00:00+00:00,ENSUSDT,rv28,0.12068722049788566,0.2130088495575222,-0.05532144315861132,SNXUSDT,0.0037061994609164373,-0.0029957806344598787
2022-09-03 00:00:00+00:00,2022-09-05 00:00:00+00:00,2022-09-12 00:00:00+00:00,SNXUSDT,rv28,0.10763123829660709,-0.007385028533064886,-0.00022297363596454774,SNXUSDT,-0.007385028533064886,-0.00022297363596454774
2022-09-10 00:00:00+00:00,2022-09-12 00:00:00+00:00,2022-09-19 00:00:00+00:00,SNXUSDT,rv28,0.10249181295494515,-0.17619208657423058,0.04197879087432687,ETCUSDT,-0.23410389610389615,0.05645674325674326
2022-09-17 00:00:00+00:00,2022-09-19 00:00:00+00:00,2022-09-26 00:00:00+00:00,1000XECUSDT,rv28,0.11613188389122017,0.0232498722534491,-0.007881698832593044,ETCUSDT,-0.03876284464340207,0.00762148039161975
2022-09-24 00:00:00+00:00,2022-09-26 00:00:00+00:00,2022-10-03 00:00:00+00:00,ETCUSDT,rv28,0.12414300184583398,-0.050063505503810335,0.010446645606721816,ETCUSDT,-0.050063505503810335,0.010446645606721816
2022-10-01 00:00:00+00:00,2022-10-03 00:00:00+00:00,2022-10-10 00:00:00+00:00,ETCUSDT,rv28,0.11826317464163993,0.0007799442896936348,-0.002264216841654178,ETCUSDT,0.0007799442896936348,-0.002264216841654178
2022-10-08 00:00:00+00:00,2022-10-10 00:00:00+00:00,2022-10-17 00:00:00+00:00,XRPUSDT,rv28,0.0987271330779716,-0.10572769953051642,0.024362694113398337,XRPUSDT,-0.10572769953051642,0.024362694113398337
2022-10-15 00:00:00+00:00,2022-10-17 00:00:00+00:00,2022-10-24 00:00:00+00:00,XRPUSDT,rv28,0.10431798016893336,-0.01595968080638388,0.0019206894323652009,XRPUSDT,-0.01595968080638388,0.0019206894323652009
2022-10-22 00:00:00+00:00,2022-10-24 00:00:00+00:00,2022-10-31 00:00:00+00:00,ENSUSDT,rv28,0.07477739400793862,0.00993280747881986,-0.0045524326389357345,ENSUSDT,0.00993280747881986,-0.0045524326389357345
2022-10-29 00:00:00+00:00,2022-10-31 00:00:00+00:00,2022-11-07 00:00:00+00:00,ENSUSDT,rv28,0.06717362794004936,-0.05276251084755568,0.011121396942658152,ENSUSDT,-0.05276251084755568,0.011121396942658152
2022-11-05 00:00:00+00:00,2022-11-07 00:00:00+00:00,2022-11-14 00:00:00+00:00,ENSUSDT,rv28,0.07533540326295038,-0.25273315824833575,0.061114058792853164,ENSUSDT,-0.25273315824833575,0.061114058792853164
2022-11-12 00:00:00+00:00,2022-11-14 00:00:00+00:00,2022-11-21 00:00:00+00:00,SOLUSDT,rv28,0.5413642956942982,-0.06651428571428564,0.014559340659340642,SOLUSDT,-0.06651428571428564,0.014559340659340642
