decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SOLUSDT,-0.0365935114503817,-0.011200838879926931
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,CRVUSDT,0.06932773109243695,0.015279471755777731
2023-03-18T00:00:00Z,2023-03-20T00:00:00Z,2023-03-27T00:00:00Z,AVAXUSDT,-0.02480752780153972,-0.008254342967716436
2023-03-25T00:00:00Z,2023-03-27T00:00:00Z,2023-04-03T00:00:00Z,CRVUSDT,-0.027896995708154515,-0.009026709944370135
2023-04-01T00:00:00Z,2023-04-03T00:00:00Z,2023-04-10T00:00:00Z,SNXUSDT,0.028135990621336315,0.004981536638002572
2023-04-08T00:00:00Z,2023-04-10T00:00:00Z,2023-04-17T00:00:00Z,NEARUSDT,0.15910224438902731,0.03772310007992532
2023-04-15T00:00:00Z,2023-04-17T00:00:00Z,2023-04-24T00:00:00Z,NEARUSDT,-0.17771084337349385,-0.04648017186070497
2023-04-22T00:00:00Z,2023-04-24T00:00:00Z,2023-05-01T00:00:00Z,NEARUSDT,0.008895866038723055,0.0001715054923492566
2023-04-29T00:00:00Z,2023-05-01T00:00:00Z,2023-05-08T00:00:00Z,XRPUSDT,-0.046140761216244996,-0.013587651321392755
2023-05-06T00:00:00Z,2023-05-08T00:00:00Z,2023-05-15T00:00:00Z,XRPUSDT,-0.05260811413285782,-0.015204489550545961
2023-05-13T00:00:00Z,2023-05-15T00:00:00Z,2023-05-22T00:00:00Z,XRPUSDT,0.07552941176470584,0.016829891923844955
2023-05-20T00:00:00Z,2023-05-22T00:00:00Z,2023-05-29T00:00:00Z,SOLUSDT,0.06090593756376239,0.013174023373609092
2023-05-27T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,SOLUSDT,0.048850851043369614,0.010160251743510897
2023-06-03T00:00:00Z,2023-06-05T00:00:00Z,2023-06-12T00:00:00Z,SOLUSDT,-0.2878426698450536,-0.0740131284785949
2023-06-10T00:00:00Z,2023-06-12T00:00:00Z,2023-06-19T00:00:00Z,SOLUSDT,-0.006823302220791749,-0.0037582865725294444
2023-06-17T00:00:00Z,2023-06-19T00:00:00Z,2023-06-26T00:00:00Z,SOLUSDT,0.09851578196901944,0.022576484474923355
2023-06-24T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,SOLUSDT,0.14779633016697136,0.03489662152441133
2023-07-01T00:00:00Z,2023-07-03T00:00:00Z,2023-07-10T00:00:00Z,SOLUSDT,0.09566156060450304,0.021862929133794253
2023-07-08T00:00:00Z,2023-07-10T00:00:00Z,2023-07-17T00:00:00Z,BCHUSDT,-0.05941974378296899,-0.016907396963073754
2023-07-15T00:00:00Z,2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,BCHUSDT,-0.0013620157833593716,-0.00239296496317135
2023-07-22T00:00:00Z,2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,BCHUSDT,0.014481126398973032,0.001567820582411751
2023-07-29T00:00:00Z,2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,SOLUSDT,-0.04344776365736924,-0.012914401931673817
2023-08-05T00:00:00Z,2023-08-07T00:00:00Z,2023-08-14T00:00:00Z,BCHUSDT,0.023906705539358697,0.003924215367508167
2023-08-12T00:00:00Z,2023-08-14T00:00:00Z,2023-08-21T00:00:00Z,BCHUSDT,-0.17329595233923256,-0.04537644910213965
2023-08-19T00:00:00Z,2023-08-21T00:00:00Z,2023-08-28T00:00:00Z,SOLUSDT,-0.0452164323132066,-0.013356569095633156
2023-08-26T00:00:00Z,2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,SOLUSDT,-0.05890846087207624,-0.016779576235350566
2023-09-02T00:00:00Z,2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,XRPUSDT,-0.015067406819983975,-0.005819312722327501
2023-09-09T00:00:00Z,2023-09-11T00:00:00Z,2023-09-18T00:00:00Z,SOLUSDT,0.03177826564215147,0.005892105393206361
2023-09-16T00:00:00Z,2023-09-18T00:00:00Z,2023-09-25T00:00:00Z,SOLUSDT,0.02931006968455785,0.005275056403807955
2023-09-23T00:00:00Z,2023-09-25T00:00:00Z,2023-10-02T00:00:00Z,SOLUSDT,0.23374677002583977,0.05638423148912843
2023-09-30T00:00:00Z,2023-10-02T00:00:00Z,2023-10-09T00:00:00Z,SOLUSDT,-0.0280232899091023,-0.009058283494607081
2023-10-07T00:00:00Z,2023-10-09T00:00:00Z,2023-10-16T00:00:00Z,SOLUSDT,-0.05542147905533534,-0.015907830781165342
2023-10-14T00:00:00Z,2023-10-16T00:00:00Z,2023-10-23T00:00:00Z,LINKUSDT,0.372556948375792,0.0910867760766165
2023-10-21T00:00:00Z,2023-10-23T00:00:00Z,2023-10-30T00:00:00Z,LINKUSDT,0.08897181577138369,0.020190492925514416
2023-10-28T00:00:00Z,2023-10-30T00:00:00Z,2023-11-06T00:00:00Z,SOLUSDT,0.2540209577190202,0.061452778412423546
2023-11-04T00:00:00Z,2023-11-06T00:00:00Z,2023-11-13T00:00:00Z,LINKUSDT,0.3101503759398494,0.07548513296763085
2023-11-11T00:00:00Z,2023-11-13T00:00:00Z,2023-11-20T00:00:00Z,LINKUSDT,-0.06980225812488294,-0.019503025548552242
2023-11-18T00:00:00Z,2023-11-20T00:00:00Z,2023-11-27T00:00:00Z,SOLUSDT,-0.057382281215731745,-0.016398031321264443
2023-11-25T00:00:00Z,2023-11-27T00:00:00Z,2023-12-04T00:00:00Z,SOLUSDT,0.09423020158699846,0.02150508937941811
2023-12-02T00:00:00Z,2023-12-04T00:00:00Z,2023-12-11T00:00:00Z,SOLUSDT,0.18857505553792442,0.045091302867149595
2023-12-09T00:00:00Z,2023-12-11T00:00:00Z,2023-12-18T00:00:00Z,SOLUSDT,-0.05342838833707142,-0.015409558101599361
2023-12-16T00:00:00Z,2023-12-18T00:00:00Z,2023-12-25T00:00:00Z,SOLUSDT,0.5877126174155878,0.14487569333656544
2023-12-23T00:00:00Z,2023-12-25T00:00:00Z,2024-01-01T00:00:00Z,SOLUSDT,-0.09591194968553451,-0.026030448438715135
2023-12-30T00:00:00Z,2024-01-01T00:00:00Z,2024-01-08T00:00:00Z,SOLUSDT,-0.1214541881601573,-0.03241600805737083
2024-01-06T00:00:00Z,2024-01-08T00:00:00Z,2024-01-15T00:00:00Z,SOLUSDT,0.04937705504730783,0.01029180274449545
2024-01-13T00:00:00Z,2024-01-15T00:00:00Z,2024-01-22T00:00:00Z,AVAXUSDT,-0.0779890611273274,-0.021549726299163355
2024-01-20T00:00:00Z,2024-01-22T00:00:00Z,2024-01-29T00:00:00Z,SOLUSDT,0.05308908913303534,0.011219811265927328
2024-01-27T00:00:00Z,2024-01-29T00:00:00Z,2024-02-05T00:00:00Z,NEARUSDT,-0.04376519624869746,-0.01299376007950587
2024-02-03T00:00:00Z,2024-02-05T00:00:00Z,2024-02-12T00:00:00Z,ENSUSDT,0.1929355395843777,0.046181423878762916
2024-02-10T00:00:00Z,2024-02-12T00:00:00Z,2024-02-19T00:00:00Z,ENSUSDT,0.050672520082196915,0.010615669003217722
2024-02-17T00:00:00Z,2024-02-19T00:00:00Z,2024-02-26T00:00:00Z,NEARUSDT,0.051914893617021285,0.010926262386923815
2024-02-24T00:00:00Z,2024-02-26T00:00:00Z,2024-03-04T00:00:00Z,ENSUSDT,-0.019005719313682445,-0.0068038908457521185
