decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SNXUSDT,-0.10517851399163713,-0.02834708951524079
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,CRVUSDT,0.06932773109243695,0.015279471755777731
2023-03-18T00:00:00Z,2023-03-20T00:00:00Z,2023-03-27T00:00:00Z,SNXUSDT,-0.13942140118508206,-0.036907811313602025
2023-03-25T00:00:00Z,2023-03-27T00:00:00Z,2023-04-03T00:00:00Z,AVAXUSDT,0.008128654970760207,-2.029727464145526e-05
2023-04-01T00:00:00Z,2023-04-03T00:00:00Z,2023-04-10T00:00:00Z,XRPUSDT,-0.024343122102009174,-0.0081382415428338
2023-04-08T00:00:00Z,2023-04-10T00:00:00Z,2023-04-17T00:00:00Z,XRPUSDT,0.031287128712871315,0.005769321160886322
2023-04-15T00:00:00Z,2023-04-17T00:00:00Z,2023-04-24T00:00:00Z,XRPUSDT,-0.10848694316436258,-0.02917419680842215
2023-04-22T00:00:00Z,2023-04-24T00:00:00Z,2023-05-01T00:00:00Z,NEARUSDT,0.008895866038723055,0.0001715054923492566
2023-04-29T00:00:00Z,2023-05-01T00:00:00Z,2023-05-08T00:00:00Z,NEARUSDT,-0.09958506224066388,-0.026948726577497476
2023-05-06T00:00:00Z,2023-05-08T00:00:00Z,2023-05-15T00:00:00Z,NEARUSDT,-0.04608294930875578,-0.013573198344520452
2023-05-13T00:00:00Z,2023-05-15T00:00:00Z,2023-05-22T00:00:00Z,SOLUSDT,-0.06268228544107102,-0.01772303237759926
2023-05-20T00:00:00Z,2023-05-22T00:00:00Z,2023-05-29T00:00:00Z,SOLUSDT,0.06090593756376239,0.013174023373609092
2023-05-27T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,SOLUSDT,0.048850851043369614,0.010160251743510897
2023-06-03T00:00:00Z,2023-06-05T00:00:00Z,2023-06-12T00:00:00Z,LTCUSDT,-0.17546468401487003,-0.04591863202104902
2023-06-10T00:00:00Z,2023-06-12T00:00:00Z,2023-06-19T00:00:00Z,XRPUSDT,-0.0654887651238718,-0.018424652298299458
2023-06-17T00:00:00Z,2023-06-19T00:00:00Z,2023-06-26T00:00:00Z,XRPUSDT,0.006987258528565521,-0.0003056463851901269
2023-06-24T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,CRVUSDT,0.08689458689458696,0.019671185706315233
2023-07-01T00:00:00Z,2023-07-03T00:00:00Z,2023-07-10T00:00:00Z,CRVUSDT,0.04587155963302747,0.009415428890925361
2023-07-08T00:00:00Z,2023-07-10T00:00:00Z,2023-07-17T00:00:00Z,BCHUSDT,-0.05941974378296899,-0.016907396963073754
2023-07-15T00:00:00Z,2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,BCHUSDT,-0.0013620157833593716,-0.00239296496317135
2023-07-22T00:00:00Z,2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,BCHUSDT,0.014481126398973032,0.001567820582411751
2023-07-29T00:00:00Z,2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,SOLUSDT,-0.04344776365736924,-0.012914401931673817
2023-08-05T00:00:00Z,2023-08-07T00:00:00Z,2023-08-14T00:00:00Z,XRPUSDT,0.002083667254367594,-0.0015315442037396087
2023-08-12T00:00:00Z,2023-08-14T00:00:00Z,2023-08-21T00:00:00Z,SOLUSDT,-0.1013750671016228,-0.027396227792737208
2023-08-19T00:00:00Z,2023-08-21T00:00:00Z,2023-08-28T00:00:00Z,SOLUSDT,-0.0452164323132066,-0.013356569095633156
2023-08-26T00:00:00Z,2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,SOLUSDT,-0.05890846087207624,-0.016779576235350566
2023-09-02T00:00:00Z,2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,SOLUSDT,-0.06822133578807399,-0.019107794964350003
2023-09-09T00:00:00Z,2023-09-11T00:00:00Z,2023-09-18T00:00:00Z,SOLUSDT,0.03177826564215147,0.005892105393206361
2023-09-16T00:00:00Z,2023-09-18T00:00:00Z,2023-09-25T00:00:00Z,SOLUSDT,0.02931006968455785,0.005275056403807955
2023-09-23T00:00:00Z,2023-09-25T00:00:00Z,2023-10-02T00:00:00Z,BCHUSDT,0.18356874053076577,0.04383972411535993
2023-09-30T00:00:00Z,2023-10-02T00:00:00Z,2023-10-09T00:00:00Z,CRVUSDT,-0.12081784386617112,-0.03225692198387429
2023-10-07T00:00:00Z,2023-10-09T00:00:00Z,2023-10-16T00:00:00Z,LINKUSDT,-0.03247261345852903,-0.010170614381963764
2023-10-14T00:00:00Z,2023-10-16T00:00:00Z,2023-10-23T00:00:00Z,LINKUSDT,0.372556948375792,0.0910867760766165
2023-10-21T00:00:00Z,2023-10-23T00:00:00Z,2023-10-30T00:00:00Z,LINKUSDT,0.08897181577138369,0.020190492925514416
2023-10-28T00:00:00Z,2023-10-30T00:00:00Z,2023-11-06T00:00:00Z,SOLUSDT,0.2540209577190202,0.061452778412423546
