decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2022-03-26T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,SOLUSDT,0.02939690877866452,0.005941767412638267
2022-03-27T00:00:00Z,2022-03-27T00:15:00Z,2022-03-28T00:15:00Z,ETCUSDT,0.02988667348329921,0.006064208588796939
2022-03-28T00:00:00Z,2022-03-28T00:15:00Z,2022-03-29T00:15:00Z,XRPUSDT,0.01461817331306281,0.0022470835462378392
2022-03-29T00:00:00Z,2022-03-29T00:15:00Z,2022-03-30T00:15:00Z,ZECUSDT,0.0001545117428924936,-0.0013688318463047399
2022-03-30T00:00:00Z,2022-03-30T00:15:00Z,2022-03-31T00:15:00Z,XRPUSDT,0.008762705923589076,0.0007832166988694057
2022-04-05T00:00:00Z,2022-04-05T00:15:00Z,2022-04-06T00:15:00Z,VETUSDT,-0.06669183339625018,-0.018080418131090407
2022-04-06T00:00:00Z,2022-04-06T00:15:00Z,2022-04-07T00:15:00Z,AVAXUSDT,-0.057575073379995456,-0.015801228127026726
2022-04-07T00:00:00Z,2022-04-07T00:15:00Z,2022-04-08T00:15:00Z,ETCUSDT,0.1241915279801622,0.029640422213012687
2022-04-08T00:00:00Z,2022-04-08T00:15:00Z,2022-04-09T00:15:00Z,LTCUSDT,-0.03182931094788388,-0.009364787518998833
2022-04-09T00:00:00Z,2022-04-09T00:15:00Z,2022-04-10T00:15:00Z,RUNEUSDT,0.07227813357731017,0.01666207361229968
2022-04-10T00:00:00Z,2022-04-10T00:15:00Z,2022-04-11T00:15:00Z,NEARUSDT,-0.1067933382933669,-0.028105794355369588
2022-04-11T00:00:00Z,2022-04-11T00:15:00Z,2022-04-12T00:15:00Z,NEARUSDT,0.01832511052732766,0.0031738178498040516
2022-04-12T00:00:00Z,2022-04-12T00:15:00Z,2022-04-13T00:15:00Z,RUNEUSDT,0.01861494402499342,0.0032462762242204913
2022-04-13T00:00:00Z,2022-04-13T00:15:00Z,2022-04-14T00:15:00Z,ZILUSDT,0.027101769911504592,0.005367982695848285
2022-04-14T00:00:00Z,2022-04-14T00:15:00Z,2022-04-15T00:15:00Z,SOLUSDT,-0.036207717960933805,-0.010459389272261314
2022-04-15T00:00:00Z,2022-04-15T00:15:00Z,2022-04-16T00:15:00Z,SOLUSDT,-9.886307464168631e-05,-0.0014321755506882848
2022-04-16T00:00:00Z,2022-04-16T00:15:00Z,2022-04-17T00:15:00Z,ZILUSDT,-0.009629229661627048,-0.0038147671974346252
2022-04-17T00:00:00Z,2022-04-17T00:15:00Z,2022-04-18T00:15:00Z,RUNEUSDT,-0.039758429793658845,-0.011347067230442574
2022-04-18T00:00:00Z,2022-04-18T00:15:00Z,2022-04-19T00:15:00Z,RUNEUSDT,0.08595387840670865,0.0200810098196493
2022-04-19T00:00:00Z,2022-04-19T00:15:00Z,2022-04-20T00:15:00Z,ZILUSDT,0.024729803993405408,0.004774991216323489
2022-04-20T00:00:00Z,2022-04-20T00:15:00Z,2022-04-21T00:15:00Z,XRPUSDT,-0.025452196382429015,-0.007770508877635117
2022-04-21T00:00:00Z,2022-04-21T00:15:00Z,2022-04-22T00:15:00Z,NEARUSDT,-0.06727316255685889,-0.018225750421242585
2022-04-22T00:00:00Z,2022-04-22T00:15:00Z,2022-04-23T00:15:00Z,ZILUSDT,-0.028785658881323783,-0.008603874502358808
2022-04-23T00:00:00Z,2022-04-23T00:15:00Z,2022-04-24T00:15:00Z,ZILUSDT,-0.015618067264176028,-0.00531197659807187
2022-04-24T00:00:00Z,2022-04-24T00:15:00Z,2022-04-25T00:15:00Z,ETCUSDT,-0.03833376664644539,-0.01099090144363921
2022-04-25T00:00:00Z,2022-04-25T00:15:00Z,2022-04-26T00:15:00Z,ZILUSDT,-0.013334603295551917,-0.0047411106059158424
2022-04-26T00:00:00Z,2022-04-26T00:15:00Z,2022-04-27T00:15:00Z,NEARUSDT,-0.11644499861457458,-0.030518709435671507
2022-04-27T00:00:00Z,2022-04-27T00:15:00Z,2022-04-28T00:15:00Z,NEARUSDT,0.010113680909447309,0.001120960445333964
2022-04-28T00:00:00Z,2022-04-28T00:15:00Z,2022-04-29T00:15:00Z,XRPUSDT,-0.012743743282665365,-0.0045933956026942046
2022-04-29T00:00:00Z,2022-04-29T00:15:00Z,2022-04-30T00:15:00Z,NEARUSDT,-0.09667601121345604,-0.02557646258539187
2022-04-30T00:00:00Z,2022-04-30T00:15:00Z,2022-05-01T00:15:00Z,NEARUSDT,-0.07714133711651006,-0.020692794061155376
2022-05-01T00:00:00Z,2022-05-01T00:15:00Z,2022-05-02T00:15:00Z,ZILUSDT,0.0223432481496999,0.004178352255397112
2022-05-02T00:00:00Z,2022-05-02T00:15:00Z,2022-05-03T00:15:00Z,ZILUSDT,-0.0468515230159815,-0.013120340536023237
2022-05-03T00:00:00Z,2022-05-03T00:15:00Z,2022-05-04T00:15:00Z,ZILUSDT,-0.02493551160791041,-0.007641337684005466
2022-05-04T00:00:00Z,2022-05-04T00:15:00Z,2022-05-05T00:15:00Z,ZILUSDT,0.4078483245149911,0.10055462134671991
