decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2022-03-26T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,AVAXUSDT,0.027340019102196633,0.005427544993521295
2022-03-27T00:00:00Z,2022-03-27T00:15:00Z,2022-03-28T00:15:00Z,LINKUSDT,0.05838815789473695,0.013189579691656374
2022-03-28T00:00:00Z,2022-03-28T00:15:00Z,2022-03-29T00:15:00Z,RUNEUSDT,-0.008909548711989235,-0.003634846960025172
2022-03-29T00:00:00Z,2022-03-29T00:15:00Z,2022-03-30T00:15:00Z,NEARUSDT,0.10467932192797447,0.024762370699965754
2022-03-30T00:00:00Z,2022-03-30T00:15:00Z,2022-03-31T00:15:00Z,XRPUSDT,0.008762705923589076,0.0007832166988694057
2022-04-05T00:00:00Z,2022-04-05T00:15:00Z,2022-04-06T00:15:00Z,LTCUSDT,-0.03721190781049932,-0.010710436734652693
2022-04-06T00:00:00Z,2022-04-06T00:15:00Z,2022-04-07T00:15:00Z,AVAXUSDT,-0.057575073379995456,-0.015801228127026726
2022-04-07T00:00:00Z,2022-04-07T00:15:00Z,2022-04-08T00:15:00Z,ETCUSDT,0.1241915279801622,0.029640422213012687
2022-04-08T00:00:00Z,2022-04-08T00:15:00Z,2022-04-09T00:15:00Z,LINKUSDT,-0.03996969122939942,-0.011399882589377717
2022-04-09T00:00:00Z,2022-04-09T00:15:00Z,2022-04-10T00:15:00Z,CRVUSDT,0.04678860059549117,0.01028969036684493
2022-04-10T00:00:00Z,2022-04-10T00:15:00Z,2022-04-11T00:15:00Z,AVAXUSDT,-0.04469670095778633,-0.012581635021474444
2022-04-11T00:00:00Z,2022-04-11T00:15:00Z,2022-04-12T00:15:00Z,AVAXUSDT,-0.08218838965218467,-0.02195455719507403
2022-04-12T00:00:00Z,2022-04-12T00:15:00Z,2022-04-13T00:15:00Z,ZECUSDT,0.04015215553677076,0.008630579102164828
2022-04-13T00:00:00Z,2022-04-13T00:15:00Z,2022-04-14T00:15:00Z,AVAXUSDT,0.0426114151681003,0.009245394009997212
2022-04-14T00:00:00Z,2022-04-14T00:15:00Z,2022-04-15T00:15:00Z,ETCUSDT,-0.03805644910241768,-0.010921572057632282
2022-04-15T00:00:00Z,2022-04-15T00:15:00Z,2022-04-16T00:15:00Z,LINKUSDT,0.03049360146252278,0.0062159405836028315
2022-04-16T00:00:00Z,2022-04-16T00:15:00Z,2022-04-17T00:15:00Z,AVAXUSDT,0.005443940375891021,-4.647468805510802e-05
2022-04-17T00:00:00Z,2022-04-17T00:15:00Z,2022-04-18T00:15:00Z,RUNEUSDT,-0.039758429793658845,-0.011347067230442574
2022-04-18T00:00:00Z,2022-04-18T00:15:00Z,2022-04-19T00:15:00Z,BNBUSDT,0.03305907276937492,0.006857308410315867
2022-04-19T00:00:00Z,2022-04-19T00:15:00Z,2022-04-20T00:15:00Z,ZILUSDT,0.024729803993405408,0.004774991216323489
2022-04-20T00:00:00Z,2022-04-20T00:15:00Z,2022-04-21T00:15:00Z,BCHUSDT,-0.02275466705865048,-0.007096126546690483
2022-04-21T00:00:00Z,2022-04-21T00:15:00Z,2022-04-22T00:15:00Z,ETCUSDT,-0.04790565934963775,-0.0133838746194373
2022-04-22T00:00:00Z,2022-04-22T00:15:00Z,2022-04-23T00:15:00Z,AVAXUSDT,-0.01631732555054377,-0.005486791169663806
2022-04-23T00:00:00Z,2022-04-23T00:15:00Z,2022-04-24T00:15:00Z,AVAXUSDT,-0.017532029669588778,-0.005790467199425058
2022-04-24T00:00:00Z,2022-04-24T00:15:00Z,2022-04-25T00:15:00Z,ETCUSDT,-0.03833376664644539,-0.01099090144363921
2022-04-25T00:00:00Z,2022-04-25T00:15:00Z,2022-04-26T00:15:00Z,ZILUSDT,-0.013334603295551917,-0.0047411106059158424
2022-04-26T00:00:00Z,2022-04-26T00:15:00Z,2022-04-27T00:15:00Z,NEARUSDT,-0.11644499861457458,-0.030518709435671507
2022-04-27T00:00:00Z,2022-04-27T00:15:00Z,2022-04-28T00:15:00Z,LINKUSDT,0.02609956500724997,0.005117431469784629
2022-04-28T00:00:00Z,2022-04-28T00:15:00Z,2022-04-29T00:15:00Z,SOLUSDT,-0.0014207428455449422,-0.0017626454934140988
2022-04-29T00:00:00Z,2022-04-29T00:15:00Z,2022-04-30T00:15:00Z,AVAXUSDT,-0.05747296696785664,-0.015775701523992023
2022-04-30T00:00:00Z,2022-04-30T00:15:00Z,2022-05-01T00:15:00Z,XRPUSDT,-0.04748694516971286,-0.013279196074456077
2022-05-01T00:00:00Z,2022-05-01T00:15:00Z,2022-05-02T00:15:00Z,SOLUSDT,0.061652717199104146,0.014005719517748174
2022-05-02T00:00:00Z,2022-05-02T00:15:00Z,2022-05-03T00:15:00Z,XMRUSDT,-0.06303013262102253,-0.017164992937283494
2022-05-03T00:00:00Z,2022-05-03T00:15:00Z,2022-05-04T00:15:00Z,SOLUSDT,-0.02019395322304629,-0.006455948087789436
2022-05-04T00:00:00Z,2022-05-04T00:15:00Z,2022-05-05T00:15:00Z,ZILUSDT,0.4078483245149911,0.10055462134671991
2022-05-05T00:00:00Z,2022-05-05T00:15:00Z,2022-05-06T00:15:00Z,XMRUSDT,-0.08370555654815082,-0.022333848919065567
2022-05-06T00:00:00Z,2022-05-06T00:15:00Z,2022-05-07T00:15:00Z,NEARUSDT,-0.03130870381966189,-0.009234635736943334
2022-05-07T00:00:00Z,2022-05-07T00:15:00Z,2022-05-08T00:15:00Z,SOLUSDT,-0.03578844509588375,-0.0103545710559988
