decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2022-03-26T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,AVAXUSDT,0.027340019102196633,0.005427544993521295
2022-03-27T00:00:00Z,2022-03-27T00:15:00Z,2022-03-28T00:15:00Z,BNBUSDT,0.032371332371332384,0.006685373310805233
2022-03-28T00:00:00Z,2022-03-28T00:15:00Z,2022-03-29T00:15:00Z,RUNEUSDT,-0.008909548711989235,-0.003634846960025172
2022-03-29T00:00:00Z,2022-03-29T00:15:00Z,2022-03-30T00:15:00Z,NEARUSDT,0.10467932192797447,0.024762370699965754
2022-03-30T00:00:00Z,2022-03-30T00:15:00Z,2022-03-31T00:15:00Z,XRPUSDT,0.008762705923589076,0.0007832166988694057
2022-04-05T00:00:00Z,2022-04-05T00:15:00Z,2022-04-06T00:15:00Z,LTCUSDT,-0.03721190781049932,-0.010710436734652693
2022-04-06T00:00:00Z,2022-04-06T00:15:00Z,2022-04-07T00:15:00Z,AVAXUSDT,-0.057575073379995456,-0.015801228127026726
2022-04-07T00:00:00Z,2022-04-07T00:15:00Z,2022-04-08T00:15:00Z,LTCUSDT,0.00989049805722364,0.0010651647322780467
2022-04-08T00:00:00Z,2022-04-08T00:15:00Z,2022-04-09T00:15:00Z,XRPUSDT,-0.04221969409682713,-0.011962383306234645
2022-04-09T00:00:00Z,2022-04-09T00:15:00Z,2022-04-10T00:15:00Z,ETCUSDT,0.030826808489683444,0.006299242340392998
2022-04-10T00:00:00Z,2022-04-10T00:15:00Z,2022-04-11T00:15:00Z,AVAXUSDT,-0.04469670095778633,-0.012581635021474444
2022-04-11T00:00:00Z,2022-04-11T00:15:00Z,2022-04-12T00:15:00Z,AVAXUSDT,-0.08218838965218467,-0.02195455719507403
2022-04-12T00:00:00Z,2022-04-12T00:15:00Z,2022-04-13T00:15:00Z,ZECUSDT,0.04015215553677076,0.008630579102164828
2022-04-13T00:00:00Z,2022-04-13T00:15:00Z,2022-04-14T00:15:00Z,AVAXUSDT,0.0426114151681003,0.009245394009997212
2022-04-14T00:00:00Z,2022-04-14T00:15:00Z,2022-04-15T00:15:00Z,SOLUSDT,-0.036207717960933805,-0.010459389272261314
