decision_time,entry_time,exit_time,symbol,gross_return,full_plan_after_cost_and_hurdle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SOLUSDT,-0.0365935114503817,-0.011200838879926931
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,XRPUSDT,0.04015090272163846,0.007985264663078109
2023-03-18T00:00:00Z,2023-03-20T00:00:00Z,2023-03-27T00:00:00Z,BNBUSDT,-0.02239428231089946,-0.007651031595056372
2023-03-25T00:00:00Z,2023-03-27T00:00:00Z,2023-04-03T00:00:00Z,BNBUSDT,-0.0448093091263555,-0.013254788298920381
2023-04-01T00:00:00Z,2023-04-03T00:00:00Z,2023-04-10T00:00:00Z,XRPUSDT,-0.024343122102009174,-0.0081382415428338
2023-04-08T00:00:00Z,2023-04-10T00:00:00Z,2023-04-17T00:00:00Z,XRPUSDT,0.031287128712871315,0.005769321160886322
2023-04-15T00:00:00Z,2023-04-17T00:00:00Z,2023-04-24T00:00:00Z,SOLUSDT,-0.15347901546229104,-0.04042221488290427
2023-04-22T00:00:00Z,2023-04-24T00:00:00Z,2023-05-01T00:00:00Z,SOLUSDT,0.05903732351707758,0.012706869861937888
2023-04-29T00:00:00Z,2023-05-01T00:00:00Z,2023-05-08T00:00:00Z,SOLUSDT,-0.047034494896163404,-0.013811084741372357
2023-05-06T00:00:00Z,2023-05-08T00:00:00Z,2023-05-15T00:00:00Z,XRPUSDT,-0.05260811413285782,-0.015204489550545961
2023-05-13T00:00:00Z,2023-05-15T00:00:00Z,2023-05-22T00:00:00Z,LINKUSDT,-0.017881705639614887,-0.006522887427235229
2023-05-20T00:00:00Z,2023-05-22T00:00:00Z,2023-05-29T00:00:00Z,XRPUSDT,0.05447385692408657,0.011566003213690137
2023-05-27T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,XRPUSDT,0.11058091286307059,0.02559276719843614
2023-06-03T00:00:00Z,2023-06-05T00:00:00Z,2023-06-12T00:00:00Z,XRPUSDT,-0.027274425555762982,-0.008871067406272252
2023-06-10T00:00:00Z,2023-06-12T00:00:00Z,2023-06-19T00:00:00Z,XRPUSDT,-0.0654887651238718,-0.018424652298299458
2023-06-17T00:00:00Z,2023-06-19T00:00:00Z,2023-06-26T00:00:00Z,AVAXUSDT,0.1854696327683616,0.04431494717475889
2023-06-24T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,ETCUSDT,0.11095965103598693,0.025687451741665226
2023-07-01T00:00:00Z,2023-07-03T00:00:00Z,2023-07-10T00:00:00Z,ETCUSDT,-0.0863312883435583,-0.02363528310322108
2023-07-08T00:00:00Z,2023-07-10T00:00:00Z,2023-07-17T00:00:00Z,BCHUSDT,-0.05941974378296899,-0.016907396963073754
2023-07-15T00:00:00Z,2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,SOLUSDT,-0.09674123271174684,-0.026237769195268216
2023-07-22T00:00:00Z,2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,XRPUSDT,-0.045399105569860376,-0.0134022374097966
2023-07-29T00:00:00Z,2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,LINKUSDT,-0.06012448682293736,-0.017083582723065847
2023-08-05T00:00:00Z,2023-08-07T00:00:00Z,2023-08-14T00:00:00Z,BNBUSDT,-0.013771273534489814,-0.005495279400953961
2023-08-12T00:00:00Z,2023-08-14T00:00:00Z,2023-08-21T00:00:00Z,SOLUSDT,-0.1013750671016228,-0.027396227792737208
2023-08-19T00:00:00Z,2023-08-21T00:00:00Z,2023-08-28T00:00:00Z,SOLUSDT,-0.0452164323132066,-0.013356569095633156
2023-08-26T00:00:00Z,2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,XLMUSDT,-0.017386984600099353,-0.0063992071673563454
2023-09-02T00:00:00Z,2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,XRPUSDT,-0.015067406819983975,-0.005819312722327501
2023-09-09T00:00:00Z,2023-09-11T00:00:00Z,2023-09-18T00:00:00Z,RUNEUSDT,0.19168291098115664,0.04586826672795765
2023-09-16T00:00:00Z,2023-09-18T00:00:00Z,2023-09-25T00:00:00Z,RUNEUSDT,-0.08887677208287892,-0.024271654038051236
2023-09-23T00:00:00Z,2023-09-25T00:00:00Z,2023-10-02T00:00:00Z,LINKUSDT,0.155137772675086,0.03673198215143999
2023-09-30T00:00:00Z,2023-10-02T00:00:00Z,2023-10-09T00:00:00Z,BCHUSDT,-0.06004046744022795,-0.017062577877388494
2023-10-07T00:00:00Z,2023-10-09T00:00:00Z,2023-10-16T00:00:00Z,SOLUSDT,-0.05542147905533534,-0.015907830781165342
2023-10-14T00:00:00Z,2023-10-16T00:00:00Z,2023-10-23T00:00:00Z,SOLUSDT,0.32448216078109327,0.07906807917794181
2023-10-21T00:00:00Z,2023-10-23T00:00:00Z,2023-10-30T00:00:00Z,SOLUSDT,0.13083017568033073,0.030655082902751173
2023-10-28T00:00:00Z,2023-10-30T00:00:00Z,2023-11-06T00:00:00Z,SOLUSDT,0.2540209577190202,0.061452778412423546
2023-11-04T00:00:00Z,2023-11-06T00:00:00Z,2023-11-13T00:00:00Z,SOLUSDT,0.3679646318653289,0.08993869694900072
2023-11-11T00:00:00Z,2023-11-13T00:00:00Z,2023-11-20T00:00:00Z,SOLUSDT,0.08495072360827494,0.019185219884737228
2023-11-18T00:00:00Z,2023-11-20T00:00:00Z,2023-11-27T00:00:00Z,SOLUSDT,-0.057382281215731745,-0.016398031321264443
2023-11-25T00:00:00Z,2023-11-27T00:00:00Z,2023-12-04T00:00:00Z,AVAXUSDT,0.04155203491129855,0.008335547710493132
2023-12-02T00:00:00Z,2023-12-04T00:00:00Z,2023-12-11T00:00:00Z,LINKUSDT,0.04191845302461661,0.008427152238822646
2023-12-09T00:00:00Z,2023-12-11T00:00:00Z,2023-12-18T00:00:00Z,AVAXUSDT,0.09226302489381166,0.02101329520612141
2023-12-16T00:00:00Z,2023-12-18T00:00:00Z,2023-12-25T00:00:00Z,SOLUSDT,0.5877126174155878,0.14487569333656544
2023-12-23T00:00:00Z,2023-12-25T00:00:00Z,2024-01-01T00:00:00Z,SOLUSDT,-0.09591194968553451,-0.026030448438715135
2023-12-30T00:00:00Z,2024-01-01T00:00:00Z,2024-01-08T00:00:00Z,SOLUSDT,-0.1214541881601573,-0.03241600805737083
2024-01-06T00:00:00Z,2024-01-08T00:00:00Z,2024-01-15T00:00:00Z,SOLUSDT,0.04937705504730783,0.01029180274449545
2024-01-13T00:00:00Z,2024-01-15T00:00:00Z,2024-01-22T00:00:00Z,LTCUSDT,0.027928960183328577,0.004929779028500637
2024-01-20T00:00:00Z,2024-01-22T00:00:00Z,2024-01-29T00:00:00Z,LINKUSDT,-0.05981684743781257,-0.01700667287678465
2024-01-27T00:00:00Z,2024-01-29T00:00:00Z,2024-02-05T00:00:00Z,SOLUSDT,-0.0051694667945136885,-0.0033448277159599292
2024-02-03T00:00:00Z,2024-02-05T00:00:00Z,2024-02-12T00:00:00Z,SOLUSDT,0.12591669111176307,0.02942671176060926
2024-02-10T00:00:00Z,2024-02-12T00:00:00Z,2024-02-19T00:00:00Z,SOLUSDT,0.045342464478789646,0.009283155102365905
2024-02-17T00:00:00Z,2024-02-19T00:00:00Z,2024-02-26T00:00:00Z,BNBUSDT,0.10978363392117063,0.02539344746296115
2024-02-24T00:00:00Z,2024-02-26T00:00:00Z,2024-03-04T00:00:00Z,BNBUSDT,0.06812094364891319,0.014977774894896791
