signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2021-07-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,2021-07-02 00:15:00+00:00,2021-07-03 00:15:00+00:00,-9.99750063317e-05,5.97090297008e-07,4.00803961152e-07,1.27656770569e-13,3.44879470361,0,0,-0,-0,22,14,-0.0449988242772,0.00170504544268,-0.00586159308485,33845.8,33647.99,0.00586159308485,-0.000109589041096
2021-07-02 00:00:00+00:00,2021-07-03 00:00:00+00:00,2021-07-03 00:15:00+00:00,2021-07-04 00:15:00+00:00,0.000299895038985,3.42864757137e-07,3.20781718592e-07,1.05212133391e-13,0.427390750228,0,1,0,0.000299895038985,20,8,0.00805882052301,0.00100820634149,0.0250216543229,33647.99,34500.54,-0.0250216543229,-0.000109589041096
2021-07-03 00:00:00+00:00,2021-07-04 00:00:00+00:00,2021-07-04 00:15:00+00:00,2021-07-05 00:15:00+00:00,-9.99550203241e-05,3.69699190681e-07,4.08077385094e-07,1.74370639946e-13,-0.576961799433,0,0,-0,-0,17,5,0.0260890233997,0.000776312260579,0.0129792573306,34500.54,34951.25,-0.0129792573306,-0.000109589041096
2021-07-04 00:00:00+00:00,2021-07-05 00:00:00+00:00,2021-07-05 00:15:00+00:00,2021-07-06 00:15:00+00:00,-0.00070996808126,2.88287019903e-07,1.36354810126e-07,1.76194729055e-14,7.1854273069,0,0,-0,-0,14,13,0.0179275133794,0.000541420453721,-0.0278869870992,34951.25,33990.03,0.0278869870992,-0.000109589041096
2021-07-05 00:00:00+00:00,2021-07-06 00:00:00+00:00,2021-07-06 00:15:00+00:00,2021-07-07 00:15:00+00:00,0.000200042009489,8.71201468527e-07,6.97724927317e-07,1.83475143567e-13,2.54244366192,1,1,0.000200042009489,0.000200042009489,19,10,-0.0466330357302,0.00144862109775,0.00917868588397,33990.03,34303.45,-0.00917868588397,-0.00370426051209
2021-07-06 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-07-07 00:15:00+00:00,2021-07-08 00:15:00+00:00,0.000609881092095,8.04268982651e-07,7.47589709262e-07,7.33758358674e-13,0.415381303629,0,1,0,0.000609881092095,21,12,0.0157130532866,0.00152499686716,-0.0169739138891,34303.45,33726.1,0.0169739138891,-0.000109589041096
2021-07-07 00:00:00+00:00,2021-07-08 00:00:00+00:00,2021-07-08 00:15:00+00:00,2021-07-09 00:15:00+00:00,0,4.79560312795e-07,5.02196475631e-07,1.70416683438e-13,-0.344227812176,0,0,0,0,20,5,-0.0105911752192,0.000523464433269,-0.0311186775319,33726.1,32692.75,0.0311186775319,-0.000109589041096
2021-07-08 00:00:00+00:00,2021-07-09 00:00:00+00:00,2021-07-09 00:15:00+00:00,2021-07-10 00:15:00+00:00,-0.00112006732113,3.11246125003e-06,3.51384755772e-06,2.19561213045e-11,-0.537754365201,0,0,-0,-0,23,21,-0.0297059517084,0.0014940982857,0.0382655641778,32692.75,33968,-0.0382655641778,-0.000109589041096
2021-07-09 00:00:00+00:00,2021-07-10 00:00:00+00:00,2021-07-10 00:15:00+00:00,2021-07-11 00:15:00+00:00,-0.000460391340765,8.10981071225e-07,5.24606474967e-07,3.30633351889e-13,3.12651388434,0,0,-0,-0,24,19,0.028505076007,0.000695928833362,-0.00820181917579,33968,33690.54,0.00820181917579,-0.000109589041096
2021-07-10 00:00:00+00:00,2021-07-11 00:00:00+00:00,2021-07-11 00:15:00+00:00,2021-07-12 00:15:00+00:00,0.000870561567157,4.80965179507e-07,5.05312050981e-07,2.53642309503e-13,-0.303481006231,0,1,0,0.000870561567157,22,21,-0.0091238778513,0.000627948813739,0.0130847791819,33690.54,34134.27,-0.0130847791819,-0.000109589041096
