signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2021-07-05 00:00:00+00:00,2021-07-06 00:00:00+00:00,2021-07-06 00:15:00+00:00,2021-07-07 00:15:00+00:00,0.000200042009489,8.71201468527e-07,6.97724927317e-07,1.83475143567e-13,2.54244366192,1,1,0.000200042009489,0.000200042009489,19,10,-0.0466330357302,0.00144862109775,0.00917868588397,33990.03,34303.45,-0.00917868588397,-0.00370426051209
2021-07-13 00:00:00+00:00,2021-07-14 00:00:00+00:00,2021-07-14 00:15:00+00:00,2021-07-15 00:15:00+00:00,0.000770142514424,3.27663871658e-07,1.47972345943e-07,3.72905857528e-14,5.8415378532,1,1,0.000770142514424,0.000770142514424,15,10,-0.0110126574528,0.000672533118733,0.00260792362614,32676.87,32762.2,-0.00260792362614,-0.00206156994763
2021-07-16 00:00:00+00:00,2021-07-17 00:00:00+00:00,2021-07-17 00:15:00+00:00,2021-07-18 00:15:00+00:00,0.000299805128913,2.29751216034e-07,1.25536573641e-07,1.97096618813e-14,4.66002618779,1,1,0.000299805128913,0.000299805128913,12,7,-0.0152597908435,0.00090445429077,0.00796235823113,31260.39,31510.29,-0.00796235823113,-0.00340017859888
2021-07-27 00:00:00+00:00,2021-07-28 00:00:00+00:00,2021-07-28 00:15:00+00:00,2021-07-29 00:15:00+00:00,9.99550203241e-05,2.69729216312e-07,1.72583578971e-07,4.96420783829e-14,2.73714324076,1,1,9.99550203241e-05,9.99550203241e-05,13,6,0.0581899365095,0.00235984753059,0.0242826692278,39156.8,40119.27,-0.0242826692278,-0.00748025634806
2021-07-29 00:00:00+00:00,2021-07-30 00:00:00+00:00,2021-07-30 00:15:00+00:00,2021-07-31 00:15:00+00:00,9.99750063317e-05,2.29907029999e-07,1.88421754636e-07,1.60545747715e-14,2.05538780399,1,1,9.99750063317e-05,9.99750063317e-05,14,3,0.000245201052968,0.000969090851334,0.0521903120006,39892.69,42029.99,-0.0521903120006,-0.0144571670412
2021-08-14 00:00:00+00:00,2021-08-15 00:00:00+00:00,2021-08-15 00:15:00+00:00,2021-08-16 00:15:00+00:00,9.99650123289e-05,3.89673215344e-07,2.66812466917e-07,5.40843438574e-14,3.31647383728,1,1,9.99650123289e-05,9.99650123289e-05,16,5,-0.0149412110198,0.00114027318952,0.00744265840785,47164.66,47517,-0.00744265840785,-0.00327025364306
2021-08-17 00:00:00+00:00,2021-08-18 00:00:00+00:00,2021-08-18 00:15:00+00:00,2021-08-19 00:15:00+00:00,9.99650123289e-05,4.77971539187e-07,3.12570009582e-07,1.23940901264e-13,2.94938453197,1,1,9.99650123289e-05,9.99650123289e-05,16,6,-0.0269544166883,0.00108235610769,-0.00373404430211,44817.91,44650.87,0.00373404430211,-0.000476077965569
2021-08-22 00:00:00+00:00,2021-08-23 00:00:00+00:00,2021-08-23 00:15:00+00:00,2021-08-24 00:15:00+00:00,9.99550203241e-05,1.09901066968e-07,6.2775342656e-08,4.55651962808e-15,4.38268863151,1,1,9.99550203241e-05,9.99550203241e-05,11,2,0.00870720249758,0.000524201276444,0.00571533963031,49414.63,49697.86,-0.00571533963031,-0.00283842394867
2021-08-29 00:00:00+00:00,2021-08-30 00:00:00+00:00,2021-08-30 00:15:00+00:00,2021-08-31 00:15:00+00:00,0.000299805128913,4.89347668467e-07,3.45102878203e-07,9.57762916482e-14,2.92597310219,1,1,0.000299805128913,0.000299805128913,16,5,-0.00279491882374,0.000632203069031,-0.0344619010514,48782.5,47130,0.0344619010514,0.00720588622175
2021-09-13 00:00:00+00:00,2021-09-14 00:00:00+00:00,2021-09-14 00:15:00+00:00,2021-09-15 00:15:00+00:00,1.00001500024e-05,4.20332070728e-07,2.68493047844e-07,5.20566916788e-14,4.17776800802,1,0,1.00001500024e-05,0,18,6,-0.0235566402337,0.00388618153329,0.0392025363167,45155.09,46960.44,-0.0392025363167,-0.0112102231203
