plan_id,stage,variant,month_end,decision_time,entry_time,exit_time,holding_days,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,funding_rate_sum,actual_funding_return,stress_funding_return,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-month_long-202201,development,month_long,2022-01-31T00:00:00Z,2021-12-31T23:59:59Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,31.0,0.5,46210.57,38439.04,1.0820035329579358e-05,93,0.00500269,-0.0023193627946196454,-0.003914208558442276,-0.08463777622738688,-0.08463777622738691,2.7755575615628914e-17,-0.08695713902200652,-0.08555373845115949,-0.08555373845115946,-2.7755575615628914e-17,-0.08787310124577913,-0.08646970067493215,-0.08646970067493215,0.0,-0.09038390923337443
development-month_long-202202,development,month_long,2022-02-28T00:00:00Z,2022-01-31T23:59:59Z,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,28.0,0.5,38439.04,43155.0,1.3007608930920232e-05,84,0.0023986299999999997,-0.001363487801276426,-0.002910618766939852,0.06070655739581432,0.06070655739581425,6.938893903907228e-17,0.059343069594537896,0.05964525083841854,0.05964525083841848,6.245004513516506e-17,0.058281763037142116,0.05858394428102254,0.05858394428102262,-8.326672684688674e-17,0.05567332551408269
development-month_long-202203,development,month_long,2022-03-31T00:00:00Z,2022-02-28T23:59:59Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,31.0,0.5,43155.0,45505.9,1.1586142973004288e-05,94,0.005263680000000002,-0.0026331586518725334,-0.004354806828128739,0.026621520797126763,0.026621520797126652,1.1102230246251565e-16,0.02398836214525423,0.025594299276329502,0.025594299276329585,-8.326672684688674e-17,0.02296114062445697,0.024567077755532463,0.024567077755532424,3.8163916471489756e-17,0.020212270927403724
development-month_long-202204,development,month_long,2022-04-30T00:00:00Z,2022-03-31T23:59:59Z,2022-04-01T00:00:00Z,2022-05-01T00:00:00Z,30.0,0.5,45505.9,37614.4,1.0987586225082902e-05,90,0.0024241400000000004,-0.0012224251682732433,-0.002822312187045997,-0.0872565115732245,-0.08725651157322456,5.551115123125783e-17,-0.08847893674149775,-0.08816985506165126,-0.0881698550616513,4.163336342344337e-17,-0.0893922802299245,-0.08908319855007807,-0.0890831985500781,2.7755575615628914e-17,-0.09190551073712407
development-month_long-202205,development,month_long,2022-05-31T00:00:00Z,2022-04-30T23:59:59Z,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,31.0,0.5,37614.4,31797.9,1.3292781487940789e-05,93,0.0047736800000000015,-0.002069131320415184,-0.0036918903764500298,-0.07787107304649277,-0.07787107304649282,5.551115123125783e-17,-0.07994020436690795,-0.07879380197344643,-0.07879380197344635,-8.326672684688674e-17,-0.08086293329386161,-0.07971653090039982,-0.07971653090039979,-2.7755575615628914e-17,-0.08340842127684985
development-month_long-202206,development,month_long,2022-06-30T00:00:00Z,2022-05-31T23:59:59Z,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,30.0,0.5,31797.9,19923.3,1.5724308838005026e-05,89,0.0025619200000000005,-0.0010973370092781272,-0.002049850124310823,-0.1872078458011378,-0.18720784580113783,2.7755575615628914e-17,-0.18830518281041594,-0.18802123795533676,-0.18802123795533665,-1.1102230246251565e-16,-0.1891185749646149,-0.1888346301095355,-0.18883463010953558,8.326672684688674e-17,-0.19088448023384633
development-month_long-202207,development,month_long,2022-07-31T00:00:00Z,2022-06-30T23:59:59Z,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,31.0,0.5,19923.3,23290.1,2.509624409610858e-05,93,0.006186950000000002,-0.003404620604415744,-0.0052157738696432905,0.08384333820200474,0.08384333820200468,5.551115123125783e-17,0.08043871759758899,0.08275889486380272,0.08275889486380274,-1.3877787807814457e-17,0.07935427425938697,0.08167445152560071,0.08167445152560064,6.938893903907228e-17,0.07645867765595742
development-month_long-202208,development,month_long,2022-08-31T00:00:00Z,2022-07-31T23:59:59Z,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,31.0,0.5,23290.1,20041.4,2.1468349212755635e-05,93,0.0016235600000000002,-0.000876655028908553,-0.001950932598334828,-0.07030237955182667,-0.07030237955182668,1.3877787807814457e-17,-0.07117903458073521,-0.07123267717227483,-0.07123267717227479,-4.163336342344337e-17,-0.07210933220118337,-0.07216297479272304,-0.07216297479272303,-1.3877787807814457e-17,-0.07411390739105787
development-month_long-202209,development,month_long,2022-09-30T00:00:00Z,2022-08-31T23:59:59Z,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,30.0,0.5,20041.4,19411.6,2.4948356901214483e-05,90,0.00360629,-0.0018397922026366824,-0.0030032106604870002,-0.016303047691279104,-0.016303047691279125,2.0816681711721685e-17,-0.018142839893915786,-0.017287344643587832,-0.017287344643587787,-4.5102810375396984e-17,-0.019127136846224514,-0.01827164159589656,-0.018271641595896542,-1.734723475976807e-17,-0.02127485225638356
development-month_long-202210,development,month_long,2022-10-31T00:00:00Z,2022-09-30T23:59:59Z,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,31.0,0.5,19411.6,20482.1,2.575779430855777e-05,94,0.00531539,-0.0026728068651798802,-0.004064194242305289,0.026957174576026754,0.026957174576026706,4.85722573273506e-17,0.024284367710846876,0.025929617401450722,0.02592961740145067,5.204170427930421e-17,0.023256810536270843,0.02490206022687469,0.024902060226874717,-2.7755575615628914e-17,0.020837865984569402
development-month_long-202211,development,month_long,2022-11-30T00:00:00Z,2022-10-31T23:59:59Z,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,30.0,0.5,20482.1,17153.4,2.4411559361588902e-05,89,-0.0017437800000000001,0.0005911420892801004,-0.0009049713732365631,-0.08181000239233271,-0.08181000239233274,2.7755575615628914e-17,-0.08121886030305261,-0.08272879238994035,-0.08272879238994034,-1.3877787807814457e-17,-0.08213765030066025,-0.08364758238754805,-0.083647582387548,-4.163336342344337e-17,-0.0845525537607846
