plan_id,stage,variant,month_end,decision_time,entry_time,exit_time,holding_days,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,funding_rate_sum,actual_funding_return,stress_funding_return,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-primary-202201,development,primary,2022-01-31T00:00:00Z,2022-01-30T23:59:59Z,2022-01-31T00:00:00Z,2022-02-04T00:00:00Z,4.0,0.5,37870.0,37287.33,1.3203063110641669e-05,11,-0.00015592999999999998,7.642400723266046e-05,-6.163418605406849e-05,-0.008288412965407888,-0.008288412965407953,6.591949208711867e-17,-0.008211988958175227,-0.009280724552442499,-0.00928072455244247,-2.7755575615628914e-17,-0.009204300545209838,-0.01027303613947711,-0.010273036139477087,-2.2551405187698492e-17,-0.010334670325531177
development-primary-202202,development,primary,2022-02-28T00:00:00Z,2022-02-27T23:59:59Z,2022-02-28T00:00:00Z,2022-03-04T00:00:00Z,4.0,0.5,37672.1,42449.6,1.3272421765709903e-05,11,0.0005949000000000001,-0.00035174271448807997,-0.0006054615640856814,0.06277094958868767,0.06277094958868766,1.3877787807814457e-17,0.06241920687419959,0.061707578639098926,0.061707578639099016,-9.020562075079397e-17,0.061355835924610844,0.06064420768951029,0.06064420768951029,0.0,0.060038746125424605
development-primary-202203,development,primary,2022-03-31T00:00:00Z,2022-03-30T23:59:59Z,2022-03-31T00:00:00Z,2022-04-04T00:00:00Z,4.0,0.5,47053.1,46392.3,1.0626292422815925e-05,12,0.0011681900000000002,-0.0005747823516056308,-0.0008621735274084464,-0.007617640920576874,-0.007617640920576919,4.5102810375396984e-17,-0.008192423272182505,-0.008610623279656338,-0.008610623279656308,-2.949029909160572e-17,-0.009185405631261969,-0.009603605638735802,-0.009603605638735776,-2.6020852139652106e-17,-0.010465779166144247
development-primary-202204,development,primary,2022-04-30T00:00:00Z,2022-04-29T23:59:59Z,2022-04-30T00:00:00Z,2022-05-04T00:00:00Z,4.0,0.5,38572.2,37713.0,1.2962703708888786e-05,11,0.0008196000000000002,-0.00040924260692784396,-0.0006138639103917659,-0.01173087249366117,-0.011730872493661202,3.122502256758253e-17,-0.012140115100589014,-0.012719741621167568,-0.012719741621167518,-5.0306980803327406e-17,-0.013128984228095412,-0.013708610748673855,-0.013708610748673838,-1.734723475976807e-17,-0.014322474659065621
development-primary-202205,development,primary,2022-05-31T00:00:00Z,2022-05-30T23:59:59Z,2022-05-31T00:00:00Z,2022-06-04T00:00:00Z,4.0,0.5,31726.5,29682.8,1.575969615305817e-05,12,0.00065023,-0.00032137559802244314,-0.0005120672187660823,-0.03278876617338816,-0.03278876617338819,2.7755575615628914e-17,-0.033110141771410605,-0.03375657740721477,-0.03375657740721474,-3.469446951953614e-17,-0.034077953005237215,-0.03472438864104138,-0.034724388641041444,6.245004513516506e-17,-0.03523645585980746
development-primary-202206,development,primary,2022-06-30T00:00:00Z,2022-06-29T23:59:59Z,2022-06-30T00:00:00Z,2022-07-04T00:00:00Z,4.0,0.5,20109.9,19306.0,2.486337575025236e-05,11,-0.00014754,7.2429279774646e-05,-8.79696239451991e-05,-0.020575675164968554,-0.020575675164968533,-2.0816681711721685e-17,-0.020503245885193908,-0.02155569948980357,-0.021555699489803563,-6.938893903907228e-18,-0.021483270210028924,-0.022535723814638642,-0.022535723814638593,-4.85722573273506e-17,-0.02262369343858384
development-primary-202207,development,primary,2022-07-31T00:00:00Z,2022-07-30T23:59:59Z,2022-07-31T00:00:00Z,2022-08-04T00:00:00Z,4.0,0.5,23630.0,22801.5,2.1159542953872196e-05,12,0.00079098,-0.00039110258170692026,-0.0006059032767076508,-0.018120162928480732,-0.018120162928480746,1.3877787807814457e-17,-0.01851126551018765,-0.01910264276555229,-0.019102642765552236,-5.551115123125783e-17,-0.01949374534725921,-0.02008512260262374,-0.020085122602623733,-6.938893903907228e-18,-0.02069102587933139
development-primary-202208,development,primary,2022-08-31T00:00:00Z,2022-08-30T23:59:59Z,2022-08-31T00:00:00Z,2022-09-04T00:00:00Z,4.0,0.5,19803.2,19820.7,2.5248444695806738e-05,11,0.00048219000000000007,-0.00024392422777192498,-0.00036688840768628865,-0.00015841732649268803,-0.00015841732649268803,0.0,-0.000402341554264613,-0.0011588589091661716,-0.001158858909166162,-9.540979117872439e-18,-0.0014027831369380966,-0.0021593004918397107,-0.002159300491839728,1.734723475976807e-17,-0.0025261888995259992
development-primary-202209,development,primary,2022-09-30T00:00:00Z,2022-09-29T23:59:59Z,2022-09-30T00:00:00Z,2022-10-04T00:00:00Z,4.0,0.5,19582.5,19621.9,2.5533001404315077e-05,12,0.0008797700000000001,-0.0004355503000326687,-0.000653325450049003,0.00040539665517691503,0.0004053966551768532,6.185373394029803e-17,-3.0153644855753642e-05,-0.0005956087414782374,-0.0005956087414781979,-3.946495907847236e-17,-0.001031159041510906,-0.0015966141381335008,-0.0015966141381335277,2.688821387764051e-17,-0.002249939588182504
development-primary-202210,development,primary,2022-10-31T00:00:00Z,2022-10-30T23:59:59Z,2022-10-31T00:00:00Z,2022-11-04T00:00:00Z,4.0,0.5,20615.5,20199.8,2.425359559554704e-05,13,0.00032373,-0.00015978616338412706,-0.000247258506360176,-0.010676170357255432,-0.01067617035725548,4.85722573273506e-17,-0.01083595652063956,-0.011666094186898124,-0.011666094186898098,-2.6020852139652106e-17,-0.011825880350282252,-0.012656018016540926,-0.01265601801654098,5.377642775528102e-17,-0.012903276522901103
development-primary-202211,development,primary,2022-11-30T00:00:00Z,2022-11-29T23:59:59Z,2022-11-30T00:00:00Z,2022-12-04T00:00:00Z,4.0,0.5,16433.3,16879.5,3.042602520491928e-05,12,0.00048680999999999996,-0.0002503529417798651,-0.00042082339283505904,0.012967946790967133,0.012967946790967144,-1.0408340855860843e-17,0.012717593849187268,0.011954378844176161,0.011954378844176296,-1.3530843112619095e-16,0.011704025902396296,0.01094081089738519,0.010940810897385116,7.28583859910259e-17,0.01051998750455013
development-primary-202212,development,primary,2022-12-31T00:00:00Z,2022-12-30T23:59:59Z,2022-12-31T00:00:00Z,2023-01-04T00:00:00Z,4.0,0.5,16601.2,16667.3,3.0118304700864995e-05,13,0.00076305,-0.00038161079110406496,-0.0006017846733716831,0.0013896254487627546,0.0013896254487626963,5.833007687972014e-17,0.0010080146576586897,0.00038763582331391433,0.0003876358233139843,-6.998525023393931e-17,6.025032209849368e-06,-0.0006143538021347039,-0.0006143538021347276,2.3635607360183997e-17,-0.0012161384755063872
development-primary-202301,development,primary,2023-01-31T00:00:00Z,2023-01-30T23:59:59Z,2023-01-31T00:00:00Z,2023-02-04T00:00:00Z,4.0,0.5,22819.9,23424.7,2.1910700748031323e-05,12,0.0012000000000000001,-0.0006134615337972996,-0.0009201923006959496,0.012643640857321947,0.012643640857321883,6.418476861114186e-17,0.012030179323524648,0.011630397216464639,0.011630397216464602,3.642919299551295e-17,0.01101693568266734,0.01061715357560733,0.01061715357560724,9.020562075079397e-17,0.00969696127491138
development-primary-202302,development,primary,2023-02-28T00:00:00Z,2023-02-27T23:59:59Z,2023-02-28T00:00:00Z,2023-03-04T00:00:00Z,4.0,0.5,23480.0,22342.8,2.129471890971039e-05,12,0.0006281500000000001,-0.000315829632206714,-0.0004948219963452985,-0.024801824531516137,-0.0248018245315162,6.245004513516506e-17,-0.02511765416372285,-0.025777622706984527,-0.025777622706984565,3.8163916471489756e-17,-0.02609345233919124,-0.026753420882453194,-0.026753420882453166,-2.7755575615628914e-17,-0.02724824287879849
development-primary-202303,development,primary,2023-03-31T00:00:00Z,2023-03-30T23:59:59Z,2023-03-31T00:00:00Z,2023-04-04T00:00:00Z,4.0,0.5,28015.0,27786.1,1.7847581652686062e-05,12,0.0006462700000000001,-0.00032674469154718547,-0.0005098612606190113,-0.004682860253435617,-0.004682860253435685,6.852157730108388e-17,-0.005009604944982802,-0.005678777393182233,-0.0056787773931821954,-3.729655473350135e-17,-0.006005522084729418,-0.006674694532928738,-0.00667469453292877,3.209238430557093e-17,-0.007184555793547749
development-primary-202304,development,primary,2023-04-30T00:00:00Z,2023-04-29T23:59:59Z,2023-04-30T00:00:00Z,2023-05-04T00:00:00Z,4.0,0.5,29212.7,29018.4,1.7115843451649454e-05,13,0.00047352999999999995,-0.00023366156611881846,-0.00038168828362154735,-0.003923613017625838,-0.003923613017625883,4.5102810375396984e-17,-0.004157274583744656,-0.004920289404608258,-0.00492028940460821,-4.7704895589362195e-17,-0.005153950970727076,-0.005916965791590678,-0.005916965791590662,-1.6479873021779667e-17,-0.006298654075212225
development-primary-202305,development,primary,2023-05-31T00:00:00Z,2023-05-30T23:59:59Z,2023-05-31T00:00:00Z,2023-06-04T00:00:00Z,4.0,0.5,27680.0,27054.9,1.8063583815028903e-05,13,0.0008862800000000001,-0.000432961704962245,-0.0006494425574433674,-0.011884771315028797,-0.011884771315028877,7.979727989493313e-17,-0.012317733019991043,-0.012873486543713786,-0.012873486543713772,-1.3877787807814457e-17,-0.013306448248676031,-0.013862201772398719,-0.013862201772398799,7.979727989493313e-17,-0.014511644329842087
development-primary-202306,development,primary,2023-06-30T00:00:00Z,2023-06-29T23:59:59Z,2023-06-30T00:00:00Z,2023-07-04T00:00:00Z,4.0,0.5,30439.9,31149.0,1.6425809546023475e-05,11,0.0011,-0.0005522296218156105,-0.0008283444327234156,0.011040553024155741,0.011040553024155771,-2.949029909160572e-17,0.01048832340234013,0.010028912471131579,0.010028912471131635,-5.551115123125783e-17,0.009476682849315968,0.009017271918107417,0.009017271918107498,-8.153200337090993e-17,0.008188927485384
development-primary-202307,development,primary,2023-07-31T00:00:00Z,2023-07-30T23:59:59Z,2023-07-31T00:00:00Z,2023-08-04T00:00:00Z,4.0,0.5,29271.2,29180.1,1.7081636557435294e-05,12,0.0010678500000000002,-0.0005335589958218988,-0.0008003384937328483,-0.002155203408128137,-0.002155203408128163,2.6020852139652106e-17,-0.0026887624039500357,-0.0031536482047200276,-0.0031536482047199834,-4.423544863740858e-17,-0.0036872072005419265,-0.004152093001311863,-0.0041520930013118655,2.6020852139652106e-18,-0.004952431495044711
