plan_id,stage,variant,month_end,decision_time,entry_time,exit_time,holding_days,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,funding_rate_sum,actual_funding_return,stress_funding_return,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-tom3-202201,development,tom3,2022-01-31T00:00:00Z,2022-01-30T23:59:59Z,2022-01-31T00:00:00Z,2022-02-03T00:00:00Z,3.0,0.5,37870.0,36892.05,1.3203063110641669e-05,8,-7.511999999999997e-05,3.708981926702514e-05,-7.559583289666963e-05,-0.013504188407710505,-0.013504188407710551,4.683753385137379e-17,-0.01346709858844348,-0.014491284219302847,-0.014491284219302809,-3.8163916471489756e-17,-0.014454194400035822,-0.015478380030895078,-0.015478380030895064,-1.3877787807814457e-17,-0.015553975863791748
development-tom3-202202,development,tom3,2022-02-28T00:00:00Z,2022-02-27T23:59:59Z,2022-02-28T00:00:00Z,2022-03-03T00:00:00Z,3.0,0.5,37672.1,43885.8,1.3272421765709903e-05,9,0.0003949,-0.00023758337330139276,-0.00043422255230565065,0.08182136461731637,0.08182136461731633,4.163336342344337e-17,0.08158378124401498,0.08073894325269892,0.08073894325269901,-8.326672684688674e-17,0.08050135987939754,0.0796565218880817,0.0796565218880817,0.0,0.07922229933577604
development-tom3-202203,development,tom3,2022-03-31T00:00:00Z,2022-03-30T23:59:59Z,2022-03-31T00:00:00Z,2022-04-03T00:00:00Z,3.0,0.5,47053.1,45792.3,1.0626292422815925e-05,9,0.00086819,-0.00042756572629556625,-0.0006413485894433494,-0.01398959090899421,-0.01398959090899426,5.0306980803327406e-17,-0.014417156635289776,-0.014976201318085247,-0.014976201318085247,0.0,-0.015403767044380814,-0.01596281172717634,-0.015962811727176313,-2.7755575615628914e-17,-0.01660416031661969
development-tom3-202204,development,tom3,2022-04-30T00:00:00Z,2022-04-29T23:59:59Z,2022-04-30T00:00:00Z,2022-05-03T00:00:00Z,3.0,0.5,38572.2,38525.5,1.2962703708888786e-05,8,0.0005196,-0.000259649387508586,-0.000389474081262879,-0.001204995048247115,-0.0012049950482471456,3.0574501264091225e-17,-0.001464644435755701,-0.0022043900531989458,-0.002204390053198878,-6.765421556309548e-17,-0.0024640394407075316,-0.00320378505815061,-0.0032037850581506104,4.336808689942018e-19,-0.003593259139413489
development-tom3-202205,development,tom3,2022-05-31T00:00:00Z,2022-05-30T23:59:59Z,2022-05-31T00:00:00Z,2022-06-03T00:00:00Z,3.0,0.5,31726.5,30437.1,1.575969615305817e-05,9,0.0006292,-0.00031232559864715617,-0.00047530478660484145,-0.020908359888421324,-0.020908359888421376,5.204170427930421e-17,-0.02122068548706848,-0.021888051528532904,-0.021888051528532893,-1.0408340855860843e-17,-0.02220037712718006,-0.022867743168644483,-0.02286774316864453,4.5102810375396984e-17,-0.023343047955249326
development-tom3-202206,development,tom3,2022-06-30T00:00:00Z,2022-06-29T23:59:59Z,2022-06-30T00:00:00Z,2022-07-03T00:00:00Z,3.0,0.5,20109.9,19241.0,2.486337575025236e-05,8,-0.00030354,0.00014656110904297996,2.322811995730185e-05,-0.02219082491708063,-0.022190824917080677,4.5102810375396984e-17,-0.022044263808037652,-0.02316923409216365,-0.023169234092163624,-2.42861286636753e-17,-0.02302267298312067,-0.024147643267246555,-0.02414764326724649,-6.591949208711867e-17,-0.024124415147289253
development-tom3-202207,development,tom3,2022-07-31T00:00:00Z,2022-07-30T23:59:59Z,2022-07-31T00:00:00Z,2022-08-03T00:00:00Z,3.0,0.5,23630.0,22975.1,2.1159542953872196e-05,9,0.00078348,-0.00038710760853722076,-0.0005806614128058311,-0.014449070249682616,-0.014449070249682637,2.0816681711721685e-17,-0.014836177858219836,-0.015435221179432967,-0.015435221179432891,-7.632783294297951e-17,-0.01582232878797019,-0.016421372109183263,-0.016421372109183225,-3.8163916471489756e-17,-0.017002033521989094
development-tom3-202208,development,tom3,2022-08-31T00:00:00Z,2022-08-30T23:59:59Z,2022-08-31T00:00:00Z,2022-09-03T00:00:00Z,3.0,0.5,19803.2,19941.0,2.5248444695806738e-05,9,0.00037662000000000004,-0.0001911352331942123,-0.0002877049158197196,0.002877148137674701,0.002877148137674701,0.0,0.0026860129044804885,0.0018736709895370574,0.001873670989537093,-3.5561831257524545e-17,0.001682535756342845,0.0008701938413993027,0.0008701938413993008,1.8431436932253575e-18,0.0005824889255795831
development-tom3-202209,development,tom3,2022-09-30T00:00:00Z,2022-09-29T23:59:59Z,2022-09-30T00:00:00Z,2022-10-03T00:00:00Z,3.0,0.5,19582.5,19049.3,2.5533001404315077e-05,10,0.0006966100000000001,-0.00034544670369868766,-0.0005181700555480314,-0.014206027830971524,-0.014206027830971548,2.42861286636753e-17,-0.014551474534670211,-0.01519242180314051,-0.015192421803140465,-4.5102810375396984e-17,-0.015537868506839197,-0.016178815775309607,-0.01617881577530966,5.204170427930421e-17,-0.016696985830857637
development-tom3-202210,development,tom3,2022-10-31T00:00:00Z,2022-10-30T23:59:59Z,2022-10-31T00:00:00Z,2022-11-03T00:00:00Z,3.0,0.5,20615.5,20140.2,2.425359559554704e-05,9,0.00017884,-8.875932378016664e-05,-0.00014071824695423532,-0.012120817346171486,-0.012120817346171552,6.591949208711867e-17,-0.012209576669951653,-0.01310929652882542,-0.01310929652882533,-9.020562075079397e-17,-0.013198055852605587,-0.014097775711479188,-0.014097775711479195,6.938893903907228e-18,-0.014238493958433423
development-tom3-202211,development,tom3,2022-11-30T00:00:00Z,2022-11-29T23:59:59Z,2022-11-30T00:00:00Z,2022-12-03T00:00:00Z,3.0,0.5,16433.3,17083.0,3.042602520491928e-05,9,0.00030256,-0.00015517768694065838,-0.00027806051057624893,0.019155927902490766,0.019155927902490696,6.938893903907228e-17,0.019000750215550106,0.018136171974588278,0.018136171974588337,-5.898059818321144e-17,0.017980994287647618,0.01711641604668568,0.017116416046685644,3.469446951953614e-17,0.01683835553610943
development-tom3-202212,development,tom3,2022-12-31T00:00:00Z,2022-12-30T23:59:59Z,2022-12-31T00:00:00Z,2023-01-03T00:00:00Z,3.0,0.5,16601.2,16665.9,3.0118304700864995e-05,9,0.00047517,-0.00023693801187939548,-0.0003847755045346788,0.001347485121557468,0.0013474851215574998,-3.187554387107383e-17,0.0011105471096780725,0.00034553763643596636,0.0003455376364360236,-5.724587470723463e-17,0.00010859962455657087,-0.0006564098486855352,-0.0006564098486855621,2.688821387764051e-17,-0.001041185353220214
development-tom3-202301,development,tom3,2023-01-31T00:00:00Z,2023-01-30T23:59:59Z,2023-01-31T00:00:00Z,2023-02-03T00:00:00Z,3.0,0.5,22819.9,23493.0,2.1910700748031323e-05,9,0.0009000000000000001,-0.00045889353866145337,-0.0006883403079921801,0.014139243817895775,0.014139243817895752,2.2551405187698492e-17,0.01368035027923432,0.013124504574077878,0.01312450457407792,-4.163336342344337e-17,0.012665611035416423,0.01210976533025998,0.012109765330259925,5.551115123125783e-17,0.011421425022267801
development-tom3-202302,development,tom3,2023-02-28T00:00:00Z,2023-02-27T23:59:59Z,2023-02-28T00:00:00Z,2023-03-03T00:00:00Z,3.0,0.5,23480.0,23457.1,2.129471890971039e-05,10,0.0006724400000000001,-0.00033690718024194144,-0.0005053607703629122,-0.0010873564735945918,-0.0010873564735945794,-1.235990476633475e-17,-0.0014242636538365331,-0.0020868691171208598,-0.00208686911712089,3.0357660829594124e-17,-0.0024237762973628014,-0.0030863817606474053,-0.003086381760647356,-4.9439619065339e-17,-0.0035917425310103175
development-tom3-202303,development,tom3,2023-03-31T00:00:00Z,2023-03-30T23:59:59Z,2023-03-31T00:00:00Z,2023-04-03T00:00:00Z,3.0,0.5,28015.0,28161.3,1.7847581652686062e-05,10,0.00060179,-0.00030446434002555535,-0.0004702565584409745,0.0020095345350705784,0.0020095345350704848,9.367506770274758e-17,0.001705070195045023,0.0010069250005355634,0.0010069250005354945,6.895525817007808e-17,0.000702460660510008,4.315466000326396e-06,4.315466000373613e-06,-4.721700461174372e-17,-0.0004659410924406481
development-tom3-202304,development,tom3,2023-04-30T00:00:00Z,2023-04-29T23:59:59Z,2023-04-30T00:00:00Z,2023-05-03T00:00:00Z,3.0,0.5,29212.7,28656.4,1.7115843451649454e-05,9,0.00017648999999999999,-8.771636226091212e-05,-0.0001627704778346878,-0.010115830785925262,-0.010115830785925288,2.6020852139652106e-17,-0.010203547148186174,-0.011106314955139307,-0.011106314955139297,-1.0408340855860843e-17,-0.011194031317400219,-0.012096799124353408,-0.012096799124353432,2.42861286636753e-17,-0.012259569602188096
development-tom3-202305,development,tom3,2023-05-31T00:00:00Z,2023-05-30T23:59:59Z,2023-05-31T00:00:00Z,2023-06-03T00:00:00Z,3.0,0.5,27680.0,27227.8,1.8063583815028903e-05,10,0.00068212,-0.00033274561277301485,-0.0004991184191595222,-0.00876345158959535,-0.00876345158959539,3.9898639947466563e-17,-0.009096197202368365,-0.009755288138005747,-0.009755288138005743,-3.469446951953614e-18,-0.010088033750778762,-0.010747124686416198,-0.01074712468641623,3.122502256758253e-17,-0.011246243105575721
development-tom3-202306,development,tom3,2023-06-30T00:00:00Z,2023-06-29T23:59:59Z,2023-06-30T00:00:00Z,2023-07-03T00:00:00Z,3.0,0.5,30439.9,30612.7,1.6425809546023475e-05,9,0.0009000000000000001,-0.00045084673290993074,-0.0006762700993648961,0.0022366768616191024,0.002236676861619113,-1.0408340855860843e-17,0.0017858301287091718,0.0012338401847575842,0.0012338401847575091,7.502679033599691e-17,0.0007829934518476534,0.00023100350789595492,0.0002310035078959051,4.981908982570893e-17,-0.00044526659146894114
development-tom3-202307,development,tom3,2023-07-31T00:00:00Z,2023-07-30T23:59:59Z,2023-07-31T00:00:00Z,2023-08-03T00:00:00Z,3.0,0.5,29271.2,29170.2,1.7081636557435294e-05,9,0.00078669,-0.00039355093411069466,-0.000590326401166042,-0.002324210145125516,-0.0023242101451255845,6.852157730108388e-17,-0.0027177610792362104,-0.0033224859349804126,-0.003322485934980391,-2.168404344971009e-17,-0.003716036869091107,-0.004320761724835309,-0.004320761724835323,1.3877787807814457e-17,-0.004911088126001351
development-tom3-202308,development,tom3,2023-08-31T00:00:00Z,2023-08-30T23:59:59Z,2023-08-31T00:00:00Z,2023-09-03T00:00:00Z,3.0,0.5,27290.4,25855.8,1.8321461026588104e-05,9,0.00039525,-0.00019056282195826997,-0.00029541403238763264,-0.02686819760795006,-0.02686819760795009,2.7755575615628914e-17,-0.027058760429908332,-0.02784192941034208,-0.027841929410342123,4.163336342344337e-17,-0.02803249223230035,-0.028815661212734156,-0.028815661212734163,6.938893903907228e-18,-0.029111075245121788
