trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_categories,own_formation_return,target_median_quote_volume_30d,category_score,category_rank,rankable_categories,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-category-1000XECUSDT-20220210-14-7-2,development,category,1000XECUSDT,Payment,2022-02-09T00:00:00Z,2022-02-10T00:00:00Z,2022-02-17T00:00:00Z,14,7,2,0.35428571428571454,13560070.842495,0.2917368319424991,2,7,0.09717,0.08529,5.145621076463929,21,-0.000932896372337141,-0.0013993445585057118,-0.06112997838839146,-0.06169330040135845,-6.938893903907228e-18,-0.06262619677369559,-0.06333100367956979,-0.06263220710095707,0.0,-0.06356510347329421,-0.06426920441968509,-0.06357111380055575,0.0,-0.06497045835906146,-0.06567350262579541
development-category-1000XECUSDT-20220218-14-7-2,development,category,1000XECUSDT,Payment,2022-02-17T00:00:00Z,2022-02-18T00:00:00Z,2022-02-25T00:00:00Z,14,7,2,0.02671555788370883,12184274.162185,0.07913549237909148,1,7,0.07846,0.0711,6.37267397399949,20,-0.0007296527402485345,-0.0011833857057143768,-0.046902880448636275,-0.04747473872036706,4.163336342344337e-17,-0.048204391460615593,-0.04892004205333578,-0.04842786398164678,-9.020562075079397e-17,-0.04915751672189531,-0.04987245066426316,-0.04938098924292633,2.7755575615628914e-17,-0.05056437494864071,-0.05127825108099682
development-category-1000XECUSDT-20220910-14-7-2,development,category,1000XECUSDT,Payment,2022-09-09T00:00:00Z,2022-09-10T00:00:00Z,2022-09-17T00:00:00Z,14,7,2,0.21594321594321597,11048939.462845001,0.11637847985616423,2,7,0.04454,0.04218,11.225864391558149,21,0.0005871917948899864,-0.0004488390863358777,-0.02649303996407726,-0.027077144140098763,3.8163916471489756e-17,-0.026489952345208775,-0.027221929921457888,-0.028050666995958706,-2.42861286636753e-17,-0.02746347520106872,-0.028194720790111094,-0.029024189851818538,2.7755575615628914e-17,-0.029473028938154417,-0.03020276355329632
development-category-1000XECUSDT-20220921-14-7-2,development,category,1000XECUSDT,Payment,2022-09-20T00:00:00Z,2022-09-21T00:00:00Z,2022-09-28T00:00:00Z,14,7,2,-0.05969412925505668,22130010.548125,0.08516551690876126,1,7,0.03812,0.04057,13.116474291710388,21,0.0003377060588759181,-0.0005540351258204356,0.03213536201469047,0.031516080797481694,4.85722573273506e-17,0.03185378685635761,0.031077940899999934,0.030483964716684242,-2.0816681711721685e-17,0.03082167077556016,0.030046600862376538,0.02945184863588668,-2.0816681711721685e-17,0.028897813510066244,0.028124190136013194
development-category-1000XECUSDT-20221007-14-7-2,development,category,1000XECUSDT,Payment,2022-10-06T00:00:00Z,2022-10-07T00:00:00Z,2022-10-14T00:00:00Z,14,7,2,0.09359857179290998,14388460.163345,0.05183370654181291,2,7,0.04288,0.03708,11.66044776119403,20,-0.0004966411937919776,-0.0010500223402728547,-0.06763059701492535,-0.06819001865671637,4.163336342344337e-17,-0.06868665985050834,-0.06938690992300967,-0.06912242863805967,-1.3877787807814457e-17,-0.06961906983185165,-0.07031861882972112,-0.07005483861940293,-1.3877787807814457e-17,-0.07110486095967578,-0.07180329279826059
development-category-1000XECUSDT-20230714-14-7-2,development,category,1000XECUSDT,Payment,2023-07-13T00:00:00Z,2023-07-14T00:00:00Z,2023-07-21T00:00:00Z,14,7,2,0.32876712328767144,30372488.142935,0.30114264818653225,1,7,0.03104,0.03183,16.10824742268041,20,0.0014324814879349225,0.00030202448431217773,0.012725515463917425,0.012117880154639105,1.734723475976807e-18,0.013550361642574027,0.01278827794461046,0.011105162274484437,-1.43982048506075e-16,0.01253764376241936,0.011776321522214861,0.01009244439432988,4.336808689942018e-17,0.010394468878642059,0.009634758081442873
development-category-1000XECUSDT-20230722-14-7-2,development,category,1000XECUSDT,Payment,2023-07-21T00:00:00Z,2023-07-22T00:00:00Z,2023-07-29T00:00:00Z,14,7,2,-0.1597759402507336,84554665.76390001,0.13260293168987838,2,7,0.03149,0.02977,15.878056525881233,20,-0.0005897833570530328,-0.0010298768330231822,-0.027310257224515633,-0.02789387107018093,1.3877787807814457e-17,-0.028483654427233964,-0.029214132948366722,-0.028866577199110788,-1.2836953722228372e-16,-0.02945636055616382,-0.030186107704182952,-0.029839283328040478,6.591949208711867e-17,-0.03086916016106366,-0.031597845031777094
development-category-AAVEUSDT-20220102-14-7-2,development,category,AAVEUSDT,DeFi,2022-01-01T00:00:00Z,2022-01-02T00:00:00Z,2022-01-09T00:00:00Z,14,7,2,0.3792996270203066,137362873.6685,0.2677044285090201,1,7,266.35,212.15,0.0018772292096865025,21,-0.0009607966849915523,-0.0014411950274873288,-0.10174582316500846,-0.10228477567110944,1.3877787807814457e-17,-0.10324557235610099,-0.10391983774660074,-0.10318309089543837,-1.3877787807814457e-17,-0.10414388758042992,-0.10481747753198356,-0.10408140611976718,0.0,-0.10552260114725451,-0.10619515445063243
development-category-AAVEUSDT-20220309-14-7-2,development,category,AAVEUSDT,DeFi,2022-03-08T00:00:00Z,2022-03-09T00:00:00Z,2022-03-16T00:00:00Z,14,7,2,-0.09664240083197151,85487406.6125,0.053843899646929885,2,7,121.62,121.95,0.0041111659266568,21,-0.000674903868963012,-0.0011146461492016098,0.0013566847557967554,0.0007558707449433211,6.201636426617085e-17,8.096687598030904e-05,-0.000670989248099052,-0.00024548512580169213,-4.412702842016003e-17,-0.0009203889947647042,-0.0016715922041257159,-0.0012468409965465943,1.929879867024198e-17,-0.002361487145748204,-0.003111606800261235
development-category-AAVEUSDT-20220317-14-7-2,development,category,AAVEUSDT,DeFi,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-24T00:00:00Z,14,7,2,0.028791624254762338,80344979.569,0.001978406347246242,2,7,141.54,155.9,0.0035325702981489336,21,-0.0010336516379468668,-0.0015504774569203002,0.05072770948141869,0.05009727285572996,7.632783294297951e-17,0.04906362121778309,0.048274835268793614,0.049046575582874175,6.938893903907228e-18,0.04801292394492731,0.047224928010221934,0.04799587831001839,2.7755575615628914e-17,0.04644540085309809,0.04565858353155261
