trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_categories,own_formation_return,target_median_quote_volume_30d,category_score,category_rank,rankable_categories,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-category-1000XECUSDT-20220118-7-3-2,development,category,1000XECUSDT,Payment,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,2022-01-21T00:00:00Z,7,3,2,0.10871018044107816,14918732.42795,0.12890815957696639,1,7,0.09952,0.09041,5.02411575562701,9,-0.00042845925442122195,-0.000642688881631833,-0.045769694533762006,-0.04634223271704174,2.7755575615628914e-17,-0.04677069197146296,-0.047077927379188034,-0.04729649048432466,2.7755575615628914e-17,-0.04772494973874588,-0.048031877579580384,-0.048250748251607634,2.7755575615628914e-17,-0.048893437133239466,-0.04919998835881667
development-category-1000XECUSDT-20220130-7-3-2,development,category,1000XECUSDT,Payment,2022-01-29T00:00:00Z,2022-01-30T00:00:00Z,2022-02-02T00:00:00Z,7,3,2,0.12483516483516488,13596585.57559,0.0628939361396873,2,7,0.07683,0.07715,6.507874528179097,9,-0.0004188554340752311,-0.0006282831511128467,0.002082519849017306,0.0014812703371078761,-3.0357660829594124e-17,0.001062414903032645,0.0007397624031457717,0.0004791890667709131,1.1492543028346347e-17,6.033363269568201e-05,-0.000261995886304045,-0.000522892203566272,1.1817803680091998e-17,-0.0011511753546791187,-0.001473114392128827
development-category-1000XECUSDT-20220209-7-3-2,development,category,1000XECUSDT,Payment,2022-02-08T00:00:00Z,2022-02-09T00:00:00Z,2022-02-12T00:00:00Z,7,3,2,0.22384964355152315,13560070.842495,0.17873823446118844,2,7,0.09442,0.08387,5.295488244016098,8,-0.0003995522452870154,-0.0005993283679305232,-0.055867400974369874,-0.05643388053378523,0.0,-0.05683343277907225,-0.05713742486407436,-0.05737804665325136,6.938893903907228e-18,-0.057777598898538375,-0.05808128666928969,-0.05832221277271765,-2.0816681711721685e-17,-0.058921541140648175,-0.05922486020729212
development-category-1000XECUSDT-20220213-7-3-2,development,category,1000XECUSDT,Payment,2022-02-12T00:00:00Z,2022-02-13T00:00:00Z,2022-02-16T00:00:00Z,7,3,2,-0.019198664440734592,13596585.57559,0.056562222525649936,1,7,0.08227,0.0879,6.077549532028686,9,-0.0004528240427859487,-0.0006792360641789232,0.03421660386532155,0.033596073903002344,-2.7755575615628914e-17,0.0331432498602164,0.032810257384076946,0.03256187782909936,-2.0816681711721685e-17,0.032109053786313416,0.03177639464198578,0.03152768175519638,6.245004513516506e-17,0.030848445691017457,0.030516192853377033
development-category-1000XECUSDT-20220312-7-3-2,development,category,1000XECUSDT,Payment,2022-03-11T00:00:00Z,2022-03-12T00:00:00Z,2022-03-15T00:00:00Z,7,3,2,0.03571934798015586,10491815.82403,0.022680484588376265,2,7,0.07303,0.07593,6.846501437765302,9,-0.00045608320553197325,-0.00068412480829796,0.019854854169519376,0.019242941257017643,-2.0816681711721685e-17,0.01878685805148567,0.018458492785035974,0.018223098315760744,2.7755575615628914e-17,0.01776701511022877,0.01743897854943177,0.017203255374503623,4.5102810375396984e-17,0.016519130566205662,0.01619149621116711
development-category-1000XECUSDT-20220416-7-3-2,development,category,1000XECUSDT,Payment,2022-04-15T00:00:00Z,2022-04-16T00:00:00Z,2022-04-19T00:00:00Z,7,3,2,-0.07501734218610634,20374471.48098,0.00602182582973293,1,7,0.09335,0.09048,5.356186395286556,9,-0.0004119985630476701,-0.0006179978445715051,-0.01537225495447242,-0.0159630316014997,2.0816681711721685e-17,-0.01637503016454737,-0.016692062400244012,-0.01694766856989821,-1.3877787807814457e-17,-0.017359667132945882,-0.017676382010229585,-0.017932305538296667,6.938893903907228e-18,-0.018550303382868172,-0.01886663450609538
development-category-1000XECUSDT-20220420-7-3-2,development,category,1000XECUSDT,Payment,2022-04-19T00:00:00Z,2022-04-20T00:00:00Z,2022-04-23T00:00:00Z,7,3,2,0.015827654429544813,20068272.405845,0.07412943374051811,2,7,0.09242,0.08897,5.410084397316598,9,-0.0004450135198009089,-0.0006675202797013633,-0.018664791170742323,-0.019253592296039845,2.0816681711721685e-17,-0.019698605815840754,-0.02001456682962699,-0.02023493870374382,-5.551115123125783e-17,-0.02067995222354473,-0.020995596939498817,-0.021216285111447797,2.7755575615628914e-17,-0.02188380539114916,-0.022199062093101185
development-category-1000XECUSDT-20220505-7-3-2,development,category,1000XECUSDT,Payment,2022-05-04T00:00:00Z,2022-05-05T00:00:00Z,2022-05-08T00:00:00Z,7,3,2,-0.03860294117647056,16219484.038649999,0.01464446879996012,1,7,0.07844,0.06978,6.374298827129016,9,-0.0004165376338602755,-0.000624806450790413,-0.0552014278429373,-0.055768306986231475,4.85722573273506e-17,-0.05618484462009175,-0.05648904575159064,-0.05671313867924527,-2.7755575615628914e-17,-0.057129676313105546,-0.05743357291583251,-0.057657970372259004,2.7755575615628914e-17,-0.058282776823049415,-0.05858630176986701
development-category-1000XECUSDT-20220908-7-3-2,development,category,1000XECUSDT,Payment,2022-09-07T00:00:00Z,2022-09-08T00:00:00Z,2022-09-11T00:00:00Z,7,3,2,-0.057631697433588425,10721974.28947,0.04614829235610052,2,7,0.04186,0.04453,11.944577161968466,9,-0.00026789586939202103,-0.00048055562900441954,0.03189202102245581,0.03127288580984233,2.0816681711721685e-17,0.03100498994045031,0.030672686647021496,0.030241012924032584,9.367506770274758e-17,0.029973117054640563,0.029641146344236757,0.029209140038222614,3.469446951953614e-17,0.028728584409218196,0.028397014824221856
development-category-1000XECUSDT-20220921-7-3-2,development,category,1000XECUSDT,Payment,2022-09-20T00:00:00Z,2022-09-21T00:00:00Z,2022-09-24T00:00:00Z,7,3,2,-0.1320582877959927,22130010.548125,0.031342025783039434,1,7,0.03812,0.03919,13.116474291710388,9,0.0005721682788221406,-6.291667019937166e-06,0.014034627492130136,0.01342620671563488,2.42861286636753e-17,0.013998374994457021,0.013671553104330547,0.012412180508919235,-2.42861286636753e-17,0.012984348787741375,0.01265785372847561,0.011398154302203478,-9.367506770274758e-17,0.01139186263518354,0.011065880850245291
