trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_categories,own_formation_return,target_median_quote_volume_30d,category_score,category_rank,rankable_categories,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-scheduled_long-1000XECUSDT-20220102-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-01-01T00:00:00Z,2022-01-02T00:00:00Z,2022-01-09T00:00:00Z,7,7,2,-0.07259010896898577,18406492.935535,,,0,0.1106,0.09613,4.520795660036166,21,0.010336571858916815,0.004995458937330017,-0.06541591320072337,-0.06597666365280297,-2.7755575615628914e-17,-0.055640091793886154,-0.05635015151887901,-0.06691128698915016,-8.326672684688674e-17,-0.05657471513023335,-0.05728407211638331,-0.06784591032549736,-1.3877787807814457e-17,-0.06285045138816735,-0.06355508967806311
development-scheduled_long-1000XECUSDT-20220110-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-01-09T00:00:00Z,2022-01-10T00:00:00Z,2022-01-17T00:00:00Z,7,7,2,-0.1507346432996991,15971981.96318,,,0,0.09576,0.10308,5.221386800334169,20,0.004038396169490392,0.0010582624714082075,0.038220551378446155,0.03759761904761916,7.632783294297951e-17,0.04163601521710955,0.04085281404975727,0.03655942142857138,-1.249000902703301e-16,0.040597817598061775,0.03981539704656312,0.03552122380952383,-2.7755575615628914e-17,0.036579486280932036,0.03580008709364546
development-scheduled_long-1000XECUSDT-20220118-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,2022-01-25T00:00:00Z,7,7,2,0.10871018044107816,14918732.42795,,,0,0.09952,0.07185,5.02411575562701,21,-0.0008619170277502009,-0.0012928755416253017,-0.13901728295819937,-0.13953387258842442,2.7755575615628914e-17,-0.14039578961617463,-0.14104212193494836,-0.14039493871583597,0.0,-0.14125685574358618,-0.14190254063083263,-0.14125600484324752,5.551115123125783e-17,-0.14254888038487282,-0.14319359380493446
development-scheduled_long-1000XECUSDT-20220126-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-01-25T00:00:00Z,2022-01-26T00:00:00Z,2022-02-02T00:00:00Z,7,7,2,-0.24691487136582302,13895855.098705001,,,0,0.07201,0.07715,6.943480072212192,20,-0.0005007454659436189,-0.001120707679543119,0.03568948757117063,0.03506807387862798,7.632783294297951e-17,0.03456732841268436,0.03378944215733215,0.03403240580474931,0.0,0.03353166033880569,0.032754552797354064,0.03299673773087086,1.457167719820518e-16,0.03187603005132774,0.03110016737041743
development-scheduled_long-1000XECUSDT-20220203-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-02-02T00:00:00Z,2022-02-03T00:00:00Z,2022-02-10T00:00:00Z,7,7,2,0.055331010452961626,13248383.89701,,,0,0.07573,0.09717,6.602403274792024,21,-0.000869229085291826,-0.0013682264544411067,0.141555526211541,0.14087059289581405,-2.7755575615628914e-17,0.14000136381052222,0.1391442022052436,0.13972912230291834,2.7755575615628914e-17,0.1388598932176265,0.13800358987865957,0.13858765171002252,1.3877787807814457e-16,0.13721942525558142,0.13636435537667535
development-scheduled_long-1000XECUSDT-20220211-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-02-10T00:00:00Z,2022-02-11T00:00:00Z,2022-02-18T00:00:00Z,7,7,2,0.21346254583551616,13596585.57559,,,0,0.09265,0.07846,5.396654074473826,20,-0.0009092672369131139,-0.001363900855369671,-0.07657852131678355,-0.0771325742039935,-1.3877787807814457e-17,-0.07804184144090662,-0.07873505739684972,-0.07805604162978941,2.7755575615628914e-17,-0.07896530886670253,-0.07965783047187869,-0.07897950905558554,-1.3877787807814457e-17,-0.0803434099109552,-0.0810348953285085
development-scheduled_long-1000XECUSDT-20220219-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-02-18T00:00:00Z,2022-02-19T00:00:00Z,2022-02-26T00:00:00Z,7,7,2,-0.06378159275154971,12184274.162185,,,0,0.07854,0.0752,6.366182836771072,21,-0.00081764433855233,-0.0013139425534167302,-0.021263050674815376,-0.02185029284441048,-1.0408340855860843e-17,-0.02266793718296281,-0.02340278851424049,-0.022829042551566037,-7.28583859910259e-17,-0.023646686890118368,-0.024380802304144744,-0.023807792258721594,4.163336342344337e-17,-0.025121734812138325,-0.025854741144645255
development-scheduled_long-1000XECUSDT-20220227-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-03-06T00:00:00Z,7,7,2,-0.03534383403764907,12405834.454955,,,0,0.07531,0.07282,6.639224538573894,21,-0.0010018531337139822,-0.0015027797005709733,-0.01653166910104903,-0.017121750099588384,2.42861286636753e-17,-0.018123603233302366,-0.018861871427670596,-0.0181052283494888,-6.938893903907228e-18,-0.01910708148320278,-0.019844610204950985,-0.019088706599389216,5.898059818321144e-17,-0.020591486299960188,-0.02132789890478426
development-scheduled_long-1000XECUSDT-20220307-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-03-06T00:00:00Z,2022-03-07T00:00:00Z,2022-03-14T00:00:00Z,7,7,2,-0.034130164432776056,11030922.7025,,,0,0.06995,0.07341,7.147962830593281,21,-0.0007204213301786991,-0.0012959635570979268,0.024731951393852758,0.02411711222301649,1.734723475976807e-17,0.02339669089283779,0.02262720378672567,0.02309239511079353,3.8163916471489756e-17,0.02237197378061483,0.021603257154427125,0.022067677998570456,4.5102810375396984e-17,0.02077171444147253,0.02000420104267353
development-scheduled_long-1000XECUSDT-20220315-7-7-2,development,scheduled_long,1000XECUSDT,Payment,2022-03-14T00:00:00Z,2022-03-15T00:00:00Z,2022-03-22T00:00:00Z,7,7,2,0.10178597357339925,10491815.82403,,,0,0.07593,0.08037,6.5850125115237725,21,-0.0009895135296641645,-0.0015473758218582908,0.029237455551165525,0.028619913077834847,0.0,0.027630399548170682,0.026857729136649633,0.02759069316475704,-7.632783294297951e-17,0.026601179635092877,0.025829283089131128,0.026561473251679013,-9.71445146547012e-17,0.025014097429820723,0.024243394203423474
