trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_categories,own_formation_return,target_median_quote_volume_30d,category_score,category_rank,rankable_categories,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-category-1000XECUSDT-20220118-7-7-2,development,category,1000XECUSDT,Payment,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,2022-01-25T00:00:00Z,7,7,2,0.10871018044107816,14918732.42795,0.12890815957696639,1,7,0.09952,0.07185,5.02411575562701,21,-0.0008619170277502009,-0.0012928755416253017,-0.13901728295819937,-0.13953387258842442,2.7755575615628914e-17,-0.14039578961617463,-0.14104212193494836,-0.14039493871583597,0.0,-0.14125685574358618,-0.14190254063083263,-0.14125600484324752,5.551115123125783e-17,-0.14254888038487282,-0.14319359380493446
development-category-1000XECUSDT-20220130-7-7-2,development,category,1000XECUSDT,Payment,2022-01-29T00:00:00Z,2022-01-30T00:00:00Z,2022-02-06T00:00:00Z,7,7,2,0.12483516483516488,13596585.57559,0.0628939361396873,2,7,0.07683,0.08384,6.507874528179097,21,-0.0006378032991819603,-0.001116001100069309,0.04562020044253545,0.04499282832226992,-4.85722573273506e-17,0.044355025023087954,0.04356977944519014,0.043947235493947745,-2.7755575615628914e-17,0.04330943219476578,0.04252497279314427,0.04290164266562546,6.245004513516506e-17,0.04178564156555615,0.04100232789486391
development-category-1000XECUSDT-20220209-7-7-2,development,category,1000XECUSDT,Payment,2022-02-08T00:00:00Z,2022-02-09T00:00:00Z,2022-02-16T00:00:00Z,7,7,2,0.22384964355152315,13560070.842495,0.17873823446118844,2,7,0.09442,0.0879,5.295488244016098,20,-0.0009253382069476805,-0.0013880073104215206,-0.03452658335098496,-0.03510586740097432,3.469446951953614e-17,-0.036031205607922,-0.036756009161206915,-0.036071361533573265,4.163336342344337e-17,-0.036996699740520944,-0.0377207773433581,-0.037036855666172486,-8.326672684688674e-17,-0.038424862976594004,-0.039147866750284255
development-category-1000XECUSDT-20220312-7-7-2,development,category,1000XECUSDT,Payment,2022-03-11T00:00:00Z,2022-03-12T00:00:00Z,2022-03-19T00:00:00Z,7,7,2,0.03571934798015586,10491815.82403,0.022680484588376265,2,7,0.07303,0.08122,6.846501437765302,21,-0.0009837910489853485,-0.0015412980029261949,0.05607284677529789,0.05543920306723271,4.85722573273506e-17,0.054455412018247364,0.05366257200739066,0.05438316386416542,-4.85722573273506e-17,0.05339937281518007,0.05260732683517899,0.053327124661098235,5.551115123125783e-17,0.05178582665817204,0.050994993895854934
development-category-1000XECUSDT-20220416-7-7-2,development,category,1000XECUSDT,Payment,2022-04-15T00:00:00Z,2022-04-16T00:00:00Z,2022-04-23T00:00:00Z,7,7,2,-0.07501734218610634,20374471.48098,0.00602182582973293,1,7,0.09335,0.08897,5.356186395286556,21,-0.0009150444396593465,-0.001407787274575254,-0.023460096411355158,-0.024046020353508335,1.3877787807814457e-17,-0.024961064793167682,-0.025694191932698063,-0.0250225743331548,-3.8163916471489756e-17,-0.02593761877281415,-0.026670011646050318,-0.02599912831280138,-4.85722573273506e-17,-0.027406915587376634,-0.02813820370332365
development-category-1000XECUSDT-20220505-7-7-2,development,category,1000XECUSDT,Payment,2022-05-04T00:00:00Z,2022-05-05T00:00:00Z,2022-05-12T00:00:00Z,7,7,2,-0.03860294117647056,16219484.038649999,0.01464446879996012,1,7,0.07844,0.03628,6.374298827129016,21,-8.917914789456925e-05,-0.0007835843016882334,-0.26874043855175933,-0.2691791942886282,1.1102230246251565e-16,-0.26926837343652277,-0.26981780707225056,-0.26991061509433956,-5.551115123125783e-17,-0.26999979424223414,-0.2705486779261356,-0.270642035900051,0.0,-0.2714256202017392,-0.2719734318138809
development-category-1000XECUSDT-20220908-7-7-2,development,category,1000XECUSDT,Payment,2022-09-07T00:00:00Z,2022-09-08T00:00:00Z,2022-09-15T00:00:00Z,7,7,2,-0.057631697433588425,10721974.28947,0.04614829235610052,2,7,0.04186,0.04616,11.944577161968466,21,-0.000771214525568562,-0.001275062238399427,0.05136168179646439,0.05073086478738653,3.469446951953614e-17,0.04995965026181797,0.04917019059285055,0.04967953392259916,6.245004513516506e-17,0.0489083193970306,0.04811965021874176,0.04862820305781168,-2.0816681711721685e-17,0.047353140819412255,0.04656564097250193
development-category-1000XECUSDT-20220921-7-7-2,development,category,1000XECUSDT,Payment,2022-09-20T00:00:00Z,2022-09-21T00:00:00Z,2022-09-28T00:00:00Z,7,7,2,-0.1320582877959927,22130010.548125,0.031342025783039434,1,7,0.03812,0.04057,13.116474291710388,21,0.0003377060588759181,-0.0005540351258204356,0.03213536201469047,0.031516080797481694,4.85722573273506e-17,0.03185378685635761,0.031077940899999934,0.030483964716684242,-2.0816681711721685e-17,0.03082167077556016,0.030046600862376538,0.02945184863588668,-2.0816681711721685e-17,0.028897813510066244,0.028124190136013194
development-category-1000XECUSDT-20221008-7-7-2,development,category,1000XECUSDT,Payment,2022-10-07T00:00:00Z,2022-10-08T00:00:00Z,2022-10-15T00:00:00Z,7,7,2,0.09824902723735418,14388460.163345,0.02823555676498779,1,7,0.04516,0.03689,11.071744906997344,21,-0.00043638633972984954,-0.0009379375479938,-0.091563330380868,-0.09210839238263946,4.163336342344337e-17,-0.09254477872236931,-0.09322708998872509,-0.09301688399025676,2.7755575615628914e-17,-0.09345327032998661,-0.09413489850582202,-0.09392537559787423,0.0,-0.09486331314586803,-0.09554388111721435
development-category-1000XECUSDT-20230714-7-7-2,development,category,1000XECUSDT,Payment,2023-07-13T00:00:00Z,2023-07-14T00:00:00Z,2023-07-21T00:00:00Z,7,7,2,-0.115417497862639,30372488.142935,0.24478342973360478,1,7,0.03104,0.03183,16.10824742268041,20,0.0014324814879349225,0.00030202448431217773,0.012725515463917425,0.012117880154639105,1.734723475976807e-18,0.013550361642574027,0.01278827794461046,0.011105162274484437,-1.43982048506075e-16,0.01253764376241936,0.011776321522214861,0.01009244439432988,4.336808689942018e-17,0.010394468878642059,0.009634758081442873
