trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-no_volume-20230102-TRXUSDT,no_volume,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,TRXUSDT,-0.022168299288233002,1,21,0.05476,0.05439,0.5,9.130752373995616,20,0.004673015642016982,0.0023001603779204704,-0.0033783783783783994,-0.0039763513513513815,-1.0408340855860843e-17,0.0006966642906656006,-0.004972975000000046,-6.852157730108388e-17,-0.000299959357983064,-0.005969598648648711,0.0,-0.0036694382707282403
development-no_volume-20230102-XMRUSDT,no_volume,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XMRUSDT,-0.02255304866588371,2,21,148.46,155.36,0.5,0.003367910548295837,20,0.003358992816316461,0.0016794964081582305,0.023238582783241313,0.02262463963357142,6.938893903907228e-17,0.02598363244988788,0.021601414993937862,-6.938893903907228e-18,0.024960407810254322,0.020578190354304193,0.0,0.022257686762462425
development-no_volume-20230102-RUNEUSDT,no_volume,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.022900147880223903,3,21,1.287,1.421,0.5,0.38850038850038854,20,-0.0009859675361305364,-0.0014789513041958047,0.05205905205905215,0.0514278166278167,2.0816681711721685e-17,0.05044184909168617,0.05037578881118898,1.3877787807814457e-17,0.04938982127505845,0.04932376099456104,2.7755575615628914e-17,0.04784480969036523
development-no_volume-20230102-XRPUSDT,no_volume,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XRPUSDT,-0.023766195623976766,4,21,0.3384,0.345,0.5,1.4775413711583925,20,0.0003056065149125296,-0.00037350876565839247,0.009751773049645363,0.009145921985815653,5.724587470723463e-17,0.009451528500728182,0.00813617606382988,1.9081958235744878e-17,0.00844178257874241,0.007126430141843998,3.642919299551295e-17,0.0067529213761856055
development-no_volume-20230102-DASHUSDT,no_volume,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,DASHUSDT,-0.023807300018143674,5,21,42.19,47.82,0.5,0.011851149561507467,20,-0.0008404518907283373,-0.0012606778360925064,0.06672197203128705,0.06608193884806834,4.163336342344337e-17,0.06524148695734,0.06501525690922028,4.163336342344337e-17,0.06417480501849193,0.06394857497037221,1.1102230246251565e-16,0.0626878971342797
development-no_volume-20230109-XLMUSDT,no_volume,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XLMUSDT,-0.01805993975154342,1,22,0.0772,0.08803,0.5,6.476683937823834,21,-0.0011171563924870466,-0.00167573458873057,0.07014248704663206,0.06950040155440407,-4.163336342344337e-17,0.06838324516191702,0.06843030115284976,0.0,0.06731314476036271,0.06736020075129534,8.326672684688674e-17,0.06568446616256476
development-no_volume-20230109-CRVUSDT,no_volume,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,CRVUSDT,-0.01866227768068137,2,22,0.577,0.834,0.5,0.8665511265164645,21,-0.0016667215291674181,-0.0025000822937511265,0.22270363951473138,0.22197001733102262,8.326672684688674e-17,0.2203032958018552,0.22074744731369156,0.0,0.21908072578452414,0.2195248772963604,-1.1102230246251565e-16,0.21702479500260927
development-no_volume-20230109-NEARUSDT,no_volume,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,NEARUSDT,-0.018955880483190628,4,22,1.646,2.243,0.5,0.3037667071688943,21,-0.0018267463041752128,-0.0027401194562628193,0.18134872417982995,0.18063991494532206,5.551115123125783e-17,0.17881316864114685,0.1794586750303767,0.0,0.1776319287262015,0.17827743511543137,5.551115123125783e-17,0.17553731565916855
development-no_volume-20230116-KAVAUSDT,no_volume,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,KAVAUSDT,-0.014536779279295716,1,24,0.8518,0.9994,0.5,0.5869922517022775,21,0.0014292143801810286,-0.00012339693664686565,0.08664005635125616,0.08598807231744543,4.163336342344337e-17,0.08741728669762645,0.084901484245128,2.7755575615628914e-17,0.08633069862530902,0.08381489617281057,6.938893903907228e-17,0.0836914992361637
development-no_volume-20230116-ZECUSDT,no_volume,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,ZECUSDT,-0.015593119098008465,2,24,44.8,47.3,0.5,0.011160714285714286,21,-0.0012329854714024464,-0.0018570638655858126,0.0279017857142857,0.027285044642857192,4.85722573273506e-17,0.026052059171454745,0.026257159598214286,-5.551115123125783e-17,0.02502417412681184,0.02522927455357149,2.7755575615628914e-17,0.023372210687985676
