trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-sma20-20230102-LTCUSDT,sma20,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LTCUSDT,0.04035637489817323,1,21,70.89,78.68,0.5,0.0070531809846240655,20,-0.0007386305265046812,-0.0011454539818143135,0.054944279870221546,0.054311313302299435,5.551115123125783e-17,0.05357268277579475,0.05325640198899717,6.938893903907228e-17,0.05251777146249249,0.052201490675694795,-3.469446951953614e-17,0.05105603669388048
development-sma20-20230102-XMRUSDT,sma20,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XMRUSDT,0.017371937639198087,2,21,148.46,155.36,0.5,0.003367910548295837,20,0.003358992816316461,0.0016794964081582305,0.023238582783241313,0.02262463963357142,6.938893903907228e-17,0.02598363244988788,0.021601414993937862,-6.938893903907228e-18,0.024960407810254322,0.020578190354304193,0.0,0.022257686762462425
development-sma20-20230102-TRXUSDT,sma20,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,TRXUSDT,0.004596372443783858,3,21,0.05476,0.05439,0.5,9.130752373995616,20,0.004673015642016982,0.0023001603779204704,-0.0033783783783783994,-0.0039763513513513815,-1.0408340855860843e-17,0.0006966642906656006,-0.004972975000000046,-6.852157730108388e-17,-0.000299959357983064,-0.005969598648648711,0.0,-0.0036694382707282403
development-sma20-20230102-BNBUSDT,sma20,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BNBUSDT,-0.013910018683895187,4,21,244.35,274.7,0.5,0.0020462451401677922,20,0.0017569392132696785,0.0008784696066348393,0.06210354000409246,0.06146627788009007,4.163336342344337e-17,0.06322321709335975,0.06040421160220999,-1.3877787807814457e-17,0.06216115081547967,0.05934214532432991,3.469446951953614e-17,0.06022061493096475
development-sma20-20230102-UNIUSDT,sma20,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,UNIUSDT,-0.014305439448446866,5,21,5.247,5.578,0.5,0.0952925481227368,20,-0.0007377066147550983,-0.0011142289215608917,0.03154183342862593,0.03092290832856881,6.938893903907228e-17,0.03018520171381371,0.02989138542024017,-4.163336342344337e-17,0.02915367880548507,0.028859862511911638,5.204170427930421e-17,0.027745633590350746
development-sma20-20230109-SOLUSDT,sma20,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,SOLUSDT,0.23213342646382396,1,22,14.464,22.903,0.5,0.03456858407079646,21,-0.00039246083731711155,-0.0015584830763450256,0.29172428097345127,0.2909492464048672,0.0,0.2905567855675501,0.28965769715846235,-5.551115123125783e-17,0.28926523632114526,0.2883661479120575,5.551115123125783e-17,0.28680766483571246
development-sma20-20230109-ETCUSDT,sma20,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,ETCUSDT,0.20630864821863182,2,22,20.394,22.412,0.5,0.024517014808276946,21,-0.001207907491915669,-0.0018118612378735031,0.04947533588310293,0.048845650681573094,6.245004513516506e-17,0.047637743189657425,0.04779620503089155,-2.7755575615628914e-17,0.04658829753897588,0.04674675938020989,-5.551115123125783e-17,0.04493489814233639
development-sma20-20230109-NEARUSDT,sma20,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,NEARUSDT,0.19154480961343556,3,22,1.646,2.243,0.5,0.3037667071688943,21,-0.0018267463041752128,-0.0027401194562628193,0.18134872417982995,0.18063991494532206,5.551115123125783e-17,0.17881316864114685,0.1794586750303767,0.0,0.1776319287262015,0.17827743511543137,5.551115123125783e-17,0.17553731565916855
development-sma20-20230109-SNXUSDT,sma20,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,SNXUSDT,0.14923818205495487,4,22,1.765,2.173,0.5,0.28328611898017,21,-0.0009530051309353824,-0.0014380949485277197,0.11558073654390943,0.11491138810198298,-6.938893903907228e-17,0.1139583829710476,0.11379587671388103,-9.71445146547012e-17,0.11284287158294565,0.11268036532577907,-1.3877787807814457e-17,0.11124227037725136
development-sma20-20230116-CRVUSDT,sma20,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,CRVUSDT,0.38188453881884543,3,24,0.834,1.074,0.5,0.5995203836930456,21,-0.001282365532780096,-0.001923548299170144,0.14388489208633104,0.14319856115107932,1.1102230246251565e-16,0.1419161956182992,0.14205476258992822,2.7755575615628914e-17,0.1407723970571481,0.14091096402877712,1.1102230246251565e-16,0.138987415729607
development-sma20-20230116-AAVEUSDT,sma20,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,AAVEUSDT,0.32937755093488885,4,24,79.3,85.38,0.5,0.006305170239596469,21,-0.0011658595122790846,-0.0017487892684186271,0.038335435056746525,0.03771243379571254,6.938893903907228e-17,0.036546574283433456,0.03667412136191672,-9.71445146547012e-17,0.03550826184963764,0.035635808928121016,1.3877787807814457e-17,0.03388701965970239
development-sma20-20230116-AVAXUSDT,sma20,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,AVAXUSDT,0.3226006873717078,5,24,16.817,17.35,0.5,0.029731818992685972,21,-0.001536820397327032,-0.0023052305959905483,0.015847059523101614,0.015237551287387796,-1.734723475976807e-18,0.013700730890060764,0.014221713736100372,-3.8163916471489756e-17,0.01268489333877334,0.013205876184812948,-7.28583859910259e-17,0.0109006455888224
development-sma20-20230123-HBARUSDT,sma20,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,HBARUSDT,0.36690006239291684,2,24,0.06901,0.06944,0.5,7.245326764237067,21,-0.0010332291508477031,-0.0015498437262715552,0.003115490508621921,0.0025136212143167525,-1.1709383462843448e-17,0.0014803920634690493,0.0015105075931024503,-9.540979117872439e-18,0.0004772784422547472,0.0005073939718882592,1.0364972768961422e-16,-0.001042449754383296
development-sma20-20230123-SNXUSDT,sma20,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,SNXUSDT,0.3151766730788701,3,24,2.597,2.486,0.5,0.19252984212552945,21,-0.0009687148860223335,-0.0014530723290335002,-0.021370812475933698,-0.021957989988448168,0.0,-0.022926704874470502,-0.022936631998459744,-3.8163916471489756e-17,-0.02390534688448208,-0.023915274008471266,-1.734723475976807e-17,-0.025368346337504767
development-sma20-20230123-SOLUSDT,sma20,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,SOLUSDT,0.2904619421732242,4,24,24.196,26.09,0.5,0.02066457265663746,21,-0.0010366014792165686,-0.0015549022188248536,0.03913870061167135,0.03851521739130437,5.551115123125783e-17,0.0374786159120878,0.03747610217391306,-1.3877787807814457e-17,0.036439500694696494,0.036436986956521755,4.163336342344337e-17,0.034882084737696904
development-sma20-20230123-NEARUSDT,sma20,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,NEARUSDT,0.25872291305944684,5,24,2.399,2.575,0.5,0.20842017507294705,21,-0.0013033079877032097,-0.0019549619815548143,0.03668195081283876,0.036059941642350934,-6.938893903907228e-17,0.03475663365464773,0.035023281700708675,-2.0816681711721685e-17,0.03371997371300547,0.033986621759066304,6.938893903907228e-18,0.03203165977751149
development-sma20-20230130-AVAXUSDT,sma20,2023-01-30T00:00:00+0000,2023-02-06T00:00:00+0000,2023-01-29T00:00:00+0000,AVAXUSDT,0.21681512120324964,1,24,20.996,20.087,0.5,0.023814059820918273,21,-0.0013808281923699754,-0.0020712422885549634,-0.021646980377214686,-0.022233992188988305,5.204170427930421e-17,-0.02361482038135828,-0.023212358196799343,-5.204170427930421e-17,-0.024593186389169318,-0.024190724204610325,7.632783294297951e-17,-0.026261966493165288
