trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-window78-20230206-VETUSDT,window78,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,VETUSDT,-0.00186628617004505,1,25,0.02422,0.0236,0.5,20.64409578860446,21,-0.0010616276424442609,-0.0015924414636663917,-0.012799339388934738,-0.013391659785301324,6.071532165918825e-17,-0.014453287427745584,-0.014378868125516031,-8.673617379884035e-18,-0.015440495767960291,-0.015366076465730794,6.938893903907228e-18,-0.016958517929397184
development-window78-20230206-1000XECUSDT,window78,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,1000XECUSDT,-0.0019830505656513136,2,25,0.03679,0.03363,0.5,13.59064963305246,21,-0.0013468798552595813,-0.0020203197828893723,-0.04294645284044579,-0.04352068496874151,4.163336342344337e-17,-0.04486756482400109,-0.0444777642837727,3.469446951953614e-17,-0.04582464413903228,-0.04543484359880401,0.0,-0.04745516338169338
development-window78-20230206-XLMUSDT,window78,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,XLMUSDT,-0.002669180772643247,3,25,0.09088,0.08498,0.5,5.501760563380282,21,-8.782296150253085e-05,-0.000589044956468695,-0.032460387323943685,-0.03304091109154922,9.71445146547012e-17,-0.03312873405305175,-0.03400847018045766,2.0816681711721685e-17,-0.03409629314196019,-0.03497602926936616,4.85722573273506e-17,-0.03556507422583485
development-window78-20230206-ENSUSDT,window78,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,ENSUSDT,-0.0034207980300840304,4,25,15.257,14.143,0.5,0.032771842432981584,21,-0.0010807560111854985,-0.0016211340167782474,-0.03650783247034145,-0.03708592777085923,2.0816681711721685e-17,-0.03816668378204473,-0.038049441843088394,-3.469446951953614e-17,-0.03913019785427389,-0.03901295591531745,6.245004513516506e-17,-0.0406340899320957
development-window78-20230206-XRPUSDT,window78,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,XRPUSDT,-0.003454304284543691,5,25,0.3983,0.3744,0.5,1.2553351744915893,21,-0.0007227480392855888,-0.001180399126081785,-0.03000251067034898,-0.030584509163946727,1.734723475976807e-17,-0.03130725720323232,-0.031554524654782756,-6.938893903907228e-18,-0.03227727269406835,-0.03252454014561884,-2.0816681711721685e-17,-0.033704939271700624
development-window78-20230403-BNBUSDT,window78,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,BNBUSDT,-0.00935698825252176,1,24,313.57,312.62,0.5,0.0015945402940332302,21,0.0007628551727111153,0.00038142758635555763,-0.0015148132793315616,-0.002113904391363941,1.0408340855860843e-17,-0.0013510492186528259,-0.0031123904869725383,-2.8189256484623115e-17,-0.002349535314261423,-0.0041108765825812466,3.469446951953614e-18,-0.003729448996225689
development-window78-20230403-ENSUSDT,window78,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,ENSUSDT,-0.009623740744600592,2,24,13.232,12.874,0.5,0.037787182587666265,21,-0.0010414937451632405,-0.0015622406177448612,-0.013527811366384479,-0.014119694679564643,1.734723475976807e-18,-0.015161188424727884,-0.01510617498488509,-6.245004513516506e-17,-0.01614766873004833,-0.016092655290205538,1.0408340855860843e-17,-0.0176548959079504
development-window78-20230403-NEARUSDT,window78,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,NEARUSDT,-0.009839546723634615,3,24,1.917,2.005,0.5,0.2608242044861763,21,-0.0009673027005132499,-0.001450954050769875,0.022952529994783477,0.02233875847678668,6.938893903907228e-17,0.02137145577627343,0.02131581971830987,-1.3877787807814457e-17,0.02034851701779662,0.02029288095983306,1.734723475976807e-17,0.018841926909063184
development-window78-20230403-DASHUSDT,window78,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,DASHUSDT,-0.010247484569070615,4,24,57.01,55.7,0.5,0.00877039115944571,21,-0.0010422791925451674,-0.0015634187888177516,-0.011489212418873851,-0.012082318891422528,-1.3877787807814457e-17,-0.013124598083967695,-0.013070836572530997,3.122502256758253e-17,-0.014113115765076165,-0.014059354253639744,-1.5612511283791264e-17,-0.015622773042457495
development-window78-20230403-KAVAUSDT,window78,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,KAVAUSDT,-0.010428428053319422,5,24,0.8456,0.8634,0.5,0.5912961210974456,21,-0.0010549861466863763,-0.001582479220029565,0.010525070955534455,0.009918755912961208,4.163336342344337e-17,0.008863769766274832,0.008908237157048249,-4.683753385137379e-17,0.007853251010361873,0.007897718401135179,-4.85722573273506e-17,0.006315239181105613
development-window78-20230424-NEARUSDT,window78,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,NEARUSDT,-0.00921319989634078,1,24,1.911,1.928,0.5,0.2616431187859759,20,-0.0006673493391037938,-0.0011087082961755233,0.004447933019361527,0.0038452642595498965,-5.204170427930421e-17,0.0031779149204461026,0.0028408189952904284,-4.7704895589362195e-17,0.0021734696561866345,0.0018363737310308492,1.973247953923618e-17,0.000727665434855326
development-window78-20230424-ENSUSDT,window78,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,ENSUSDT,-0.010398939341951444,2,24,12.024,11.993,0.5,0.041583499667332005,20,-0.0010082948031437126,-0.0015124422047155688,-0.001289088489687229,-0.0018883150365933687,6.114900252818245e-17,-0.0028966098397370816,-0.002887026721556829,-4.0766001685454967e-17,-0.003895321524700542,-0.003885738406520234,6.114900252818245e-17,-0.005398180611235802
development-window78-20230424-AAVEUSDT,window78,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,AAVEUSDT,-0.010528703845341122,3,24,70.31,70.22,0.5,0.007111363959607452,20,-0.0010066750076802731,-0.0015100125115204098,-0.000640022756364711,-0.0012396387427108801,-3.903127820947816e-18,-0.0022463137503911535,-0.0022389991039681867,-3.382710778154774e-17,-0.00324567411164846,-0.0032383594652254377,-8.239936510889834e-18,-0.004748371976745848
