plan_id,stage,entry_time,exit_time,decision_time,target_volatility,realized_volatility_60d,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,funding_rate_sum,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-202101-0.08,development,2021-01-01T00:00:00Z,2021-02-01T00:00:00Z,2020-12-31T00:00:00Z,0.08,0.8495312516618257,0.09416957862763327,737.18,1313.09,0.00012774299170844743,93,-0.012707468923189445,-0.019061203384784165,0.08299513,0.0734113217806459,0.07341132178064591,-1.3877787807814457e-17,0.060703852857456456,0.07314945829811566,0.07314945829811564,1.3877787807814457e-17,0.06044198937492622,0.07288759481558538,0.07288759481558538,0.0,0.053826391430801215
development-202102-0.08,development,2021-02-01T00:00:00Z,2021-03-01T00:00:00Z,2021-01-31T00:00:00Z,0.08,1.280242574457465,0.06248815778830197,1313.09,1419.96,4.758863275807597e-05,85,-0.007101116655775655,-0.01065167498366348,0.08535468,0.005007759915199916,0.0050077599151999086,7.806255641895632e-18,-0.002093356740575739,0.004877700853918782,0.004877700853918767,1.474514954580286e-17,-0.0022234158018568737,0.004747641792637605,0.004747641792637616,-1.0408340855860843e-17,-0.005904033191025875
development-202103-0.08,development,2021-03-01T00:00:00Z,2021-04-01T00:00:00Z,2021-02-28T00:00:00Z,0.08,1.3430361098969907,0.059566529455515466,1419.96,1923.07,4.19494418543589e-05,92,-0.0032125657401398306,-0.004818848610209745,0.043424529999999996,0.021021040745785084,0.021021040745785077,6.938893903907228e-18,0.017808475005645252,0.020880815166292907,0.02088081516629291,-3.469446951953614e-18,0.017668249426153075,0.02074058958680075,0.02074058958680075,0.0,0.015921740976591006
development-202104-0.08,development,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-03-31T00:00:00Z,0.08,0.9252429033644288,0.0864637812504141,1923.07,2773.16,4.496132811099653e-05,90,-0.005410096087815814,-0.008115144131723722,0.054207250000000005,0.038094486171128206,0.038094486171128206,0.0,0.03268439008331239,0.03788336036591876,0.03788336036591875,6.938893903907228e-18,0.032473264278102945,0.0376722345607093,0.03767223456070929,6.938893903907228e-18,0.029557090428985577
development-202105-0.08,development,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-04-30T00:00:00Z,0.08,0.8176134391216311,0.09784574980316452,2773.16,2706.46,3.528312459546673e-05,93,-0.0028328025700627255,-0.004594603293137183,0.022619309999999993,-0.002469387279635124,-0.002469387279635111,-1.3010426069826053e-17,-0.005302189849697849,-0.00266272680686154,-0.0026627268068615552,1.5178830414797062e-17,-0.005495529376924265,-0.0028560663340880393,-0.0028560663340880315,-7.806255641895632e-18,-0.007450669627225222
development-202106-0.08,development,2021-06-01T00:00:00Z,2021-07-01T00:00:00Z,2021-05-31T00:00:00Z,0.08,1.572886026966483,0.05086191791931072,2706.46,2274.99,1.8792783901964454e-05,91,-0.0002489064366237441,-0.00043517923862259196,0.005109320000000001,-0.008164691658201675,-0.008164691658201672,-3.469446951953614e-18,-0.00841359809482542,-0.008258311836683588,-0.008258311836683591,3.469446951953614e-18,-0.008507218273307332,-0.008351932015165514,-0.008351932015165518,3.469446951953614e-18,-0.008787111253788105
development-202107-0.08,development,2021-07-01T00:00:00Z,2021-08-01T00:00:00Z,2021-06-30T00:00:00Z,0.08,1.6222020877332568,0.049315680583167036,2274.99,2530.37,2.1677317519271312e-05,92,-0.00024861690805057804,-0.0004298079774351695,0.0051890400000000015,0.005473452959362871,0.005473452959362866,4.336808689942018e-18,0.005224836051312292,0.005369288966420471,0.005369288966420473,-1.734723475976807e-18,0.005120672058369893,0.005265124973478079,0.00526512497347808,-8.673617379884035e-19,0.00483531699604291
development-202108-0.08,development,2021-08-01T00:00:00Z,2021-09-01T00:00:00Z,2021-07-31T00:00:00Z,0.08,0.9417755550891574,0.08494592959829632,2530.37,3430.49,3.357055671632857e-05,94,-0.0016219389034074303,-0.0024329083551111455,0.015313849999999997,0.030097463878276803,0.03009746387827681,-6.938893903907228e-18,0.028475524974869375,0.029897372620086418,0.029897372620086415,3.469446951953614e-18,0.02827543371667899,0.029697281361896047,0.02969728136189604,6.938893903907228e-18,0.0272643730067849
development-202109-0.08,development,2021-09-01T00:00:00Z,2021-10-01T00:00:00Z,2021-08-31T00:00:00Z,0.08,0.7779015464009703,0.10284077769240467,3430.49,2999.45,2.9978451385197063e-05,89,-0.0017120693040938708,-0.0026009624281150136,0.01550134,-0.013037567471295183,-0.013037567471295182,-1.734723475976807e-18,-0.014749636775389055,-0.013230334868141902,-0.013230334868141912,1.0408340855860843e-17,-0.014942404172235774,-0.013423102264988676,-0.013423102264988671,-5.204170427930421e-18,-0.01602406469310369
development-202110-0.08,development,2021-10-01T00:00:00Z,2021-11-01T00:00:00Z,2021-09-30T00:00:00Z,0.08,0.9512409261270217,0.084100670821345,2999.45,4288.87,2.8038697368299187e-05,93,-0.0024797723090821512,-0.0037196584636232277,0.022550579999999997,0.03603104416135035,0.03603104416135035,0.0,0.033551271852268194,0.03582671085474132,0.03582671085474131,6.938893903907228e-18,0.03334693854565916,0.035622377548132286,0.0356223775481323,-1.3877787807814457e-17,0.031902719084509056
