trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,nearness26,nearness52,nearness100,mom52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20240101-1000XECUSDT,main,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,1000XECUSDT,Payment,25,1.0,1.0,0.30123475964898655,0.7834482758620691,1.0,1.0,0.03728,0.03176,0.25,6.706008583690987,21,0.0028544310455988465,0.0013197986560344018,-0.037017167381974275,-0.037294957081545066,2.0816681711721685e-17,-0.03444052603594622,-0.03775796212446353,-3.469446951953614e-17,-0.03490353107886468,-0.038220967167381964,2.7755575615628914e-17,-0.03690116851134756
development-main-20240101-AAVEUSDT,main,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AAVEUSDT,DeFi,25,1.0,1.0,0.4665966827629645,1.1398035817446566,1.0,2.0,108.77,94.87,0.25,0.002298427875333272,21,-0.0009099204759110015,-0.0013824514398448472,-0.031948147467132454,-0.03222897857865217,6.938893903907228e-18,-0.03313889905456317,-0.032697049600073524,-6.938893903907228e-18,-0.033606970075984524,-0.033165120621494876,0.0,-0.034547572061339724
development-main-20240101-UNIUSDT,main,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,UNIUSDT,DeFi,25,1.0,1.0,0.632265819524341,0.4254742547425474,1.0,3.0,7.231,6.004,0.25,0.03457336467985064,21,-0.0010325030953787305,-0.0015487546430680956,-0.04242151846217676,-0.04269606555109945,-6.938893903907228e-18,-0.04372856864647818,-0.04315366948554833,-2.0816681711721685e-17,-0.04418617258092706,-0.04361127341999721,2.7755575615628914e-17,-0.04516002806306531
development-main-20240108-BNBUSDT,main,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,BNBUSDT,Layer-1,25,0.9699725300748319,0.921609216092161,0.7024925680310999,0.17651564474742432,0.921609216092161,2.0,302.06,299.67,0.25,0.0008276501357346223,21,0.00016216393125396028,-5.9023606618229865e-06,-0.0019780838244057297,-0.00227689697411107,2.2551405187698492e-17,-0.00211473304285711,-0.0027749200771370053,-4.466912950640278e-17,-0.002612756145883045,-0.003272943180162885,-9.107298248878237e-18,-0.003278845540824708
development-main-20240108-TRXUSDT,main,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,TRXUSDT,Layer-1,25,0.9536271808999082,0.9536271808999082,0.9536271808999082,0.9974995191382958,0.9536271808999082,1.0,0.10271,0.11118,0.25,2.434037581540259,21,-0.00023895656373186644,-0.0005065980960782787,0.020616298315645987,0.020303928536656635,1.3877787807814457e-17,0.02006497197292477,0.019783324608119934,-3.8163916471489756e-17,0.01954436804438807,0.01926272067958329,-1.0408340855860843e-17,0.018756122583505012
development-main-20240115-ENSUSDT,main,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ENSUSDT,Infrastructure,25,1.0,1.0,1.0,0.6673838209982788,1.0,1.0,23.711,18.458,0.25,0.010543629539032517,21,-0.0004706267224073215,-0.0007059400836109822,-0.05538568596853782,-0.05565245455695669,0.0,-0.056123081279364016,-0.05609710210239971,0.0,-0.05656772882480703,-0.05654174964784278,2.0816681711721685e-17,-0.05724768973145376
development-main-20240115-ETCUSDT,main,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ETCUSDT,PoW,25,1.0,1.0,0.606516343889867,0.271025960170697,1.0,2.0,26.496,24.526,0.25,0.009435386473429952,21,-0.0005059093957955919,-0.0007588640936933877,-0.018587711352656994,-0.01887655872584537,2.7755575615628914e-17,-0.019382468121640965,-0.019357982167119564,-1.0408340855860843e-17,-0.019863891562915157,-0.0198394056083937,3.469446951953614e-18,-0.02059826970208709
development-main-20240122-BNBUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,BNBUSDT,Layer-1,25,1.0,0.9510995109951099,0.7249714155042304,0.05987563519657657,0.9510995109951099,3.0,318.41,305.25,0.25,0.000785151220124996,21,0.0006127021565748563,0.00030635107828742814,-0.010332590056844976,-0.010626390502810862,-1.734723475976807e-18,-0.010013688346236005,-0.011116064112308033,-5.204170427930421e-18,-0.010503361955733176,-0.011605737721805232,8.673617379884035e-18,-0.011299386643517803
development-main-20240122-LINKUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,LINKUSDT,Infrastructure,25,0.9574132492113564,0.9574132492113564,0.9066467513069455,1.3012540099154273,0.9574132492113564,2.0,15.397,14.476,0.25,0.016236929271936092,21,-0.00047612597708969283,-0.0007141889656345392,-0.014954211859453143,-0.015245239332337429,2.949029909160572e-17,-0.01572136530942712,-0.01573029409300508,1.734723475976807e-17,-0.016206420070094773,-0.016215348853672762,3.122502256758253e-17,-0.0169295378193073
development-main-20240122-TRXUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,TRXUSDT,Layer-1,25,0.9629662055682018,0.9629662055682018,0.9629662055682018,0.7835252148532512,0.9629662055682018,1.0,0.10883,0.11218,0.25,2.297160709363227,21,-0.00023880825957801161,-0.0004891551809323026,0.007695488376366799,0.007390871083341022,1.734723475976807e-17,0.00715206282376301,0.0068831802122577,2.2551405187698492e-17,0.006644371952679688,0.006375489341174323,3.469446951953614e-18,0.00588633416024202
