trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,nearness26,nearness52,nearness100,mom52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-top5-20240101-1000XECUSDT,top5,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,1000XECUSDT,Payment,25,1.0,1.0,0.30123475964898655,0.7834482758620691,1.0,1.0,0.03728,0.03176,0.25,6.706008583690987,21,0.0028544310455988465,0.0013197986560344018,-0.037017167381974275,-0.037294957081545066,2.0816681711721685e-17,-0.03444052603594622,-0.03775796212446353,-3.469446951953614e-17,-0.03490353107886468,-0.038220967167381964,2.7755575615628914e-17,-0.03690116851134756
development-top5-20240101-AAVEUSDT,top5,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AAVEUSDT,DeFi,25,1.0,1.0,0.4665966827629645,1.1398035817446566,1.0,2.0,108.77,94.87,0.25,0.002298427875333272,21,-0.0009099204759110015,-0.0013824514398448472,-0.031948147467132454,-0.03222897857865217,6.938893903907228e-18,-0.03313889905456317,-0.032697049600073524,-6.938893903907228e-18,-0.033606970075984524,-0.033165120621494876,0.0,-0.034547572061339724
development-top5-20240101-TRXUSDT,top5,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,TRXUSDT,Layer-1,25,0.973186409550046,0.973186409550046,0.973186409550046,0.9453010279001468,0.973186409550046,5.0,0.10769,0.10271,0.25,2.3214783173925158,21,-0.0008763939396280992,-0.001453404239906909,-0.011560962020614712,-0.011854025443402333,2.42861286636753e-17,-0.012730419383030432,-0.012342471417958939,1.214306433183765e-17,-0.013218865357587038,-0.012830917392515545,3.469446951953614e-18,-0.014284321632422454
development-top5-20240101-UNIUSDT,top5,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,UNIUSDT,DeFi,25,1.0,1.0,0.632265819524341,0.4254742547425474,1.0,3.0,7.231,6.004,0.25,0.03457336467985064,21,-0.0010325030953787305,-0.0015487546430680956,-0.04242151846217676,-0.04269606555109945,-6.938893903907228e-18,-0.04372856864647818,-0.04315366948554833,-2.0816681711721685e-17,-0.04418617258092706,-0.04361127341999721,2.7755575615628914e-17,-0.04516002806306531
development-top5-20240101-VETUSDT,top5,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,VETUSDT,Layer-1,25,1.0,1.0,0.46221646143875567,1.2569620253164553,1.0,4.0,0.03434,0.02862,0.25,7.2801397786837505,21,-0.0005759048964880605,-0.001043537583421666,-0.04164239953407106,-0.0419174140943506,3.469446951953614e-17,-0.042493318990838656,-0.042375796680256234,6.938893903907228e-18,-0.04295170157674429,-0.042834179266161926,1.3877787807814457e-17,-0.043877716849583595
development-top5-20240108-BNBUSDT,top5,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,BNBUSDT,Layer-1,25,0.9699725300748319,0.921609216092161,0.7024925680310999,0.17651564474742432,0.921609216092161,2.0,302.06,299.67,0.25,0.0008276501357346223,21,0.00016216393125396028,-5.9023606618229865e-06,-0.0019780838244057297,-0.00227689697411107,2.2551405187698492e-17,-0.00211473304285711,-0.0027749200771370053,-4.466912950640278e-17,-0.002612756145883045,-0.003272943180162885,-9.107298248878237e-18,-0.003278845540824708
development-top5-20240108-HBARUSDT,top5,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,HBARUSDT,Layer-1,25,0.8714630401403817,0.8714630401403817,0.323718732176322,1.0065656565656567,0.8714630401403817,5.0,0.07527,0.07705,0.25,3.321376378371197,21,-0.00031104663700677566,-0.0005922265466779594,0.005912049953500698,0.005608502723528641,4.5102810375396984e-17,0.005297456086521865,0.005102594220805112,-1.0408340855860843e-17,0.004791547583798336,0.004596685718081528,1.734723475976807e-17,0.0040044591714035686
development-top5-20240108-NEARUSDT,top5,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,NEARUSDT,Layer-1,25,0.8889741621898184,0.8889741621898184,0.19810729148851264,1.2289929441949967,0.8889741621898184,4.0,3.214,3.308,0.25,0.0777846919726198,21,-0.0005569800177349099,-0.0008354700266023649,0.007311761045426246,0.007007373988799026,3.209238430557093e-17,0.006450393971064116,0.006500066614810174,-2.7755575615628914e-17,0.0059430865970752636,0.005992759240821377,2.6020852139652106e-18,0.005157289214219012
development-top5-20240115-AAVEUSDT,top5,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,AAVEUSDT,DeFi,25,0.9536537077033836,0.9536537077033836,0.4449716565190006,0.3941586633337717,0.9536537077033836,4.0,99.36,96.42,0.25,0.0025161030595813203,21,-0.00032595748539006233,-0.0005273318404539735,-0.007397342995169087,-0.007692904589371968,6.071532165918825e-18,-0.008018862074762031,-0.008185511684782598,-3.2959746043559335e-17,-0.008511469170172661,-0.008678118780193228,-1.734723475976807e-18,-0.0092054506206472
development-top5-20240115-ENSUSDT,top5,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ENSUSDT,Infrastructure,25,1.0,1.0,1.0,0.6673838209982788,1.0,1.0,23.711,18.458,0.25,0.010543629539032517,21,-0.0004706267224073215,-0.0007059400836109822,-0.05538568596853782,-0.05565245455695669,0.0,-0.056123081279364016,-0.05609710210239971,0.0,-0.05656772882480703,-0.05654174964784278,2.0816681711721685e-17,-0.05724768973145376
