trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-loser_momentum-BCHUSDT-20240101-90-3,development,loser_momentum,BCHUSDT,Payment,2023-12-31T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,90,31,3,0.055370490737731703,154989814.85344,2,25,259.79,234.16,0.0009623157165402824,92,0.0003717615363571057,-0.0006651028125958234,0.024664151814927454,0.02437895030601639,-2.7755575615628914e-17,0.024750711842373496,0.021342870153244986,0.023903629256322445,-3.469446951953614e-18,0.02427539079267955,0.02086912979909994,0.023428308206628418,-1.3877787807814457e-17,0.022763205394032593,0.01936197322198341
development-loser_momentum-BNBUSDT-20241201-90-3,development,loser_momentum,BNBUSDT,Layer-1,2024-11-30T00:00:00Z,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,90,31,3,0.27698466946587263,823170011.9272,2,25,653.87,702.13,0.00038233899704834295,92,0.0019576766963893774,0.0006292442704599048,-0.01845167999755304,-0.01876275100555161,-4.85722573273506e-17,-0.01680507430916223,-0.020074720885240205,-0.019281213756557086,-2.0816681711721685e-17,-0.017323537060167708,-0.020591459471571594,-0.019799676507562647,1.0408340855860843e-17,-0.01917043223710274,-0.022432212738765278
development-loser_momentum-CRVUSDT-20240201-90-3,development,loser_momentum,CRVUSDT,DeFi,2024-01-31T00:00:00Z,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,90,29,3,-0.10805500982318272,72727814.776,3,23,0.455,0.599,0.5494505494505494,86,0.004651450871697308,0.002325725435848654,-0.07912087912087912,-0.07946835164835164,-2.7755575615628914e-17,-0.07481690077665433,-0.07769543779672894,-0.0800475199999999,1.3877787807814457e-17,-0.07539606912830259,-0.07827280417259252,-0.08062668835164838,-2.7755575615628914e-17,-0.07830096291579973,-0.08116865991744304
development-loser_momentum-CRVUSDT-20240601-90-3,development,loser_momentum,CRVUSDT,DeFi,2024-05-31T00:00:00Z,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,90,30,3,-0.32995658465991307,41886825.89385,3,22,0.462,0.286,0.5411255411255411,89,0.0016747861958856603,0.0008281812646590639,0.09523809523809526,0.0949952380952381,-1.3877787807814457e-17,0.09667002429112377,0.09314046861329928,0.09459053333333337,-1.3877787807814457e-17,0.09626531952921903,0.09273706636533108,0.09418582857142863,2.7755575615628914e-17,0.0950140098360877,0.09148978392482277
development-loser_momentum-CRVUSDT-20240801-90-3,development,loser_momentum,CRVUSDT,DeFi,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,90,31,3,-0.3867924528301886,93690843.96865001,1,20,0.261,0.284,0.9578544061302682,92,0.0011932846349133144,-9.339756682868764e-05,-0.022030651340996132,-0.02234386973180072,1.3877787807814457e-17,-0.021150585096887404,-0.024405780536067456,-0.022865913601532478,2.0816681711721685e-17,-0.021672628966619163,-0.02492608833199883,-0.023387957471264376,-1.0408340855860843e-17,-0.023481355038093062,-0.02672879942632811
development-loser_momentum-CRVUSDT-20241101-90-3,development,loser_momentum,CRVUSDT,DeFi,2024-10-31T00:00:00Z,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,90,30,3,-0.12456747404844282,50812560.017749995,3,21,0.253,0.681,0.9881422924901185,89,0.003209937712650988,0.001604968856325494,-0.42292490118577075,-0.42347865612648217,5.551115123125783e-17,-0.4202687184138312,-0.4221345429473845,-0.4244018347826086,5.551115123125783e-17,-0.42119189706995763,-0.4230547504176527,-0.42532501343873513,5.551115123125783e-17,-0.42372004458240964,-0.42557476126437177
development-loser_momentum-ENSUSDT-20240501-90-3,development,loser_momentum,ENSUSDT,Infrastructure,2024-04-30T00:00:00Z,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,90,31,3,-0.181323306582861,36529836.6305,2,25,14.587,25.855,0.01713854802221156,92,0.002688351538351233,0.0013291212733162999,-0.19311715911427985,-0.19353302940974845,-2.7755575615628914e-17,-0.19084467787139722,-0.19353555010779944,-0.1942262624391581,2.7755575615628914e-17,-0.19153791090080688,-0.19422647776831237,-0.1949194954685679,2.7755575615628914e-17,-0.1935903741952516,-0.1962721155295818
development-loser_momentum-ENSUSDT-20241001-90-3,development,loser_momentum,ENSUSDT,Infrastructure,2024-09-30T00:00:00Z,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,90,31,3,-0.4025797691785472,33713108.8322,1,21,18.472,16.791,0.013533997401472498,92,0.0014381268879344292,0.00047620430713706224,0.022750649631875286,0.022464300021654393,-1.3877787807814457e-17,0.023902426909588822,0.020497406219484704,0.021987064321676103,0.0,0.023425191209610532,0.020021757582286748,0.021509828621697757,3.469446951953614e-18,0.02198603292883482,0.018587385268995282
development-loser_momentum-HBARUSDT-20240801-90-3,development,loser_momentum,HBARUSDT,Layer-1,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,90,31,3,-0.3731179579220262,18357653.957264997,3,20,0.06287,0.04993,3.976459360585335,92,0.00034601689442381115,-0.0006461021662193812,0.051455384125974196,0.05118625735644977,-2.7755575615628914e-17,0.05153227425087358,0.04803536960836419,0.05073774361380623,0.0,0.05108376050823004,0.04758834741270146,0.05028922987116269,-6.938893903907228e-18,0.04964312770494331,0.04615250548047167
development-loser_momentum-HBARUSDT-20241001-90-3,development,loser_momentum,HBARUSDT,Layer-1,2024-09-30T00:00:00Z,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,90,31,3,-0.26516508830304586,14458693.75512,2,21,0.05741,0.04628,4.354642048423619,92,0.0017564473775243858,0.0007694017189651192,0.0484671659989549,0.048196246298554235,-2.0816681711721685e-17,0.04995269367607862,0.046461041979941387,0.047744742544852836,1.3877787807814457e-17,0.049501189922377224,0.04601103971659959,0.047293238791151354,-6.938893903907228e-18,0.048062640510116474,0.04457727424701141
