trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-high_volatility-1000XECUSDT-20240401-90-5,development,high_volatility,1000XECUSDT,Payment,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,90,30,5,1.2967289323601265,52893792.791575,3,25,0.06787,0.04657,3.683512597613084,89,0.0018956093954015031,0.0007102863499090173,0.07845881832915869,0.07820589362015617,-1.3877787807814457e-17,0.08010150301555768,0.07662527196323232,0.07778439951377636,0.0,0.07968000890917787,0.07620513440611831,0.07736290540739652,0.0,0.07807319175730554,0.07460348868273026
development-high_volatility-AAVEUSDT-20241001-90-5,development,high_volatility,AAVEUSDT,DeFi,2024-09-30T00:00:00Z,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,90,31,5,0.9350227544985561,191497265.3305,5,21,156.62,143.39,0.0015962201506831823,92,0.000921600640767996,-8.116554832747258e-06,0.021117992593538526,0.020830663389094645,-6.938893903907228e-18,0.02175226402986264,0.018354393776069733,0.020351794052483746,-2.42861286636753e-17,0.021273394693251742,0.017877116934950754,0.01987292471587282,-2.42861286636753e-17,0.01986480816104007,0.016473214702882988
development-high_volatility-AVAXUSDT-20240101-90-5,development,high_volatility,AVAXUSDT,Layer-1,2023-12-31T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,90,31,5,1.0405423618319418,982674476.0734999,4,25,38.59,33.173,0.006478362270018139,92,0.0027885330472303504,0.0013942665236151752,0.03509328841668827,0.034814344389738267,-1.3877787807814457e-17,0.037602877436968614,0.034152295454808135,0.034349458734128036,0.0,0.03713799178135838,0.03368895579150566,0.03388457307851775,6.938893903907228e-18,0.035278839602132926,0.03183598628307949
development-high_volatility-AVAXUSDT-20240301-90-5,development,high_volatility,AVAXUSDT,Layer-1,2024-02-29T00:00:00Z,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,90,31,5,0.9279115478354937,357643706.00600004,5,23,40.998,54.135,0.006097858432118641,92,0.012427782300069022,0.006213891150034511,-0.08010756622274257,-0.08045563076247628,-5.551115123125783e-17,-0.06802784846240725,-0.07112715204367193,-0.08103578639323869,0.0,-0.06860800409316967,-0.0717053783480901,-0.08161594202400119,-4.163336342344337e-17,-0.07540205087396668,-0.07847683130622374
development-high_volatility-BCHUSDT-20240401-90-5,development,high_volatility,BCHUSDT,Payment,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,90,30,5,1.2894143521368657,471703895.92342496,4,25,679.59,433.58,0.0003678688621080357,89,-0.0015205221221199446,-0.003378184992775114,0.09049941876719789,0.0902537184184582,-1.3877787807814457e-17,0.08873319629633825,0.08522918474363106,0.08984427213687671,2.7755575615628914e-17,0.08832375001475676,0.08482105623623504,0.08943482585529511,1.3877787807814457e-17,0.08605664086251999,0.08256124361604833
development-high_volatility-CRVUSDT-20240701-90-5,development,high_volatility,CRVUSDT,DeFi,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,90,31,5,1.030946207082576,143312089.944,4,20,0.286,0.261,0.8741258741258742,92,0.0015753281804768355,0.0005466808977735578,0.02185314685314682,0.021566258741258698,-1.3877787807814457e-17,0.023141586921735534,0.01973909642965843,0.021088124999999958,-4.5102810375396984e-17,0.022663453180476793,0.019262552737645322,0.02060999125874119,-6.938893903907228e-18,0.021156672156514747,0.01776078256279101
development-high_volatility-CRVUSDT-20240901-90-5,development,high_volatility,CRVUSDT,DeFi,2024-08-31T00:00:00Z,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,90,30,5,1.2116319269548435,147126564.52365,2,20,0.284,0.278,0.8802816901408451,89,0.0016957178862681342,0.0006097266834792255,0.005281690140845036,0.004984859154929522,-1.214306433183765e-17,0.0066805770411976564,0.0034406460977509656,0.004490144014084485,-2.168404344971009e-17,0.00618586190035262,0.002947523162943666,0.003995428873239365,-1.5612511283791264e-17,0.00460515555671859,0.0013719042119861857
development-high_volatility-CRVUSDT-20241101-90-5,development,high_volatility,CRVUSDT,DeFi,2024-10-31T00:00:00Z,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,90,30,5,0.9677730061865637,50812560.017749995,2,21,0.253,0.681,0.9881422924901185,89,0.003209937712650988,0.001604968856325494,-0.42292490118577075,-0.42347865612648217,5.551115123125783e-17,-0.4202687184138312,-0.4221345429473845,-0.4244018347826086,5.551115123125783e-17,-0.42119189706995763,-0.4230547504176527,-0.42532501343873513,5.551115123125783e-17,-0.42372004458240964,-0.42557476126437177
development-high_volatility-ENSUSDT-20240201-90-5,development,high_volatility,ENSUSDT,Infrastructure,2024-01-31T00:00:00Z,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,90,29,5,1.348795309700511,203029269.75975,1,23,17.819,20.956,0.014029968011672934,86,0.006298605287890506,0.003149302643945253,-0.04401200965261798,-0.044338416858409585,-2.0816681711721685e-17,-0.038039811570519076,-0.04103277373828518,-0.04488245527526799,-4.163336342344337e-17,-0.03858384998737748,-0.04157511947968884,-0.045426493692126396,-2.0816681711721685e-17,-0.042277191048181145,-0.04525696938919477
development-high_volatility-ENSUSDT-20240401-90-5,development,high_volatility,ENSUSDT,Infrastructure,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,90,30,5,1.4065329720127182,104467329.02540001,1,25,22.436,14.587,0.011142806204314494,89,0.0020971884840341026,0.0010282857032477954,0.08745988589766446,0.08721236182920308,1.3877787807814457e-17,0.08930955031323719,0.08580368380548653,0.0867998741910323,1.3877787807814457e-17,0.0888970626750664,0.08539252372989425,0.08638738655286146,0.0,0.08741567225610926,0.08391590106226476
