trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-high_volatility-1000XECUSDT-20240401-90-3,development,high_volatility,1000XECUSDT,Payment,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,90,30,3,1.2967289323601265,52893792.791575,3,25,0.06787,0.04657,3.683512597613084,89,0.0018956093954015031,0.0007102863499090173,0.07845881832915869,0.07820589362015617,-1.3877787807814457e-17,0.08010150301555768,0.07662527196323232,0.07778439951377636,0.0,0.07968000890917787,0.07620513440611831,0.07736290540739652,0.0,0.07807319175730554,0.07460348868273026
development-high_volatility-CRVUSDT-20240801-90-3,development,high_volatility,CRVUSDT,DeFi,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,90,31,3,1.009782839423332,93690843.96865001,3,20,0.261,0.284,0.9578544061302682,92,0.0011932846349133144,-9.339756682868764e-05,-0.022030651340996132,-0.02234386973180072,1.3877787807814457e-17,-0.021150585096887404,-0.024405780536067456,-0.022865913601532478,2.0816681711721685e-17,-0.021672628966619163,-0.02492608833199883,-0.023387957471264376,-1.0408340855860843e-17,-0.023481355038093062,-0.02672879942632811
development-high_volatility-CRVUSDT-20241001-90-3,development,high_volatility,CRVUSDT,DeFi,2024-09-30T00:00:00Z,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,90,31,3,1.1129920233351098,102468188.505,2,21,0.278,0.253,0.8992805755395683,92,0.0020470073394626797,0.0010080142008914118,0.022482014388489235,0.0221955035971223,-2.0816681711721685e-17,0.02424251093658498,0.02083635928603189,0.021717999100719476,-1.3877787807814457e-17,0.023765006440182156,0.020360442746300667,0.02124049460431654,-2.0816681711721685e-17,0.022248508805207953,0.018848988273338696
development-high_volatility-ENSUSDT-20240201-90-3,development,high_volatility,ENSUSDT,Infrastructure,2024-01-31T00:00:00Z,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,90,29,3,1.348795309700511,203029269.75975,1,23,17.819,20.956,0.014029968011672934,86,0.006298605287890506,0.003149302643945253,-0.04401200965261798,-0.044338416858409585,-2.0816681711721685e-17,-0.038039811570519076,-0.04103277373828518,-0.04488245527526799,-4.163336342344337e-17,-0.03858384998737748,-0.04157511947968884,-0.045426493692126396,-2.0816681711721685e-17,-0.042277191048181145,-0.04525696938919477
development-high_volatility-ENSUSDT-20240401-90-3,development,high_volatility,ENSUSDT,Infrastructure,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,90,30,3,1.4065329720127182,104467329.02540001,1,25,22.436,14.587,0.011142806204314494,89,0.0020971884840341026,0.0010282857032477954,0.08745988589766446,0.08721236182920308,1.3877787807814457e-17,0.08930955031323719,0.08580368380548653,0.0867998741910323,1.3877787807814457e-17,0.0888970626750664,0.08539252372989425,0.08638738655286146,0.0,0.08741567225610926,0.08391590106226476
development-high_volatility-ENSUSDT-20240701-90-3,development,high_volatility,ENSUSDT,Infrastructure,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,90,31,3,1.4032303123506253,146163088.5729,2,20,30.685,25.393,0.008147303242626691,92,0.0014943667292338222,0.0006881577761248025,0.043115528759980426,0.042841398077236414,-6.938893903907228e-18,0.04433576480647024,0.04086279238924995,0.042384539475313676,-2.0816681711721685e-17,0.0438789062045475,0.04040745308540794,0.04192768087339091,6.938893903907228e-18,0.042615838649515715,0.03914858590244763
development-high_volatility-ENSUSDT-20240901-90-3,development,high_volatility,ENSUSDT,Infrastructure,2024-08-31T00:00:00Z,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,90,30,3,1.308260271528258,50474240.5732,1,20,17.708,18.472,0.0141179128077705,89,0.0013204448401986462,0.0005027518332686972,-0.010786085385136701,-0.0110925570363678,-1.734723475976807e-17,-0.009772112196169155,-0.01295909131142059,-0.011603349593404116,8.673617379884035e-18,-0.010282904753205471,-0.013468239918380864,-0.012114142150440543,-2.7755575615628914e-17,-0.011611390317171847,-0.014792449844588051
development-high_volatility-ENSUSDT-20241201-90-3,development,high_volatility,ENSUSDT,Infrastructure,2024-11-30T00:00:00Z,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,90,31,3,1.3050479143323912,103744031.6383,3,25,40.234,32.983,0.006213650146642143,92,0.0032470387897497424,0.0016023802650707005,0.04505517721330221,0.04478221031963017,-2.0816681711721685e-17,0.04802924910937992,0.04454399389045949,0.04432729252994985,-2.0816681711721685e-17,0.0475743313196996,0.04409058894462592,0.04387237474026939,-1.3877787807814457e-17,0.045474755005340095,0.041997994839315655
development-high_volatility-HBARUSDT-20240501-90-3,development,high_volatility,HBARUSDT,Layer-1,2024-04-30T00:00:00Z,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,90,31,3,1.5438697827518286,41501387.62913,1,25,0.09368,0.10018,2.66865926558497,92,0.0016604891173422822,0.00037208077181161934,-0.017346285226302327,-0.017656692997438106,-3.469446951953614e-18,-0.015996203880095823,-0.01926854038098902,-0.018174049690435512,0.0,-0.01651356057309323,-0.019784176587544167,-0.018691406383432946,1.3877787807814457e-17,-0.018319325611621327,-0.021583936495938594
development-high_volatility-HBARUSDT-20240701-90-3,development,high_volatility,HBARUSDT,Layer-1,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,90,31,3,1.404164162227141,19970245.639785,1,20,0.07665,0.06287,3.2615786040443577,92,0.0013276479780887152,0.0004832162813020222,0.04494455316373125,0.04467151989562948,-6.938893903907228e-18,0.045999167873718196,0.04252066375571162,0.044216491415525166,2.0816681711721685e-17,0.04554413939361388,0.04206714848755855,0.04376146293542077,6.938893903907228e-18,0.044244679216722795,0.0407720097075821
development-high_volatility-HBARUSDT-20241201-90-3,development,high_volatility,HBARUSDT,Layer-1,2024-11-30T00:00:00Z,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,90,31,3,1.3953121162522268,187918820.571255,2,25,0.17028,0.26882,1.4681700728212357,92,0.005858822230402132,0.002334938906089162,-0.14467347897580457,-0.14506028306319005,5.551115123125783e-17,-0.13920146083278792,-0.142064074260439,-0.1457050433462532,-2.7755575615628914e-17,-0.13984622111585107,-0.14270669037229378,-0.14634980362931646,0.0,-0.1440148647232273,-0.14686147102031
development-high_volatility-NEARUSDT-20240101-90-3,development,high_volatility,NEARUSDT,Layer-1,2023-12-31T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,90,31,3,1.0808138753248584,265637100.0345,3,25,3.654,2.821,0.06841817186644773,92,0.002675947684881712,0.001337973842440856,0.05699233716475094,0.05672653256704979,-6.938893903907228e-18,0.059402480251931504,0.05587940298440963,0.05628355909961685,-2.0816681711721685e-17,0.058959506784498565,0.055437902639592807,0.05584058563218389,-6.938893903907228e-18,0.057178559474624746,0.053662877927691977
