trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-high_volatility-1000XECUSDT-20240401-120-3,development,high_volatility,1000XECUSDT,Payment,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,120,30,3,1.2384619837174204,52893792.791575,3,25,0.06787,0.04657,3.683512597613084,89,0.0018956093954015031,0.0007102863499090173,0.07845881832915869,0.07820589362015617,-1.3877787807814457e-17,0.08010150301555768,0.07662527196323232,0.07778439951377636,0.0,0.07968000890917787,0.07620513440611831,0.07736290540739652,0.0,0.07807319175730554,0.07460348868273026
development-high_volatility-CRVUSDT-20240901-120-3,development,high_volatility,CRVUSDT,DeFi,2024-08-31T00:00:00Z,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,120,30,3,1.1018405454827678,147126564.52365,2,20,0.284,0.278,0.8802816901408451,89,0.0016957178862681342,0.0006097266834792255,0.005281690140845036,0.004984859154929522,-1.214306433183765e-17,0.0066805770411976564,0.0034406460977509656,0.004490144014084485,-2.168404344971009e-17,0.00618586190035262,0.002947523162943666,0.003995428873239365,-1.5612511283791264e-17,0.00460515555671859,0.0013719042119861857
development-high_volatility-CRVUSDT-20241101-120-3,development,high_volatility,CRVUSDT,DeFi,2024-10-31T00:00:00Z,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,120,30,3,0.9967628492120104,50812560.017749995,2,21,0.253,0.681,0.9881422924901185,89,0.003209937712650988,0.001604968856325494,-0.42292490118577075,-0.42347865612648217,5.551115123125783e-17,-0.4202687184138312,-0.4221345429473845,-0.4244018347826086,5.551115123125783e-17,-0.42119189706995763,-0.4230547504176527,-0.42532501343873513,5.551115123125783e-17,-0.42372004458240964,-0.42557476126437177
development-high_volatility-ENSUSDT-20240201-120-3,development,high_volatility,ENSUSDT,Infrastructure,2024-01-31T00:00:00Z,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,120,29,3,1.1961971419297803,203029269.75975,2,23,17.819,20.956,0.014029968011672934,86,0.006298605287890506,0.003149302643945253,-0.04401200965261798,-0.044338416858409585,-2.0816681711721685e-17,-0.038039811570519076,-0.04103277373828518,-0.04488245527526799,-4.163336342344337e-17,-0.03858384998737748,-0.04157511947968884,-0.045426493692126396,-2.0816681711721685e-17,-0.042277191048181145,-0.04525696938919477
development-high_volatility-ENSUSDT-20240401-120-3,development,high_volatility,ENSUSDT,Infrastructure,2024-03-31T00:00:00Z,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,120,30,3,1.2615242552358543,104467329.02540001,2,25,22.436,14.587,0.011142806204314494,89,0.0020971884840341026,0.0010282857032477954,0.08745988589766446,0.08721236182920308,1.3877787807814457e-17,0.08930955031323719,0.08580368380548653,0.0867998741910323,1.3877787807814457e-17,0.0888970626750664,0.08539252372989425,0.08638738655286146,0.0,0.08741567225610926,0.08391590106226476
development-high_volatility-ENSUSDT-20240701-120-3,development,high_volatility,ENSUSDT,Infrastructure,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,120,31,3,1.30280047402408,146163088.5729,3,20,30.685,25.393,0.008147303242626691,92,0.0014943667292338222,0.0006881577761248025,0.043115528759980426,0.042841398077236414,-6.938893903907228e-18,0.04433576480647024,0.04086279238924995,0.042384539475313676,-2.0816681711721685e-17,0.0438789062045475,0.04040745308540794,0.04192768087339091,6.938893903907228e-18,0.042615838649515715,0.03914858590244763
development-high_volatility-ENSUSDT-20240901-120-3,development,high_volatility,ENSUSDT,Infrastructure,2024-08-31T00:00:00Z,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,120,30,3,1.318926610816557,50474240.5732,1,20,17.708,18.472,0.0141179128077705,89,0.0013204448401986462,0.0005027518332686972,-0.010786085385136701,-0.0110925570363678,-1.734723475976807e-17,-0.009772112196169155,-0.01295909131142059,-0.011603349593404116,8.673617379884035e-18,-0.010282904753205471,-0.013468239918380864,-0.012114142150440543,-2.7755575615628914e-17,-0.011611390317171847,-0.014792449844588051
development-high_volatility-ENSUSDT-20241101-120-3,development,high_volatility,ENSUSDT,Infrastructure,2024-10-31T00:00:00Z,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,120,30,3,1.023981915060542,24661949.546099998,1,21,16.791,40.234,0.01488892859269847,89,0.0039771376966607494,0.0019465773131512312,-0.34904115299863026,-0.3495505776904294,0.0,-0.34557343999376866,-0.3476796660503094,-0.35039982826811983,0.0,-0.3464226905714591,-0.34852618337448515,-0.35124907884581025,5.551115123125783e-17,-0.349302501532659,-0.35139672586576787
development-high_volatility-HBARUSDT-20240501-120-3,development,high_volatility,HBARUSDT,Layer-1,2024-04-30T00:00:00Z,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,120,31,3,1.3960440331401742,41501387.62913,2,25,0.09368,0.10018,2.66865926558497,92,0.0016604891173422822,0.00037208077181161934,-0.017346285226302327,-0.017656692997438106,-3.469446951953614e-18,-0.015996203880095823,-0.01926854038098902,-0.018174049690435512,0.0,-0.01651356057309323,-0.019784176587544167,-0.018691406383432946,1.3877787807814457e-17,-0.018319325611621327,-0.021583936495938594
development-high_volatility-HBARUSDT-20240701-120-3,development,high_volatility,HBARUSDT,Layer-1,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,120,31,3,1.30805330733162,19970245.639785,2,20,0.07665,0.06287,3.2615786040443577,92,0.0013276479780887152,0.0004832162813020222,0.04494455316373125,0.04467151989562948,-6.938893903907228e-18,0.045999167873718196,0.04252066375571162,0.044216491415525166,2.0816681711721685e-17,0.04554413939361388,0.04206714848755855,0.04376146293542077,6.938893903907228e-18,0.044244679216722795,0.0407720097075821
