trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-highvol_scheduled-20240101-1000XECUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,1000XECUSDT,0.39038031319910504,1,25,0.03728,0.03176,0.25,6.706008583690987,21,0.0028544310455988465,0.0013197986560344018,-0.037017167381974275,-0.037294957081545066,2.0816681711721685e-17,-0.03444052603594622,-0.03775796212446353,-3.469446951953614e-17,-0.03490353107886468,-0.038220967167381964,2.7755575615628914e-17,-0.03690116851134756
development-highvol_scheduled-20240101-AAVEUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,AAVEUSDT,0.3722719818342375,2,25,108.77,94.87,0.25,0.002298427875333272,21,-0.0009099204759110015,-0.0013824514398448472,-0.031948147467132454,-0.03222897857865217,6.938893903907228e-18,-0.03313889905456317,-0.032697049600073524,-6.938893903907228e-18,-0.033606970075984524,-0.033165120621494876,0.0,-0.034547572061339724
development-highvol_scheduled-20240101-AVAXUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,AVAXUSDT,2.8286536362734394,3,25,38.59,33.635,0.25,0.006478362270018139,21,-0.0012502887660977152,-0.0018754331491465733,-0.03210028504793991,-0.032381024876911135,6.938893903907228e-18,-0.03363131364300885,-0.03284894385203421,0.0,-0.03409923261813193,-0.03331686282715732,6.938893903907228e-18,-0.03519229597630389
development-highvol_scheduled-20240101-BCHUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,BCHUSDT,0.0679519855298858,4,25,259.79,232.19,0.25,0.0009623157165402824,21,-2.7123046198462893e-05,-0.00032118213903796597,-0.026559913776511818,-0.026843977828245907,3.469446951953614e-18,-0.02687110087444437,-0.027317433850417655,-3.469446951953614e-17,-0.027344556896616117,-0.02779088987258943,1.0408340855860843e-17,-0.028112072011627395
development-highvol_scheduled-20240101-CRVUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,CRVUSDT,0.3414634146341462,5,25,0.605,0.517,0.25,0.4132231404958678,21,-0.0009279414645825618,-0.001391912196873843,-0.03636363636363635,-0.03664181818181814,2.7755575615628914e-17,-0.0375697596464007,-0.03710547636363634,-6.938893903907228e-18,-0.0380334178282189,-0.03756913454545452,2.7755575615628914e-17,-0.038961046742328365
development-highvol_scheduled-20240101-DASHUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,DASHUSDT,0.20944402132520934,6,25,31.76,27.14,0.25,0.007871536523929471,21,-0.0007777264851469782,-0.001196320921045404,-0.03636649874055417,-0.036644678841309786,4.163336342344337e-17,-0.03742240532645676,-0.037108334162468476,0.0,-0.037886060647615454,-0.037571989483627166,3.469446951953614e-17,-0.038768310404672573
development-highvol_scheduled-20240101-LINKUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,LINKUSDT,0.46847377725397754,7,25,14.951,13.149,0.25,0.016721289545849775,21,-0.0007136118166782021,-0.0010704177250173033,-0.030131763761621327,-0.030413684703364335,1.0408340855860843e-17,-0.03112729652004254,-0.03088357101866096,-3.469446951953614e-18,-0.03159718283533916,-0.03135345733395761,1.3877787807814457e-17,-0.03242387505897491
development-highvol_scheduled-20240101-NEARUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,NEARUSDT,2.4592803030303028,8,25,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-highvol_scheduled-20240101-RUNEUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,RUNEUSDT,1.821311475409836,9,25,5.163,4.567,0.25,0.0484214603912454,21,-0.001300303672453249,-0.001955947247978731,-0.02885919039318227,-0.029141874878946344,6.938893903907228e-18,-0.030442178551399593,-0.029613033004067396,-2.0816681711721685e-17,-0.030913336676520645,-0.030084191129188476,6.938893903907228e-18,-0.03204013837716721
development-highvol_scheduled-20240101-SNXUSDT,highvol_scheduled,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,SNXUSDT,0.8236680810938237,10,25,3.867,3.305,0.25,0.06464959917248513,21,-0.0007696155383874774,-0.0011544233075812156,-0.03633307473493663,-0.03661127489009569,-2.0816681711721685e-17,-0.037380890428483166,-0.0370749636152056,-3.469446951953614e-17,-0.03784457915359307,-0.037538652340315504,-6.938893903907228e-18,-0.038693075647896716
