trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-highvol_winner-20240101-AVAXUSDT,highvol_winner,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,AVAXUSDT,2.8286536362734394,1,25,38.59,33.635,0.25,0.006478362270018139,21,-0.0012502887660977152,-0.0018754331491465733,-0.03210028504793991,-0.032381024876911135,6.938893903907228e-18,-0.03363131364300885,-0.03284894385203421,0.0,-0.03409923261813193,-0.03331686282715732,6.938893903907228e-18,-0.03519229597630389
development-highvol_winner-20240101-NEARUSDT,highvol_winner,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,NEARUSDT,2.4592803030303028,3,25,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-highvol_winner-20240101-RUNEUSDT,highvol_winner,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,RUNEUSDT,1.821311475409836,4,25,5.163,4.567,0.25,0.0484214603912454,21,-0.001300303672453249,-0.001955947247978731,-0.02885919039318227,-0.029141874878946344,6.938893903907228e-18,-0.030442178551399593,-0.029613033004067396,-2.0816681711721685e-17,-0.030913336676520645,-0.030084191129188476,6.938893903907228e-18,-0.03204013837716721
development-highvol_winner-20240101-SOLUSDT,highvol_winner,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,SOLUSDT,2.505838586338742,2,25,101.775,89.414,0.25,0.0024563989191844753,21,-0.0012217305350939406,-0.0018325958026409106,-0.030363547040039324,-0.03064532891181529,-3.469446951953614e-18,-0.03186705944690923,-0.031114983582903488,-3.122502256758253e-17,-0.03233671411799743,-0.03158463825399166,0.0,-0.03341723405663257
development-highvol_winner-20240115-AVAXUSDT,highvol_winner,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,AVAXUSDT,1.8546116504854373,1,25,35.287,32.535,0.25,0.007084762093688894,21,-0.0005110086382662172,-0.0007665129573993256,-0.01949726528183185,-0.01978556692266273,2.42861286636753e-17,-0.020296575560928946,-0.020266081355740095,-6.938893903907228e-18,-0.020777089994006313,-0.020746595788817407,1.3877787807814457e-17,-0.021513108746216734
development-highvol_winner-20240115-ENSUSDT,highvol_winner,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,ENSUSDT,1.7882173095014111,2,25,23.711,18.458,0.25,0.010543629539032517,21,-0.0004706267224073215,-0.0007059400836109822,-0.05538568596853782,-0.05565245455695669,0.0,-0.056123081279364016,-0.05609710210239971,0.0,-0.05656772882480703,-0.05654174964784278,2.0816681711721685e-17,-0.05724768973145376
development-highvol_winner-20240115-NEARUSDT,highvol_winner,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,NEARUSDT,1.0201465201465205,4,25,3.308,2.923,0.25,0.07557436517533253,21,-0.000496770077992745,-0.0007451551169891176,-0.029096130592503017,-0.029378672914147502,6.938893903907228e-18,-0.029875442992140247,-0.029849594241233346,-1.3877787807814457e-17,-0.03034636431922609,-0.030320515568319217,1.0408340855860843e-17,-0.031065670685308334
development-highvol_winner-20240115-SOLUSDT,highvol_winner,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,SOLUSDT,1.2792527995724732,3,25,93.829,91.111,0.25,0.002664421447526884,21,-0.0005327617280744759,-0.000799142592111714,-0.007241897494378036,-0.007537552355881383,3.2959746043559335e-17,-0.008070314083955858,-0.008030314803525507,-1.5612511283791264e-17,-0.008563076531599982,-0.00852307725116963,1.0408340855860843e-17,-0.009322219843281345
development-highvol_winner-20240129-AVAXUSDT,highvol_winner,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-28T00:00:00+0000,AVAXUSDT,0.5230513515877877,3,23,34.815,34.854,0.25,0.00718081286801666,21,-0.0005310326564986357,-0.0007965489847479536,0.00028005170185263495,-2.0116329168429203e-05,2.200930410145574e-17,-0.0005511489856670649,-0.000520396212839308,-4.2934406030425976e-17,-0.0010514288693379437,-0.0010206760965100758,3.2526065174565133e-18,-0.0018172250812580294
development-highvol_winner-20240129-ENSUSDT,highvol_winner,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-28T00:00:00+0000,ENSUSDT,1.0321161460624722,1,23,18.479,17.949,0.25,0.013528870609881487,21,-0.0005170682584149576,-0.0007756023876224363,-0.007170301423237158,-0.007465999242383198,1.5612511283791264e-17,-0.007983067500798155,-0.00795883324314084,1.734723475976807e-18,-0.008475901501555796,-0.008451667243898453,-3.122502256758253e-17,-0.00922726963152089
development-highvol_winner-20240129-NEARUSDT,highvol_winner,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-28T00:00:00+0000,NEARUSDT,0.44891796678409657,4,23,2.879,2.753,0.25,0.0868357068426537,21,-0.0005255190757207364,-0.0007882786135811045,-0.010941299062174364,-0.011234734282737052,0.0,-0.01176025335845779,-0.011723799548454317,-5.377642775528102e-17,-0.012249318624175054,-0.012212864814171581,1.0408340855860843e-17,-0.013001143427752685
development-highvol_winner-20240129-SOLUSDT,highvol_winner,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-28T00:00:00+0000,SOLUSDT,0.5703694004811863,2,23,95.948,95.452,0.25,0.002605578021428274,21,-0.00048166199813237784,-0.0007224929971985668,-0.0012923666986284221,-0.0015915912786091946,3.946495907847236e-17,-0.0020732532767415725,-0.002090299687330599,-6.938893903907228e-18,-0.002571961685462977,-0.0025890080960520034,2.0383000842727483e-17,-0.00331150109325057
