trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-lowvol_loser-20240101-LTCUSDT,lowvol_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,LTCUSDT,0.11743063007818488,2,25,72.89,64.24,0.25,0.0034298257648511456,21,-0.0010691532953336922,-0.0016037299430005385,-0.029667992865962417,-0.029950192070242826,2.42861286636753e-17,-0.031019345365576517,-0.030420541878172586,-2.7755575615628914e-17,-0.03148969517350628,-0.030890891686102345,1.3877787807814457e-17,-0.03249462162910288
development-lowvol_loser-20240101-XLMUSDT,lowvol_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XLMUSDT,0.16537281097671053,3,25,0.12911,0.11512,0.25,1.9363333591511114,21,-0.0007356268356302763,-0.0012920621567724226,-0.02708930369452406,-0.02737305011230734,-3.469446951953614e-18,-0.028108676947937616,-0.02784597706219502,-1.734723475976807e-17,-0.028581603897825297,-0.02831890401208273,1.0408340855860843e-17,-0.02961096616885515
development-lowvol_loser-20240101-XMRUSDT,lowvol_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XMRUSDT,0.03915397205086246,1,25,165.1,145.85,0.25,0.0015142337976983646,21,0.00017164397113917065,-0.00019965879052147528,-0.02914900060569353,-0.029431511205330108,-3.469446951953614e-18,-0.029259867234190936,-0.029902379694124764,-3.469446951953614e-18,-0.029730735722985593,-0.03037324818291942,-3.469446951953614e-18,-0.030572906973440898
development-lowvol_loser-20240101-XRPUSDT,lowvol_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XRPUSDT,0.17837320574162696,4,25,0.6157,0.5511,0.25,0.4060419035244437,21,-0.0011129832467143901,-0.001669474870071585,-0.026230306967679057,-0.02651456878349842,3.122502256758253e-17,-0.02762755203021281,-0.02698835421471496,-4.163336342344337e-17,-0.02810133746142935,-0.02746213964593147,0.0,-0.029131614516003056
development-lowvol_loser-20240108-ZECUSDT,lowvol_loser,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-07T00:00:00+0000,ZECUSDT,-0.22352107686857947,1,25,21.92,22.74,0.25,0.011405109489051095,21,-0.0005374858313298358,-0.0008062287469947537,0.009352189781021869,0.009046578467153288,4.163336342344337e-17,0.008509092635823452,0.008537231888686103,-2.7755575615628914e-17,0.007999746057356268,0.008027885310218974,4.336808689942018e-17,0.007221656563224221
development-lowvol_loser-20240115-LTCUSDT,lowvol_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,LTCUSDT,-0.025540823447313454,4,25,69.82,71.77,0.25,0.0035806359209395594,21,-0.0005273269732096822,-0.0007909904598145232,0.006982240045832144,0.006678050701804661,8.673617379884035e-18,0.006150723728594979,0.006171072651102838,-3.122502256758253e-17,0.005643745677893156,0.005664094600401015,-2.168404344971009e-17,0.004873104140586492
development-lowvol_loser-20240115-XLMUSDT,lowvol_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XLMUSDT,-0.0601767093847011,3,25,0.11806,0.11566,0.25,2.117567338641369,21,-0.0005178735367609692,-0.0007768103051414536,-0.005082161612739278,-0.0053791123157716225,1.734723475976807e-17,-0.005896985852532592,-0.005874033203455836,1.734723475976807e-17,-0.0063919067402168055,-0.006368954091140078,4.7704895589362195e-17,-0.007145764396281532
development-lowvol_loser-20240115-XMRUSDT,lowvol_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XMRUSDT,-0.0888718070009461,2,25,154.06,157.59,0.25,0.0016227443853044268,21,-0.00042733300312085065,-0.0006752141335885313,0.005728287680124622,0.005424850707516582,2.7755575615628914e-17,0.004997517704395731,0.004919125856809037,-2.2551405187698492e-17,0.004491792853688186,0.004413401006101547,2.688821387764051e-17,0.003738186872513016
development-lowvol_loser-20240115-XRPUSDT,lowvol_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XRPUSDT,-0.12783661119515888,1,25,0.5765,0.5465,0.25,0.43365134431916735,21,-0.0005106711877710321,-0.0007660067816565483,-0.01300954032957502,-0.013301734605377286,0.0,-0.013812405793148318,-0.013788732870771925,-2.2551405187698492e-17,-0.014299404058542957,-0.014275731136166508,1.214306433183765e-17,-0.015041737917823057
development-lowvol_loser-20240122-CRVUSDT,lowvol_loser,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-21T00:00:00+0000,CRVUSDT,-0.1518987341772151,2,25,0.535,0.468,0.25,0.4672897196261682,21,-0.00038092901992509354,-0.0006096508052896496,-0.03130841121495326,-0.03158962616822428,2.0816681711721685e-17,-0.03197055518814937,-0.03205833654205606,6.938893903907228e-18,-0.03243926556198115,-0.032527046915887814,4.163336342344337e-17,-0.033136697721177465
