trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-rv42-20240101-1000XECUSDT,rv42,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,1000XECUSDT,0.39038031319910504,4,25,0.03728,0.03176,0.25,6.706008583690987,21,0.0028544310455988465,0.0013197986560344018,-0.037017167381974275,-0.037294957081545066,2.0816681711721685e-17,-0.03444052603594622,-0.03775796212446353,-3.469446951953614e-17,-0.03490353107886468,-0.038220967167381964,2.7755575615628914e-17,-0.03690116851134756
development-rv42-20240101-AAVEUSDT,rv42,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,AAVEUSDT,0.3722719818342375,3,25,108.77,94.87,0.25,0.002298427875333272,21,-0.0009099204759110015,-0.0013824514398448472,-0.031948147467132454,-0.03222897857865217,6.938893903907228e-18,-0.03313889905456317,-0.032697049600073524,-6.938893903907228e-18,-0.033606970075984524,-0.033165120621494876,0.0,-0.034547572061339724
development-rv42-20240101-CRVUSDT,rv42,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,CRVUSDT,0.3414634146341462,2,25,0.605,0.517,0.25,0.4132231404958678,21,-0.0009279414645825618,-0.001391912196873843,-0.03636363636363635,-0.03664181818181814,2.7755575615628914e-17,-0.0375697596464007,-0.03710547636363634,-6.938893903907228e-18,-0.0380334178282189,-0.03756913454545452,2.7755575615628914e-17,-0.038961046742328365
development-rv42-20240101-ENSUSDT,rv42,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,ENSUSDT,0.3360011039050643,1,25,9.684,11.79,0.25,0.025815778603882695,21,-0.0012017230016548764,-0.0018501898179511297,0.054368029739776946,0.05403540892193309,0.0,0.05283368592027821,0.05348107351301118,-3.469446951953614e-17,0.0522793505113563,0.05292673810408921,1.3877787807814457e-17,0.05107654828613808
development-rv42-20240108-BCHUSDT,rv42,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-07T00:00:00+0000,BCHUSDT,-0.05548549810844894,1,25,232.19,245.61,0.25,0.0010767044231017701,21,-0.00022776129682536053,-0.00047215893782242353,0.014449373358025763,0.01414070373401094,-1.5612511283791264e-17,0.013912942437185579,0.013626263030276975,1.734723475976807e-18,0.013398501733451614,0.013111822326542955,2.42861286636753e-17,0.01263966338872053
development-rv42-20240108-DASHUSDT,rv42,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-07T00:00:00+0000,DASHUSDT,-0.05272346368715086,2,25,27.14,28.25,0.25,0.009211495946941784,21,-0.0005561891368920413,-0.000834283705338062,0.010224760501105379,0.009918625644804724,1.214306433183765e-17,0.009362436507912682,0.009408407019159959,1.0408340855860843e-17,0.008852217882267917,0.008898188393515083,-3.469446951953614e-17,0.00806390468817702
development-rv42-20240115-1000XECUSDT,rv42,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,1000XECUSDT,0.1315436241610739,4,25,0.03372,0.032,0.25,7.413997627520759,21,0.0004607315172620106,-1.105712430197217e-05,-0.012752075919335693,-0.013044424673784083,1.734723475976807e-17,-0.012583693156522073,-0.013531680249110306,-5.551115123125783e-17,-0.013070948731848296,-0.014018935824436557,1.734723475976807e-18,-0.014029992948738529
development-rv42-20240115-CRVUSDT,rv42,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,CRVUSDT,-0.05830388692579491,2,25,0.533,0.535,0.25,0.4690431519699812,21,-0.000526456759380863,-0.0007896851390712946,0.0009380863039399889,0.0006375234521575623,-3.69712940817557e-17,0.00011106669277669934,0.00013658592870552377,1.0191500421363742e-17,-0.00038987083067533923,-0.00036435159474673684,-8.456776945386935e-18,-0.0011540367338180313
development-rv42-20240115-ZECUSDT,rv42,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,ZECUSDT,-0.206282722513089,1,25,22.74,23.38,0.25,0.010993843447669306,21,-0.0005347646328496042,-0.0008021469492744064,0.0070360598065083435,0.006731838170624449,-7.806255641895632e-18,0.006197073537774845,0.006224806332453869,1.9081958235744878e-17,0.005690041699604265,0.005717774494283179,-2.5153490401663703e-17,0.004915627545008772
development-rv42-20240122-LINKUSDT,rv42,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-21T00:00:00+0000,LINKUSDT,-0.03961075416380755,4,25,15.397,14.476,0.25,0.016236929271936092,21,-0.00047612597708969283,-0.0007141889656345392,-0.014954211859453143,-0.015245239332337429,2.949029909160572e-17,-0.01572136530942712,-0.01573029409300508,1.734723475976807e-17,-0.016206420070094773,-0.016215348853672762,3.122502256758253e-17,-0.0169295378193073
