trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-unconditional_loser-20240101-BCHUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,BCHUSDT,0.0679519855298858,3,25,259.79,232.19,0.25,0.0009623157165402824,21,-2.7123046198462893e-05,-0.00032118213903796597,-0.026559913776511818,-0.026843977828245907,3.469446951953614e-18,-0.02687110087444437,-0.027317433850417655,-3.469446951953614e-17,-0.027344556896616117,-0.02779088987258943,1.0408340855860843e-17,-0.028112072011627395
development-unconditional_loser-20240101-DASHUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,DASHUSDT,0.20944402132520934,8,25,31.76,27.14,0.25,0.007871536523929471,21,-0.0007777264851469782,-0.001196320921045404,-0.03636649874055417,-0.036644678841309786,4.163336342344337e-17,-0.03742240532645676,-0.037108334162468476,0.0,-0.037886060647615454,-0.037571989483627166,3.469446951953614e-17,-0.038768310404672573
development-unconditional_loser-20240101-LTCUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,LTCUSDT,0.11743063007818488,4,25,72.89,64.24,0.25,0.0034298257648511456,21,-0.0010691532953336922,-0.0016037299430005385,-0.029667992865962417,-0.029950192070242826,2.42861286636753e-17,-0.031019345365576517,-0.030420541878172586,-2.7755575615628914e-17,-0.03148969517350628,-0.030890891686102345,1.3877787807814457e-17,-0.03249462162910288
development-unconditional_loser-20240101-TRXUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,TRXUSDT,0.19284448382809027,7,25,0.10769,0.10271,0.25,2.3214783173925158,21,-0.0008763939396280992,-0.001453404239906909,-0.011560962020614712,-0.011854025443402333,2.42861286636753e-17,-0.012730419383030432,-0.012342471417958939,1.214306433183765e-17,-0.013218865357587038,-0.012830917392515545,3.469446951953614e-18,-0.014284321632422454
development-unconditional_loser-20240101-XLMUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XLMUSDT,0.16537281097671053,5,25,0.12911,0.11512,0.25,1.9363333591511114,21,-0.0007356268356302763,-0.0012920621567724226,-0.02708930369452406,-0.02737305011230734,-3.469446951953614e-18,-0.028108676947937616,-0.02784597706219502,-1.734723475976807e-17,-0.028581603897825297,-0.02831890401208273,1.0408340855860843e-17,-0.02961096616885515
development-unconditional_loser-20240101-XMRUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XMRUSDT,0.03915397205086246,1,25,165.1,145.85,0.25,0.0015142337976983646,21,0.00017164397113917065,-0.00019965879052147528,-0.02914900060569353,-0.029431511205330108,-3.469446951953614e-18,-0.029259867234190936,-0.029902379694124764,-3.469446951953614e-18,-0.029730735722985593,-0.03037324818291942,-3.469446951953614e-18,-0.030572906973440898
development-unconditional_loser-20240101-XRPUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,XRPUSDT,0.17837320574162696,6,25,0.6157,0.5511,0.25,0.4060419035244437,21,-0.0011129832467143901,-0.001669474870071585,-0.026230306967679057,-0.02651456878349842,3.122502256758253e-17,-0.02762755203021281,-0.02698835421471496,-4.163336342344337e-17,-0.02810133746142935,-0.02746213964593147,0.0,-0.029131614516003056
development-unconditional_loser-20240101-ZECUSDT,unconditional_loser,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-31T00:00:00+0000,ZECUSDT,0.040974101275608854,2,25,26.94,21.92,0.25,0.009279881217520415,21,-0.0009806231153989188,-0.0014709346730983784,-0.04658500371195248,-0.04685705270972529,2.0816681711721685e-17,-0.04783767582512421,-0.04731049565701559,-2.7755575615628914e-17,-0.04829111877241451,-0.04776393860430586,-1.3877787807814457e-17,-0.04923487327740424
development-unconditional_loser-20240108-CRVUSDT,unconditional_loser,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-07T00:00:00+0000,CRVUSDT,0.04878048780487809,8,25,0.517,0.533,0.25,0.48355899419729204,21,-0.0005570863558994196,-0.0008356295338491297,0.007736943907156679,0.007432301740812386,8.673617379884035e-19,0.006875215384912967,0.006924569439071548,-2.7755575615628914e-17,0.006367483083172129,0.0064168371373307664,8.673617379884035e-19,0.0055812076034816365
development-unconditional_loser-20240115-DASHUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,DASHUSDT,-0.07194480946123527,4,25,28.25,28.56,0.25,0.008849557522123894,21,-0.0005317591158938053,-0.000797638673840708,0.002743362831858387,0.002441716814159278,-2.6020852139652106e-18,0.0019099576982654729,0.0019389750973451414,-2.2985086056692694e-17,0.001407215981451336,0.0014362333805310046,5.074066167232161e-17,0.0006385947066902966
development-unconditional_loser-20240115-KAVAUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,KAVAUSDT,0.006812917291184162,8,25,0.7388,0.7146,0.25,0.3383865728207905,21,-0.0005228206486870601,-0.0007842309730305903,-0.008188955062263137,-0.00848404168922573,4.336808689942018e-17,-0.00900686233791279,-0.008975857647536528,-3.469446951953614e-18,-0.009498678296223589,-0.009467673605847299,1.9081958235744878e-17,-0.01025190457887789
development-unconditional_loser-20240115-LTCUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,LTCUSDT,-0.025540823447313454,7,25,69.82,71.77,0.25,0.0035806359209395594,21,-0.0005273269732096822,-0.0007909904598145232,0.006982240045832144,0.006678050701804661,8.673617379884035e-18,0.006150723728594979,0.006171072651102838,-3.122502256758253e-17,0.005643745677893156,0.005664094600401015,-2.168404344971009e-17,0.004873104140586492
development-unconditional_loser-20240115-XLMUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XLMUSDT,-0.0601767093847011,5,25,0.11806,0.11566,0.25,2.117567338641369,21,-0.0005178735367609692,-0.0007768103051414536,-0.005082161612739278,-0.0053791123157716225,1.734723475976807e-17,-0.005896985852532592,-0.005874033203455836,1.734723475976807e-17,-0.0063919067402168055,-0.006368954091140078,4.7704895589362195e-17,-0.007145764396281532
development-unconditional_loser-20240115-XMRUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XMRUSDT,-0.0888718070009461,3,25,154.06,157.59,0.25,0.0016227443853044268,21,-0.00042733300312085065,-0.0006752141335885313,0.005728287680124622,0.005424850707516582,2.7755575615628914e-17,0.004997517704395731,0.004919125856809037,-2.2551405187698492e-17,0.004491792853688186,0.004413401006101547,2.688821387764051e-17,0.003738186872513016
development-unconditional_loser-20240115-XRPUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,XRPUSDT,-0.12783661119515888,2,25,0.5765,0.5465,0.25,0.43365134431916735,21,-0.0005106711877710321,-0.0007660067816565483,-0.01300954032957502,-0.013301734605377286,0.0,-0.013812405793148318,-0.013788732870771925,-2.2551405187698492e-17,-0.014299404058542957,-0.014275731136166508,1.214306433183765e-17,-0.015041737917823057
development-unconditional_loser-20240115-ZECUSDT,unconditional_loser,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-14T00:00:00+0000,ZECUSDT,-0.206282722513089,1,25,22.74,23.38,0.25,0.010993843447669306,21,-0.0005347646328496042,-0.0008021469492744064,0.0070360598065083435,0.006731838170624449,-7.806255641895632e-18,0.006197073537774845,0.006224806332453869,1.9081958235744878e-17,0.005690041699604265,0.005717774494283179,-2.5153490401663703e-17,0.004915627545008772
development-unconditional_loser-20240122-CRVUSDT,unconditional_loser,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-21T00:00:00+0000,CRVUSDT,-0.1518987341772151,4,25,0.535,0.468,0.25,0.4672897196261682,21,-0.00038092901992509354,-0.0006096508052896496,-0.03130841121495326,-0.03158962616822428,2.0816681711721685e-17,-0.03197055518814937,-0.03205833654205606,6.938893903907228e-18,-0.03243926556198115,-0.032527046915887814,4.163336342344337e-17,-0.033136697721177465
development-unconditional_loser-20240122-RUNEUSDT,unconditional_loser,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-21T00:00:00+0000,RUNEUSDT,-0.18218938362823245,2,25,4.206,4.258,0.25,0.059438896814075125,21,-0.0005158688972301473,-0.000773803345845221,0.003090822634331858,0.0027889681407513023,1.8214596497756474e-17,0.002273099243521155,0.0022858791726105276,-3.0357660829594124e-18,0.0017700102753803802,0.001782790204469753,-2.5153490401663703e-17,0.001008986858624532
