trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
ALGOUSDT-20210114--1,ALGOUSDT,2021-01-13T00:00:00+00:00,2021-01-14T00:00:00+00:00,2021-01-15T00:00:00+00:00,-1,0.4505,0.4563,0.0002,2,0.0002,1.89762689195,-0.642065278434,22836436.0446,-0.0140738642275,-0.0138738642275,-0.0161016411721,-0.0159016411721,-0.0181334817978,-0.0179334817978
ALGOUSDT-20210122-+1,ALGOUSDT,2021-01-21T00:00:00+00:00,2021-01-22T00:00:00+00:00,2021-01-23T00:00:00+00:00,1,0.4616,0.5086,0.0003,3,-0.0003,-2.09784855674,-0.780950419833,23355266.3887,0.100498366491,0.100198366491,0.0982995685563,0.0979995685563,0.0961051594395,0.0958051594395
ALGOUSDT-20210427--1,ALGOUSDT,2021-04-26T00:00:00+00:00,2021-04-27T00:00:00+00:00,2021-04-28T00:00:00+00:00,-1,1.2356,1.3088,0.0002,2,0.0002,1.94993056172,-1.42785607317,68558720.505,-0.0604417537241,-0.0602417537241,-0.0625623592762,-0.0623623592762,-0.0646872145389,-0.0644872145389
ALGOUSDT-20210505-+1,ALGOUSDT,2021-05-04T00:00:00+00:00,2021-05-05T00:00:00+00:00,2021-05-06T00:00:00+00:00,1,1.2743,1.4439,0.00050672,3,-0.00050672,-1.78397599457,-0.580405299676,80479718.7775,0.131733782457,0.131227062457,0.129472576098,0.128965856098,0.127215883126,0.126709163126
ALGOUSDT-20210506--1,ALGOUSDT,2021-05-05T00:00:00+00:00,2021-05-06T00:00:00+00:00,2021-05-07T00:00:00+00:00,-1,1.4439,1.5468,0.00299118,3,0.00299118,1.99024622028,-1.18587814308,63312876.3332,-0.0724646035151,-0.0694734235151,-0.0746092788365,-0.0716180988365,-0.0767582521046,-0.0737670721046
ALGOUSDT-20210513-+1,ALGOUSDT,2021-05-12T00:00:00+00:00,2021-05-13T00:00:00+00:00,2021-05-14T00:00:00+00:00,1,1.2711,1.3535,0.0003,3,-0.0003,-1.93519374309,-0.408552898195,82897343.8209,0.0635487168088,0.0632487168088,0.0614237443476,0.0611237443476,0.0593030133485,0.0590030133485
ALGOUSDT-20210524-+1,ALGOUSDT,2021-05-23T00:00:00+00:00,2021-05-24T00:00:00+00:00,2021-05-25T00:00:00+00:00,1,0.8176,0.9821,0.0003,3,-0.0003,-1.62670178694,-0.312316131015,75501947.3995,0.199758056125,0.199458056125,0.197360937132,0.197060937132,0.194968602807,0.194668602807
ALGOUSDT-20210525--1,ALGOUSDT,2021-05-24T00:00:00+00:00,2021-05-25T00:00:00+00:00,2021-05-26T00:00:00+00:00,-1,0.9821,0.9758,0.0002,2,0.0002,1.95465708354,-1.32103447006,55023864.2208,0.00521554494246,0.00541554494246,0.0032263854337,0.0034263854337,0.00123323963334,0.00143323963334
ALGOUSDT-20210828--1,ALGOUSDT,2021-08-27T00:00:00+00:00,2021-08-28T00:00:00+00:00,2021-08-29T00:00:00+00:00,-1,1.0655,1.04,0.0002,2,0.0002,1.53919721651,-0.469283082347,59499936.9607,0.0227331456593,0.0229331456593,0.0207790564222,0.0209790564222,0.0188210511747,0.0190210511747
ALGOUSDT-20211127-+1,ALGOUSDT,2021-11-26T00:00:00+00:00,2021-11-27T00:00:00+00:00,2021-11-28T00:00:00+00:00,1,1.6059,1.676,0.0003,3,-0.0003,-2.31692841189,-0.403229632887,247722170.436,0.0423999041014,0.0420999041014,0.0403171870103,0.0400171870103,0.0382386270391,0.0379386270391
ALGOUSDT-20211210-+1,ALGOUSDT,2021-12-09T00:00:00+00:00,2021-12-10T00:00:00+00:00,2021-12-11T00:00:00+00:00,1,1.5457,1.4574,0.0002,2,-0.0002,-1.64983734231,-1.51456154335,143846348.384,-0.0582569912022,-0.0584569912022,-0.0601385956154,-0.0603385956154,-0.0620164443311,-0.0622164443311
ALGOUSDT-20211214-+1,ALGOUSDT,2021-12-13T00:00:00+00:00,2021-12-14T00:00:00+00:00,2021-12-15T00:00:00+00:00,1,1.3217,1.3789,0.0003,3,-0.0003,-2.50286845422,-1.14092903129,146486072.579,0.0420264146271,0.0417264146271,0.0399444437687,0.0396444437687,0.0378666285408,0.0375666285408
ALGOUSDT-20220216--1,ALGOUSDT,2022-02-15T00:00:00+00:00,2022-02-16T00:00:00+00:00,2022-02-17T00:00:00+00:00,-1,0.9691,0.9772,0.0003,3,0.0003,1.78196373579,-0.893956028631,83187858.4576,-0.00955755099205,-0.00925755099205,-0.0115762862685,-0.0112762862685,-0.0135990671065,-0.0132990671065
ALGOUSDT-20220218-+1,ALGOUSDT,2022-02-17T00:00:00+00:00,2022-02-18T00:00:00+00:00,2022-02-19T00:00:00+00:00,1,0.8972,0.8933,0.00011721,2,-0.00011721,-1.81912234362,-0.317547816304,100511285.072,-0.00554092421943,-0.00565813421943,-0.00752785543977,-0.00764506543977,-0.00951082072953,-0.00962803072953
ALGOUSDT-20220222-+1,ALGOUSDT,2022-02-21T00:00:00+00:00,2022-02-22T00:00:00+00:00,2022-02-23T00:00:00+00:00,1,0.7838,0.81,5.602e-05,3,-5.602e-05,-1.72318709203,-0.0387429791956,100875002.081,0.0321875259636,0.0321315059636,0.0301252132244,0.0300691932244,0.0280670168779,0.0280109968779
