trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,condition_premium1,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-winner_negative_premium-1000XECUSDT-20220210-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-02-09T00:00:00Z,2022-02-10T00:00:00Z,2022-02-11T00:00:00Z,3,1,3,0.1309357541899443,-0.00031954,13560070.842495,3,25,0.09717,0.09265,2.5728105382319644,3,-7.366483482556345e-05,-0.00011049725223834517,-0.011629103632808502,-0.011922126170628794,2.7755575615628914e-17,-0.011995791005454358,-0.012101950314539311,-0.012410504044458176,-3.469446951953614e-18,-0.01248416887928374,-0.012590275713027843,-0.012898881918287558,6.938893903907228e-18,-0.013009379170525904,-0.013115429571350812
development-winner_negative_premium-1000XECUSDT-20220316-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-03-15T00:00:00Z,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,3,1,3,0.08081632653061233,-0.0003820166666666667,10782839.13281,2,25,0.07945,0.08025,3.146633102580239,3,-7.402087161736941e-05,-0.00011103130742605411,0.0025173064820641633,0.0022157960981749603,2.2985086056692694e-17,0.0021417752265575907,0.0020340968609244836,0.0017132803020767362,-3.0140820395097023e-17,0.0016392594304593668,0.0015316350592617933,0.0012107645059786232,2.7538735181131813e-17,0.001099733198552569,0.0009921667984966742
development-winner_negative_premium-1000XECUSDT-20220403-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-02T00:00:00Z,2022-04-03T00:00:00Z,2022-04-04T00:00:00Z,3,1,3,0.3488006703676547,-0.010748306666666665,16645724.78595,1,25,0.12877,0.11618,1.9414459889725868,3,0.0008208531476644404,0.00038757187165003494,-0.024442805001164858,-0.024728139318164144,6.938893903907228e-18,-0.023907286170499704,-0.024012165610445058,-0.0252037111788459,1.734723475976807e-17,-0.02438285803118146,-0.024487686371769457,-0.025679283039527823,0.0,-0.025291711167877786,-0.025396441853799745
development-winner_negative_premium-1000XECUSDT-20220405-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-04T00:00:00Z,2022-04-05T00:00:00Z,2022-04-06T00:00:00Z,3,1,3,0.12090290661719227,-1.8703333333333334e-05,19324200.6747,2,25,0.10876,0.11095,2.2986392055902907,2,-1.2268161186097832e-05,-3.183945940879e-05,0.005034019860242711,0.004730999448326556,-2.949029909160572e-17,0.004718731287140458,0.00461077603212523,0.004225968448878292,-3.469446951953614e-18,0.004213700287692195,0.0041057992973669855,0.0037209374494299174,-2.42861286636753e-17,0.0036890979900211273,0.003581253367286985
development-winner_negative_premium-1000XECUSDT-20220515-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-14T00:00:00Z,2022-05-15T00:00:00Z,2022-05-16T00:00:00Z,3,1,3,0.17231872070581766,-9.888666666666667e-05,13236739.640695,3,25,0.04252,0.04305,5.879586077140169,2,2.312020225776105e-05,-1.3749359125117593e-05,0.003116180620884257,0.0028143109125117194,-1.431146867680866e-17,0.0028374311147694804,0.0027296780021384137,0.0023111966015992302,8.673617379884035e-18,0.0023343168038569913,0.002226617749971016,0.001808082290686741,3.165870343657673e-17,0.0017943329315616235,0.0016866918979900891
development-winner_negative_premium-1000XECUSDT-20220517-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-16T00:00:00Z,2022-05-17T00:00:00Z,2022-05-18T00:00:00Z,3,1,3,0.10963455149501677,-0.00021278,15333892.26016,3,25,0.04675,0.04927,5.347593582887701,2,0.0002154270971278075,0.00010771354856390375,0.013475935828877017,0.01316785026737971,2.42861286636753e-17,0.013383277364507519,0.013274391119303397,0.012654382417112309,-2.2551405187698492e-17,0.012869809514240117,0.012760978440250481,0.012140914566844963,6.071532165918825e-17,0.012248628115408866,0.012139863786264637
development-winner_negative_premium-1000XECUSDT-20220519-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-18T00:00:00Z,2022-05-19T00:00:00Z,2022-05-20T00:00:00Z,3,1,3,0.027397260273972712,-0.0008714700000000001,16063312.906624999,1,25,0.04423,0.04701,5.652272213429799,2,-5.2289752430477056e-05,-7.843462864571559e-05,0.01571331675333487,0.015403888763282914,4.683753385137379e-17,0.015351599010852436,0.01524250127296023,0.014888184874519594,-3.122502256758253e-17,0.014835895122089117,0.014726852795669876,0.014372480985756275,-3.2959746043559335e-17,0.01429404635711056,0.014185062251385272
development-winner_negative_premium-1000XECUSDT-20220525-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-24T00:00:00Z,2022-05-25T00:00:00Z,2022-05-26T00:00:00Z,3,1,3,0.10270979020979021,-0.00010479666666666667,16063312.906624999,3,25,0.05046,0.04915,4.954419342053112,3,0.00011838559453032106,5.589029726516053e-05,-0.0064902893380895665,-0.006786395164486703,1.3877787807814457e-17,-0.0066680095699563815,-0.00677474133975664,-0.007279908769322191,3.469446951953614e-18,-0.00716152317479187,-0.007268201917425943,-0.007773422374157762,-2.0816681711721685e-17,-0.007717532076892602,-0.007824151077351127
development-winner_negative_premium-1000XECUSDT-20220608-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-06-07T00:00:00Z,2022-06-08T00:00:00Z,2022-06-09T00:00:00Z,3,1,3,0.1533526490066226,-0.0005708966666666666,15835885.361095,2,25,0.05572,0.05349,4.486719310839914,3,1.146867372577168e-06,-2.3901382358219678e-05,-0.010005384063173,-0.010299380832735072,1.214306433183765e-17,-0.010298233965362495,-0.010404575673956251,-0.010789381451902363,-1.9081958235744878e-17,-0.010788234584529786,-0.010894523643421694,-0.011279382071069599,3.469446951953614e-18,-0.011303283453427819,-0.011409517171227401
development-winner_negative_premium-1000XECUSDT-20220915-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-14T00:00:00Z,2022-09-15T00:00:00Z,2022-09-16T00:00:00Z,3,1,3,0.013380127220881777,-3.305333333333333e-05,20069336.040195,2,25,0.04616,0.04322,5.415944540727903,3,0.0005445676075184142,0.00026348190837250865,-0.01592287694974001,-0.016213323223570164,1.734723475976807e-17,-0.01566875561605175,-0.01577452027156967,-0.0166974099003466,-2.42861286636753e-17,-0.016152842292828186,-0.01625855493408679,-0.017181496577123034,6.938893903907228e-18,-0.016918014668750526,-0.017023645093587336
development-winner_negative_premium-1000XECUSDT-20220926-3-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-25T00:00:00Z,2022-09-26T00:00:00Z,2022-09-27T00:00:00Z,3,1,3,0.021933180311145106,-0.0008752933333333333,22891217.696655,2,25,0.04005,0.04066,6.242197253433208,3,-6.266196835518102e-05,-9.399295253277152e-05,0.0038077403245942443,0.003505455680399505,8.239936510889834e-18,0.003442793712044324,0.003334975554270203,0.0030016502247191545,-4.336808689942018e-19,0.0029389882563639735,0.002831224231597318,0.002497844769038693,9.974659986866641e-18,0.0024038518165059213,0.002296145291205587
