trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,condition_premium1,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-winner_negative_premium-1000XECUSDT-20220210-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-02-09T00:00:00Z,2022-02-10T00:00:00Z,2022-02-11T00:00:00Z,5,1,5,0.1748277112803771,-0.00031954,13560070.842495,3,25,0.09717,0.09265,2.5728105382319644,3,-7.366483482556345e-05,-0.00011049725223834517,-0.011629103632808502,-0.011922126170628794,2.7755575615628914e-17,-0.011995791005454358,-0.012101950314539311,-0.012410504044458176,-3.469446951953614e-18,-0.01248416887928374,-0.012590275713027843,-0.012898881918287558,6.938893903907228e-18,-0.013009379170525904,-0.013115429571350812
development-winner_negative_premium-1000XECUSDT-20220227-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-28T00:00:00Z,5,1,5,0.10991601591277433,-0.0003339833333333333,12405834.454955,5,25,0.07531,0.07237,3.319612269286947,3,-7.487962090027884e-05,-0.0001123194313504183,-0.009759660071703619,-0.010053804275660577,2.0816681711721685e-17,-0.010128683896560856,-0.010235043823010437,-0.01054405047138493,-3.469446951953614e-18,-0.01061893009228521,-0.010725237342646077,-0.011034296667109283,2.0816681711721685e-17,-0.011146616098459702,-0.011252866649890114
development-winner_negative_premium-1000XECUSDT-20220311-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-03-10T00:00:00Z,2022-03-11T00:00:00Z,2022-03-12T00:00:00Z,5,1,5,0.1058775061796211,-0.0002554333333333333,10491815.82403,5,25,0.08054,0.07303,3.1040476781723365,3,-6.04819778991805e-06,-4.997221784206606e-05,-0.02331139806307425,-0.02359741122423642,-1.0408340855860843e-17,-0.023603459422026338,-0.02370837150761973,-0.024074113813012193,-4.163336342344337e-17,-0.02408016201080211,-0.02418502287554347,-0.02455081640178791,1.734723475976807e-17,-0.024600788619629978,-0.024705593543960735
development-winner_negative_premium-1000XECUSDT-20220314-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-03-13T00:00:00Z,2022-03-14T00:00:00Z,2022-03-15T00:00:00Z,5,1,5,0.06234630406480557,-8.804666666666667e-05,10491815.82403,3,25,0.07341,0.07593,3.4055305816646233,3,-7.605149843345593e-05,-0.00011407724765018391,0.008581937065794853,0.008276787903555405,5.0306980803327406e-17,0.008200736405121948,0.008092407014800296,0.007768211115651846,3.9898639947466563e-17,0.007692159617218391,0.0075838848725751085,0.007259634327748232,1.9949319973733282e-17,0.007145557080098048,0.0070373410669331005
development-winner_negative_premium-1000XECUSDT-20220403-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-02T00:00:00Z,2022-04-03T00:00:00Z,2022-04-04T00:00:00Z,5,1,5,0.3744262994983456,-0.010748306666666665,16645724.78595,3,25,0.12877,0.11618,1.9414459889725868,3,0.0008208531476644404,0.00038757187165003494,-0.024442805001164858,-0.024728139318164144,6.938893903907228e-18,-0.023907286170499704,-0.024012165610445058,-0.0252037111788459,1.734723475976807e-17,-0.02438285803118146,-0.024487686371769457,-0.025679283039527823,0.0,-0.025291711167877786,-0.025396441853799745
development-winner_negative_premium-1000XECUSDT-20220405-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-04T00:00:00Z,2022-04-05T00:00:00Z,2022-04-06T00:00:00Z,5,1,5,0.13910128836283642,-1.8703333333333334e-05,19324200.6747,2,25,0.10876,0.11095,2.2986392055902907,2,-1.2268161186097832e-05,-3.183945940879e-05,0.005034019860242711,0.004730999448326556,-2.949029909160572e-17,0.004718731287140458,0.00461077603212523,0.004225968448878292,-3.469446951953614e-18,0.004213700287692195,0.0041057992973669855,0.0037209374494299174,-2.42861286636753e-17,0.0036890979900211273,0.003581253367286985
development-winner_negative_premium-1000XECUSDT-20220517-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-16T00:00:00Z,2022-05-17T00:00:00Z,2022-05-18T00:00:00Z,5,1,5,0.28921974083264423,-0.00021278,15333892.26016,1,25,0.04675,0.04927,5.347593582887701,2,0.0002154270971278075,0.00010771354856390375,0.013475935828877017,0.01316785026737971,2.42861286636753e-17,0.013383277364507519,0.013274391119303397,0.012654382417112309,-2.2551405187698492e-17,0.012869809514240117,0.012760978440250481,0.012140914566844963,6.071532165918825e-17,0.012248628115408866,0.012139863786264637
development-winner_negative_premium-1000XECUSDT-20220519-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-18T00:00:00Z,2022-05-19T00:00:00Z,2022-05-20T00:00:00Z,5,1,5,0.050071191267204496,-0.0008714700000000001,16063312.906624999,5,25,0.04423,0.04701,5.652272213429799,2,-5.2289752430477056e-05,-7.843462864571559e-05,0.01571331675333487,0.015403888763282914,4.683753385137379e-17,0.015351599010852436,0.01524250127296023,0.014888184874519594,-3.122502256758253e-17,0.014835895122089117,0.014726852795669876,0.014372480985756275,-3.2959746043559335e-17,0.01429404635711056,0.014185062251385272
development-winner_negative_premium-1000XECUSDT-20220521-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-20T00:00:00Z,2022-05-21T00:00:00Z,2022-05-22T00:00:00Z,5,1,5,0.05084745762711873,-0.00033497333333333334,16063312.906624999,2,25,0.04527,0.04573,5.52242102937928,3,-7.577305610779766e-05,-0.00011365958416169648,0.0025403136735144827,0.0022387894853103663,-5.204170427930421e-18,0.0021630164292025687,0.00205533578123962,0.001736250695825059,-3.599551212651875e-17,0.0016604776397172614,0.0015528509886606479,0.0012337119063397517,9.540979117872439e-18,0.0011200523221780551,0.0010124837388683083
development-winner_negative_premium-1000XECUSDT-20220607-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-06-06T00:00:00Z,2022-06-07T00:00:00Z,2022-06-08T00:00:00Z,5,1,5,0.11457455770850888,-0.00026217,14774117.91877,4,25,0.0529,0.05572,4.725897920604915,2,0.000326633573379017,0.0001633167866895085,0.013327032136105865,0.01301903591682424,6.245004513516506e-17,0.013345669490203257,0.013236787285898943,0.012505716880907347,-2.2551405187698492e-17,0.012832350454286365,0.012723523405206771,0.011992397844990565,3.9898639947466563e-17,0.012155714631680074,0.012046960285925667
development-winner_negative_premium-1000XECUSDT-20220610-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-06-09T00:00:00Z,2022-06-10T00:00:00Z,2022-06-11T00:00:00Z,5,1,5,0.0649834437086092,-0.00017523666666666667,14774117.91877,2,25,0.05147,0.04781,4.857198367981348,3,-4.839229041480474e-05,-7.258843562220712e-05,-0.017777346026811747,-0.01806667961919567,-6.938893903907228e-18,-0.018115071909610474,-0.01822057371275876,-0.018548912939576473,-3.8163916471489756e-17,-0.018597305229991277,-0.018702755218020117,-0.01903114625995725,2.42861286636753e-17,-0.019103734695579456,-0.019209130268655672
development-winner_negative_premium-1000XECUSDT-20220914-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-13T00:00:00Z,2022-09-14T00:00:00Z,2022-09-15T00:00:00Z,5,1,5,0.04174573055028463,-0.00023736000000000002,18924002.930605,2,25,0.04391,0.04616,5.693463903438852,2,-1.8421058438282854e-05,-3.5443164154235946e-05,0.012810293782737403,0.012502607606467764,-2.42861286636753e-17,0.01248418654802948,0.012375396908547165,0.01198980499886132,-1.214306433183765e-17,0.011971383940423037,0.011862649400676162,0.011477002391254876,3.8163916471489756e-17,0.011441559227100639,0.011332881616084478
development-winner_negative_premium-1000XECUSDT-20220926-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-25T00:00:00Z,2022-09-26T00:00:00Z,2022-09-27T00:00:00Z,5,1,5,0.051154249737670465,-0.0008752933333333333,22891217.696655,4,25,0.04005,0.04066,6.242197253433208,3,-6.266196835518102e-05,-9.399295253277152e-05,0.0038077403245942443,0.003505455680399505,8.239936510889834e-18,0.003442793712044324,0.003334975554270203,0.0030016502247191545,-4.336808689942018e-19,0.0029389882563639735,0.002831224231597318,0.002497844769038693,9.974659986866641e-18,0.0024038518165059213,0.002296145291205587
development-winner_negative_premium-1000XECUSDT-20220928-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-27T00:00:00Z,2022-09-28T00:00:00Z,2022-09-29T00:00:00Z,5,1,5,0.03442999234889044,-0.00044238333333333334,21203883.10713,4,25,0.04057,0.04127,6.162188809465122,3,-7.045830663790979e-05,-0.00010568745995686469,0.0043135321666255555,0.00401094404732566,5.4643789493269423e-17,0.0039404857406877495,0.003832614106783261,0.0035066331032783116,2.949029909160572e-17,0.003436174796640402,0.0033283573500573205,0.003002322159231019,6.071532165918825e-17,0.002896634699274154,0.0027888752253226734
development-winner_negative_premium-1000XECUSDT-20220930-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-29T00:00:00Z,2022-09-30T00:00:00Z,2022-10-01T00:00:00Z,5,1,5,0.045614919354838745,-0.00014267999999999998,19297042.960825,4,25,0.04148,0.04111,6.027000964320154,3,-7.464106195756991e-05,-0.00011196159293635485,-0.002229990356798467,-0.0025286523625843715,1.951563910473908e-17,-0.0026032934245419415,-0.0027104619409203945,-0.0030264237102217706,-3.0357660829594124e-18,-0.0031010647721793406,-0.0032081798039047538,-0.003524195057859225,2.6020852139652106e-18,-0.00363615665079558,-0.003743214187842736
development-winner_negative_premium-1000XECUSDT-20221007-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2022-10-06T00:00:00Z,2022-10-07T00:00:00Z,2022-10-08T00:00:00Z,5,1,5,0.047642316149523634,-0.00042164000000000004,14388460.163345,5,25,0.04288,0.04516,5.830223880597015,2,-6.17239124533582e-06,-2.8177240398787318e-05,0.013292910447761153,0.01298493470149259,6.938893903907228e-17,0.012978762310247255,0.01286991952947214,0.012471649766791049,5.204170427930421e-18,0.012465477375545713,0.012356689746331195,0.011958364832089563,-1.734723475976807e-18,0.011930187591690776,0.011821457478419006
development-winner_negative_premium-1000XECUSDT-20230719-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-07-18T00:00:00Z,2023-07-19T00:00:00Z,2023-07-20T00:00:00Z,5,1,5,0.007409793814432852,-0.0003566366666666666,83285205.389305,3,25,0.03127,0.03144,7.99488327470419,2,-1.0216621707707068e-05,-2.9932423421810046e-05,0.0013591301566997505,0.0010583146786057318,1.1492543028346347e-17,0.0010480980568980248,0.0009405372049471339,0.0005569563639270525,-5.778797579347739e-17,0.0005467397422193454,0.00043923276033486225,5.559804924853973e-05,3.960048435003305e-17,2.566562582672968e-05,-8.178536756342503e-05
development-winner_negative_premium-1000XECUSDT-20230721-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-07-20T00:00:00Z,2023-07-21T00:00:00Z,2023-07-22T00:00:00Z,5,1,5,0.07570125042243991,-0.00026156666666666666,84554665.76390001,5,25,0.03183,0.03149,7.854225573358468,3,3.126759503612943e-05,-8.854798146402774e-06,-0.00267043669494188,-0.002968834432924894,1.9949319973733282e-17,-0.0029375668378887644,-0.0030446994371787772,-0.0034661655984919715,6.938893903907228e-18,-0.003434898003455842,-0.0035419771653896204,-0.003963496764059021,2.168404344971009e-17,-0.003972351562205424,-0.004079372975702489
development-winner_negative_premium-1000XECUSDT-20230731-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-07-30T00:00:00Z,2023-07-31T00:00:00Z,2023-08-01T00:00:00Z,5,1,5,0.06320081549439327,-0.00163637,84554665.76390001,4,24,0.03127,0.03085,7.99488327470419,2,0.00029718068273265115,0.00014859034136632557,-0.003357850975375748,-0.0036558362647905185,1.734723475976807e-17,-0.0033586555820578675,-0.0034657429361052428,-0.004152480428525757,-1.9949319973733282e-17,-0.0038552997457931056,-0.003962333736301393,-0.004649124592260939,2.5153490401663703e-17,-0.004500534250894614,-0.004607498912093666
development-winner_negative_premium-1000XECUSDT-20230802-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-08-01T00:00:00Z,2023-08-02T00:00:00Z,2023-08-03T00:00:00Z,5,1,5,0.055724417426545214,-0.0007616,80812762.49344501,2,24,0.03126,0.02996,7.997440818937939,2,-4.8586364363403705e-05,-7.287954654510556e-05,-0.010396673064619333,-0.010690435060780545,2.6020852139652106e-17,-0.01073902142514395,-0.010845315771902952,-0.011180044625719754,1.214306433183765e-17,-0.011228630990083158,-0.01133487272915823,-0.011669654190659046,1.734723475976807e-18,-0.011742533737204151,-0.011848720258335721
development-winner_negative_premium-1000XECUSDT-20230830-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-08-29T00:00:00Z,2023-08-30T00:00:00Z,2023-08-31T00:00:00Z,5,1,5,0.0769552488498535,-0.0011569933333333334,10353140.75976,4,24,0.02575,0.02496,9.708737864077671,2,-4.844161165048544e-05,-7.266241747572817e-05,-0.007669902912621346,-0.007965300970873751,2.7755575615628914e-17,-0.008013742582524236,-0.00812032975568655,-0.008457635669902874,2.0816681711721685e-17,-0.00850607728155336,-0.008612611554220995,-0.008949970368931998,1.3877787807814457e-17,-0.009022632786407726,-0.009129111556097635
development-winner_negative_premium-1000XECUSDT-20231228-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-12-27T00:00:00Z,2023-12-28T00:00:00Z,2023-12-29T00:00:00Z,5,1,5,0.17881380938329872,-0.0010451833333333333,11397953.89328,3,25,0.03994,0.03802,6.259389083625438,2,0.0007722993441405858,0.0003861496720702929,-0.012018027040560875,-0.012310816224336524,1.214306433183765e-17,-0.011538516880195937,-0.011644725322578875,-0.01279880540811218,-1.0408340855860843e-17,-0.012026506063971593,-0.012132662072777745,-0.013286794591887835,1.0408340855860843e-17,-0.012900644919817543,-0.013006707003945905
development-winner_negative_premium-1000XECUSDT-20231230-5-5,development,winner_negative_premium,1000XECUSDT,Payment,2023-12-29T00:00:00Z,2023-12-30T00:00:00Z,2023-12-31T00:00:00Z,5,1,5,0.15119852489244012,-0.0004230866666666666,11919596.5464,2,25,0.03746,0.03878,6.673785371062467,3,-7.771270021356114e-05,-0.00011656905032034171,0.008809396689802462,0.00850411105178861,2.42861286636753e-17,0.008426398351575048,0.008318044714275441,0.007995306940736802,-6.938893903907228e-18,0.00791759424052324,0.007809295273327521,0.007486502829685049,1.6479873021779667e-17,0.007369933779364707,0.007261693657319324
development-winner_negative_premium-AAVEUSDT-20220116-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-01-15T00:00:00Z,2022-01-16T00:00:00Z,2022-01-17T00:00:00Z,5,1,5,0.19428170847729187,-0.0004062466666666666,208180478.4235,4,25,238.35,242.52,0.0010488777008600798,2,-4.975024231697084e-05,-7.462536347545626e-05,0.004373820012586571,0.004071195720579013,1.5612511283791264e-17,0.004021445478262042,0.003913565145376774,0.003566824524858403,-3.469446951953614e-17,0.0035170742825414323,0.0034092481434511157,0.0030624533291378486,8.673617379884035e-19,0.0029878279656623923,0.0028800586931549965
development-winner_negative_premium-AAVEUSDT-20220118-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,2022-01-19T00:00:00Z,5,1,5,0.03660322108345526,-0.0003281266666666667,202728453.064,5,25,226.59,232.37,0.0011033143563264046,3,-7.645626408491109e-05,-0.00011468439612736663,0.006377156979566645,0.006073330685378908,2.862293735361732e-17,0.005996874421293997,0.00588878183205388,0.00556695735469348,-3.0357660829594124e-17,0.005490501090608569,0.005382462910289654,0.005060584024008163,5.204170427930421e-17,0.004945899627880797,0.00483791996402827
development-winner_negative_premium-AAVEUSDT-20220202-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-02-01T00:00:00Z,2022-02-02T00:00:00Z,2022-02-03T00:00:00Z,5,1,5,0.13386426592797762,-0.0006249099999999999,160406659.5585,5,25,163.71,151.18,0.0015270905870136216,3,-7.285702061266874e-05,-0.0001092855309190031,-0.01913444505528067,-0.019422964388247477,3.469446951953614e-17,-0.019495821408860147,-0.019601174852910908,-0.019903841423859286,-3.469446951953614e-17,-0.019976698444471957,-0.020082000219133533,-0.020384718459471013,-2.42861286636753e-17,-0.020494003990390017,-0.020599250181483453
development-winner_negative_premium-AAVEUSDT-20220317-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-18T00:00:00Z,5,1,5,0.21459227467811148,-8.567333333333334e-05,80344979.569,2,25,141.54,155.5,0.0017662851490744668,3,-7.463340260173804e-05,-0.00011195010390260707,0.024657340681079554,0.024342546276670984,6.245004513516506e-17,0.024267912874069247,0.02415785709398377,0.023817903730394274,-1.0408340855860843e-17,0.023743270327792537,0.023633270919622973,0.02329326118411751,-3.8163916471489756e-17,0.0231813110802149,0.0230713720535749
development-winner_negative_premium-AAVEUSDT-20220319-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-03-18T00:00:00Z,2022-03-19T00:00:00Z,2022-03-20T00:00:00Z,5,1,5,0.38572664359861597,-7.843666666666666e-05,85487896.4125,1,25,160.18,157.1,0.001560744162816831,3,-6.738435943305968e-05,-0.00010107653914958952,-0.004807092021475862,-0.005104207766262969,4.336808689942018e-18,-0.005171592125696029,-0.005278484682910478,-0.005599403558496668,1.474514954580286e-17,-0.005666787917929728,-0.005773627267229964,-0.006094599350730451,-1.3877787807814457e-17,-0.006195675889880041,-0.006302458411100775
development-winner_negative_premium-AAVEUSDT-20220321-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-03-20T00:00:00Z,2022-03-21T00:00:00Z,2022-03-22T00:00:00Z,5,1,5,0.251660516605166,-0.00021088666666666664,93336582.292,4,25,152.65,153.77,0.0016377333770062233,3,-7.613239074025548e-05,-0.00011419858611038322,0.00183426138224696,0.001533160825417601,-2.8406096919120216e-17,0.0014570284346773455,0.001349423643878911,0.0010313276645921854,-2.190088388420719e-17,0.0009551952738519299,0.0008476444041412012,0.0005294945037668253,-6.179952383167375e-18,0.00041529591765644203,0.0003078030591789904
development-winner_negative_premium-AAVEUSDT-20220405-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-04-04T00:00:00Z,2022-04-05T00:00:00Z,2022-04-06T00:00:00Z,5,1,5,0.06429530201342293,-0.00015289666666666666,158979582.453,4,25,237.89,221.04,0.0010509058808693093,2,-4.848855324729917e-05,-7.273282987094876e-05,-0.01770776409264785,-0.01799713943419226,6.938893903907228e-18,-0.01804562798743956,-0.018151137252214733,-0.018479442294758064,-3.8163916471489756e-17,-0.018527930848005362,-0.018633388290189123,-0.018961745155323895,6.938893903907228e-18,-0.019034477985194843,-0.019139880999782477
development-winner_negative_premium-AAVEUSDT-20220522-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-05-21T00:00:00Z,2022-05-22T00:00:00Z,2022-05-23T00:00:00Z,5,1,5,0.08789505068574832,-0.0006741533333333334,151594006.86949998,3,25,91.22,94.05,0.002740627055470292,3,-7.579065300098662e-05,-0.00011368597950147995,0.0077559745669809055,0.007451320982240772,3.9898639947466563e-17,0.0073755303292397855,0.007267289605854987,0.006943569661258531,6.938893903907228e-18,0.006867779008257544,0.006759592841856454,0.006435818340276234,-2.6020852139652106e-18,0.006322132360774754,0.006214004823142938
development-winner_negative_premium-AAVEUSDT-20220524-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-05-23T00:00:00Z,2022-05-24T00:00:00Z,2022-05-25T00:00:00Z,5,1,5,0.2135257429375077,-0.00035756666666666667,151594006.86949998,1,25,99.28,106.46,0.002518130539887188,3,5.362990067504507e-05,2.6814950337522534e-05,0.018080177276389997,0.017769329170024162,6.938893903907228e-18,0.017822959070699206,0.017713595789528913,0.017251259840854183,3.122502256758253e-17,0.017304889741529227,0.01719558212599437,0.016733190511684093,-2.0816681711721685e-17,0.016760005462021617,0.016650756393341126
development-winner_negative_premium-AAVEUSDT-20220526-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-05-25T00:00:00Z,2022-05-26T00:00:00Z,2022-05-27T00:00:00Z,5,1,5,0.13172788813672187,-0.0007802099999999999,154974028.7725,4,25,101.98,100.9,0.0024514610707981957,3,-3.473222729638161e-06,-2.815483409445724e-05,-0.0026475779564620605,-0.0029459894096881267,4.2934406030425976e-17,-0.0029494626324177648,-0.0030565939535256437,-0.0034433434202784663,-3.5561831257524545e-17,-0.0034468166430081043,-0.00355389452430499,-0.003940697430868778,1.734723475976807e-17,-0.0039688522649632355,-0.004075874054453643
development-winner_negative_premium-AAVEUSDT-20220531-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-05-30T00:00:00Z,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,5,1,5,0.15032359286134533,-0.00025467666666666665,147924912.7805,2,25,117.29,112.9,0.002131469008440617,3,-7.544881299769801e-05,-0.00011317321949654702,-0.009357148947054306,-0.009651534657686062,1.734723475976807e-17,-0.00972698347068376,-0.00983338655913546,-0.010142183123028364,-1.734723475976807e-17,-0.010217631936026062,-0.010323982305165735,-0.010632831588370723,-1.3877787807814457e-17,-0.01074600480786727,-0.010852298404274041
development-winner_negative_premium-AAVEUSDT-20220603-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-06-02T00:00:00Z,2022-06-03T00:00:00Z,2022-06-04T00:00:00Z,5,1,5,0.16161827900639358,-0.00047254666666666665,154974028.7725,3,25,110.84,106.94,0.002255503428365211,3,-2.981682417776978e-06,-2.5649366466817942e-05,-0.008796463370624341,-0.009091185492601933,2.949029909160572e-17,-0.00909416717501971,-0.009200638258465843,-0.009582394307109332,-2.42861286636753e-17,-0.00958537598952711,-0.009691794293452793,-0.010073603121616787,-6.938893903907228e-18,-0.010099252488083604,-0.010205615576886151
development-winner_negative_premium-AAVEUSDT-20220624-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-06-23T00:00:00Z,2022-06-24T00:00:00Z,2022-06-25T00:00:00Z,5,1,5,0.3712442024601734,-0.0005618,159953201.569,5,24,67.97,71.09,0.0036780932764454905,3,-4.770910840293364e-05,-7.156366260440046e-05,0.01147565102250997,0.011168765631896449,8.673617379884035e-18,0.011121056523493515,0.011012413349927641,0.010657296866264598,3.469446951953614e-18,0.010609587757861664,0.01050099954071193,0.010145828100632637,-6.938893903907228e-18,0.010074264438028236,0.009965733740424865
development-winner_negative_premium-AAVEUSDT-20220708-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-07-07T00:00:00Z,2022-07-08T00:00:00Z,2022-07-09T00:00:00Z,5,1,5,0.22870962169632048,-0.00021104666666666667,118354474.27849999,4,24,71.1,71.61,0.003516174402250352,3,-7.520124775872856e-05,-0.00011280187163809283,0.0017932489451477074,0.0014921729957806384,2.949029909160572e-17,0.00141697174802191,0.0013093712612437525,0.0009903808227847977,-5.204170427930421e-17,0.0009151795750260691,0.0008076330049313629,0.0004885886497890679,2.7430314963883262e-17,0.0003757867781509751,0.0002682981648607363
development-winner_negative_premium-AAVEUSDT-20220710-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,2022-07-11T00:00:00Z,5,1,5,0.2973830293417923,-0.0009138999999999999,133664133.866,1,24,81.8,77.79,0.003056234718826406,3,2.0938459688522008e-05,8.564052789551347e-06,-0.012255501222493859,-0.012548147921760344,2.0816681711721685e-17,-0.012527209462071823,-0.012633311671181202,-0.013035899773838566,-2.2551405187698492e-17,-0.013014961314150045,-0.01312101111518349,-0.013523651625916816,3.642919299551295e-17,-0.013515087573127265,-0.013621083636476516
development-winner_negative_premium-AAVEUSDT-20220712-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-07-11T00:00:00Z,2022-07-12T00:00:00Z,2022-07-13T00:00:00Z,5,1,5,0.10994598029869729,-0.0009088,148848637.14450002,1,24,69.86,68.32,0.0035785857429144,2,6.463681922281708e-06,-1.034573697506978e-05,-0.00551102204408821,-0.005807715430861754,-8.673617379884035e-18,-0.005801251748939472,-0.005908076650338212,-0.0063022077154308576,-5.204170427930421e-18,-0.006295744033508576,-0.006402515802583775,-0.006796700000000017,-6.071532165918825e-18,-0.006807045736975086,-0.006913762567584469
development-winner_negative_premium-AAVEUSDT-20220714-5-5,development,winner_negative_premium,AAVEUSDT,DeFi,2022-07-13T00:00:00Z,2022-07-14T00:00:00Z,2022-07-15T00:00:00Z,5,1,5,0.11239877129293485,-0.00046753666666666665,148848637.14450002,1,24,79.67,91.13,0.0031379440190786997,3,-1.3948378969972966e-06,-3.303630730363577e-05,0.0359608384586419,0.035639261955566715,2.0816681711721685e-17,0.03563786711766972,0.03552658965606126,0.03510332269361116,3.469446951953614e-17,0.035101927855714164,0.034990707979833724,0.03456738343165561,4.85722573273506e-17,0.03453434712435197,0.0344231882340198
