trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-bottom3-20230102-AAVEUSDT,bottom3,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AAVEUSDT,-0.1107405269114783,1,21,52.1,59.32,0.5,0.009596928982725527,20,0.0010433224446302668,0.0005216612223151334,-0.06928982725527832,-0.06928982725527832,-0.06993140115163138,8.326672684688674e-17,-0.06888807870700112,-0.07100073255278305,0.0,-0.06995741010815279,-0.07207006395393473,-1.3877787807814457e-17,-0.0715484027316196
development-bottom3-20230102-KAVAUSDT,bottom3,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.27018233148741483,2,21,0.5361,0.6819,0.5,0.9326618168252191,20,-0.009915398260352733,-0.015031556483781475,-0.1359820928931169,-0.1359820928931169,-0.13666368214885266,8.326672684688674e-17,-0.1465790804092054,-0.13779974583100152,2.7755575615628914e-17,-0.14771514409135425,-0.1389358095131505,-5.551115123125783e-17,-0.15396736599693195
development-bottom3-20230102-SOLUSDT,bottom3,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SOLUSDT,-0.1410205683744982,3,21,9.977,14.464,0.5,0.05011526510975243,20,-0.02419384109233888,-0.03629076163850833,-0.22486719454745918,-0.22486719454745918,-0.22560211486418763,0.0,-0.2497959559565265,-0.22682711697905167,5.551115123125783e-17,-0.2510209580713906,-0.22805211909391604,0.0,-0.26434288073242435
development-bottom3-20230109-LTCUSDT,bottom3,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,LTCUSDT,-0.03692113046807207,1,22,78.68,87.45,0.5,0.006354855109303508,21,0.0012024446631672598,0.0006012223315836299,-0.0557320793085917,-0.0557320793085917,-0.05636551855617694,-4.85722573273506e-17,-0.05516307389300968,-0.05742128407473307,-2.7755575615628914e-17,-0.05621883941156581,-0.05847704959328914,4.163336342344337e-17,-0.057875827261705516
development-bottom3-20230109-XRPUSDT,bottom3,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XRPUSDT,-0.029409685616593153,3,22,0.345,0.3845,0.5,1.4492753623188408,21,0.0010456395086956523,0.0004922847543478262,-0.05724637681159428,-0.05724637681159428,-0.05788072463768129,-6.938893903907228e-17,-0.05683508512898564,-0.05893800536231886,-4.163336342344337e-17,-0.05789236585362321,-0.059995286086956645,0.0,-0.05950300133260882
development-bottom3-20230116-AVAXUSDT,bottom3,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,AVAXUSDT,-0.09969545384507945,1,24,16.817,17.35,0.5,0.029731818992685972,21,0.001536820397327032,0.000768410198663516,-0.015847059523101614,-0.015847059523101614,-0.016456567758815488,3.469446951953614e-17,-0.014919747361488456,-0.0174724243265742,3.469446951953614e-17,-0.015935603929247165,-0.01848828089433313,2.42861286636753e-17,-0.017719870695669614
development-bottom3-20230116-SOLUSDT,bottom3,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,SOLUSDT,-0.09557608817069418,2,24,22.903,24.196,0.5,0.021831201152687423,21,0.00140368976372835,0.000701844881864175,-0.02822774309042486,-0.02822774309042486,-0.0288446797362793,-1.4224732503009818e-16,-0.02744098997255095,-0.0298729244160153,4.163336342344337e-17,-0.02846923465228695,-0.03090116909575169,-1.0408340855860843e-17,-0.030199324213887515
development-bottom3-20230116-ZILUSDT,bottom3,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,ZILUSDT,-0.09695661669210873,3,24,0.02594,0.027,0.5,19.275250578257516,21,0.0011597506535851966,0.0005798753267925983,-0.0204317656129529,-0.0204317656129529,-0.02104402467232075,-3.8163916471489756e-17,-0.01988427401873555,-0.02206446869699291,1.0408340855860843e-17,-0.020904718043407714,-0.023084912721665296,3.469446951953614e-17,-0.0225050373948727
development-bottom3-20230123-HBARUSDT,bottom3,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,HBARUSDT,-0.15784929861284588,1,24,0.06901,0.06944,0.5,7.245326764237067,21,0.0010332291508477031,0.0005166145754238516,-0.003115490508621921,-0.003115490508621921,-0.003717359802927145,-3.426078865054194e-17,-0.0026841306520794415,-0.00472047716272983,9.454242944073599e-17,-0.003687248011882127,-0.00572359452253296,-1.9949319973733282e-17,-0.005206979947109109
development-bottom3-20230123-KAVAUSDT,bottom3,2023-01-23T00:00:00+0000,2023-01-30T00:00:00+0000,2023-01-22T00:00:00+0000,KAVAUSDT,-0.1395312734123857,2,24,0.9994,1.0335,0.5,0.5003001801080649,21,0.0010388534695817493,0.0005194267347908747,-0.01706023614168506,-0.01706023614168506,-0.017670472283370098,-1.0408340855860843e-17,-0.01663161881378835,-0.018687542755653375,3.122502256758253e-17,-0.017648689286071627,-0.019704613227936818,1.3877787807814457e-17,-0.019185186493145944
development-bottom3-20230130-SNXUSDT,bottom3,2023-01-30T00:00:00+0000,2023-02-06T00:00:00+0000,2023-01-29T00:00:00+0000,SNXUSDT,-0.07626057835496758,2,24,2.486,2.56,0.5,0.20112630732099757,21,0.0011378147477411104,0.0005689073738705552,-0.014883346741753734,-0.014883346741753734,-0.015492276749798861,-2.0816681711721685e-17,-0.014354462002057752,-0.016507169026548696,-3.469446951953614e-17,-0.015369354278807586,-0.01752206130329842,-2.7755575615628914e-17,-0.016953153929427863
development-bottom3-20230130-ZILUSDT,bottom3,2023-01-30T00:00:00+0000,2023-02-06T00:00:00+0000,2023-01-29T00:00:00+0000,ZILUSDT,-0.06890271642017576,3,24,0.02958,0.02882,0.5,16.903313049357674,21,0.000993674491805274,0.000496837245902637,0.012846517917511846,0.012846517917511846,0.012254225828262355,1.0408340855860843e-17,0.013247900320067629,0.011267080054090661,-1.734723475976807e-18,0.012260754545895935,0.010279934279918856,-8.673617379884035e-18,0.010776771525821493
development-bottom3-20230206-AVAXUSDT,bottom3,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,AVAXUSDT,-0.12654427376939753,1,25,20.087,17.768,0.5,0.02489172101359088,21,0.0007923907692396228,0.00036999833379091707,0.05772390103051722,0.05772390103051722,0.05715853537113552,-1.3877787807814457e-17,0.05795092614037514,0.05621629390650673,-2.0816681711721685e-17,0.05700868467574635,0.055274052441877775,-1.3877787807814457e-17,0.05564405077566869
development-bottom3-20230206-ENSUSDT,bottom3,2023-02-06T00:00:00+0000,2023-02-13T00:00:00+0000,2023-02-05T00:00:00+0000,ENSUSDT,-0.12675794746625152,2,25,15.257,14.143,0.5,0.032771842432981584,21,0.0010807560111854985,0.0005403780055927492,0.03650783247034145,0.03650783247034145,0.03592973716982362,-3.469446951953614e-17,0.037010493181009116,0.034966266906993504,-6.938893903907228e-18,0.036047022918179,0.03400279664416328,-3.469446951953614e-17,0.03454317464975603
development-bottom3-20230213-CRVUSDT,bottom3,2023-02-13T00:00:00+0000,2023-02-20T00:00:00+0000,2023-02-12T00:00:00+0000,CRVUSDT,-0.2957401337815432,1,25,0.926,1.205,0.5,0.5399568034557235,21,0.0005801387612139849,-7.438993165656056e-05,-0.15064794816414684,-0.15064794816414684,-0.15133833693304538,-2.7755575615628914e-17,-0.1507581981718314,-0.1524890752699784,-5.551115123125783e-17,-0.15190893650876441,-0.15363981360691142,2.7755575615628914e-17,-0.153714203538568
development-bottom3-20230213-NEARUSDT,bottom3,2023-02-13T00:00:00+0000,2023-02-20T00:00:00+0000,2023-02-12T00:00:00+0000,NEARUSDT,-0.24087451228544146,2,25,2.236,2.577,0.5,0.22361359570661893,21,0.0010601330165583408,0.000515377469817632,-0.076252236135957,-0.076252236135957,-0.07689798747763865,-8.326672684688674e-17,-0.07583785446108031,-0.07797428546511614,-4.163336342344337e-17,-0.0769141524485578,-0.0790505834525938,4.163336342344337e-17,-0.07853520598277618
development-bottom3-20230213-SNXUSDT,bottom3,2023-02-13T00:00:00+0000,2023-02-20T00:00:00+0000,2023-02-12T00:00:00+0000,SNXUSDT,-0.25197558532978365,3,25,2.352,2.614,0.5,0.21258503401360546,21,0.001129613571853742,0.000564806785926871,-0.05569727891156462,-0.05569727891156462,-0.056330697278911546,2.7755575615628914e-17,-0.055201083707057806,-0.05738642797619048,6.938893903907228e-18,-0.05625681440433674,-0.05844215867346925,6.245004513516506e-17,-0.05787735188754237
development-bottom3-20230227-AVAXUSDT,bottom3,2023-02-27T00:00:00+0000,2023-03-06T00:00:00+0000,2023-02-26T00:00:00+0000,AVAXUSDT,-0.16331390141039004,1,24,18.421,16.137,0.5,0.027142934694099126,21,0.0007612090570192689,0.0003536885662925995,0.06199446284132237,0.06199446284132237,0.061431659519027126,-4.163336342344337e-17,0.062192868576046396,0.060493691178546305,2.7755575615628914e-17,0.061254900235565575,0.059555722838065206,1.3877787807814457e-17,0.05990941140435781
development-bottom3-20230227-CRVUSDT,bottom3,2023-02-27T00:00:00+0000,2023-03-06T00:00:00+0000,2023-02-26T00:00:00+0000,CRVUSDT,-0.24158172528496275,2,24,1.021,0.93,0.5,0.4897159647404506,21,0.0002953755145245349,-0.00022687325421814403,0.04456415279138093,0.04456415279138093,0.04399089128305572,-4.163336342344337e-17,0.044286266797580257,0.04303548217433889,-2.0816681711721685e-17,0.043330857688863425,0.04208007306562184,-6.938893903907228e-18,0.041853199811403695
development-bottom3-20230227-HBARUSDT,bottom3,2023-02-27T00:00:00+0000,2023-03-06T00:00:00+0000,2023-02-26T00:00:00+0000,HBARUSDT,-0.17975759574384967,3,24,0.07485,0.06389,0.5,6.680026720106881,21,0.0008971280860013361,0.00044856404300066806,0.07321309285237138,0.07321309285237138,0.07265702070808278,-4.163336342344337e-17,0.07355414879408412,0.07173027772879093,1.3877787807814457e-17,0.07262740581479227,0.07080353474949902,1.3877787807814457e-17,0.07125209879249969
development-bottom3-20230306-ENSUSDT,bottom3,2023-03-06T00:00:00+0000,2023-03-13T00:00:00+0000,2023-03-05T00:00:00+0000,ENSUSDT,-0.19749341101311346,1,24,13.812,13.012,0.5,0.03620040544454098,21,0.0005949132613767305,0.00028733266674396907,0.028960324355632727,0.028960324355632727,0.028377700550246077,-4.85722573273506e-17,0.02897261381162281,0.027406678250796457,6.938893903907228e-18,0.02800159151217319,0.02643565595134667,1.734723475976807e-17,0.02672298861809064
development-bottom3-20230306-VETUSDT,bottom3,2023-03-06T00:00:00+0000,2023-03-13T00:00:00+0000,2023-03-05T00:00:00+0000,VETUSDT,-0.18669972769498963,2,24,0.0243,0.02195,0.5,20.5761316872428,21,0.0006919319951893003,0.0002315493925349794,0.04835390946502055,0.04835390946502055,0.04778292181069954,-6.938893903907228e-18,0.04847485380588884,0.04683130473251029,0.0,0.04752323672769959,0.04587968765432093,-3.469446951953614e-17,0.046111237046855914
development-bottom3-20230306-ZILUSDT,bottom3,2023-03-06T00:00:00+0000,2023-03-13T00:00:00+0000,2023-03-05T00:00:00+0000,ZILUSDT,-0.1844978362165501,3,24,0.02755,0.02442,0.5,18.148820326678766,21,-0.0002622516524446461,-0.0006413099872713249,0.056805807622504534,0.056805807622504534,0.056239891107078,-5.551115123125783e-17,0.055977639454633354,0.055296730998185106,-5.551115123125783e-17,0.05503447934574046,0.05435357088929221,0.0,0.053712260902020886
development-bottom3-20230313-DASHUSDT,bottom3,2023-03-13T00:00:00+0000,2023-03-20T00:00:00+0000,2023-03-12T00:00:00+0000,DASHUSDT,-0.21253347235868375,1,24,53.24,57.6,0.5,0.009391435011269721,21,0.0010774613925803006,0.0005387306962901503,-0.04094665664913599,-0.04094665664913599,-0.041571224643125515,-5.551115123125783e-17,-0.04049376325054521,-0.04261219586776854,6.938893903907228e-18,-0.04153473447518824,-0.04365316709241168,2.0816681711721685e-17,-0.04311443639612153
development-bottom3-20230313-LTCUSDT,bottom3,2023-03-13T00:00:00+0000,2023-03-20T00:00:00+0000,2023-03-12T00:00:00+0000,LTCUSDT,-0.17131904108531515,2,24,76.31,83.99,0.5,0.006552221202987813,21,0.0009047305456232841,0.00037397638406835805,-0.05032105883894633,-0.05032105883894633,-0.05095125147424967,4.85722573273506e-17,-0.05004652092862639,-0.05200160272572396,-4.163336342344337e-17,-0.05109687218010068,-0.05305195397719825,-4.163336342344337e-17,-0.05267797759312989
development-bottom3-20230313-SNXUSDT,bottom3,2023-03-13T00:00:00+0000,2023-03-20T00:00:00+0000,2023-03-12T00:00:00+0000,SNXUSDT,-0.17039298592868077,3,24,2.782,2.869,0.5,0.17972681524083392,21,-5.580191740028743e-05,-0.0009111473358579078,-0.01563623292595262,-0.01563623292595262,-0.016245614665708175,-1.734723475976807e-17,-0.016301416583108463,-0.017261260280373836,-7.632783294297951e-17,-0.017317062197774125,-0.018276905895039608,-1.0408340855860843e-17,-0.019188053230897516
development-bottom3-20230320-ETCUSDT,bottom3,2023-03-20T00:00:00+0000,2023-03-27T00:00:00+0000,2023-03-19T00:00:00+0000,ETCUSDT,-0.06948957569083376,1,24,21.07,20.327,0.5,0.023730422401518746,21,0.000877297367017736,0.00040459856058159464,0.017631703844328384,0.017631703844328384,0.01704228286663495,-3.8163916471489756e-17,0.017919580233652685,0.016059925149501608,-2.0816681711721685e-17,0.016937222516519343,0.015077567432368266,-1.734723475976807e-18,0.01548216599294986
development-bottom3-20230320-KAVAUSDT,bottom3,2023-03-20T00:00:00+0000,2023-03-27T00:00:00+0000,2023-03-19T00:00:00+0000,KAVAUSDT,-0.20783530997742403,2,24,0.9886,0.865,0.5,0.5057657293141816,21,-0.0006036791629663665,-0.0012276480730179292,0.06251264414323288,0.06251264414323288,0.06195015172971874,-7.632783294297951e-17,0.06134647256675237,0.06101270188144853,-5.551115123125783e-17,0.06040902271848216,0.060075252033178206,-3.469446951953614e-17,0.058847603960160276
development-bottom3-20230327-SNXUSDT,bottom3,2023-03-27T00:00:00+0000,2023-04-03T00:00:00+0000,2023-03-26T00:00:00+0000,SNXUSDT,-0.26192781466787646,2,24,2.469,2.559,0.5,0.20251113811259622,22,0.000949733082017011,0.0004563506337586068,-0.018226002430133725,-0.018226002430133725,-0.018836938031591866,-6.245004513516506e-17,-0.017887204949574853,-0.019855174969623357,-3.469446951953614e-18,-0.018905441887606345,-0.02087341190765496,3.8163916471489756e-17,-0.020417061273896354
development-bottom3-20230327-SOLUSDT,bottom3,2023-03-27T00:00:00+0000,2023-04-03T00:00:00+0000,2023-03-26T00:00:00+0000,SOLUSDT,-0.13306546784502415,3,24,20.929,20.509,0.5,0.023890295761861535,22,0.0001669212453209136,-0.00027878343602866847,0.010033924219981782,0.010033924219981782,0.009439944574513748,-4.163336342344337e-17,0.009606865819834661,0.008449984519088405,3.469446951953614e-18,0.008616905764409318,0.007460024463662784,2.42861286636753e-17,0.007181241027634116
development-bottom3-20230403-KAVAUSDT,bottom3,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,KAVAUSDT,-0.09394405202566197,1,24,0.8456,0.8634,0.5,0.5912961210974456,21,0.0010549861466863763,0.0005274930733431882,-0.010525070955534455,-0.010525070955534455,-0.011131385998107757,5.204170427930421e-17,-0.010076399851421381,-0.012141917384105916,-2.42861286636753e-17,-0.01108693123741954,-0.013152448770104075,-3.122502256758253e-17,-0.012624955696760887
development-bottom3-20230403-XLMUSDT,bottom3,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,XLMUSDT,-0.07242327797017378,2,24,0.10651,0.10469,0.5,4.694394892498357,21,0.0002938040889597221,-7.5783678602947506e-06,0.008543798704346961,0.008543798704346961,0.007948924983569472,-9.020562075079397e-17,0.008242729072529193,0.006957473908553113,-4.336808689942018e-17,0.007251277997512836,0.005966022833536755,3.469446951953614e-18,0.00595844446567646
development-bottom3-20230403-XRPUSDT,bottom3,2023-04-03T00:00:00+0000,2023-04-10T00:00:00+0000,2023-04-02T00:00:00+0000,XRPUSDT,-0.12324103873924612,3,24,0.5176,0.505,0.5,0.9659969088098919,21,0.0001606338493550039,-8.366316161084816e-05,0.012171561051004587,0.012171561051004587,0.01157886398763519,5.204170427930421e-18,0.011739497836990194,0.010591042851622823,-1.5612511283791264e-17,0.010751676700977826,0.009603221715610455,-3.2959746043559335e-17,0.009519558553999607
development-bottom3-20230410-HBARUSDT,bottom3,2023-04-10T00:00:00+0000,2023-04-17T00:00:00+0000,2023-04-09T00:00:00+0000,HBARUSDT,-0.12465213808834012,1,24,0.06448,0.06921,0.5,7.7543424317617875,20,0.0016473191031947893,0.0008236595515973946,-0.03667803970223327,-0.03667803970223327,-0.03730004652605462,-4.163336342344337e-17,-0.03565272742285983,-0.03833674657258063,-5.551115123125783e-17,-0.03668942746938584,-0.03937344661910669,-2.0816681711721685e-17,-0.03854978706750929
development-bottom3-20230410-SNXUSDT,bottom3,2023-04-10T00:00:00+0000,2023-04-17T00:00:00+0000,2023-04-09T00:00:00+0000,SNXUSDT,-0.09074048411425954,2,24,2.631,2.843,0.5,0.19004180919802358,20,0.0012060294917435198,0.0006030147458717599,-0.04028886354998107,-0.04028886354998107,-0.04091303686811104,-1.3877787807814457e-17,-0.03970700737636752,-0.041953349904979065,-2.0816681711721685e-17,-0.04074732041323555,-0.042993662941847255,-1.3877787807814457e-17,-0.042390648195975496
development-bottom3-20230410-ZILUSDT,bottom3,2023-04-10T00:00:00+0000,2023-04-17T00:00:00+0000,2023-04-09T00:00:00+0000,ZILUSDT,-0.07356985116135623,3,24,0.02922,0.0326,0.5,17.111567419575632,20,0.0012488566526214922,0.0006244283263107461,-0.0578370978781656,-0.0578370978781656,-0.05847180013689257,-7.632783294297951e-17,-0.05722294348427108,-0.059529671937029294,-1.3877787807814457e-17,-0.0582808152844078,-0.06058754373716635,-4.85722573273506e-17,-0.059963115410855604
development-bottom3-20230417-ENSUSDT,bottom3,2023-04-17T00:00:00+0000,2023-04-24T00:00:00+0000,2023-04-16T00:00:00+0000,ENSUSDT,-0.0495275925918937,1,24,14.653,12.024,0.5,0.034122705248072066,22,0.0011664692480888624,0.0005497182925727565,0.08970859209718152,0.08970859209718152,0.08916241725243979,-2.7755575615628914e-17,0.09032888650052864,0.08825217966969234,0.0,0.0894186489177812,0.08734194208694468,0.0,0.08789166037951744
development-bottom3-20230417-ETCUSDT,bottom3,2023-04-17T00:00:00+0000,2023-04-24T00:00:00+0000,2023-04-16T00:00:00+0000,ETCUSDT,-0.03837052578437687,2,24,22.267,19.696,0.5,0.022454753671352225,22,0.0008089322733708849,0.00034590782169015803,0.05773117168904651,0.05773117168904651,0.05716581039205998,2.7755575615628914e-17,0.057974742665430866,0.05622357620245211,-6.938893903907228e-18,0.057032508475822995,0.055281342012844126,6.938893903907228e-18,0.055627249834534286
development-bottom3-20230417-XRPUSDT,bottom3,2023-04-17T00:00:00+0000,2023-04-24T00:00:00+0000,2023-04-16T00:00:00+0000,XRPUSDT,-0.04964030613948724,3,24,0.5208,0.4643,0.5,0.9600614439324116,22,1.58694398957373e-05,-0.0005607151018691436,0.05424347158218129,0.05424347158218129,0.05367601766513064,3.469446951953614e-17,0.05369188710502638,0.05273029368279575,-2.7755575615628914e-17,0.05274616312269149,0.051784569700460914,1.3877787807814457e-17,0.05122385459859177
development-bottom3-20230424-AVAXUSDT,bottom3,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,AVAXUSDT,-0.24890208915902262,1,24,16.832,17.083,0.5,0.029705323193916347,20,0.0005420968353956392,0.0002139763191600493,-0.007456036121672893,-0.007456036121672893,-0.008060509743345878,5.898059818321144e-17,-0.007518412907950239,-0.009067970253089364,-6.938893903907228e-17,-0.008525873417693725,-0.010075430762832682,-3.122502256758253e-17,-0.009861454443672634
development-bottom3-20230424-NEARUSDT,bottom3,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,NEARUSDT,-0.23127791674239645,2,24,1.911,1.928,0.5,0.2616431187859759,20,0.0006673493391037938,0.00022599038203206432,-0.004447933019361527,-0.004447933019361527,-0.005050601779173269,-8.673617379884035e-17,-0.0043832524400694755,-0.006055052380952275,2.6020852139652106e-18,-0.005387703041848481,-0.0070595029827315026,4.5102810375396984e-17,-0.006833512600699438
development-bottom3-20230424-RUNEUSDT,bottom3,2023-04-24T00:00:00+0000,2023-05-01T00:00:00+0000,2023-04-23T00:00:00+0000,RUNEUSDT,-0.22037608905705341,3,24,1.375,1.34,0.5,0.36363636363636365,20,0.0009928311905454546,0.0004964155952727273,0.012727272727272698,0.012727272727272698,0.01213490909090903,-3.2959746043559335e-17,0.013127740281454484,0.011147644000000012,-3.122502256758253e-17,0.012140475190545466,0.010160378909090884,1.9081958235744878e-17,0.01065679450436361
