trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-hmom28-20230102-KAVAUSDT,hmom28,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.5668642166602507,1,21,0.5361,0.6819,0.5,0.9326618168252191,20,-0.009915398260352733,-0.015031556483781475,-0.1359820928931169,-0.1359820928931169,-0.13666368214885266,8.326672684688674e-17,-0.1465790804092054,-0.13779974583100152,2.7755575615628914e-17,-0.14771514409135425,-0.1389358095131505,-5.551115123125783e-17,-0.15396736599693195
development-hmom28-20230102-SOLUSDT,hmom28,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SOLUSDT,-0.4050975286149611,2,21,9.977,14.464,0.5,0.05011526510975243,20,-0.02419384109233888,-0.03629076163850833,-0.22486719454745918,-0.22486719454745918,-0.22560211486418763,0.0,-0.2497959559565265,-0.22682711697905167,5.551115123125783e-17,-0.2510209580713906,-0.22805211909391604,0.0,-0.26434288073242435
development-hmom28-20230102-NEARUSDT,hmom28,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,NEARUSDT,-0.36106091588198663,3,21,1.275,1.646,0.5,0.3921568627450981,20,-0.0008699200480322745,-0.001861673625981941,-0.1454901960784314,-0.1454901960784314,-0.14617749019607845,0.0,-0.14704741024411072,-0.14732306768627446,-2.7755575615628914e-17,-0.14819298773430672,-0.14846864517647068,-2.7755575615628914e-17,-0.15033031880245262
development-hmom28-20230102-SNXUSDT,hmom28,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SNXUSDT,-0.312275532793794,4,21,1.475,1.765,0.5,0.3389830508474576,20,-0.00032617568698799996,-0.0008874328976540339,-0.0983050847457626,-0.0983050847457626,-0.0989640677966101,0.0,-0.0992902434835981,-0.10006243186440666,-6.938893903907228e-17,-0.10038860755139467,-0.10116079593220334,0.0,-0.10204822882985737
development-hmom28-20230102-LINKUSDT,hmom28,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LINKUSDT,-0.2998280601634315,5,21,5.627,5.962,0.5,0.0888572951839346,20,0.000785700722623956,0.00037008951183623603,-0.029767193886618082,-0.029767193886618082,-0.030385054202950068,-6.938893903907228e-18,-0.02959935348032611,-0.03141483925715283,9.020562075079397e-17,-0.03062913853452887,-0.03244462431135592,1.3877787807814457e-17,-0.03207453479951968
development-hmom28-20230109-AVAXUSDT,hmom28,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,AVAXUSDT,-0.17753877671071466,2,22,12.087,16.817,0.5,0.04136675767353355,21,0.0013826760607071236,0.00039907203634762976,-0.19566476379581366,-0.19566476379581366,-0.1963821626540913,-1.1102230246251565e-16,-0.19499948659338417,-0.1975779448167453,0.0,-0.19619526875603815,-0.19877372697939938,2.7755575615628914e-17,-0.19837465494305176
development-hmom28-20230109-CRVUSDT,hmom28,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,CRVUSDT,-0.147941793620129,4,22,0.577,0.834,0.5,0.8665511265164645,21,0.0016667215291674181,0.0008333607645837091,-0.22270363951473138,-0.22270363951473138,-0.22343726169844025,-2.7755575615628914e-17,-0.22177054016927283,-0.2246600989601386,-2.7755575615628914e-17,-0.2229933774309712,-0.22588293622183703,5.551115123125783e-17,-0.22504957545725332
development-hmom28-20230109-XRPUSDT,hmom28,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XRPUSDT,-0.14537778195073042,5,22,0.345,0.3845,0.5,1.4492753623188408,21,0.0010456395086956523,0.0004922847543478262,-0.05724637681159428,-0.05724637681159428,-0.05788072463768129,-6.938893903907228e-17,-0.05683508512898564,-0.05893800536231886,-4.163336342344337e-17,-0.05789236585362321,-0.059995286086956645,0.0,-0.05950300133260882
development-hmom28-20230116-ZILUSDT,hmom28,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,ZILUSDT,-0.09695661669210873,2,24,0.02594,0.027,0.5,19.275250578257516,21,0.0011597506535851966,0.0005798753267925983,-0.0204317656129529,-0.0204317656129529,-0.02104402467232075,-3.8163916471489756e-17,-0.01988427401873555,-0.02206446869699291,1.0408340855860843e-17,-0.020904718043407714,-0.023084912721665296,3.469446951953614e-17,-0.0225050373948727
development-hmom28-20230116-SOLUSDT,hmom28,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,SOLUSDT,-0.09557608817069418,3,24,22.903,24.196,0.5,0.021831201152687423,21,0.00140368976372835,0.000701844881864175,-0.02822774309042486,-0.02822774309042486,-0.0288446797362793,-1.4224732503009818e-16,-0.02744098997255095,-0.0298729244160153,4.163336342344337e-17,-0.02846923465228695,-0.03090116909575169,-1.0408340855860843e-17,-0.030199324213887515
