trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20230102-KAVAUSDT,main,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.27018233148741483,1,21,0.5361,0.6819,0.5,0.9326618168252191,20,-0.009915398260352733,-0.015031556483781475,-0.1359820928931169,-0.1359820928931169,-0.13666368214885266,8.326672684688674e-17,-0.1465790804092054,-0.13779974583100152,2.7755575615628914e-17,-0.14771514409135425,-0.1389358095131505,-5.551115123125783e-17,-0.15396736599693195
development-main-20230102-SOLUSDT,main,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SOLUSDT,-0.1410205683744982,2,21,9.977,14.464,0.5,0.05011526510975243,20,-0.02419384109233888,-0.03629076163850833,-0.22486719454745918,-0.22486719454745918,-0.22560211486418763,0.0,-0.2497959559565265,-0.22682711697905167,5.551115123125783e-17,-0.2510209580713906,-0.22805211909391604,0.0,-0.26434288073242435
development-main-20230102-AAVEUSDT,main,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AAVEUSDT,-0.1107405269114783,3,21,52.1,59.32,0.5,0.009596928982725527,20,0.0010433224446302668,0.0005216612223151334,-0.06928982725527832,-0.06928982725527832,-0.06993140115163138,8.326672684688674e-17,-0.06888807870700112,-0.07100073255278305,0.0,-0.06995741010815279,-0.07207006395393473,-1.3877787807814457e-17,-0.0715484027316196
development-main-20230102-XRPUSDT,main,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XRPUSDT,-0.09651799045910645,4,21,0.3384,0.345,0.5,1.4775413711583925,20,-0.0003056065149125296,-0.0009847217954834515,-0.009751773049645363,-0.009751773049645363,-0.010357624113475128,4.336808689942018e-17,-0.010663230628387657,-0.011367381737588667,-2.0816681711721685e-17,-0.011672988252501196,-0.012377139361702205,-8.326672684688674e-17,-0.013361861157185656
development-main-20230102-RUNEUSDT,main,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.08422106986791647,5,21,1.287,1.421,0.5,0.38850038850038854,20,0.0009859675361305364,0.0004929837680652682,-0.05205905205905215,-0.05205905205905215,-0.052690287490287646,-1.0408340855860843e-16,-0.05170431995415711,-0.05374237777777785,-4.85722573273506e-17,-0.05275641024164732,-0.054794468065268165,-1.3877787807814457e-17,-0.0543014842972029
development-main-20230109-LTCUSDT,main,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,LTCUSDT,-0.03692113046807207,2,22,78.68,87.45,0.5,0.006354855109303508,21,0.0012024446631672598,0.0006012223315836299,-0.0557320793085917,-0.0557320793085917,-0.05636551855617694,-4.85722573273506e-17,-0.05516307389300968,-0.05742128407473307,-2.7755575615628914e-17,-0.05621883941156581,-0.05847704959328914,4.163336342344337e-17,-0.057875827261705516
development-main-20230109-TRXUSDT,main,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,TRXUSDT,-0.024517708618932682,4,22,0.05439,0.06231,0.5,9.192866335723478,21,-0.00024276895019488868,-0.0007290782109882329,-0.07280750137892988,-0.07280750137892988,-0.0734511858797573,-2.7755575615628914e-17,-0.07369395482995218,-0.07452403706563704,-4.163336342344337e-17,-0.07476680601583192,-0.07559688825151689,-8.326672684688674e-17,-0.07632596646250513
development-main-20230109-XMRUSDT,main,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XMRUSDT,-0.023913630002701892,5,22,155.36,174.5,0.5,0.003218331616889804,21,-0.0011849737706523579,-0.002159362810009912,-0.06159886714727081,-0.06159886714727081,-0.06223582646755915,2.0816681711721685e-17,-0.0634208002382115,-0.06329746229402672,0.0,-0.06448243606467907,-0.06435909812049428,-1.3877787807814457e-17,-0.0665184609305042
development-main-20230116-AVAXUSDT,main,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,AVAXUSDT,-0.09969545384507945,1,24,16.817,17.35,0.5,0.029731818992685972,21,0.001536820397327032,0.000768410198663516,-0.015847059523101614,-0.015847059523101614,-0.016456567758815488,3.469446951953614e-17,-0.014919747361488456,-0.0174724243265742,3.469446951953614e-17,-0.015935603929247165,-0.01848828089433313,2.42861286636753e-17,-0.017719870695669614
development-main-20230116-ZILUSDT,main,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,ZILUSDT,-0.09695661669210873,2,24,0.02594,0.027,0.5,19.275250578257516,21,0.0011597506535851966,0.0005798753267925983,-0.0204317656129529,-0.0204317656129529,-0.02104402467232075,-3.8163916471489756e-17,-0.01988427401873555,-0.02206446869699291,1.0408340855860843e-17,-0.020904718043407714,-0.023084912721665296,3.469446951953614e-17,-0.0225050373948727
