trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-mom7-20230102-KAVAUSDT,mom7,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.22101133391455974,1,21,0.5361,0.6819,0.5,0.9326618168252191,20,-0.009915398260352733,-0.015031556483781475,-0.1359820928931169,-0.1359820928931169,-0.13666368214885266,8.326672684688674e-17,-0.1465790804092054,-0.13779974583100152,2.7755575615628914e-17,-0.14771514409135425,-0.1389358095131505,-5.551115123125783e-17,-0.15396736599693195
development-mom7-20230102-SOLUSDT,mom7,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SOLUSDT,-0.1227468565901696,2,21,9.977,14.464,0.5,0.05011526510975243,20,-0.02419384109233888,-0.03629076163850833,-0.22486719454745918,-0.22486719454745918,-0.22560211486418763,0.0,-0.2497959559565265,-0.22682711697905167,5.551115123125783e-17,-0.2510209580713906,-0.22805211909391604,0.0,-0.26434288073242435
development-mom7-20230102-RUNEUSDT,mom7,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.07080924855491322,3,21,1.287,1.421,0.5,0.38850038850038854,20,0.0009859675361305364,0.0004929837680652682,-0.05205905205905215,-0.05205905205905215,-0.052690287490287646,-1.0408340855860843e-16,-0.05170431995415711,-0.05374237777777785,-4.85722573273506e-17,-0.05275641024164732,-0.054794468065268165,-1.3877787807814457e-17,-0.0543014842972029
development-mom7-20230102-AVAXUSDT,mom7,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AVAXUSDT,-0.06964790542277055,4,21,10.86,12.087,0.5,0.04604051565377532,20,0.0004782779197605526,4.326199594844385e-05,-0.05649171270718234,-0.05649171270718234,-0.05712560773480663,1.3877787807814457e-17,-0.056647329815046076,-0.05818213334254135,2.7755575615628914e-17,-0.0577038554227808,-0.059238658950276246,3.469446951953614e-17,-0.0591953969543278
development-mom7-20230102-ZECUSDT,mom7,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ZECUSDT,-0.0676183320811421,5,21,37.23,42.75,0.5,0.013430029546065002,20,-0.0009413286190678634,-0.001705155457522503,-0.07413376309427888,-0.07413376309427888,-0.07477824335213551,-9.71445146547012e-17,-0.07571957197120337,-0.07585242159548755,-1.3877787807814457e-17,-0.07679375021455541,-0.07692659983883976,1.3877787807814457e-17,-0.07863175529636227
development-mom7-20230109-TRXUSDT,mom7,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,TRXUSDT,-0.00657534246575342,1,22,0.05439,0.06231,0.5,9.192866335723478,21,-0.00024276895019488868,-0.0007290782109882329,-0.07280750137892988,-0.07280750137892988,-0.0734511858797573,-2.7755575615628914e-17,-0.07369395482995218,-0.07452403706563704,-4.163336342344337e-17,-0.07476680601583192,-0.07559688825151689,-8.326672684688674e-17,-0.07632596646250513
development-mom7-20230109-XRPUSDT,mom7,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XRPUSDT,0.01949778434268823,2,22,0.345,0.3845,0.5,1.4492753623188408,21,0.0010456395086956523,0.0004922847543478262,-0.05724637681159428,-0.05724637681159428,-0.05788072463768129,-6.938893903907228e-17,-0.05683508512898564,-0.05893800536231886,-4.163336342344337e-17,-0.05789236585362321,-0.059995286086956645,0.0,-0.05950300133260882
development-mom7-20230109-XMRUSDT,mom7,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XMRUSDT,0.046477165566482626,3,22,155.36,174.5,0.5,0.003218331616889804,21,-0.0011849737706523579,-0.002159362810009912,-0.06159886714727081,-0.06159886714727081,-0.06223582646755915,2.0816681711721685e-17,-0.0634208002382115,-0.06329746229402672,0.0,-0.06448243606467907,-0.06435909812049428,-1.3877787807814457e-17,-0.0665184609305042
development-mom7-20230109-LINKUSDT,mom7,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,LINKUSDT,0.05972271596160672,4,22,5.962,6.701,0.5,0.08386447500838645,21,0.0012952890392485743,0.0006476445196242871,-0.06197584703119763,-0.06197584703119763,-0.06261303253941636,-5.551115123125783e-17,-0.06131774350016778,-0.06367504557195564,6.938893903907228e-17,-0.06237975653270706,-0.06473705860449508,2.7755575615628914e-17,-0.06408941408487079
development-mom7-20230109-UNIUSDT,mom7,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,UNIUSDT,0.06327425195349723,5,22,5.578,6.595,0.5,0.08963786303334528,21,0.0010889803051828974,0.0005444901525914487,-0.09116170670491208,-0.09116170670491208,-0.09181640372893501,4.163336342344337e-17,-0.09072742342375212,-0.09290762013266385,4.163336342344337e-17,-0.09181863982748095,-0.09399883653639285,4.163336342344337e-17,-0.0934543463838014
development-mom7-20230116-ZECUSDT,mom7,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,ZECUSDT,0.04771929824561405,1,24,44.8,47.3,0.5,0.011160714285714286,21,0.0012329854714024464,0.0006089070772190804,-0.0279017857142857,-0.0279017857142857,-0.02851852678571426,2.7755575615628914e-17,-0.027285541314311813,-0.029546445312499947,-3.469446951953614e-18,-0.0283134598410975,-0.030574363839285634,4.5102810375396984e-17,-0.029965456762066554
