trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-scheduled_short-20230102-AAVEUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AAVEUSDT,-0.1107405269114783,1,21,52.1,59.32,0.5,0.009596928982725527,20,0.0010433224446302668,0.0005216612223151334,-0.06928982725527832,-0.06928982725527832,-0.06993140115163138,8.326672684688674e-17,-0.06888807870700112,-0.07100073255278305,0.0,-0.06995741010815279,-0.07207006395393473,-1.3877787807814457e-17,-0.0715484027316196
development-scheduled_short-20230102-AVAXUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AVAXUSDT,-0.08284371107509424,2,21,10.86,12.087,0.5,0.04604051565377532,20,0.0004782779197605526,4.326199594844385e-05,-0.05649171270718234,-0.05649171270718234,-0.05712560773480663,1.3877787807814457e-17,-0.056647329815046076,-0.05818213334254135,2.7755575615628914e-17,-0.0577038554227808,-0.059238658950276246,3.469446951953614e-17,-0.0591953969543278
development-scheduled_short-20230102-BCHUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BCHUSDT,-0.06975047336898109,3,21,96.76,103.64,0.5,0.005167424555601488,20,-0.0007544150733996206,-0.001316335402683645,-0.03555188094253825,-0.03555188094253825,-0.036173212071103744,-6.938893903907228e-18,-0.036927627144503365,-0.03720878528317478,-6.938893903907228e-18,-0.037963200356574404,-0.03824435849524599,-2.7755575615628914e-17,-0.039560693897929634
development-scheduled_short-20230102-BNBUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BNBUSDT,-0.022818370080680148,4,21,244.35,274.7,0.5,0.0020462451401677922,20,-0.0017569392132696785,-0.0026354088199045177,-0.06210354000409246,-0.06210354000409246,-0.06274080212809491,2.7755575615628914e-17,-0.06449774134136459,-0.06380294293022298,4.163336342344337e-17,-0.06555988214349266,-0.064865083732351,1.1102230246251565e-16,-0.06750049255225551
development-scheduled_short-20230102-CRVUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,CRVUSDT,-0.028065452898283955,5,21,0.527,0.577,0.5,0.9487666034155597,20,5.9753821705692606e-05,-0.0005944047498566414,-0.04743833017077792,-0.04743833017077792,-0.04806679316888046,-7.632783294297951e-17,-0.04800703934717477,-0.04911425996204921,5.551115123125783e-17,-0.04905450614034352,-0.05016172675521818,-4.85722573273506e-17,-0.050756131505074825
development-scheduled_short-20230102-DASHUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,DASHUSDT,-0.08122712093529516,6,21,42.19,47.82,0.5,0.011851149561507467,20,0.0008404518907283373,0.00042022594536416866,-0.06672197203128705,-0.06672197203128705,-0.0673620052145058,4.163336342344337e-17,-0.06652155332377746,-0.06842876721972024,1.3877787807814457e-17,-0.0675883153289919,-0.0694955292249349,2.7755575615628914e-17,-0.06907530327957073
development-scheduled_short-20230102-ENSUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ENSUSDT,-0.04811247223098311,7,21,10.896,12.076,0.5,0.04588839941262848,20,0.0006028669559413363,0.00023313664241873165,-0.054148311306901564,-0.054148311306901564,-0.05478080029368576,-2.0816681711721685e-17,-0.05417793333774443,-0.05583498109397944,-4.85722573273506e-17,-0.05523211413803811,-0.05688916189427323,-1.0408340855860843e-16,-0.0566560252518545
development-scheduled_short-20230102-ETCUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ETCUSDT,-0.03419722221637797,8,21,15.782,20.394,0.5,0.031681662653656066,20,-0.0005432490439565391,-0.0010980299710813077,-0.14611582815866175,-0.14611582815866175,-0.14680349765555695,-2.7755575615628914e-17,-0.14734674669951348,-0.14794970115321238,-2.7755575615628914e-17,-0.1484929501971689,-0.14909590465086797,2.7755575615628914e-17,-0.15019393462194927
development-scheduled_short-20230102-KAVAUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.27018233148741483,9,21,0.5361,0.6819,0.5,0.9326618168252191,20,-0.009915398260352733,-0.015031556483781475,-0.1359820928931169,-0.1359820928931169,-0.13666368214885266,8.326672684688674e-17,-0.1465790804092054,-0.13779974583100152,2.7755575615628914e-17,-0.14771514409135425,-0.1389358095131505,-5.551115123125783e-17,-0.15396736599693195
development-scheduled_short-20230102-LINKUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LINKUSDT,-0.07546553889249569,10,21,5.627,5.962,0.5,0.0888572951839346,20,0.000785700722623956,0.00037008951183623603,-0.029767193886618082,-0.029767193886618082,-0.030385054202950068,-6.938893903907228e-18,-0.02959935348032611,-0.03141483925715283,9.020562075079397e-17,-0.03062913853452887,-0.03244462431135592,1.3877787807814457e-17,-0.03207453479951968
development-scheduled_short-20230102-LTCUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LTCUSDT,-0.015677812719229904,11,21,70.89,78.68,0.5,0.0070531809846240655,20,0.0007386305265046812,0.00033180707119504903,-0.054944279870221546,-0.054944279870221546,-0.05557724643814371,-6.938893903907228e-17,-0.05483861591163903,-0.05663222368458176,6.938893903907228e-18,-0.05589359315807708,-0.05768720093101992,-2.7755575615628914e-17,-0.057355393859824876
development-scheduled_short-20230102-NEARUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,NEARUSDT,-0.08137016819550649,12,21,1.275,1.646,0.5,0.3921568627450981,20,-0.0008699200480322745,-0.001861673625981941,-0.1454901960784314,-0.1454901960784314,-0.14617749019607845,0.0,-0.14704741024411072,-0.14732306768627446,-2.7755575615628914e-17,-0.14819298773430672,-0.14846864517647068,-2.7755575615628914e-17,-0.15033031880245262
development-scheduled_short-20230102-RUNEUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.08422106986791647,13,21,1.287,1.421,0.5,0.38850038850038854,20,0.0009859675361305364,0.0004929837680652682,-0.05205905205905215,-0.05205905205905215,-0.052690287490287646,-1.0408340855860843e-16,-0.05170431995415711,-0.05374237777777785,-4.85722573273506e-17,-0.05275641024164732,-0.054794468065268165,-1.3877787807814457e-17,-0.0543014842972029
development-scheduled_short-20230102-SNXUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SNXUSDT,-0.03200273108617383,14,21,1.475,1.765,0.5,0.3389830508474576,20,-0.00032617568698799996,-0.0008874328976540339,-0.0983050847457626,-0.0983050847457626,-0.0989640677966101,0.0,-0.0992902434835981,-0.10006243186440666,-6.938893903907228e-17,-0.10038860755139467,-0.10116079593220334,0.0,-0.10204822882985737
development-scheduled_short-20230102-SOLUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,SOLUSDT,-0.1410205683744982,15,21,9.977,14.464,0.5,0.05011526510975243,20,-0.02419384109233888,-0.03629076163850833,-0.22486719454745918,-0.22486719454745918,-0.22560211486418763,0.0,-0.2497959559565265,-0.22682711697905167,5.551115123125783e-17,-0.2510209580713906,-0.22805211909391604,0.0,-0.26434288073242435
development-scheduled_short-20230102-TRXUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,TRXUSDT,-0.009090971701251963,16,21,0.05476,0.05439,0.5,9.130752373995616,20,-0.004673015642016982,-0.007045870906113494,0.0033783783783783994,0.0033783783783783994,0.0027804054054054173,-8.673617379884035e-18,-0.0018926102366115648,0.0017837858108109006,2.688821387764051e-17,-0.0028892298312060815,0.0007871662162161619,-3.2851325826310784e-17,-0.006258704689897332
development-scheduled_short-20230102-UNIUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,UNIUSDT,-0.014192687850922791,17,21,5.247,5.578,0.5,0.0952925481227368,20,0.0007377066147550983,0.0003611843079493044,-0.03154183342862593,-0.03154183342862593,-0.032160758528683164,-6.938893903907228e-17,-0.031423051913928066,-0.033192319287211725,-6.245004513516506e-17,-0.032454612672456626,-0.034223880045740396,8.326672684688674e-17,-0.03386269573779109
development-scheduled_short-20230102-XLMUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XLMUSDT,-0.039756452552753126,18,21,0.07249,0.0772,0.5,6.897503103876397,20,0.0008167354611353292,0.00038336611655193824,-0.032487239619257924,-0.032487239619257924,-0.033106731963029434,-6.938893903907228e-18,-0.032289996501894104,-0.03413923869499225,6.938893903907228e-17,-0.033322503233856916,-0.0351717454269555,-1.3877787807814457e-17,-0.034788379310403565
development-scheduled_short-20230102-XMRUSDT,scheduled_short,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XMRUSDT,-0.006579412791131563,19,21,148.46,155.36,0.5,0.003367910548295837,20,-0.003358992816316461,-0.005038489224474692,-0.023238582783241313,-0.023238582783241313,-0.02385252593291126,-2.0816681711721685e-17,-0.027211518749227722,-0.02487577845884409,-2.7755575615628914e-17,-0.02823477127516055,-0.02589903098477714,-6.591949208711867e-17,-0.03093752020925183
