trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-last_return-1000XECUSDT-20220124-1-7-3,development,last_return,1000XECUSDT,Payment,2022-01-23T00:00:00Z,2022-01-24T00:00:00Z,2022-01-31T00:00:00Z,1,7,3,0.0936263736263736,14247584.68206,1,25,0.07464,0.07512,6.69882100750268,21,-0.0005072843395538584,-0.0011174932094915595,0.003215434083601365,0.002613504823151258,7.762887554996212e-17,0.0021062204835973998,0.0013527415809595489,0.0016102913183281276,-3.0357660829594124e-18,0.0011030069787742692,0.00035028238760115293,0.000607077813504886,-8.348356728138384e-18,-0.0005104153959866735,-0.0012619268625473357
development-last_return-1000XECUSDT-20220314-1-7-3,development,last_return,1000XECUSDT,Payment,2022-03-13T00:00:00Z,2022-03-14T00:00:00Z,2022-03-21T00:00:00Z,1,7,3,-0.0008163265306121437,10491815.82403,2,25,0.07341,0.0794,6.811061163329247,21,-0.001011043056905054,-0.0015818363833769243,0.04079825636834211,0.04017377741452122,6.938893903907228e-17,0.039162734357616164,0.03838139283838293,0.0391330036371067,6.938893903907228e-18,0.03812196058020165,0.037341401613823155,0.03809222985969207,6.938893903907228e-18,0.03651039347631515,0.0357310462395799
development-last_return-1000XECUSDT-20220328-1-7-3,development,last_return,1000XECUSDT,Payment,2022-03-27T00:00:00Z,2022-03-28T00:00:00Z,2022-04-04T00:00:00Z,1,7,3,0.13159714219866325,11517152.836860001,3,25,0.09822,0.11618,5.09061290979434,21,0.006281030719203319,0.002080235554986001,0.09142740785990633,0.09077255141519058,1.6653345369377348e-16,0.0970535821343939,0.09622871276196099,0.08968117886377525,-2.7755575615628914e-17,0.09596220958297856,0.09513816080837811,0.08858980631235991,-8.326672684688674e-17,0.09067004186734591,0.08984997224848912
development-last_return-1000XECUSDT-20220912-1-7-3,development,last_return,1000XECUSDT,Payment,2022-09-11T00:00:00Z,2022-09-12T00:00:00Z,2022-09-19T00:00:00Z,1,7,3,0.023804176959353107,13109153.760135,1,25,0.04559,0.03914,10.967317394165388,21,0.0006189492513972364,-0.0003705797798903268,-0.07073919719236671,-0.07129675367405125,4.163336342344337e-17,-0.07067780442265402,-0.07137655736301851,-0.0722260569203772,2.7755575615628914e-17,-0.07160710766897997,-0.07230516187065195,-0.07315536016670321,1.3877787807814457e-17,-0.07352593994659354,-0.07422255138739908
development-last_return-1000XECUSDT-20230717-1-7-3,development,last_return,1000XECUSDT,Payment,2023-07-16T00:00:00Z,2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,1,7,3,0.01554579249746535,78582279.87386501,3,25,0.03005,0.03095,16.638935108153078,20,0.0005078965026821963,-0.00020939175962728787,0.014975041597337757,0.014366056572379438,1.0408340855860843e-16,0.014873953075061635,0.014110874174992905,0.013351090515806963,-7.45931094670027e-17,0.01385898701848916,0.013096671266572768,0.012336124459234599,3.2959746043559335e-17,0.01212673269960731,0.011365719421477127
development-last_return-1000XECUSDT-20230731-1-7-3,development,last_return,1000XECUSDT,Payment,2023-07-30T00:00:00Z,2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,1,7,3,0.035064505458154205,84554665.76390001,2,24,0.03127,0.02905,15.98976654940838,20,-4.467771197153828e-05,-0.0006976802249656223,-0.03549728173968658,-0.03607598337064272,6.938893903907228e-17,-0.036120661082614254,-0.03684539737475312,-0.037040507387272215,-7.632783294297951e-17,-0.03708518509924375,-0.03780919617036038,-0.038005031403901435,3.469446951953614e-17,-0.038702711628867056,-0.039425506489476736
development-last_return-AAVEUSDT-20220124-1-7-3,development,last_return,AAVEUSDT,DeFi,2022-01-23T00:00:00Z,2022-01-24T00:00:00Z,2022-01-31T00:00:00Z,1,7,3,0.07754101708761674,206236384.238,3,25,158.28,148.73,0.0031589588071771544,21,-0.0008820639055340813,-0.001339054594717599,-0.030168056608541882,-0.030749955774576676,6.245004513516506e-17,-0.03163201968011076,-0.03236013096037882,-0.03171980581880213,0.0,-0.03260186972433621,-0.03332925177896717,-0.03268965586302758,3.469446951953614e-17,-0.03402871045774518,-0.03475501967761263
development-last_return-AAVEUSDT-20220801-1-7-3,development,last_return,AAVEUSDT,DeFi,2022-07-31T00:00:00Z,2022-08-01T00:00:00Z,2022-08-08T00:00:00Z,1,7,3,0.02363693665300981,175480653.95749998,2,24,97.44,101.22,0.0051313628899835794,21,-0.0008421033584579413,-0.0012645575148531275,0.0193965517241379,0.01878491379310343,-2.0816681711721685e-17,0.01794281043464549,0.01717742407531908,0.017765528879310266,-1.3877787807814457e-16,0.016923425520852325,0.01615880563219596,0.016746143965517324,4.5102810375396984e-17,0.015481586450664196,0.014718050673949268
development-last_return-AAVEUSDT-20221017-1-7-3,development,last_return,AAVEUSDT,DeFi,2022-10-16T00:00:00Z,2022-10-17T00:00:00Z,2022-10-24T00:00:00Z,1,7,3,0.05552463122738649,43729729.016499996,2,25,75.84,88.77,0.0065928270042194086,21,-0.00038213984820430045,-0.0007783040677059378,0.08524525316455689,0.08459410601265815,-1.3877787807814457e-17,0.08421196616445385,0.08339675234201294,0.08350891190664567,4.163336342344337e-17,0.08312677205844136,0.08231237418828918,0.08242371780063285,-6.938893903907228e-17,0.08164541373292691,0.08083212968905662
development-last_return-AAVEUSDT-20230109-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-01-08T00:00:00Z,2023-01-09T00:00:00Z,2023-01-16T00:00:00Z,1,7,3,0.058718543637337195,26354447.61,2,22,59.32,79.3,0.008428860418071477,21,-0.0018726574690261205,-0.0028089862035391806,0.16840863115306803,0.16770758597437618,-8.326672684688674e-17,0.16583492850535006,0.16495834276560384,0.16653927838840188,0.0,0.16466662091937576,0.16379091362454856,0.16537097080242746,2.7755575615628914e-17,0.1625619845988883,0.16168785977010414
development-last_return-AAVEUSDT-20230529-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-05-28T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,1,7,3,0.05084487745471167,25928869.5875,1,23,69.03,62.77,0.007243227582210633,20,-0.0009370604347023034,-0.0014055906520534552,-0.045342604664638575,-0.04591539910183978,-1.3877787807814457e-17,-0.04685245953654209,-0.0475691266404481,-0.04687008370273793,-2.0816681711721685e-17,-0.047807144137440236,-0.048523093418534,-0.047824768303636134,-7.632783294297951e-17,-0.04923035895568959,-0.049945238128328184
development-last_return-AAVEUSDT-20230626-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-06-25T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,1,7,3,0.20526315789473681,28544490.925499998,1,24,68.71,70.63,0.007276961141027508,20,-0.0006263989172148952,-0.0010210451331279797,0.013971765390772828,0.013363382331538443,7.979727989493313e-17,0.012736983414323548,0.011975511291582475,0.012349418949206936,3.8163916471489756e-17,0.011723020031992042,0.010962310303497258,0.011335455566875208,-1.734723475976807e-17,0.010314410433747229,0.009554759832111959
development-last_return-AAVEUSDT-20230828-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-08-27T00:00:00Z,2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,1,7,3,0.029292394565025415,42837472.599999994,3,23,58.33,54.74,0.008571918395336877,20,-0.000580419254057107,-0.0009476449269042573,-0.030773187039259353,-0.03135472312703569,1.1102230246251565e-16,-0.031935142381092796,-0.032663025744843144,-0.03232396840390872,-6.938893903907228e-18,-0.03290438765796583,-0.03363154225080078,-0.03329321368078175,-1.3877787807814457e-17,-0.03424085860768601,-0.034967008314368275
development-last_return-AAVEUSDT-20230918-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-09-17T00:00:00Z,2023-09-18T00:00:00Z,2023-09-25T00:00:00Z,1,7,3,0.003212715590125148,19886767.708,3,20,59.34,61.69,0.008426019548365351,20,-0.0009262328667462444,-0.0013893493001193667,0.01980114593865856,0.019189265251095322,-1.0408340855860843e-17,0.01826303238434908,0.017497405251661213,0.018169475985844175,-1.457167719820518e-16,0.01724324311909793,0.01647838276110991,0.017149686720593138,-4.163336342344337e-17,0.015760337420473773,0.01499659205223014
development-last_return-AAVEUSDT-20231002-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-10-01T00:00:00Z,2023-10-02T00:00:00Z,2023-10-09T00:00:00Z,1,7,3,0.06945061454168511,26303575.866,3,21,72.23,65.99,0.006922331441229406,20,-0.0005864354980191591,-0.0009134117566507792,-0.04319534819327153,-0.04376943098435554,5.551115123125783e-17,-0.044355866482374696,-0.045074410762728,-0.04472626155337123,-5.551115123125783e-17,-0.045312697051390384,-0.046030521895388254,-0.04568309212238686,-2.0816681711721685e-17,-0.04659650387903764,-0.04731336343478565
development-last_return-AAVEUSDT-20231023-1-7-3,development,last_return,AAVEUSDT,DeFi,2023-10-22T00:00:00Z,2023-10-23T00:00:00Z,2023-10-30T00:00:00Z,1,7,3,0.13194345280594022,43143341.0735,2,21,79.28,84.57,0.006306760847628658,20,-0.0010344621584447529,-0.0015516932376671295,0.03336276488395551,0.03274274722502524,6.245004513516506e-17,0.03170828506658049,0.03093254851232663,0.03170940447780013,-4.163336342344337e-17,0.030674942319355376,0.029899982730600128,0.030676061730575133,-3.8163916471489756e-17,0.029124368492908004,0.028350574773240877
development-last_return-AVAXUSDT-20220110-1-7-3,development,last_return,AVAXUSDT,Layer-1,2022-01-09T00:00:00Z,2022-01-10T00:00:00Z,2022-01-17T00:00:00Z,1,7,3,0.06529906374858352,631681168.5755,3,25,89.313,92.25,0.0055982891628318385,20,-0.0007918663629622221,-0.0012175697347363297,0.016442175271237147,0.01583230996607443,7.979727989493313e-17,0.01504044360311221,0.014277239519607132,0.014815877656108256,-4.163336342344337e-17,0.014024011293146035,0.01326157146026219,0.013799445346142303,6.418476861114186e-17,0.012581875611405974,0.011820520113484445
development-last_return-AVAXUSDT-20220124-1-7-3,development,last_return,AVAXUSDT,Layer-1,2022-01-23T00:00:00Z,2022-01-24T00:00:00Z,2022-01-31T00:00:00Z,1,7,3,0.08346857171538047,561471129.5404999,2,25,64.777,67.9,0.007718789076369699,21,0.00036816484263474375,-0.00018651132140521255,0.024105778285502644,0.023491314818531395,9.367506770274758e-17,0.02385947966116614,0.0230896445863793,0.022467223503712774,-9.71445146547012e-17,0.022835388346347518,0.02206632328095126,0.021443132188894265,3.8163916471489756e-17,0.021256620867489053,0.020488742869853915
development-last_return-AVAXUSDT-20220808-1-7-3,development,last_return,AVAXUSDT,Layer-1,2022-08-07T00:00:00Z,2022-08-08T00:00:00Z,2022-08-15T00:00:00Z,1,7,3,0.0461711711711712,424584724.83,2,24,27.88,28.17,0.017934002869440458,21,-0.0007818294895569817,-0.0012974916038172282,0.005200860832137777,0.004597740315638532,3.2959746043559335e-17,0.0038159108260815504,0.0030611464154042256,0.0035925425753229323,-8.673617379884035e-18,0.0028107130857659506,0.0020567044784902677,0.0025873448350073325,7.632783294297951e-17,0.0012898532311901043,0.0005369881512080621
