trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-funding_discount-1000XECUSDT-20220102-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-01T00:00:00Z,2022-01-02T00:00:00Z,2022-01-03T00:00:00Z,1,1,3,-0.0017439166666666668,18406492.935535,1,25,0.1106,0.11298,2.260397830018083,3,0.0005057163449742314,0.0002528581724871157,0.005379746835443011,0.005076518987341738,-1.8214596497756474e-17,0.0055822353323159695,0.00547418729531457,0.004571142468354439,-5.204170427930421e-18,0.00507685881332867,0.004968865078142759,0.004065765949367028,-3.9898639947466563e-17,0.004318624121854144,0.004210711857647986
development-funding_discount-1000XECUSDT-20220104-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-03T00:00:00Z,2022-01-04T00:00:00Z,2022-01-05T00:00:00Z,1,1,3,-0.0005277833333333334,17837659.885085,1,25,0.11644,0.11266,2.1470285125386463,2,0.0001809694710161886,9.04847355080943e-05,-0.008115767777396088,-0.00841089831672967,-1.214306433183765e-17,-0.008229928845713481,-0.008336492790043226,-0.008902787418412939,-4.85722573273506e-17,-0.00872181794739675,-0.00882832903911046,-0.009394676520096207,5.204170427930421e-18,-0.009304191784588113,-0.009410640301260376
development-funding_discount-1000XECUSDT-20220106-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-05T00:00:00Z,2022-01-06T00:00:00Z,2022-01-07T00:00:00Z,1,1,3,-0.0005692633333333332,17033770.0307,1,25,0.10407,0.10313,2.4022292687614106,3,0.0012486654981891997,0.0006121971236530701,-0.002258095512635727,-0.002556740655328127,8.673617379884035e-18,-0.0013080751571389272,-0.0014153828424350312,-0.0030544839146728064,-2.1250362580715887e-17,-0.0018058184164836068,-0.001913072620144729,-0.0035522271740174582,1.0408340855860843e-17,-0.002940030050364388,-0.0030471623849864793
development-funding_discount-1000XECUSDT-20220108-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-07T00:00:00Z,2022-01-08T00:00:00Z,2022-01-09T00:00:00Z,1,1,3,-0.0022267566666666666,16701670.984655,1,25,0.09834,0.09613,2.54220052877771,3,0.0009750439543929223,0.00048752197719646116,-0.005618263168598758,-0.005914892210697575,1.3010426069826053e-17,-0.004939848256304653,-0.005046765713988988,-0.0064092773184868945,-3.2959746043559335e-17,-0.005434233364093972,-0.005541097700970665,-0.006903662426276214,-9.540979117872439e-18,-0.006416140449079752,-0.006522899281772632
development-funding_discount-1000XECUSDT-20220110-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-09T00:00:00Z,2022-01-10T00:00:00Z,2022-01-11T00:00:00Z,1,1,3,-0.00144544,15971981.96318,1,25,0.09576,0.08974,2.6106934001670843,2,0.0006112525635132101,0.00030562628175660506,-0.01571637426900585,-0.01600694444444442,1.734723475976807e-17,-0.015395691880931211,-0.015501485876665666,-0.016491237500000033,-6.245004513516506e-17,-0.015879984936486822,-0.015985726895786923,-0.016975530555555562,-2.42861286636753e-17,-0.01666990427379896,-0.016775561357660007
development-funding_discount-1000XECUSDT-20220112-1-3,development,funding_discount,1000XECUSDT,Payment,2022-01-11T00:00:00Z,2022-01-12T00:00:00Z,2022-01-13T00:00:00Z,1,1,3,-0.002317566666666667,15971981.96318,1,25,0.09338,0.09808,2.6772328121653457,3,0.00021875016699614475,9.734493405814948e-05,0.012582994217177124,0.01227544442064682,1.3877787807814457e-17,0.012494194587642964,0.012385403872814615,0.011762868976226137,-4.85722573273506e-17,0.011981619143222282,0.011872883503720955,0.01125029353180551,-1.734723475976807e-17,0.01134763846586366,0.011238970946467752
development-funding_discount-1000XECUSDT-20220203-1-3,development,funding_discount,1000XECUSDT,Payment,2022-02-02T00:00:00Z,2022-02-03T00:00:00Z,2022-02-04T00:00:00Z,1,1,3,-4.896666666666667e-05,13248383.89701,3,25,0.07573,0.07643,3.301201637396012,3,9.927609737554472e-06,-7.606819940908484e-07,0.0023108411461771894,0.0020094546414894943,1.7780915628762273e-17,0.002019382251227049,0.0019117170365032798,0.001507145186847969,-2.3418766925686896e-17,0.0015170727965855236,0.0014094615541262456,0.0010048357322064994,3.686287386450715e-17,0.0010040750502124086,0.0008965189284559916
development-funding_discount-1000XECUSDT-20220403-1-3,development,funding_discount,1000XECUSDT,Payment,2022-04-02T00:00:00Z,2022-04-03T00:00:00Z,2022-04-04T00:00:00Z,1,1,3,-0.0023616066666666664,16645724.78595,1,25,0.12877,0.11618,1.9414459889725868,3,0.0008208531476644404,0.00038757187165003494,-0.024442805001164858,-0.024728139318164144,6.938893903907228e-18,-0.023907286170499704,-0.024012165610445058,-0.0252037111788459,1.734723475976807e-17,-0.02438285803118146,-0.024487686371769457,-0.025679283039527823,0.0,-0.025291711167877786,-0.025396441853799745
development-funding_discount-1000XECUSDT-20220513-1-3,development,funding_discount,1000XECUSDT,Payment,2022-05-12T00:00:00Z,2022-05-13T00:00:00Z,2022-05-14T00:00:00Z,1,1,3,-0.0014935499999999997,13236739.640695,3,25,0.03183,0.04215,7.854225573358468,3,0.001941960250164939,0.0009709801250824695,0.0810556079170594,0.08070697455230919,0.0,0.08264893480247412,0.08253260608458635,0.08012596757775692,1.3877787807814457e-17,0.08206792782792185,0.08195166153820832,0.07954496060320454,1.3877787807814457e-17,0.08051594072828701,0.08039984119684895
development-funding_discount-1000XECUSDT-20220517-1-3,development,funding_discount,1000XECUSDT,Payment,2022-05-16T00:00:00Z,2022-05-17T00:00:00Z,2022-05-18T00:00:00Z,1,1,3,-0.002660576666666667,15333892.26016,1,25,0.04675,0.04927,5.347593582887701,2,0.0002154270971278075,0.00010771354856390375,0.013475935828877017,0.01316785026737971,2.42861286636753e-17,0.013383277364507519,0.013274391119303397,0.012654382417112309,-2.2551405187698492e-17,0.012869809514240117,0.012760978440250481,0.012140914566844963,6.071532165918825e-17,0.012248628115408866,0.012139863786264637
development-funding_discount-1000XECUSDT-20220520-1-3,development,funding_discount,1000XECUSDT,Payment,2022-05-19T00:00:00Z,2022-05-20T00:00:00Z,2022-05-21T00:00:00Z,1,1,3,-0.0005050933333333333,16063312.906624999,1,25,0.04701,0.04527,5.318017443097213,3,0.0005408322421335886,0.00025648815085832803,-0.009253350350989176,-0.009547798340778568,2.0816681711721685e-17,-0.00900696609864498,-0.009113446551692772,-0.010038550542437769,3.469446951953614e-18,-0.00949771830030418,-0.009604146022893945,-0.010529302744096997,3.469446951953614e-17,-0.010272814593238668,-0.010379159033099272
