trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-low_volatility-1000XECUSDT-20220101-90-5,development,low_volatility,1000XECUSDT,Payment,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,90,31,5,0.7640698712161116,18406492.935535,5,24,0.10797,0.07624,2.3154579975919236,93,0.009116389372515979,0.003273089732257571,-0.07346948226359173,-0.07372540057423357,-1.3877787807814457e-17,-0.0646090112017176,-0.06771968423704622,-0.07415197517365935,-2.7755575615628914e-17,-0.06503558580114337,-0.06814484024882261,-0.07457854977308509,0.0,-0.07130546004082752,-0.07439386381860957
development-low_volatility-AVAXUSDT-20230901-90-5,development,low_volatility,AVAXUSDT,Layer-1,2023-08-31T00:00:00Z,2023-09-01T00:00:00Z,2023-10-01T00:00:00Z,90,30,5,0.6380746192140839,95045413.07800001,5,22,9.979,9.237,0.025052610482012228,89,0.0005578459106904274,-0.0003709341237080183,-0.018589036977653045,-0.018877883555466435,2.7755575615628914e-17,-0.018320037644776008,-0.0214795058605477,-0.019359305671910992,3.469446951953614e-18,-0.018801459761220565,-0.02195937855362251,-0.019840727788355494,3.469446951953614e-17,-0.020211661912063514,-0.02336504206759371
development-low_volatility-BCHUSDT-20220201-90-5,development,low_volatility,BCHUSDT,Payment,2022-01-31T00:00:00Z,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,90,28,5,0.7756021270024027,96601094.505045,4,24,284.72,338.88,0.0008780556336049451,84,-0.0009475244039678734,-0.001787830522082072,0.04755549311604379,0.047226959820174164,-6.938893903907228e-18,0.04627943541620629,0.043136212568086085,0.046679432860353975,-6.938893903907228e-18,0.045731908456386104,0.04259033048361327,0.04613190590053384,-6.938893903907228e-18,0.044344075378451774,0.041206666720770446
development-low_volatility-BCHUSDT-20220401-90-5,development,low_volatility,BCHUSDT,Payment,2022-03-31T00:00:00Z,2022-04-01T00:00:00Z,2022-05-01T00:00:00Z,90,30,5,0.7631687147902283,91987697.53611499,3,25,384.16,277.36,0.0006507705122865472,89,-0.0016826179858431148,-0.0025375851372439876,-0.06950229071220326,-0.06976058933777593,0.0,-0.07144320732361904,-0.07443170233777963,-0.07019112874843814,-2.7755575615628914e-17,-0.07187374673428125,-0.0748608560874976,-0.07062166815910034,4.163336342344337e-17,-0.07315925329634433,-0.07614222533670945
development-low_volatility-BCHUSDT-20220601-90-5,development,low_volatility,BCHUSDT,Payment,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,90,30,5,0.9514332192666758,106031277.05847,4,25,204.43,103.13,0.0012229124883823314,89,0.0010720368877302233,-0.00014663958903853003,-0.12388103507313017,-0.12410670645208627,2.7755575615628914e-17,-0.12303466956435605,-0.12585712107003577,-0.1244828997456342,-2.7755575615628914e-17,-0.12341086285790398,-0.1262321036118118,-0.1248590930391821,2.7755575615628914e-17,-0.12500573262822062,-0.12782184040545486
development-low_volatility-BCHUSDT-20221201-90-5,development,low_volatility,BCHUSDT,Payment,2022-11-30T00:00:00Z,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,90,31,5,0.7834319498998542,92784139.07634,5,24,113.31,97.02,0.0022063365987114994,93,0.005325089949205199,0.002608444138186883,-0.03594122319301035,-0.03621965845909453,0.0,-0.03089456850988933,-0.034117360016572285,-0.03668373880063541,-6.938893903907228e-18,-0.031358648851430214,-0.03457989704390341,-0.037147819142176325,1.3877787807814457e-17,-0.034539375003989445,-0.03775004558860229
development-low_volatility-BCHUSDT-20230401-90-5,development,low_volatility,BCHUSDT,Payment,2023-03-31T00:00:00Z,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,90,30,5,0.5944212152793922,89151856.793785,4,24,123.78,117.58,0.0020197123929552433,89,0.0008717544881594178,-0.0002872977162421269,-0.012522216836322514,-0.012814703506220687,3.469446951953614e-17,-0.011942949018061269,-0.015122941447016314,-0.01330218880271447,1.734723475976807e-18,-0.012430434314555053,-0.015608857806220011,-0.013789674099208282,-1.734723475976807e-18,-0.01407697181545041,-0.0172500960414691
development-low_volatility-BCHUSDT-20230601-90-5,development,low_volatility,BCHUSDT,Payment,2023-05-31T00:00:00Z,2023-06-01T00:00:00Z,2023-07-01T00:00:00Z,90,30,5,0.5391639638213732,56341381.671205,5,23,113.19,304.01,0.0022086756780634333,90,0.006519395836345839,0.002629253883858761,0.4214594928880643,0.4209066171923316,5.551115123125783e-17,0.42742601302867744,0.42283194236260235,0.4199854105751391,-1.1102230246251565e-16,0.42650480641148497,0.4219137005843989,0.41906420395794686,5.551115123125783e-17,0.4216934578418056,0.41711783700317207
development-low_volatility-BNBUSDT-20220101-90-5,development,low_volatility,BNBUSDT,Layer-1,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,90,31,5,0.7363747410242413,577920901.662635,3,24,511.55,374.4,0.000488710780959828,93,0.005510384536093759,0.002736777243872444,-0.06702668360864042,-0.06728646759847523,1.3877787807814457e-17,-0.06177608306238147,-0.06489617709201045,-0.06771948113087678,-1.3877787807814457e-17,-0.06220909659478302,-0.06532775062388252,-0.06815249466327833,0.0,-0.06541571741940588,-0.06852370772707428
development-low_volatility-BNBUSDT-20220301-90-5,development,low_volatility,BNBUSDT,Layer-1,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,90,31,5,0.7603837374114136,459082710.91856503,3,25,395.47,428.71,0.0006321592029736768,93,0.001594259541483171,0.0007728892674893256,0.02101297190684498,0.02070036412370091,3.122502256758253e-17,0.02229462366518408,0.01889494977685402,0.02017936375957724,3.122502256758253e-17,0.02177362330106041,0.018375682016319006,0.019658363395453515,1.3877787807814457e-17,0.02043125266294284,0.017037775475244876
