trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-high_volatility-1000XECUSDT-20230801-90-3,development,high_volatility,1000XECUSDT,Payment,2023-07-31T00:00:00Z,2023-08-01T00:00:00Z,2023-09-01T00:00:00Z,90,31,3,1.3214109068658637,83285205.389305,1,24,0.03085,0.02359,8.103727714748784,92,-0.0013039014584465152,-0.002296327058388574,-0.058833063209076164,-0.05909776337115072,0.0,-0.06040166482959723,-0.06352632953158377,-0.05953896560777952,1.3877787807814457e-17,-0.06084286706622603,-0.06396606453588183,-0.05998016784440846,-2.7755575615628914e-17,-0.06227649490279703,-0.06539492479663989
development-high_volatility-AVAXUSDT-20220201-90-3,development,high_volatility,AVAXUSDT,Layer-1,2022-01-31T00:00:00Z,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,90,28,3,1.3165615238862114,490987554.657,3,24,69.82,84.52,0.0035806359209395594,84,-3.744814211012286e-05,-0.0012958275588731802,0.05263534803781156,0.05230376682898891,6.245004513516506e-17,0.05226631868687878,0.04910511010029461,0.05175116306215988,-1.3877787807814457e-17,0.05171371492004975,0.04855416646050914,0.0511985592953309,2.0816681711721685e-17,0.04990273173645772,0.04674862381557965
development-high_volatility-AVAXUSDT-20231201-90-3,development,high_volatility,AVAXUSDT,Layer-1,2023-11-30T00:00:00Z,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,90,31,3,0.8937282800615312,421248610.327,3,24,21.409,38.59,0.01167733196319305,92,-0.009486452918493623,-0.014229679377740435,0.20062824045961986,0.2002078635153441,2.7755575615628914e-17,0.19072141059685047,0.1867616279723774,0.19950735565182875,0.0,0.19002090273333513,0.18606344967045518,0.19880684778831342,2.7755575615628914e-17,0.18457716841057298,0.1806378186625337
development-high_volatility-BCHUSDT-20230701-90-3,development,high_volatility,BCHUSDT,Payment,2023-06-30T00:00:00Z,2023-07-01T00:00:00Z,2023-08-01T00:00:00Z,90,31,3,1.0784786374047217,67487353.924275,1,24,304.01,247.8,0.0008223413703496596,92,0.003997165795876025,0.0017511628314366007,-0.04622380842735435,-0.04649607414229792,6.938893903907228e-18,-0.04249890834642189,-0.0456831092450547,-0.04694987806815565,-4.163336342344337e-17,-0.04295271227227962,-0.04613540403125593,-0.04740368199401335,-6.938893903907228e-18,-0.045652519162576746,-0.04882623262627894
development-high_volatility-BCHUSDT-20230901-90-3,development,high_volatility,BCHUSDT,Payment,2023-08-31T00:00:00Z,2023-09-01T00:00:00Z,2023-10-01T00:00:00Z,90,30,3,1.2018757132485531,295876538.58798003,3,22,207.41,233.74,0.0012053420760811918,89,0.0031727912131945847,0.0015581763822417774,0.031736656863217805,0.031417614869099886,1.3877787807814457e-17,0.03459040608229447,0.03126064930849126,0.030885897254230743,-2.7755575615628914e-17,0.034058688467425324,0.03073064298953132,0.030354179639361656,-2.7755575615628914e-17,0.03191235602160343,0.028591218364387494
development-high_volatility-BCHUSDT-20231101-90-3,development,high_volatility,BCHUSDT,Payment,2023-10-31T00:00:00Z,2023-11-01T00:00:00Z,2023-12-01T00:00:00Z,90,30,3,0.6959117670547571,276586749.80927,3,22,244.85,221.37,0.0010210332856851133,89,-0.0015646442777914565,-0.0026019940949549244,-0.023973861547886444,-0.0242594772309577,2.0816681711721685e-17,-0.025824121508749156,-0.028959438356085165,-0.02473551775372676,-6.938893903907228e-18,-0.026300162031518217,-0.02943394677576694,-0.025211558276495794,-3.469446951953614e-18,-0.02781355237145072,-0.03094246637486686
development-high_volatility-CRVUSDT-20220101-90-3,development,high_volatility,CRVUSDT,DeFi,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,90,31,3,1.4782798906275951,259460948.31935,1,24,5.314,3.269,0.04704554008280015,93,0.0022441312624931365,0.0003880722249546975,-0.0962081294693263,-0.0964504045916447,1.3877787807814457e-17,-0.09420627332915156,-0.09721851971046935,-0.09685425418705304,0.0,-0.0946101229245599,-0.09762102629096547,-0.09725810378246139,2.7755575615628914e-17,-0.09687003155750669,-0.09987341952454343
development-high_volatility-CRVUSDT-20220301-90-3,development,high_volatility,CRVUSDT,DeFi,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,90,31,3,1.3951086320578936,138285254.98804998,2,25,2.438,2.635,0.1025430680885972,93,0.0017562973216041218,0.00011507351458309056,0.020200984413453638,0.019888863822805525,-1.0408340855860843e-17,0.021645161144409647,0.01824764706473192,0.019368674958982757,1.3877787807814457e-17,0.02112497228058688,0.017729188105827243,0.018848486095159933,-1.734723475976807e-17,0.018963559609743025,0.015574963282839471
development-high_volatility-CRVUSDT-20220901-90-3,development,high_volatility,CRVUSDT,DeFi,2022-08-31T00:00:00Z,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,90,30,3,1.4900845602321502,141082985.03145,2,24,1.146,0.917,0.21815008726003493,90,0.00026946952931839,-0.0009289555292993567,-0.04995636998254796,-0.050226396160558406,3.469446951953614e-17,-0.04995692663124002,-0.0530145737352119,-0.05067646976439785,-6.938893903907228e-18,-0.05040700023507946,-0.05346319880867423,-0.0511265433682373,1.3877787807814457e-17,-0.052055498897536655,-0.055106391893623985
development-high_volatility-CRVUSDT-20221101-90-3,development,high_volatility,CRVUSDT,DeFi,2022-10-31T00:00:00Z,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,90,30,3,0.9402860568468112,109515351.75685,3,24,0.883,0.671,0.28312570781426954,89,0.004796015525824943,0.0016652776364268263,-0.06002265005662513,-0.06028663646659113,2.0816681711721685e-17,-0.05549062094076619,-0.05853045823710501,-0.060726649830124546,-2.0816681711721685e-17,-0.055930634304299606,-0.05896905544844022,-0.06116666319365793,4.85722573273506e-17,-0.059501385557231105,-0.06252831448850937
development-high_volatility-CRVUSDT-20230101-90-3,development,high_volatility,CRVUSDT,DeFi,2022-12-31T00:00:00Z,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,90,31,3,1.3100004956390836,73118198.21435,2,22,0.525,1.019,0.47619047619047616,92,-0.0033407453248524756,-0.005341133749368143,0.2352380952380952,0.23479695238095233,2.7755575615628914e-17,0.23145620705609984,0.22736095954639413,0.23406185542857133,2.7755575615628914e-17,0.23072111010371885,0.22662830718274152,0.23332675847619044,0.0,0.2279856247268223,0.22390191875108223
development-high_volatility-CRVUSDT-20230501-90-3,development,high_volatility,CRVUSDT,DeFi,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,90,31,3,0.9254339072915091,79580178.04710001,2,24,0.906,0.818,0.2759381898454746,93,-0.0015427349911263518,-0.002578443819513783,-0.02428256070640178,-0.02456799116997796,-1.3877787807814457e-17,-0.02611072616110431,-0.029349426490491104,-0.025043723178807903,2.0816681711721685e-17,-0.026586458169934254,-0.029823576437114308,-0.025519455187637985,3.469446951953614e-18,-0.028097899007151768,-0.03132999092886435
development-high_volatility-DASHUSDT-20230601-90-3,development,high_volatility,DASHUSDT,PoW,2023-05-31T00:00:00Z,2023-06-01T00:00:00Z,2023-07-01T00:00:00Z,90,30,3,0.7856571704722569,18957561.441425,3,23,41.81,37.75,0.00597943075819182,90,-0.0011999914706322125,-0.0020870802468433464,-0.024276488878258812,-0.024561922984931817,3.469446951953614e-17,-0.025761914455564028,-0.028897431511944682,-0.02503766106194691,1.3877787807814457e-17,-0.02623765253257912,-0.02937163845927293,-0.025513399138962,-1.0408340855860843e-17,-0.027600479385805347,-0.03073007914970527
development-high_volatility-ENSUSDT-20220301-90-3,development,high_volatility,ENSUSDT,Infrastructure,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,90,31,3,1.2768298263592548,38851518.461,3,25,15.348,18.07,0.016288767266093303,93,-0.0009568258481085535,-0.00244983000169153,0.04433802449830598,0.044011421683607,2.0816681711721685e-17,0.04305459583549845,0.03958588398719476,0.04346711026192335,-3.469446951953614e-17,0.0425102844138148,0.039043382690777007,0.04292279884023975,-1.3877787807814457e-17,0.04047296883854822,0.037012842274454893
development-high_volatility-ENSUSDT-20220601-90-3,development,high_volatility,ENSUSDT,Infrastructure,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,90,30,3,1.8283230990510868,204558196.2447,2,25,11.863,8.594,0.021073927337098543,89,-2.8719423036291416e-05,-0.0007635233873474871,-0.06889066846497513,-0.06914933406389612,4.163336342344337e-17,-0.06917805348693241,-0.07217383874009675,-0.06958048472983225,-1.3877787807814457e-17,-0.06960920415286855,-0.07260360177780634,-0.07001163539576835,2.7755575615628914e-17,-0.07077515878311584,-0.0737658038647232
development-high_volatility-ENSUSDT-20220801-90-3,development,high_volatility,ENSUSDT,Infrastructure,2022-07-31T00:00:00Z,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,90,31,3,1.7820313165103847,70216974.35345,3,24,14.294,12.47,0.017489855883587518,93,-0.001013107907758376,-0.002027802588332555,-0.031901497131663625,-0.03218235623338464,-6.938893903907228e-18,-0.033195464141143015,-0.036410603944866504,-0.032650473877151254,-3.469446951953614e-17,-0.03366358178490963,-0.03687716484824399,-0.03311859152091784,2.0816681711721685e-17,-0.0351463941092504,-0.03835504603216433
development-high_volatility-ENSUSDT-20221201-90-3,development,high_volatility,ENSUSDT,Infrastructure,2022-11-30T00:00:00Z,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,90,31,3,1.1338443692048314,41032021.5748,3,24,14.135,10.754,0.017686593562079942,93,-0.001275142275809172,-0.002094553803958359,-0.05979837283339229,-0.06006249380969225,0.0,-0.061337636085501426,-0.0644591881847556,-0.06050273131588252,1.3877787807814457e-17,-0.06177787359169169,-0.06489796166685746,-0.060942968822072896,0.0,-0.06303752262603125,-0.06615342169752692
development-high_volatility-HBARUSDT-20230501-90-3,development,high_volatility,HBARUSDT,Layer-1,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,90,31,3,0.8767136204168845,25269490.78996,3,24,0.06345,0.05127,3.940110323089046,93,-0.0016224066722411346,-0.0025540831712340425,-0.0479905437352246,-0.04826174940898345,6.938893903907228e-18,-0.04988415608122459,-0.05304379709926943,-0.04871378765957449,-4.163336342344337e-17,-0.050336194331815624,-0.05349433208201437,-0.049165825910165495,-2.0816681711721685e-17,-0.051719909081399534,-0.05487344524337301
