trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-low_volatility-BCHUSDT-20220301-90-3,development,low_volatility,BCHUSDT,Payment,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,90,31,3,0.7458664016744799,98530783.95975,2,25,338.88,384.16,0.000737724268177526,93,-0.0010294621195723744,-0.0018889096732653174,0.033404154863078406,0.03308411237016057,1.3877787807814457e-17,0.03205465025058819,0.028622519077671438,0.03255072825779043,1.3877787807814457e-17,0.031521266138218054,0.028090908751446042,0.032017344145420235,-6.938893903907228e-18,0.03012843447215492,0.026702708992209168
development-low_volatility-BCHUSDT-20230101-90-3,development,low_volatility,BCHUSDT,Payment,2022-12-31T00:00:00Z,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,90,31,3,0.6680110448623517,55627482.92455,3,22,97.02,133.15,0.0025767882910740056,92,-0.00016901529867620785,-0.0015712250409252665,0.09309936095650384,0.09274350133992998,2.7755575615628914e-17,0.09257448604125378,0.08894109419386931,0.09215045783859005,0.0,0.09198144253991385,0.08835002287790483,0.09155741433725012,4.163336342344337e-17,0.08998618929632485,0.08636140491361388
development-low_volatility-BCHUSDT-20230501-90-3,development,low_volatility,BCHUSDT,Payment,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,90,31,3,0.5556610782524858,59336741.307679996,3,24,117.58,113.19,0.0021262119408062595,93,0.00021108261437573865,-0.000739074338356378,-0.009334070420139479,-0.009628469977887383,1.3877787807814457e-17,-0.009417387363511644,-0.012711601931852168,-0.010119141507909518,-2.42861286636753e-17,-0.009908058893533779,-0.013200641717805772,-0.010609813037931626,-5.204170427930421e-18,-0.011348887376288004,-0.014636678678764947
development-low_volatility-BNBUSDT-20220101-90-3,development,low_volatility,BNBUSDT,Layer-1,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,90,31,3,0.7363747410242413,577920901.662635,3,24,511.55,374.4,0.000488710780959828,93,0.005510384536093759,0.002736777243872444,-0.06702668360864042,-0.06728646759847523,1.3877787807814457e-17,-0.06177608306238147,-0.06489617709201045,-0.06771948113087678,-1.3877787807814457e-17,-0.06220909659478302,-0.06532775062388252,-0.06815249466327833,0.0,-0.06541571741940588,-0.06852370772707428
development-low_volatility-BNBUSDT-20220301-90-3,development,low_volatility,BNBUSDT,Layer-1,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,90,31,3,0.7603837374114136,459082710.91856503,3,25,395.47,428.71,0.0006321592029736768,93,0.001594259541483171,0.0007728892674893256,0.02101297190684498,0.02070036412370091,3.122502256758253e-17,0.02229462366518408,0.01889494977685402,0.02017936375957724,3.122502256758253e-17,0.02177362330106041,0.018375682016319006,0.019658363395453515,1.3877787807814457e-17,0.02043125266294284,0.017037775475244876
development-low_volatility-BNBUSDT-20220501-90-3,development,low_volatility,BNBUSDT,Layer-1,2022-04-30T00:00:00Z,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,90,31,3,0.6205188945277044,365038863.90916,2,25,376.52,320.85,0.000663975353234888,92,0.004788887641997175,0.0023944438209985877,-0.03696350791458619,-0.03724132980983738,4.85722573273506e-17,-0.032452442167840205,-0.035670052915206085,-0.03770438848002758,6.938893903907228e-18,-0.0329155008380304,-0.036131571668787776,-0.03816744715021775,2.0816681711721685e-17,-0.035773003329219163,-0.03897957144287301
development-low_volatility-BNBUSDT-20221201-90-3,development,low_volatility,BNBUSDT,Layer-1,2022-11-30T00:00:00Z,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,90,31,3,0.7135103767570875,682655193.862145,3,24,300.1,246.11,0.0008330556481172942,93,0.002599946970261287,0.0012852974738010866,-0.044976674441852715,-0.045249688437187574,3.469446951953614e-17,-0.04264974146692629,-0.04583344076513052,-0.04570473874875039,6.938893903907228e-18,-0.0431047917784891,-0.04628697779214097,-0.04615978906031323,-2.0816681711721685e-17,-0.04487449158651215,-0.048050792406122755
development-low_volatility-BNBUSDT-20230401-90-3,development,low_volatility,BNBUSDT,Layer-1,2023-03-31T00:00:00Z,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,90,30,3,0.4926888336768775,504536369.99008,1,24,316.73,336.85,0.000789315821046317,89,0.003934311877576303,0.0013162504224433138,0.015881034319451925,0.015571505698860288,5.898059818321144e-17,0.01950581757643659,0.016224609494426723,0.015055634193161416,2.6020852139652106e-17,0.01898994607073772,0.015710398285044613,0.014539762687462543,4.163336342344337e-17,0.015856013109905857,0.012586551667990609
development-low_volatility-BNBUSDT-20230601-90-3,development,low_volatility,BNBUSDT,Layer-1,2023-05-31T00:00:00Z,2023-06-01T00:00:00Z,2023-07-01T00:00:00Z,90,30,3,0.40661751637720966,222452685.19733,1,23,306.89,240.45,0.000814624132425299,90,0.0005267124791558744,9.592994116043436e-05,-0.05412362735833687,-0.054391153181921836,2.7755575615628914e-17,-0.05386444070276596,-0.05690951174632597,-0.05483706202873992,-6.938893903907228e-18,-0.054310349549584046,-0.05735398546674575,-0.055282970875558,2.0816681711721685e-17,-0.055187040934397566,-0.05822785528172836
development-low_volatility-BNBUSDT-20230801-90-3,development,low_volatility,BNBUSDT,Layer-1,2023-07-31T00:00:00Z,2023-08-01T00:00:00Z,2023-09-01T00:00:00Z,90,31,3,0.44701931042424875,320990971.824005,3,24,241.04,216.58,0.0010371722535678725,92,0.0019274883941865911,0.0008860214220383247,-0.025369233322270146,-0.025654011782276803,-2.42861286636753e-17,-0.023726523388090212,-0.026973152461035155,-0.026128657770494473,-1.0408340855860843e-17,-0.024201169376307882,-0.02744621999864283,-0.02660330375871217,3.469446951953614e-17,-0.025717282336673846,-0.02895729107624445
development-low_volatility-BNBUSDT-20231001-90-3,development,low_volatility,BNBUSDT,Layer-1,2023-09-30T00:00:00Z,2023-10-01T00:00:00Z,2023-11-01T00:00:00Z,90,31,3,0.3180777971042479,161065529.5693,3,21,214.68,226.35,0.0011645239426122602,92,-0.0012188166748832632,-0.0018282250123248945,0.013589994410285078,0.013281840413638946,5.551115123125783e-17,0.012063023738755682,0.008697375367434645,0.012768258573225222,-5.0306980803327406e-17,0.011549441898341959,0.00818550146006869,0.012254676732811665,4.85722573273506e-17,0.01042645172048677,0.00706624582242954
development-low_volatility-BNBUSDT-20231201-90-3,development,low_volatility,BNBUSDT,Layer-1,2023-11-30T00:00:00Z,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,90,31,3,0.3922735019235293,284695833.40164995,3,24,227.66,311.33,0.0010981287885443204,92,0.004783755252390569,0.0002998920780363866,0.09188043573750326,0.0915253074760608,2.7755575615628914e-17,0.09630906272845137,0.09266325142531162,0.09093348216858471,-1.3877787807814457e-17,0.09571723742097528,0.09207339425206795,0.09034165686110868,2.7755575615628914e-17,0.09064154893914507,0.08701458513671123
