trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-low_volatility-BCHUSDT-20220201-60-3,development,low_volatility,BCHUSDT,Payment,2022-01-31T00:00:00Z,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,60,28,3,0.7053343233999284,96601094.505045,2,25,284.72,338.88,0.0008780556336049451,84,-0.0009475244039678734,-0.001787830522082072,0.04755549311604379,0.047226959820174164,-6.938893903907228e-18,0.04627943541620629,0.043136212568086085,0.046679432860353975,-6.938893903907228e-18,0.045731908456386104,0.04259033048361327,0.04613190590053384,-6.938893903907228e-18,0.044344075378451774,0.041206666720770446
development-low_volatility-BCHUSDT-20221201-60-3,development,low_volatility,BCHUSDT,Payment,2022-11-30T00:00:00Z,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,60,31,3,0.7604489965463135,92784139.07634,3,24,113.31,97.02,0.0022063365987114994,93,0.005325089949205199,0.002608444138186883,-0.03594122319301035,-0.03621965845909453,0.0,-0.03089456850988933,-0.034117360016572285,-0.03668373880063541,-6.938893903907228e-18,-0.031358648851430214,-0.03457989704390341,-0.037147819142176325,1.3877787807814457e-17,-0.034539375003989445,-0.03775004558860229
development-low_volatility-BCHUSDT-20230501-60-3,development,low_volatility,BCHUSDT,Payment,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,60,31,3,0.5601890970506106,59336741.307679996,3,24,117.58,113.19,0.0021262119408062595,93,0.00021108261437573865,-0.000739074338356378,-0.009334070420139479,-0.009628469977887383,1.3877787807814457e-17,-0.009417387363511644,-0.012711601931852168,-0.010119141507909518,-2.42861286636753e-17,-0.009908058893533779,-0.013200641717805772,-0.010609813037931626,-5.204170427930421e-18,-0.011348887376288004,-0.014636678678764947
development-low_volatility-BNBUSDT-20220101-60-3,development,low_volatility,BNBUSDT,Layer-1,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,60,31,3,0.7441659898162932,577920901.662635,1,24,511.55,374.4,0.000488710780959828,93,0.005510384536093759,0.002736777243872444,-0.06702668360864042,-0.06728646759847523,1.3877787807814457e-17,-0.06177608306238147,-0.06489617709201045,-0.06771948113087678,-1.3877787807814457e-17,-0.06220909659478302,-0.06532775062388252,-0.06815249466327833,0.0,-0.06541571741940588,-0.06852370772707428
development-low_volatility-BNBUSDT-20220401-60-3,development,low_volatility,BNBUSDT,Layer-1,2022-03-31T00:00:00Z,2022-04-01T00:00:00Z,2022-05-01T00:00:00Z,60,30,3,0.645270817623337,356973337.24486995,2,25,428.71,376.52,0.0005831447831867696,89,0.0004377661111694234,0.0002188830555847117,-0.0304343262345175,-0.03071606563877677,2.7755575615628914e-17,-0.030278299527607345,-0.033399280914897744,-0.031185649573138047,-2.7755575615628914e-17,-0.030747883461968623,-0.033867353526249366,-0.03165523350749924,-6.938893903907228e-18,-0.03143635045191453,-0.034553604733398635
development-low_volatility-BNBUSDT-20220601-60-3,development,low_volatility,BNBUSDT,Layer-1,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,60,30,3,0.8992004409752111,454840426.91989005,1,25,320.85,219.43,0.0007791803023219573,89,0.0023221394922261105,0.0011610697461130553,-0.07902446626149293,-0.07927705158173598,2.7755575615628914e-17,-0.07695491208950987,-0.07992566806784374,-0.07969807453015426,-2.7755575615628914e-17,-0.07737593503792815,-0.08034533598338511,-0.08011909747857254,2.7755575615628914e-17,-0.07895802773245948,-0.08192233682336669
development-low_volatility-BNBUSDT-20220901-60-3,development,low_volatility,BNBUSDT,Layer-1,2022-08-31T00:00:00Z,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,60,30,3,0.6100175370725084,588181510.197075,3,24,278.99,284.65,0.0008960894655722427,90,0.0014560044511026065,0.0007280022255513033,0.005071866375138845,0.004768823255313859,7.632783294297951e-17,0.006224827706416466,0.0029863635602893623,0.004263754432058453,-4.683753385137379e-17,0.00571975888316106,0.0024829202656737603,0.0037586856088031584,-9.540979117872439e-18,0.004486687834354462,0.0012538177696905795
development-low_volatility-BNBUSDT-20221101-60-3,development,low_volatility,BNBUSDT,Layer-1,2022-10-31T00:00:00Z,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,60,30,3,0.4324310595575935,279133940.25214,2,24,325.6,300.1,0.0007678132678132678,89,0.005503296142982796,0.002751648071491398,-0.01957923832923833,-0.019867490786240782,3.469446951953614e-18,-0.014364194643257985,-0.017536394462718374,-0.020347923295454512,-1.3877787807814457e-17,-0.014844627152471715,-0.01801528073354397,-0.02082835580466827,2.42861286636753e-17,-0.01807670773317687,-0.021236959089229623
development-low_volatility-BNBUSDT-20230301-60-3,development,low_volatility,BNBUSDT,Layer-1,2023-02-28T00:00:00Z,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,60,31,3,0.47794002015292364,455250080.3413,3,24,301.18,316.73,0.0008300683976359652,93,0.00800674785356638,0.00390123690628599,0.012907563583239245,0.012599819045089333,1.0408340855860843e-17,0.020606566898655712,0.01721250669778751,0.012086919226044268,2.949029909160572e-17,0.020093667079610647,0.016701312543706104,0.011574019406999148,-6.938893903907228e-18,0.015475256313285137,0.012098260451997911
development-low_volatility-BNBUSDT-20230501-60-3,development,low_volatility,BNBUSDT,Layer-1,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,60,31,3,0.46572455321719947,327794721.24495,1,24,336.85,306.89,0.0007421701053881549,93,0.002949563791589086,0.0013151954526638221,-0.02223541635742915,-0.02252207510761467,2.42861286636753e-17,-0.019572511316025585,-0.022832954690685803,-0.022999853032507067,-6.938893903907228e-18,-0.020050289240917982,-0.02330914374961135,-0.023477630957399492,-2.0816681711721685e-17,-0.02216243550473567,-0.025414266002605435
development-low_volatility-BNBUSDT-20230801-60-3,development,low_volatility,BNBUSDT,Layer-1,2023-07-31T00:00:00Z,2023-08-01T00:00:00Z,2023-09-01T00:00:00Z,60,31,3,0.5254532313846231,320990971.824005,3,24,241.04,216.58,0.0010371722535678725,92,0.0019274883941865911,0.0008860214220383247,-0.025369233322270146,-0.025654011782276803,-2.42861286636753e-17,-0.023726523388090212,-0.026973152461035155,-0.026128657770494473,-1.0408340855860843e-17,-0.024201169376307882,-0.02744621999864283,-0.02660330375871217,3.469446951953614e-17,-0.025717282336673846,-0.02895729107624445
development-low_volatility-BNBUSDT-20231001-60-3,development,low_volatility,BNBUSDT,Layer-1,2023-09-30T00:00:00Z,2023-10-01T00:00:00Z,2023-11-01T00:00:00Z,60,31,3,0.2865669526564922,161065529.5693,2,21,214.68,226.35,0.0011645239426122602,92,-0.0012188166748832632,-0.0018282250123248945,0.013589994410285078,0.013281840413638946,5.551115123125783e-17,0.012063023738755682,0.008697375367434645,0.012768258573225222,-5.0306980803327406e-17,0.011549441898341959,0.00818550146006869,0.012254676732811665,4.85722573273506e-17,0.01042645172048677,0.00706624582242954
development-low_volatility-ETCUSDT-20220101-60-3,development,low_volatility,ETCUSDT,PoW,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,60,31,3,0.7577260510420964,102514262.77246499,2,24,34.057,25.646,0.007340634818099069,93,-0.00019198035785093374,-0.0009970607862782351,-0.06174207945503127,-0.06200503420735823,3.469446951953614e-17,-0.06219701456520916,-0.06531570877348947,-0.062443329173150874,-6.938893903907228e-18,-0.06263530953100181,-0.06575254617517468,-0.06288162413894352,4.163336342344337e-17,-0.06387868492522175,-0.06699178668424188
development-low_volatility-LTCUSDT-20231201-60-3,development,low_volatility,LTCUSDT,Payment,2023-11-30T00:00:00Z,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,60,31,3,0.41961220373703595,198643738.395515,3,24,69.46,72.89,0.0035991937805931475,92,-0.005354712697619188,-0.008032069046428782,0.012345234667434535,0.01203782752663407,1.0408340855860843e-17,0.006683114829014882,0.0033353575190560036,0.011525489699107438,-1.0408340855860843e-17,0.00617077700148825,0.0028247234875717897,0.011013151871580806,1.9081958235744878e-17,0.0029810828251520243,-0.00035436325745052955
development-low_volatility-TRXUSDT-20220101-60-3,development,low_volatility,TRXUSDT,Layer-1,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,60,31,3,0.7682056286885125,91357133.01308,3,24,0.07531,0.05902,3.319612269286947,93,-0.0003623367789427035,-0.0013887503536185433,-0.05407648386668437,-0.054344037976364334,1.3877787807814457e-17,-0.05470637475530704,-0.0578499793289351,-0.05478999393838799,-6.938893903907228e-18,-0.055152330717330694,-0.058294452249960216,-0.05523594990041164,0.0,-0.056624700254030186,-0.05976192537406788
