trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-funding_premium-1000XECUSDT-20240317-1-3,development,funding_premium,1000XECUSDT,Payment,2024-03-16T00:00:00Z,2024-03-17T00:00:00Z,2024-03-18T00:00:00Z,1,1,3,0.0003445566666666667,31092684.96092,2,25,0.05153,0.05478,4.851542790607414,2,0.00017018005724820493,8.509002862410246e-05,-0.01576751406947413,-0.01607697457791582,-2.7755575615628914e-17,-0.015906794520667615,-0.016012533599325085,-0.016592751552493762,-6.245004513516506e-17,-0.016422571495245557,-0.01652825515457712,-0.017108528527071648,-6.938893903907228e-18,-0.017023438498447546,-0.017129057595679842
development-funding_premium-1000XECUSDT-20240320-1-3,development,funding_premium,1000XECUSDT,Payment,2024-03-19T00:00:00Z,2024-03-20T00:00:00Z,2024-03-21T00:00:00Z,1,1,3,0.00019757,37979407.030865,2,25,0.04645,0.05161,5.382131324004306,2,0.00012116130681377827,6.0580653406889135e-05,-0.02777179763186227,-0.028088460710441382,-1.734723475976807e-17,-0.027967299403627605,-0.028071742602314265,-0.028616249171151825,-3.469446951953614e-17,-0.028495087864338048,-0.028599474353085852,-0.02914403763186224,1.0408340855860843e-17,-0.029083456978455352,-0.029187780247979966
development-funding_premium-1000XECUSDT-20240406-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-05T00:00:00Z,2024-04-06T00:00:00Z,2024-04-07T00:00:00Z,1,1,3,0.00014481,51984349.973790005,3,25,0.0702,0.08022,3.561253561253561,2,0.00012272521018696583,6.136260509348291e-05,-0.03568376068376067,-0.036005170940170944,0.0,-0.035882445729983975,-0.035986038460162906,-0.036540876111111065,4.163336342344337e-17,-0.036418150900924096,-0.036521686070527526,-0.037076581282051296,-2.0816681711721685e-17,-0.03701521867695781,-0.03711868969268206
development-funding_premium-1000XECUSDT-20240411-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-10T00:00:00Z,2024-04-11T00:00:00Z,2024-04-12T00:00:00Z,1,1,3,0.00029171,50919186.72937,2,25,0.07335,0.07071,3.408316291751875,2,6.417175461656442e-05,3.208587730828221e-05,0.008997955010224962,0.008703353783231088,-6.938893903907228e-18,0.008767525537847652,0.008659135247033545,0.008212357137014348,-2.2551405187698492e-17,0.008276528891630911,0.008168191357540211,0.007721360490797552,2.6020852139652106e-18,0.007753446368105834,0.007645165038309587
development-funding_premium-1000XECUSDT-20240415-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-14T00:00:00Z,2024-04-15T00:00:00Z,2024-04-16T00:00:00Z,1,1,3,0.0001,52651560.823495,1,25,0.05695,0.05343,4.389815627743634,2,4.587867971817383e-05,2.2939339859086916e-05,0.015452151009657605,0.015161422300263377,-2.0816681711721685e-17,0.01520730097998155,0.015098218746658176,0.014676883722563677,-1.214306433183765e-17,0.01472276240228185,0.014613732231773868,0.014192345144863894,-2.949029909160572e-17,0.01421528448472298,0.014106308841821846
development-funding_premium-1000XECUSDT-20240417-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-16T00:00:00Z,2024-04-17T00:00:00Z,2024-04-18T00:00:00Z,1,1,3,0.0001,52651560.823495,1,25,0.05227,0.04964,4.782858236081883,2,3.731529977998852e-05,1.865764988999426e-05,0.012578917160895348,0.012286464511191864,-2.7755575615628914e-17,0.012323779810971852,0.012215007406910505,0.01179905097570308,-1.9081958235744878e-17,0.011836366275483068,0.01172764624314615,0.01131163744021424,-3.2959746043559335e-17,0.011330295090104234,0.011221629434223335
development-funding_premium-1000XECUSDT-20240425-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-24T00:00:00Z,2024-04-25T00:00:00Z,2024-04-26T00:00:00Z,1,1,3,0.0001,45575286.109235,1,25,0.05173,0.05149,4.832785617630002,2,4.719864102068432e-05,2.359932051034216e-05,0.001159868548231191,0.0008605644693601144,-1.1058862159352145e-17,0.0009077631103807987,0.0008002173371723931,0.0003617250338294742,-3.968179951296946e-17,0.0004089236748501585,0.0003014315010587687,-0.00013711440170116607,-1.3010426069826053e-18,-0.00011351508119082391,-0.00022095111985953597
development-funding_premium-1000XECUSDT-20240429-1-3,development,funding_premium,1000XECUSDT,Payment,2024-04-28T00:00:00Z,2024-04-29T00:00:00Z,2024-04-30T00:00:00Z,1,1,3,9.092000000000002e-05,35946889.211940005,2,25,0.05018,0.04972,4.982064567556796,2,-1.9808273714627343e-05,-2.971241057194101e-05,0.0022917497010761234,0.0019931247508967465,-3.5561831257524545e-17,0.001973316477182119,0.0018656562121441844,0.0014954178756476921,-2.1250362580715887e-17,0.0014756096019330647,0.0013680028146210166,0.0009977110003985545,-2.1250362580715887e-17,0.0009679985898266135,0.0008604463444221722
development-funding_premium-1000XECUSDT-20240506-1-3,development,funding_premium,1000XECUSDT,Payment,2024-05-05T00:00:00Z,2024-05-06T00:00:00Z,2024-05-07T00:00:00Z,1,1,3,0.0001,21842847.388425,1,24,0.05016,0.04895,4.984051036682615,2,5.0371511164274316e-05,2.5185755582137158e-05,0.00603070175438597,0.005734320175438623,1.3877787807814457e-17,0.005784691686602898,0.005676621896023359,0.005240354495614108,2.2551405187698492e-17,0.0052907260067783825,0.005182709291939869,0.004746388815789482,-1.0408340855860843e-17,0.004771574571371619,0.004663613638438813
development-funding_premium-1000XECUSDT-20240519-1-3,development,funding_premium,1000XECUSDT,Payment,2024-05-18T00:00:00Z,2024-05-19T00:00:00Z,2024-05-20T00:00:00Z,1,1,3,0.0001,12369200.92812,1,24,0.04972,0.04952,5.02815768302494,2,1.727367892246581e-05,8.636839461232904e-06,0.0010056315366049895,0.0007062349155269043,-4.0657581468206416e-17,0.0007235085944493701,0.0006159826190637041,0.00020724115044246094,-8.673617379884035e-18,0.00022451482936492676,0.00011704246997878975,-0.0002917526146420102,-4.4994390158148434e-18,-0.0002831157751807773,-0.00039053359055418735
