trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-scheduled_short-1000XECUSDT-20240101-1-3,development,scheduled_short,1000XECUSDT,Payment,2023-12-31T00:00:00Z,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,1,1,3,,12881865.291775,,25,0.03728,0.03838,6.706008583690987,2,5.113542784334764e-05,2.556771392167382e-05,-0.007376609442060089,-0.007681035407725273,2.688821387764051e-17,-0.0076298999798819255,-0.007736528396254716,-0.008188416443133034,-2.0816681711721685e-17,-0.008137281015289686,-0.008243854914465332,-0.008695797478540823,-5.0306980803327406e-17,-0.008670229764619149,-0.008776746399392077
development-scheduled_short-1000XECUSDT-20240103-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-02T00:00:00Z,2024-01-03T00:00:00Z,2024-01-04T00:00:00Z,1,1,3,,12881865.291775,,25,0.03777,0.03383,6.619009796134499,2,-0.0011618775191951285,-0.0017428162787926928,0.02607889859676993,0.02579454593592795,-3.122502256758253e-17,0.02463266841673282,0.02452257344430797,0.025320640481863943,2.0816681711721685e-17,0.024158762962668813,0.024048718910548716,0.024846735027799854,-1.0408340855860843e-17,0.023103918749007163,0.02299398803803676
development-scheduled_short-1000XECUSDT-20240105-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-04T00:00:00Z,2024-01-05T00:00:00Z,2024-01-06T00:00:00Z,1,1,3,,15091629.91124,,25,0.03561,0.03418,7.020499859590002,3,-0.00016430093661190672,-0.0002510267431093794,0.010039314799213717,0.009745338388093244,8.673617379884035e-18,0.009581037451481337,0.009472559750247411,0.009255383726481381,5.204170427930421e-18,0.009091082789869474,0.008982657733399346,0.008765429064869407,-1.5612511283791264e-17,0.008514402321760027,0.008406039228588957
development-scheduled_short-1000XECUSDT-20240107-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-06T00:00:00Z,2024-01-07T00:00:00Z,2024-01-08T00:00:00Z,1,1,3,,12390352.104925,,25,0.03366,0.03176,7.42721330956625,2,-8.849343303030303e-05,-0.00013274014954545453,0.01411170528817593,0.013820172311348827,3.469446951953614e-18,0.013731678878318524,0.013622755197986613,0.013334292483660165,-3.2959746043559335e-17,0.013245799050629862,0.013136927577227953,0.01284841265597153,8.673617379884035e-18,0.012715672506426075,0.01260685799418626
development-scheduled_short-1000XECUSDT-20240109-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-08T00:00:00Z,2024-01-09T00:00:00Z,2024-01-10T00:00:00Z,1,1,3,,12390352.104925,,25,0.03483,0.03388,7.177720356014929,3,-0.0011024842764283665,-0.0016537264146425498,0.006818834338214175,0.006522925638817095,-1.214306433183765e-17,0.005420441362388729,0.005312410709864102,0.006029748564455983,6.071532165918825e-18,0.004927264288027617,0.004819286626509323,0.005536571490094733,-1.474514954580286e-17,0.003882845075452183,0.00377497963493556
development-scheduled_short-1000XECUSDT-20240111-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-10T00:00:00Z,2024-01-11T00:00:00Z,2024-01-12T00:00:00Z,1,1,3,,12390352.104925,,25,0.0358,0.03718,6.983240223463687,2,-3.7474803952513964e-05,-8.089365844273743e-05,-0.009636871508379885,-0.009942653631284937,-2.6020852139652106e-17,-0.009980128435237452,-0.010086504323709278,-0.01045229628491623,-3.122502256758253e-17,-0.010489771088868744,-0.010596092217136643,-0.010961938938547494,-1.0408340855860843e-17,-0.011042832596990232,-0.011149094299774842
development-scheduled_short-1000XECUSDT-20240113-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-12T00:00:00Z,2024-01-13T00:00:00Z,2024-01-14T00:00:00Z,1,1,3,,12936703.50441,,25,0.03495,0.03499,7.153075822603719,2,-0.0002575129460686695,-0.000399512676181688,-0.00028612303290415086,-0.0005862947067238888,-9.324138683375338e-18,-0.0008438076527925583,-0.0009511652228129108,-0.001086581001430581,4.553649124439119e-18,-0.0013440939474992505,-0.0014513977626399166,-0.001586867296137301,-9.540979117872439e-18,-0.001986379972318989,-0.002093614774959507
development-scheduled_short-1000XECUSDT-20240115-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-14T00:00:00Z,2024-01-15T00:00:00Z,2024-01-16T00:00:00Z,1,1,3,,12936703.50441,,25,0.03372,0.03416,7.413997627520759,2,-1.49172153024911e-05,-4.740831109134045e-05,-0.0032621589561091513,-0.003564116251482813,7.806255641895632e-18,-0.003579033466785304,-0.003686097141617828,-0.0040673803677343245,-2.6020852139652106e-17,-0.004082297583036815,-0.004189307183027902,-0.0045706444839858085,-3.209238430557093e-17,-0.004618052795077149,-0.004725004829115975
development-scheduled_short-1000XECUSDT-20240117-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-16T00:00:00Z,2024-01-17T00:00:00Z,2024-01-18T00:00:00Z,1,1,3,,12936703.50441,,25,0.03448,0.03365,7.250580046403713,2,3.3240540893271464e-05,1.6620270446635732e-05,0.006017981438515063,0.005721592227378169,-2.6020852139652106e-18,0.005754832768271441,0.0056467661859800344,0.005227613819605542,-1.1275702593849246e-17,0.005260854360498814,0.0051528408553158656,0.004733635411832915,-1.9949319973733282e-17,0.004750255682279551,0.004642297040023724
development-scheduled_short-1000XECUSDT-20240119-1-3,development,scheduled_short,1000XECUSDT,Payment,2024-01-18T00:00:00Z,2024-01-19T00:00:00Z,2024-01-20T00:00:00Z,1,1,3,,12936703.50441,,25,0.03216,0.03199,7.773631840796019,2,-6.543446129664179e-05,-9.815169194496269e-05,0.0013215174129353469,0.0010223103233830966,-1.496198998029996e-17,0.0009568758620864548,0.0008493248117993346,0.0005236326337065,-3.0357660829594124e-18,0.00045819817240985825,0.0003507007041607668,2.4954944029875747e-05,-1.870248747537495e-17,-7.319674791508694e-05,-0.0001806371187175193
