trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-premium_premium-1000XECUSDT-20240309-1-3,development,premium_premium,1000XECUSDT,Payment,2024-03-08T00:00:00Z,2024-03-09T00:00:00Z,2024-03-10T00:00:00Z,1,1,3,0.0009574666666666666,12565197.906985,2,25,0.0675,0.06888,3.7037037037037033,2,0.00034262296351851844,0.00017131148175925922,-0.005111111111111066,-0.005414177777777723,2.5153490401663703e-17,-0.005071554814259205,-0.005178458120306262,-0.005919291955555489,5.204170427930421e-18,-0.005576668992036971,-0.0056835180244567685,-0.00642440613333331,-1.734723475976807e-17,-0.006253094651574051,-0.006359871003250195
development-premium_premium-1000XECUSDT-20240313-1-3,development,premium_premium,1000XECUSDT,Payment,2024-03-12T00:00:00Z,2024-03-13T00:00:00Z,2024-03-14T00:00:00Z,1,1,3,0.0012986733333333333,14157387.315155,3,25,0.06403,0.06559,3.904419803217242,2,0.0002592585009800094,0.0001296292504900047,-0.006090894893018839,-0.006394549429954738,-6.071532165918825e-17,-0.006135290928974729,-0.006242079938452938,-0.006900643979384641,-2.0816681711721685e-17,-0.0066413854784046315,-0.0067481201089164555,-0.0074067385288145715,-8.673617379884035e-18,-0.007277109278324567,-0.007383775601435771
development-premium_premium-1000XECUSDT-20240320-1-3,development,premium_premium,1000XECUSDT,Payment,2024-03-19T00:00:00Z,2024-03-20T00:00:00Z,2024-03-21T00:00:00Z,1,1,3,0.00084115,37979407.030865,3,25,0.04645,0.05161,5.382131324004306,2,0.00012116130681377827,6.0580653406889135e-05,-0.02777179763186227,-0.028088460710441382,-1.734723475976807e-17,-0.027967299403627605,-0.028071742602314265,-0.028616249171151825,-3.469446951953614e-17,-0.028495087864338048,-0.028599474353085852,-0.02914403763186224,1.0408340855860843e-17,-0.029083456978455352,-0.029187780247979966
development-premium_premium-1000XECUSDT-20240322-1-3,development,premium_premium,1000XECUSDT,Payment,2024-03-21T00:00:00Z,2024-03-22T00:00:00Z,2024-03-23T00:00:00Z,1,1,3,0.0011359366666666667,37979407.030865,2,25,0.05147,0.05151,4.857198367981348,2,7.454534693025063e-05,3.727267346512531e-05,-0.00019428793471926165,-0.0004944045074800896,-1.2034644114589099e-17,-0.00041985916054983896,-0.0005272622830877483,-0.0009945989119875265,9.540979117872439e-18,-0.0009200535650572758,-0.001027402942588962,-0.0014947933164950467,1.5395670849294163e-17,-0.0014575206430299213,-0.001564812270672289
development-premium_premium-1000XECUSDT-20240406-1-3,development,premium_premium,1000XECUSDT,Payment,2024-04-05T00:00:00Z,2024-04-06T00:00:00Z,2024-04-07T00:00:00Z,1,1,3,0.0009054466666666667,51984349.973790005,2,25,0.0702,0.08022,3.561253561253561,2,0.00012272521018696583,6.136260509348291e-05,-0.03568376068376067,-0.036005170940170944,0.0,-0.035882445729983975,-0.035986038460162906,-0.036540876111111065,4.163336342344337e-17,-0.036418150900924096,-0.036521686070527526,-0.037076581282051296,-2.0816681711721685e-17,-0.03701521867695781,-0.03711868969268206
development-premium_premium-1000XECUSDT-20240408-1-3,development,premium_premium,1000XECUSDT,Payment,2024-04-07T00:00:00Z,2024-04-08T00:00:00Z,2024-04-09T00:00:00Z,1,1,3,0.0006996066666666666,51984349.973790005,2,25,0.077,0.07719,3.2467532467532467,3,0.00011772898936590909,5.886449468295454e-05,-0.0006168831168831268,-0.000917253246753208,2.4936649967166602e-17,-0.0007995242573872989,-0.0009068865855803576,-0.001417870499999918,1.8214596497756474e-17,-0.001300141510634009,-0.0014074500483863828,-0.0019184877532467393,-9.540979117872439e-18,-0.0018596232585637847,-0.0019668716809895237
development-premium_premium-1000XECUSDT-20240411-1-3,development,premium_premium,1000XECUSDT,Payment,2024-04-10T00:00:00Z,2024-04-11T00:00:00Z,2024-04-12T00:00:00Z,1,1,3,0.00104596,50919186.72937,2,25,0.07335,0.07071,3.408316291751875,2,6.417175461656442e-05,3.208587730828221e-05,0.008997955010224962,0.008703353783231088,-6.938893903907228e-18,0.008767525537847652,0.008659135247033545,0.008212357137014348,-2.2551405187698492e-17,0.008276528891630911,0.008168191357540211,0.007721360490797552,2.6020852139652106e-18,0.007753446368105834,0.007645165038309587
development-premium_premium-1000XECUSDT-20241129-1-3,development,premium_premium,1000XECUSDT,Payment,2024-11-28T00:00:00Z,2024-11-29T00:00:00Z,2024-11-30T00:00:00Z,1,1,3,0.00085777,22424730.396355,3,25,0.04941,0.04968,5.059704513256426,2,8.324550799433313e-05,4.1622753997166565e-05,-0.0013661202185792365,-0.0016669398907104005,-2.1033522146218786e-17,-0.0015836943827160675,-0.0016909724532127024,-0.0021683068306011244,-5.421010862427522e-17,-0.002085061322606791,-0.00219228552211026,-0.0026696737704918205,-2.42861286636753e-17,-0.002628051016494654,-0.0027352168727136084
development-premium_premium-1000XECUSDT-20241201-1-3,development,premium_premium,1000XECUSDT,Payment,2024-11-30T00:00:00Z,2024-12-01T00:00:00Z,2024-12-02T00:00:00Z,1,1,3,0.0008617366666666667,22424730.396355,2,25,0.04994,0.05181,5.006007208650381,2,0.00018558889270524633,9.279444635262316e-05,-0.009361233480176256,-0.009666850220264395,-5.724587470723463e-17,-0.009481261327559148,-0.00958769081842148,-0.01017621707048455,3.469446951953614e-18,-0.009990628177779303,-0.010097002938072253,-0.010685583920704844,-3.469446951953614e-18,-0.01059278947435222,-0.010699099533476364
development-premium_premium-1000XECUSDT-20241216-1-3,development,premium_premium,1000XECUSDT,Payment,2024-12-15T00:00:00Z,2024-12-16T00:00:00Z,2024-12-17T00:00:00Z,1,1,3,7.622333333333333e-05,24807083.398225002,2,25,0.04444,0.04316,5.625562556255626,2,4.8880625562556264e-05,2.4440312781278132e-05,0.007200720072007227,0.006905040504050386,-3.903127820947816e-17,0.006953921129612942,0.006845725707392836,0.0064122455445545234,1.0408340855860843e-17,0.0064611261701170795,0.00635298369784576,0.005919450585058522,-8.673617379884035e-19,0.0059438908978398,0.005835804001586009
