trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-premium_premium-AVAXUSDT-20250824-3-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-08-23T00:00:00Z,2025-08-24T00:00:00Z,2025-08-25T00:00:00Z,3,1,3,5.3772222222222014e-05,358062492.71500003,2,21,26.263,25.821,0.009519095305182195,3,-7.351985294901572e-05,-0.0001102797794235236,-0.004207440124890521,-0.004504915660815567,3.0357660829594124e-17,-0.004578435513764583,-0.0046853918046103615,-0.005000710745154763,-8.673617379884035e-18,-0.005074230598103778,-0.005181133616642519,-0.005496505829493958,2.0816681711721685e-17,-0.005606785608917482,-0.005713631405359965
evaluation-premium_premium-AVAXUSDT-20250910-3-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-09-09T00:00:00Z,2025-09-10T00:00:00Z,2025-09-11T00:00:00Z,3,1,3,2.874888888888871e-05,503101756.453,3,21,25.931,29.473,0.009640970267247695,2,-5.3587022395973924e-05,-8.03805335939609e-05,0.034148316686591296,0.03382782769657938,2.0816681711721685e-17,0.03377424067418341,0.03366316345594833,0.03329369986888275,-6.938893903907228e-17,0.03324011284648678,0.03312909301934419,0.032759572041186236,2.0816681711721685e-17,0.03267919150759228,0.032568231950458104
evaluation-premium_premium-BNBUSDT-20250107-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,3,1,3,0.00012990444444444438,683719981.1786001,1,25,729.82,697.16,0.0003425502178619385,2,1.822108878764695e-05,9.110544393823475e-06,-0.011187690115370935,-0.011480977501301726,-8.673617379884035e-18,-0.01146275641251408,-0.011568972995225524,-0.011969796523800452,-5.0306980803327406e-17,-0.011951575435012806,-0.012057739494982789,-0.012458615546299123,0.0,-0.0124495050019053,-0.012555615560221889
evaluation-premium_premium-BNBUSDT-20250118-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-17T00:00:00Z,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,3,1,3,0.00015161999999999993,541526910.12855,2,24,722.09,709.91,0.00034621723053912946,2,0.0,0.0,-0.0042169258679666255,-0.004514395712445829,9.540979117872439e-18,-0.004514395712445829,-0.0046213588842553,-0.005010181316733392,-3.2959746043559335e-17,-0.005010181316733392,-0.005117091217254455,-0.005505966921020927,-7.806255641895632e-18,-0.005505966921020927,-0.0056128235502534984
evaluation-premium_premium-BNBUSDT-20250120-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-19T00:00:00Z,2025-01-20T00:00:00Z,2025-01-21T00:00:00Z,3,1,3,0.00036254111111111106,536792555.49965,1,24,683.39,682.83,0.0003658233219684221,2,-5.786756297669266e-05,-8.680134446503898e-05,-0.00020486106030229156,-0.0005047381436661114,3.686287386450715e-18,-0.000562605706642804,-0.0006699934913161343,-0.001004533405522423,-1.6479873021779667e-17,-0.0010624009684991158,-0.0011697350510533333,-0.0015043286673787626,1.8865117801247777e-17,-0.0015911300118438016,-0.001698407283395209
evaluation-premium_premium-BNBUSDT-20250122-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,2025-01-23T00:00:00Z,3,1,3,0.0004716777777777778,527300371.10705,1,24,692.55,695.96,0.00036098476644285613,2,0.0,0.0,0.0012309580535701525,0.0009302194787380036,-2.3418766925686896e-17,0.0009302194787380036,0.0008226712926322488,0.00042898925925927145,-5.97395397039513e-17,0.00042898925925927145,0.00032149492945632296,-7.224096021946069e-05,-1.4013313079375145e-17,-7.224096021946069e-05,-0.00017968143371960288
evaluation-premium_premium-BNBUSDT-20250124-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,2025-01-25T00:00:00Z,3,1,3,0.0004977666666666666,485948087.95095,1,24,690.13,680.46,0.0003622505904684625,2,-2.08193777046476e-05,-3.1229066556971396e-05,-0.0035029632098300123,-0.0038008614319040845,3.469446951953614e-17,-0.003821680809608732,-0.00392871841241238,-0.004297360570472225,-1.214306433183765e-17,-0.004318179948176873,-0.004425164203023968,-0.004793859709040282,2.42861286636753e-17,-0.004825088775597254,-0.004932018563985285
evaluation-premium_premium-BNBUSDT-20250126-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-25T00:00:00Z,2025-01-26T00:00:00Z,2025-01-27T00:00:00Z,3,1,3,0.0004548977777777777,478035445.74915004,1,24,686.74,666.64,0.0003640387919736727,2,0.0,0.0,-0.007317179718670824,-0.007612789410839621,6.071532165918825e-18,-0.007612789410839621,-0.007719419665712879,-0.008105476621428742,8.673617379884035e-18,-0.008105476621428742,-0.008212053937930452,-0.008598163832017919,-1.734723475976807e-18,-0.008598163832017919,-0.008704688210148137
evaluation-premium_premium-BNBUSDT-20250128-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-27T00:00:00Z,2025-01-28T00:00:00Z,2025-01-29T00:00:00Z,3,1,3,0.0001177922222222221,475012449.27620006,1,24,680.17,661.07,0.0003675551700310217,2,0.0,0.0,-0.007020303747592493,-0.007316091565343907,1.8214596497756474e-17,-0.007316091565343907,-0.007422753699877105,-0.007809075473778626,-5.551115123125783e-17,-0.007809075473778626,-0.007915684638060694,-0.008302059382213206,1.0408340855860843e-17,-0.008302059382213206,-0.00840861557624406
evaluation-premium_premium-BNBUSDT-20250130-3-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-29T00:00:00Z,2025-01-30T00:00:00Z,2025-01-31T00:00:00Z,3,1,3,4.798222222222211e-05,465083464.9105,1,24,667.93,677.88,0.00037429071908732955,2,0.0,0.0,0.0037241926549189674,0.0034219581393260534,5.854691731421724e-17,0.0034219581393260534,0.003314142220297578,0.0029182361811866953,-5.204170427930421e-18,0.0029182361811866953,0.002810474386194084,0.002414514223047337,1.5612511283791264e-17,0.002414514223047337,0.002306806552090368
