trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-premium_premium-1000XECUSDT-20250107-1-3,evaluation,premium_premium,1000XECUSDT,Payment,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,1,1,3,0.00020970666666666668,10787025.31982,3,25,0.03875,0.03495,6.451612903225807,2,-4.824805161290323e-05,-7.237207741935485e-05,-0.024516129032258055,-0.02480141935483865,4.85722573273506e-17,-0.024849667406451552,-0.024954445589195795,-0.02527691793548381,2.42861286636753e-17,-0.025325165987096714,-0.025429893078357302,-0.025752416516128973,4.163336342344337e-17,-0.025824788593548326,-0.025929462001241466
evaluation-premium_premium-AAVEUSDT-20250104-1-3,evaluation,premium_premium,AAVEUSDT,DeFi,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,2025-01-05T00:00:00Z,1,1,3,7.685000000000001e-05,395875096.56649995,2,25,350.83,351.59,0.000712595844141037,2,-4.935825559245219e-05,-7.403738338867829e-05,0.0005415728415471555,0.0002412478978423005,4.708147934018303e-17,0.0001918896422498483,8.44207883825554e-05,-0.0002592933500555339,2.721347452938616e-17,-0.0003086516056479861,-0.0004160666772413668,-0.000759834597953396,2.0166160408230382e-17,-0.0008338719813420744,-0.000941230618932809
evaluation-premium_premium-AVAXUSDT-20250106-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-01-05T00:00:00Z,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,1,1,3,9.293333333333333e-05,445217704.5255,3,25,43.113,44.048,0.005798715004754947,2,-5.0993304345557034e-05,-7.648995651833554e-05,0.005421798529445909,0.005118545450328249,2.7755575615628914e-17,0.005067552145982692,0.004959559410781633,0.004613126904877862,-6.158268339717665e-17,0.004562133600532306,0.004454195171662345,0.004107708359427531,-1.3010426069826053e-17,0.004031218402909195,0.003923337019940298
evaluation-premium_premium-AVAXUSDT-20250510-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-05-09T00:00:00Z,2025-05-10T00:00:00Z,2025-05-11T00:00:00Z,1,1,3,0.00011266333333333332,218948261.2715,3,20,23.266,25.809,0.0107452935614201,3,-7.715538226381846e-05,-0.0001157330733957277,0.027325281526691336,0.02700888635777532,-6.938893903907228e-18,0.0269317309755115,0.026821388972871008,0.02648157747141755,-5.551115123125783e-17,0.02640442208915373,0.026294136744922536,0.02595426858505978,1.0408340855860843e-17,0.025838535511664054,0.02572831097094741
evaluation-premium_premium-AVAXUSDT-20250524-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-05-23T00:00:00Z,2025-05-24T00:00:00Z,2025-05-25T00:00:00Z,1,1,3,3.037e-05,246049252.6,3,20,23.062,22.938,0.010840343422079611,3,7.0074875742086524e-06,-2.1497340247237883e-05,-0.0013442025843379002,-0.0016433960627872946,-2.168404344971009e-19,-0.0016363885752130858,-0.0017436609838117345,-0.0021420526667244866,-2.47198095326695e-17,-0.002135045179150278,-0.0022422640079766687,-0.0026407092706616786,2.7755575615628914e-17,-0.0026622066109089166,-0.0027693687971694914
evaluation-premium_premium-AVAXUSDT-20250824-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-08-23T00:00:00Z,2025-08-24T00:00:00Z,2025-08-25T00:00:00Z,1,1,3,0.00046076,358062492.71500003,2,21,26.263,25.821,0.009519095305182195,3,-7.351985294901572e-05,-0.0001102797794235236,-0.004207440124890521,-0.004504915660815567,3.0357660829594124e-17,-0.004578435513764583,-0.0046853918046103615,-0.005000710745154763,-8.673617379884035e-18,-0.005074230598103778,-0.005181133616642519,-0.005496505829493958,2.0816681711721685e-17,-0.005606785608917482,-0.005713631405359965
evaluation-premium_premium-AVAXUSDT-20250908-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-09-07T00:00:00Z,2025-09-08T00:00:00Z,2025-09-09T00:00:00Z,1,1,3,2.0703333333333332e-05,497425681.2255,3,21,24.683,25.282,0.010128428473038123,3,-7.624947215695013e-05,-0.0001143742082354252,0.006066928655349857,0.005763288498156605,-2.3418766925686896e-17,0.005687039025999654,0.005578979728026345,0.005257225209658545,4.0766001685454967e-17,0.0051809757375015945,0.005072970815135802,0.004751161921160374,6.505213034913027e-17,0.004636787712924949,0.004528841262602112
evaluation-premium_premium-AVAXUSDT-20251210-1-3,evaluation,premium_premium,AVAXUSDT,Layer-1,2025-12-09T00:00:00Z,2025-12-10T00:00:00Z,2025-12-11T00:00:00Z,1,1,3,4.755333333333333e-05,274589541.3145,2,21,14.6,14.106,0.017123287671232876,3,-4.1410773561643843e-05,-7.07144307191781e-05,-0.00845890410958905,-0.008753828767123273,1.0408340855860843e-17,-0.008795239540684917,-0.00890174274337796,-0.009245374938356171,-4.85722573273506e-17,-0.009286785711917815,-0.009393236098841906,-0.009736921109589014,1.214306433183765e-17,-0.009807635540308193,-0.00991402996283719
evaluation-premium_premium-BNBUSDT-20250107-1-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,1,1,3,0.00030728,683719981.1786001,2,25,729.82,697.16,0.0003425502178619385,2,1.822108878764695e-05,9.110544393823475e-06,-0.011187690115370935,-0.011480977501301726,-8.673617379884035e-18,-0.01146275641251408,-0.011568972995225524,-0.011969796523800452,-5.0306980803327406e-17,-0.011951575435012806,-0.012057739494982789,-0.012458615546299123,0.0,-0.0124495050019053,-0.012555615560221889
evaluation-premium_premium-BNBUSDT-20250117-1-3,evaluation,premium_premium,BNBUSDT,Layer-1,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,2025-01-18T00:00:00Z,1,1,3,0.00017076333333333334,561042904.24475,2,24,708.06,722.09,0.0003530774228172754,3,-9.05627192610796e-06,-1.358440788916194e-05,0.0049536762421263925,0.004650704036381181,5.2909066017292616e-17,0.0046416477644550735,0.004533700791928386,0.004145753332344793,1.3877787807814457e-17,0.004136697060418685,0.004028804343954029,0.003640802628308404,1.5612511283791264e-17,0.003627218220419242,0.003519380246557402
