trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-winner_momentum-1000XECUSDT-20250108-5-3,evaluation,winner_momentum,1000XECUSDT,Payment,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,5,1,3,-0.004273504273504147,11024830.289835,3,25,0.03495,0.03523,7.153075822603719,3,-7.447113733905579e-05,-0.0001117067060085837,0.0020028612303290005,0.001701659513590803,-8.890457814381136e-18,0.0016271883762517473,0.0015195653020676492,0.0011996578540772185,-3.0791341698588326e-17,0.0011251867167381628,0.001017617581746677,0.0006976561945636894,5.2583805365546965e-17,0.0005859494885551058,0.00047843829365246116
evaluation-winner_momentum-1000XECUSDT-20250110-5-3,evaluation,winner_momentum,1000XECUSDT,Payment,2025-01-09T00:00:00Z,2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,5,1,3,-0.035819299652499303,10848508.704285,2,25,0.03607,0.03869,6.930967563071805,2,0.0002482255589409482,0.00010089613912115332,0.018159135015248185,0.017848239534238974,-3.469446951953614e-17,0.01809646509317992,0.01798707242426989,0.017330091294704808,3.8163916471489756e-17,0.017578316853645755,0.017468979858850098,0.01681194305517053,0.0,0.016912839194291682,0.01680357370389629
evaluation-winner_momentum-1000XECUSDT-20250113-5-3,evaluation,winner_momentum,1000XECUSDT,Payment,2025-01-12T00:00:00Z,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,5,1,3,0.03490701001430607,10202121.805204999,2,25,0.03617,0.03466,6.911805363560962,2,-2.0875972672795134e-05,-3.422287021806746e-05,-0.010436826098977031,-0.010730564003317622,2.7755575615628914e-17,-0.010751439975990417,-0.010857732988397983,-0.011220133439314328,-3.8163916471489756e-17,-0.011241009411987123,-0.011347249821022642,-0.011709702875310979,0.0,-0.011743925745529047,-0.01185011211709186
evaluation-winner_momentum-AAVEUSDT-20250122-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,2025-01-23T00:00:00Z,5,1,3,0.19209003215434084,290136514.05,1,24,370.73,346.57,0.0006743452108003129,2,-4.788255603808702e-05,-7.182383405713054e-05,-0.016292180292935582,-0.016582404984759797,1.734723475976807e-17,-0.016630287540797883,-0.016735948881406948,-0.017066122579775023,1.0408340855860843e-17,-0.01711400513581311,-0.01721961450181997,-0.017549840174790304,2.0816681711721685e-17,-0.017621664008847435,-0.017727218827804148
evaluation-winner_momentum-AAVEUSDT-20250124-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,2025-01-25T00:00:00Z,5,1,3,0.06918418466026188,290136514.05,2,24,337.24,334.8,0.0007413118254062388,2,-5.1659864742468266e-05,-7.74897971137024e-05,-0.0018088008539912104,-0.00210771557347883,-3.469446951953614e-18,-0.002159375438221298,-0.002266591652804184,-0.0026059078579053208,-2.949029909160572e-17,-0.002657567722647789,-0.0027647304073487033,-0.003104100142331867,1.6046192152785466e-17,-0.0031815899394455694,-0.0032886963188838436
evaluation-winner_momentum-AAVEUSDT-20250201-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-01-31T00:00:00Z,2025-02-01T00:00:00Z,2025-02-02T00:00:00Z,5,1,3,0.05136715663031444,276978245.07350004,3,24,332.6,295.96,0.0007516536380036079,2,-4.790889957907396e-05,-7.186334936861095e-05,-0.027540589296452228,-0.027824064942874344,1.0408340855860843e-17,-0.027871973842453417,-0.02797642728370342,-0.02829654087793146,-2.42861286636753e-17,-0.028344449777510532,-0.028448852452054862,-0.0287690168129886,3.469446951953614e-17,-0.028840880162357214,-0.028945229496332603
evaluation-winner_momentum-AAVEUSDT-20250218-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-02-17T00:00:00Z,2025-02-18T00:00:00Z,2025-02-19T00:00:00Z,5,1,3,0.04653923780125835,250814560.4275,3,22,264.45,249.44,0.0009453582907922103,2,1.1790941033994705e-05,5.4728795735297785e-06,-0.014189827944791067,-0.014481314048024163,2.949029909160572e-17,-0.014469523106990168,-0.014575416617925274,-0.014967132733976152,-3.2959746043559335e-17,-0.014955341792942157,-0.015061183103516562,-0.015452951419928168,1.0408340855860843e-17,-0.015447478540354638,-0.015553266971703894
evaluation-winner_momentum-AAVEUSDT-20250221-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-02-20T00:00:00Z,2025-02-21T00:00:00Z,2025-02-22T00:00:00Z,5,1,3,0.031236425384038258,230657079.0995,3,21,261.14,242.59,0.0009573408899440914,3,-4.3113419877571905e-05,-6.467012981635786e-05,-0.017758673508462886,-0.01804801830435776,4.163336342344337e-17,-0.01809113172423533,-0.018196636099714336,-0.01853027028605342,-1.0408340855860843e-17,-0.01857338370593099,-0.018678836264285348,-0.019012522267749132,-1.0408340855860843e-17,-0.01907719239756549,-0.019182590822564793
evaluation-winner_momentum-AAVEUSDT-20250309-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-03-08T00:00:00Z,2025-03-09T00:00:00Z,2025-03-10T00:00:00Z,5,1,3,0.08178048106165337,208022010.303,2,21,195.64,178.5,0.001277857288897976,3,-2.648799121440912e-05,-4.165948682161368e-05,-0.021902473931711297,-0.022189332447352245,2.0816681711721685e-17,-0.022215820438566652,-0.022320881623520528,-0.022667443114904928,-3.8163916471489756e-17,-0.022693931106119336,-0.022798940918925648,-0.023145553782457556,-6.938893903907228e-18,-0.02318721326927917,-0.023292170079787344
evaluation-winner_momentum-AAVEUSDT-20250324-5-3,evaluation,winner_momentum,AAVEUSDT,DeFi,2025-03-23T00:00:00Z,2025-03-24T00:00:00Z,2025-03-25T00:00:00Z,5,1,3,0.08829411764705886,223342373.31550002,2,21,185.0,190.66,0.0013513513513513514,2,-4.3689488874781905e-05,-6.553423331217286e-05,0.0076486486486486704,0.007344059459459484,2.949029909160572e-17,0.007300369970584702,0.007192137323047687,0.006836415400000018,-1.734723475976807e-18,0.0067927259111252355,0.006684547809046926,0.0063287713405406065,6.071532165918825e-17,0.006263237107228434,0.006155115897787722
