trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210215-BNBUSDT-14-4-up_up-winner,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BNBUSDT,14,4,up_up,winner,2.122011063926527,1.4109602977505613,2.06279169391022,0.875205325200724,0.25,135.89,294.945,0.0018397233056148357,20,-0.013123720688404969,-0.019685581032607452,0.2926171903745677,0.29214162006034294,0.0,0.279017899371938,0.2913491784402827,0.0,0.27822545775187774,0.2905567368202222,0.0,0.2708711557876148
development-20210222-BNBUSDT-14-4-up_up-winner,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BNBUSDT,14,4,up_up,winner,3.048498422372111,2.122011063926527,3.3191492478284426,0.7808830346496064,0.25,294.945,210.196,0.000847615657156419,22,-0.0002536389710992757,-0.0007973083977896433,-0.07183457932834936,-0.07209147858075232,2.7755575615628914e-17,-0.07234511755185159,-0.07251968710217158,0.0,-0.07277332607327085,-0.07294789562359089,-2.7755575615628914e-17,-0.07374520402138053
development-20210301-ADAUSDT-14-4-up_up-winner,development-20210301,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-02-28T00:00:00Z,ADAUSDT,14,4,up_up,winner,1.034644535799416,3.048498422372111,0.5539357220618164,0.047493529707190806,0.25,1.31367,1.13111,0.1903065457839488,21,-0.000867829747231706,-0.001301744620847559,-0.03474236299831765,-0.03502151758051866,0.0,-0.03588934732775037,-0.03548679606293814,-2.7755575615628914e-17,-0.03635462581016985,-0.03595207454535765,0.0,-0.03725381916620521
development-20210308-ADAUSDT-14-4-up_up-winner,development-20210308,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021-03-07T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.5120041346400577,1.034644535799416,0.02757003825638149,-0.09926853970893662,0.25,1.13111,1.05358,0.2210218281157447,20,-0.00445831155314136,-0.006687467329712041,-0.01713582233381372,-0.017425540840413423,-3.469446951953614e-18,-0.02188385239355478,-0.01790841529957296,-6.938893903907228e-18,-0.02236672685271432,-0.01839128975873261,-2.42861286636753e-17,-0.02507875708844465
development-20210315-BTCUSDT-14-4-up_up-winner,development-20210315,2021-03-15T00:00:00Z,2021-03-22T00:00:00Z,2021-03-14T00:00:00Z,BTCUSDT,14,4,up_up,winner,0.21517408428593887,0.5120041346400577,0.30719060760758277,0.154997084144781,0.25,59037.11,57415.19,4.234624628475208e-06,21,-0.001902490497580725,-0.0028537357463710874,-0.006868222377416494,-0.0071641014439900175,3.5561831257524545e-17,-0.009066591941570742,-0.0076572373425460305,-1.0408340855860843e-17,-0.009559727840126755,-0.008150373241102071,8.673617379884035e-18,-0.011004108987473159
development-20210322-BTCUSDT-14-4-up_up-winner,development-20210322,2021-03-22T00:00:00Z,2021-03-29T00:00:00Z,2021-03-21T00:00:00Z,BTCUSDT,14,4,up_up,winner,0.005264400594884977,0.21517408428593887,0.125892264125673,0.08812944414558925,0.25,57415.19,55804.16,4.3542484140521e-06,21,-0.0011181854247449335,-0.0016772781371173994,-0.0070148248224903564,-0.007310615927596825,3.122502256758253e-17,-0.00842880135234176,-0.007803605311669237,-1.214306433183765e-17,-0.008921790736414172,-0.00829659469574165,8.673617379884035e-18,-0.009973872832859049
development-20210329-XRPUSDT-14-4-up_up-winner,development-20210329,2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,2021-03-28T00:00:00Z,XRPUSDT,14,4,up_up,winner,0.1800869800159719,0.005264400594884977,0.24328629949931724,0.029320729837923314,0.25,0.5463,0.6353,0.45762401610836534,22,-0.006749263272992815,-0.010123894909489225,0.04072853743364452,0.0404041003111843,-1.3877787807814457e-17,0.033654837038191485,0.0398633962108732,2.7755575615628914e-17,0.03311413293788039,0.03932269211056194,-6.938893903907228e-18,0.029198797201072716
development-20210405-BNBUSDT-14-4-up_up-winner,development-20210405,2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,2021-04-04T00:00:00Z,BNBUSDT,14,4,up_up,winner,0.22489199992436615,0.1800869800159719,0.3188648754776253,0.1198941601151249,0.25,349.277,526.188,0.0007157642787815974,20,-0.004628813770214032,-0.00694322065532105,0.1266265743235312,0.1262505983789371,2.7755575615628914e-17,0.12162178460872307,0.12562404778055808,-5.551115123125783e-17,0.12099523401034405,0.12499749718217923,0.0,0.11805427652685818
development-20210412-XRPUSDT-14-4-up_up-winner,development-20210412,2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,2021-04-11T00:00:00Z,XRPUSDT,14,4,up_up,winner,0.5664531309545804,0.22489199992436615,1.4827018121911038,0.5408834659441917,0.25,1.3563,1.4105,0.18432500184325,22,-0.011657447183560569,-0.017486170775340853,0.00999041509990417,0.009684420850844255,4.336808689942018e-17,-0.001973026332716314,0.009174436429993438,4.163336342344337e-17,-0.0024830107535671313,0.00866445200914251,-2.949029909160572e-17,-0.008821718766198344
development-20210419-DOGEUSDT-14-4-up_up-winner,development-20210419,2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,2021-04-18T00:00:00Z,DOGEUSDT,14,4,up_up,winner,1.3269999107485893,0.5664531309545804,4.619941869572028,1.056529066789704,0.25,0.322945,0.251418,0.7741256251064423,20,-0.000775097941231634,-0.0012912800237408846,-0.055370883586988495,-0.05563766105683629,2.0816681711721685e-17,-0.05641275899806793,-0.056082323395779454,0.0,-0.05685742133701109,-0.056526985734722646,-1.3877787807814457e-17,-0.05781826575846353
development-20210426-DOGEUSDT-14-4-up_up-winner,development-20210426,2021-04-26T00:00:00Z,2021-05-03T00:00:00Z,2021-04-25T00:00:00Z,DOGEUSDT,14,4,up_up,winner,1.0926950784820302,1.3269999107485893,2.372565327037613,0.3084845548670702,0.25,0.251418,0.374575,0.994359990135949,21,-0.002805873060435709,-0.004412608071300533,0.12246239330517311,0.12208891586919002,4.163336342344337e-17,0.1192830428087543,0.12146652695332083,-2.7755575615628914e-17,0.11866065389288512,0.12084413803745159,-2.7755575615628914e-17,0.11643152996615105
development-20210503-ETHUSDT-14-4-up_up-winner,development-20210503,2021-05-03T00:00:00Z,2021-05-10T00:00:00Z,2021-05-02T00:00:00Z,ETHUSDT,14,4,up_up,winner,1.4224488320330018,1.0926950784820302,0.3201599770950019,0.15435551258575408,0.25,2950.91,3927.83,8.47196288602499e-05,21,-0.0032989284342349883,-0.004948392651352483,0.08276429982615535,0.08241464124625969,4.163336342344337e-17,0.0791157128120247,0.08183192660501343,1.3877787807814457e-17,0.07853299817077844,0.08124921196376711,0.0,0.07630081931241463
development-20210510-DOGEUSDT-14-4-up_up-winner,development-20210510,2021-05-10T00:00:00Z,2021-05-17T00:00:00Z,2021-05-09T00:00:00Z,DOGEUSDT,14,4,up_up,winner,1.1785434384107938,1.4224488320330018,1.2709630973120465,0.5944644469471606,0.25,0.570871,0.5134,0.43792730757036175,21,-0.00021988914241501145,-0.000524240087357389,-0.025168120293376284,-0.025453019421200235,2.0816681711721685e-17,-0.025672908563615246,-0.02592786640177905,-3.469446951953614e-18,-0.02614775554419406,-0.02640271338235778,4.85722573273506e-17,-0.026926953469715166
development-20210517-ADAUSDT-14-4-up_up-winner,development-20210517,2021-05-17T00:00:00Z,2021-05-24T00:00:00Z,2021-05-16T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.3410730679097387,1.1785434384107938,0.7325372145379527,0.16213788375851362,0.25,2.301,1.3136,0.10864841373315949,21,0.0005751725273830835,-0.00011330694493454469,-0.10727944372012169,-0.1075150760538896,1.3877787807814457e-17,-0.10693990352650652,-0.1079078609778357,-1.3877787807814457e-17,-0.10733268845045262,-0.1083006459017819,-2.7755575615628914e-17,-0.10841395284671644
development-20210809-ETHUSDT-14-4-up_up-winner,development-20210809,2021-08-09T00:00:00Z,2021-08-16T00:00:00Z,2021-08-08T00:00:00Z,ETHUSDT,14,4,up_up,winner,0.18942508404979974,0.011726194667516898,0.3774718821265841,0.2346642928715212,0.25,3014.06,3312.31,8.294459964300644e-05,20,-0.0011360852223796904,-0.0017041278335695354,0.024738226843526667,0.02442338390742055,-6.938893903907228e-18,0.02328729868504086,0.023898660523513193,3.469446951953614e-18,0.022762575301133504,0.02337393713960567,-4.5102810375396984e-17,0.021669809306036136
development-20210816-XRPUSDT-14-4-up_up-winner,development-20210816,2021-08-16T00:00:00Z,2021-08-23T00:00:00Z,2021-08-15T00:00:00Z,XRPUSDT,14,4,up_up,winner,0.7600187387738122,0.18942508404979974,0.7743717205191936,0.469183559795564,0.25,1.285,1.2266,0.19455252918287938,21,-0.0014945455623231907,-0.002241818343484786,-0.01136186770428016,-0.011655050583657567,2.42861286636753e-17,-0.013149596145980758,-0.0121436955330739,0.0,-0.013638241095397092,-0.012632340482490262,-6.938893903907228e-18,-0.014874158825975047
development-20210823-ADAUSDT-14-4-up_up-winner,development-20210823,2021-08-23T00:00:00Z,2021-08-30T00:00:00Z,2021-08-22T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.7059265188984885,0.7600187387738122,0.8973639932697701,0.3827796729150821,0.25,2.7067,2.8524,0.09236339453947612,21,-0.0015756561859063803,-0.0023634842788595707,0.01345734658440162,0.013149272176451066,6.418476861114186e-17,0.011573615990544685,0.012635822904274618,3.9898639947466563e-17,0.011060166718368238,0.01212237363209806,-1.3877787807814457e-17,0.00975888935323849
development-20210830-ADAUSDT-14-4-up_up-winner,development-20210830,2021-08-30T00:00:00Z,2021-09-06T00:00:00Z,2021-08-29T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.5125784967390803,0.7059265188984885,0.3149693421234614,0.03342915462357443,0.25,2.8524,2.9148,0.08764549151591643,21,-0.0026812052674745216,-0.004021807901211783,0.005469078670593208,0.005165797223390889,3.903127820947816e-17,0.0024845919559163673,0.004660331426167508,2.688821387764051e-17,0.001979126158692986,0.004154865628944071,3.729655473350135e-17,0.00013305772773228829
