trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-formation21-20240101-AVAXUSDT,formation21,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AVAXUSDT,Layer-1,25,-0.06729038370440554,0.12380952380952381,0.23290544771446453,0.14285714285714285,5.0,7.0,38.59,33.635,0.25,0.006478362270018139,21,-0.0012502887660977152,-0.0018754331491465733,-0.03210028504793991,-0.032381024876911135,6.938893903907228e-18,-0.03363131364300885,-0.03284894385203421,0.0,-0.03409923261813193,-0.03331686282715732,6.938893903907228e-18,-0.03519229597630389
development-formation21-20240101-NEARUSDT,formation21,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,NEARUSDT,Layer-1,25,0.5386867419489751,0.047619047619047616,0.5177392739273927,0.09090909090909091,1.0,9.0,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-formation21-20240115-TRXUSDT,formation21,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,TRXUSDT,Layer-1,25,0.07775051896584251,0.3523809523809524,0.06877514737531576,0.341991341991342,5.0,4.0,0.11118,0.10883,0.25,2.248605864364094,21,-0.00035545260891527256,-0.0005661666618438568,-0.00528422378125562,-0.005581053246986878,0.0,-0.00593650585590215,-0.00607577219373992,-4.5102810375396984e-17,-0.0064312248026551925,-0.006570491140492907,-4.336808689942018e-18,-0.007136657802336763
development-formation21-20240122-BNBUSDT,formation21,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,BNBUSDT,Layer-1,25,0.03199869791666665,0.2,0.0010103880521612485,0.10822510822510822,5.0,6.0,318.41,305.25,0.25,0.000785151220124996,21,0.0006127021565748563,0.00030635107828742814,-0.010332590056844976,-0.010626390502810862,-1.734723475976807e-18,-0.010013688346236005,-0.011116064112308033,-5.204170427930421e-18,-0.010503361955733176,-0.011605737721805232,8.673617379884035e-18,-0.011299386643517803
development-formation21-20240129-ETCUSDT,formation21,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,ETCUSDT,PoW,25,-0.16000419683139222,-0.21904761904761905,0.20820966849439104,0.05627705627705628,2.0,7.0,23.497,24.988,0.25,0.010639656126313998,21,-0.0005535351615312594,-0.0008303027422968891,0.01586372728433416,0.015554209047963563,-3.469446951953614e-18,0.015000673886432303,0.01503835483891558,-3.122502256758253e-17,0.01448481967738432,0.014522500629867596,-1.734723475976807e-17,0.013692197887570708
development-formation21-20240129-LTCUSDT,formation21,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,LTCUSDT,Payment,25,-0.05486873176830098,-0.3904761904761905,0.0364051789794364,0.22077922077922077,6.0,4.0,68.33,66.93,0.25,0.003658715059271184,21,-0.0005208270900226842,-0.0007812406350340262,-0.005122201082979616,-0.005419127762329806,3.209238430557093e-17,-0.0059399548523524906,-0.00591400863456748,-1.474514954580286e-17,-0.006434835724590165,-0.00640888950680521,-1.3010426069826053e-17,-0.007190130141839236
development-formation21-20240129-SOLUSDT,formation21,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,SOLUSDT,Layer-1,25,-0.01667431862765556,0.009523809523809525,0.0046802204714335716,0.03896103896103896,8.0,9.0,95.948,95.452,0.25,0.002605578021428274,21,-0.00048166199813237784,-0.0007224929971985668,-0.0012923666986284221,-0.0015915912786091946,3.946495907847236e-17,-0.0020732532767415725,-0.002090299687330599,-6.938893903907228e-18,-0.002571961685462977,-0.0025890080960520034,2.0383000842727483e-17,-0.00331150109325057
development-formation21-20240129-XMRUSDT,formation21,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,XMRUSDT,PoW,25,0.029598715890850835,0.3333333333333333,0.05160994163551713,0.26406926406926406,5.0,3.0,160.63,165.94,0.25,0.0015563717860922618,21,-0.0005432804673628837,-0.0008149207010443255,0.008264334184149902,0.007959375583639405,-1.734723475976807e-17,0.0074160951162765215,0.007451116208055775,-4.7704895589362195e-17,0.006907835740692891,0.006942856832472144,1.1275702593849246e-17,0.006127936131427819
development-formation21-20240212-ETCUSDT,formation21,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,ETCUSDT,PoW,23,0.0780248147222915,0.3333333333333333,0.04686046981765246,0.30735930735930733,7.0,3.0,25.877,26.572,0.25,0.00966108899795185,21,-0.0015505503055577412,-0.002325825458336613,0.0067144568535765226,0.006410428179464411,1.9081958235744878e-17,0.00485987787390667,0.005903717751284898,-3.642919299551295e-17,0.004353167445727157,0.0053970073231054405,-3.642919299551295e-17,0.0030711818647688274
development-formation21-20240212-LINKUSDT,formation21,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,LINKUSDT,Infrastructure,23,0.3307295299204909,0.29523809523809524,0.20897224686351534,0.030303030303030304,3.0,8.0,20.153,20.135,0.25,0.012405100977521958,21,-0.0008602189998383108,-0.0012903284997574662,-0.00022329181759536687,-0.0005231578425047845,1.7889335846010823e-17,-0.0013833768423430954,-0.0010229346846622744,-1.691355389077387e-17,-0.0018831536845005854,-0.0015227115268197644,3.642919299551295e-17,-0.0028130400265772306
