trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-ppc14-20240101-AVAXUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AVAXUSDT,Layer-1,25,-0.06729038370440554,0.12380952380952381,-0.06729038370440554,0.12380952380952381,,7.0,38.59,33.635,0.25,0.006478362270018139,21,-0.0012502887660977152,-0.0018754331491465733,-0.03210028504793991,-0.032381024876911135,6.938893903907228e-18,-0.03363131364300885,-0.03284894385203421,0.0,-0.03409923261813193,-0.03331686282715732,6.938893903907228e-18,-0.03519229597630389
development-ppc14-20240101-DASHUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,DASHUSDT,PoW,25,0.0015211439002131844,0.18095238095238095,0.0015211439002131844,0.18095238095238095,,5.0,31.76,27.14,0.25,0.007871536523929471,21,-0.0007777264851469782,-0.001196320921045404,-0.03636649874055417,-0.036644678841309786,4.163336342344337e-17,-0.03742240532645676,-0.037108334162468476,0.0,-0.037886060647615454,-0.037571989483627166,3.469446951953614e-17,-0.038768310404672573
development-ppc14-20240101-LINKUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,LINKUSDT,Infrastructure,25,0.05931612002791353,0.047619047619047616,0.05931612002791353,0.047619047619047616,,8.0,14.951,13.149,0.25,0.016721289545849775,21,-0.0007136118166782021,-0.0010704177250173033,-0.030131763761621327,-0.030413684703364335,1.0408340855860843e-17,-0.03112729652004254,-0.03088357101866096,-3.469446951953614e-18,-0.03159718283533916,-0.03135345733395761,1.3877787807814457e-17,-0.03242387505897491
development-ppc14-20240101-NEARUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,NEARUSDT,Layer-1,25,0.5386867419489751,0.047619047619047616,0.5386867419489751,0.047619047619047616,,9.0,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-ppc14-20240101-RUNEUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,RUNEUSDT,DeFi,25,-0.06772129399217919,0.42857142857142855,-0.06772129399217919,0.42857142857142855,,1.0,5.163,4.567,0.25,0.0484214603912454,21,-0.001300303672453249,-0.001955947247978731,-0.02885919039318227,-0.029141874878946344,6.938893903907228e-18,-0.030442178551399593,-0.029613033004067396,-2.0816681711721685e-17,-0.030913336676520645,-0.030084191129188476,6.938893903907228e-18,-0.03204013837716721
development-ppc14-20240101-SNXUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,SNXUSDT,DeFi,25,-0.04948301329394389,0.3904761904761905,-0.04948301329394389,0.3904761904761905,,2.0,3.867,3.305,0.25,0.06464959917248513,21,-0.0007696155383874774,-0.0011544233075812156,-0.03633307473493663,-0.03661127489009569,-2.0816681711721685e-17,-0.037380890428483166,-0.0370749636152056,-3.469446951953614e-17,-0.03784457915359307,-0.037538652340315504,-6.938893903907228e-18,-0.038693075647896716
development-ppc14-20240101-TRXUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,TRXUSDT,Layer-1,25,0.03163632823907325,0.18095238095238095,0.03163632823907325,0.18095238095238095,,6.0,0.10769,0.10271,0.25,2.3214783173925158,21,-0.0008763939396280992,-0.001453404239906909,-0.011560962020614712,-0.011854025443402333,2.42861286636753e-17,-0.012730419383030432,-0.012342471417958939,1.214306433183765e-17,-0.013218865357587038,-0.012830917392515545,3.469446951953614e-18,-0.014284321632422454
development-ppc14-20240101-XMRUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,XMRUSDT,PoW,25,-0.01728117417293007,0.3333333333333333,-0.01728117417293007,0.3333333333333333,,3.0,165.1,145.85,0.25,0.0015142337976983646,21,0.00017164397113917065,-0.00019965879052147528,-0.02914900060569353,-0.029431511205330108,-3.469446951953614e-18,-0.029259867234190936,-0.029902379694124764,-3.469446951953614e-18,-0.029730735722985593,-0.03037324818291942,-3.469446951953614e-18,-0.030572906973440898
development-ppc14-20240101-ZECUSDT,ppc14,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,ZECUSDT,PoW,25,-0.04465178273908699,0.3142857142857143,-0.04465178273908699,0.3142857142857143,,4.0,26.94,21.92,0.25,0.009279881217520415,21,-0.0009806231153989188,-0.0014709346730983784,-0.04658500371195248,-0.04685705270972529,2.0816681711721685e-17,-0.04783767582512421,-0.04731049565701559,-2.7755575615628914e-17,-0.04829111877241451,-0.04776393860430586,-1.3877787807814457e-17,-0.04923487327740424
development-ppc14-20240108-ETCUSDT,ppc14,2024-01-08T00:00:00+0000,2024-01-15T00:00:00+0000,2024-01-06T00:00:00+0000,ETCUSDT,PoW,25,-0.07466368756691333,0.37142857142857144,-0.07466368756691333,0.37142857142857144,,9.0,19.247,26.496,0.25,0.01298903725255884,21,-0.0006944182788616408,-0.0010416274182924613,0.09415753104379904,0.0938010365251728,5.551115123125783e-17,0.09310661824631115,0.09320693548864756,-2.7755575615628914e-17,0.09251251720978591,0.09261283445212243,2.7755575615628914e-17,0.09157120703382997
