trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,ptv26,ptv52,ptv78,ptv52_zero,mom52,skew52,vol52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-high_vol52-20220328-AVAXUSDT,high_vol52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,AVAXUSDT,Layer-1,20,-0.05163372119346677,-0.019319119522676162,-0.028900488691052335,-0.10925852739971632,1.1309921871428408,2.2588323490636384,0.16227132793943883,0.16227132793943883,2.0,89.9,98.03,0.25,0.0027808676307007783,21,-0.0005570246096412682,-0.0008355369144619023,0.022608453837597298,0.02229488876529473,-2.7755575615628914e-17,0.02173786415565346,0.021772293876529458,-5.898059818321144e-17,0.02121526926688819,0.021249698987764132,-2.7755575615628914e-17,0.02041416207330223
development-high_vol52-20220328-SOLUSDT,high_vol52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,SOLUSDT,Layer-1,20,-0.06737330557609619,-0.013252053296698874,-0.03174108582571035,-0.0769411405125687,1.8171892428778817,1.7361501849742957,0.17347453594090534,0.17347453594090534,1.0,106.94,136.87,0.25,0.0023377594913035348,21,-0.0005844715083185455,-0.0008767072624778182,0.06996914157471479,0.06962716008976999,0.0,0.06904268858145145,0.06905723292968025,-1.3877787807814457e-17,0.0684727614213617,0.06848730576959045,2.7755575615628914e-17,0.06761059850711262
development-high_vol52-20220411-AVAXUSDT,high_vol52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,AVAXUSDT,Layer-1,20,-0.02851274947831379,-0.011434710554987057,-0.02728641547981154,-0.11457568878363368,1.3401286060673736,2.2899353527815913,0.1602301046274485,0.1602301046274485,2.0,80.94,75.36,0.25,0.0030887076847047196,20,-0.00023208888949270508,-0.00040944366899691993,-0.017234988880652335,-0.01752464788732394,-3.469446951953614e-18,-0.017756736776816644,-0.018007423239436604,-2.7755575615628914e-17,-0.018239512128929308,-0.018490198591549295,3.469446951953614e-18,-0.018899642260546214
development-high_vol52-20220411-SOLUSDT,high_vol52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,SOLUSDT,Layer-1,20,-0.059297591771359175,-0.013154018388119498,-0.025903724467431888,-0.08601643382595356,1.802200573644171,1.753480798905496,0.1729098937255705,0.1729098937255705,1.0,111.03,100.09,0.25,0.002251643699900928,20,-0.00016027448959194453,-0.0002571234319774908,-0.024632982076916138,-0.02491820228766997,2.42861286636753e-17,-0.025078476777261917,-0.02539358408538228,0.0,-0.025553858574974227,-0.025868965883094647,1.0408340855860843e-17,-0.026126089315072137
development-high_vol52-20220418-NEARUSDT,high_vol52,2022-04-18T00:00:00+0000,2022-04-25T00:00:00+0000,2022-04-16T00:00:00+0000,NEARUSDT,Layer-1,22,-0.02876166542825049,-0.02907987914821482,-0.050885489744712305,-0.13140222323905246,1.544936314021724,1.4117052361427784,0.16638583513515695,0.16638583513515695,2.0,15.675,15.005,0.25,0.01594896331738437,21,-0.0005367312303987241,-0.0008050968455980863,-0.01068580542264752,-0.010979393939393928,1.0408340855860843e-17,-0.011516125169792652,-0.011468714545454534,-1.5612511283791264e-17,-0.012005445775853258,-0.01195803515151514,1.9081958235744878e-17,-0.012763131997113226
development-high_vol52-20220425-AVAXUSDT,high_vol52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,AVAXUSDT,Layer-1,22,-0.035997492992154566,-0.0029880305966880905,-0.03031751071051471,-0.09964686350431516,1.4962327352068436,2.3445600131930977,0.15548810270531246,0.15548810270531246,2.0,71.45,58.69,0.25,0.003498950314905528,21,0.00016253384579981663,-7.411012298868021e-05,-0.04464660601819456,-0.044919818054583616,2.0816681711721685e-17,-0.0447572842087838,-0.04537519823652905,0.0,-0.04521266439072923,-0.04583057841847446,-6.938893903907228e-18,-0.04590468854146314
development-high_vol52-20220425-ETCUSDT,high_vol52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,ETCUSDT,PoW,22,-0.055996339439203985,-0.01787187274333965,-0.024443582216219784,-0.08904663095206222,0.44538964744042514,4.159060969600637,0.15213504563710825,0.15213504563710825,3.0,33.613,27.609,0.25,0.007437598548180764,21,-0.00018078078094348023,-0.0004079762244165636,-0.04465534168327728,-0.0449285484782673,2.0816681711721685e-17,-0.04510932925921078,-0.045383919929789046,-6.938893903907228e-18,-0.04556470071073253,-0.045839291381310765,1.3877787807814457e-17,-0.04624726760572733
development-high_vol52-20220502-NEARUSDT,high_vol52,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,NEARUSDT,Layer-1,22,-0.05309426424313319,-0.03473311830418199,-0.05318556679571968,-0.14027307346767456,1.4281413962380034,1.369943990644239,0.16837278153946453,0.16837278153946453,1.0,11.825,11.135,0.25,0.021141649048625793,22,0.0006837677676004355,0.0002696827537790761,-0.014587737843551801,-0.014878985200845657,0.0,-0.01419521743324522,-0.015364406215644777,-1.5612511283791264e-17,-0.01468063844804434,-0.01584982723044398,0.0,-0.015580144476664904
development-high_vol52-20220509-AVAXUSDT,high_vol52,2022-05-09T00:00:00+0000,2022-05-16T00:00:00+0000,2022-05-07T00:00:00+0000,AVAXUSDT,Layer-1,22,-0.04270732394867833,-0.007323261466623765,-0.02859288108785181,-0.12110802984329165,1.30131198153608,2.4100501502049623,0.1556295229728457,0.1556295229728457,2.0,51.59,36.51,0.25,0.004845900368288428,20,0.0008017736999455475,0.0003436158748012216,-0.0730761775537895,-0.07333233184725721,2.7755575615628914e-17,-0.07253055814731166,-0.07375929951540997,0.0,-0.07295752581546441,-0.07418626718356272,1.3877787807814457e-17,-0.0738426513087615
development-high_vol52-20220509-RUNEUSDT,high_vol52,2022-05-09T00:00:00+0000,2022-05-16T00:00:00+0000,2022-05-07T00:00:00+0000,RUNEUSDT,DeFi,22,-0.07044167020993558,-0.08252210087868543,-0.0630015427231569,-0.19552215995131464,-0.24663883251634236,0.975531084168214,0.13353148394622244,0.13353148394622244,3.0,5.759,3.775,0.25,0.04341031429067546,20,2.3298004098819265e-05,-0.00012728270956611828,-0.08612606355270014,-0.0863743879145685,1.3877787807814457e-17,-0.08635108991046968,-0.08678831352665392,0.0,-0.0867650155225551,-0.08720223913873937,1.3877787807814457e-17,-0.08732952184830549
development-high_vol52-20220516-NEARUSDT,high_vol52,2022-05-16T00:00:00+0000,2022-05-23T00:00:00+0000,2022-05-14T00:00:00+0000,NEARUSDT,Layer-1,22,-0.05622628883241971,-0.033822418425077216,-0.056960758707333366,-0.15920388550125056,1.2802601127915605,1.5269355640665343,0.16402014802061973,0.16402014802061973,1.0,7.34,6.233,0.25,0.0340599455040872,21,0.0011108725287972824,0.0005346494796574967,-0.03770435967302452,-0.03798173705722069,2.7755575615628914e-17,-0.036870864528423405,-0.038444055320163456,2.0816681711721685e-17,-0.03733318279136617,-0.03890637358310625,2.7755575615628914e-17,-0.03837172410344875
development-high_vol52-20220523-AVAXUSDT,high_vol52,2022-05-23T00:00:00+0000,2022-05-30T00:00:00+0000,2022-05-21T00:00:00+0000,AVAXUSDT,Layer-1,22,-0.08559913818775794,-0.01539218914578512,-0.030750856359324022,-0.10543991581894359,1.1090920040983991,2.3443647280615423,0.15795555004578588,0.15795555004578588,2.0,31.69,26.15,0.25,0.007888923950773114,22,0.0010037457943958008,0.0004746037039136024,-0.04370463868728308,-0.0439784159040707,0.0,-0.0429746701096749,-0.04443473748816665,-2.7755575615628914e-17,-0.04343099169377085,-0.04489105907226254,0.0,-0.044416455368348935
development-high_vol52-20220523-RUNEUSDT,high_vol52,2022-05-23T00:00:00+0000,2022-05-30T00:00:00+0000,2022-05-21T00:00:00+0000,RUNEUSDT,DeFi,22,-0.09119448728720753,-0.09327088811651123,-0.07486507337270726,-0.1860088136481555,-0.5096926332523686,0.9490959537658599,0.13685458667663825,0.13685458667663825,3.0,3.093,2.693,0.25,0.0808276753960556,22,-6.52580750577918e-05,-0.0002803322082708535,-0.03233107015842224,-0.032611671516327156,2.7755575615628914e-17,-0.03267692959138495,-0.033079359844810835,-6.938893903907228e-18,-0.03314461791986863,-0.03354704817329454,0.0,-0.033827380381565395
development-high_vol52-20220530-NEARUSDT,high_vol52,2022-05-30T00:00:00+0000,2022-06-06T00:00:00+0000,2022-05-28T00:00:00+0000,NEARUSDT,Layer-1,22,-0.06233463992032299,-0.03350567019086606,-0.06060760925801779,-0.12538964937438377,1.2934102651059103,1.5234201055883816,0.1639473481860931,0.1639473481860931,1.0,5.177,5.326,0.25,0.04829051574270814,21,0.0006095658890941036,0.0002250516402312609,0.007195286845663507,0.006890969673556124,8.673617379884035e-18,0.007500535562650228,0.00638377870388257,6.938893903907228e-18,0.006993344592976673,0.00587658773420896,-6.938893903907228e-18,0.006101639374440221
development-high_vol52-20220606-AVAXUSDT,high_vol52,2022-06-06T00:00:00+0000,2022-06-13T00:00:00+0000,2022-06-04T00:00:00+0000,AVAXUSDT,Layer-1,22,-0.09275177164660128,-0.014636561020540867,-0.031759326589996126,-0.10828307942138275,1.1301517238176733,2.344722952876628,0.15778845766781976,0.15778845766781976,2.0,24.17,17.26,0.25,0.01034340091021928,20,0.0002820275943404592,-5.860389264595372e-05,-0.07147290028961523,-0.07173001654944144,1.3877787807814457e-17,-0.07144798895510099,-0.072158586532892,-1.3877787807814457e-17,-0.07187655893855155,-0.07258715651634257,1.3877787807814457e-17,-0.07264576040898851
