trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,ptv26,ptv52,ptv78,ptv52_zero,mom52,skew52,vol52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-low_mom52-20220328-SNXUSDT,low_mom52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,SNXUSDT,DeFi,20,-0.07962336366699095,-0.10724539161301097,-0.1025409523906873,-0.15319092509047413,-1.213112423529873,1.4660609528885404,0.12258940125136018,-1.213112423529873,1.0,5.414,7.315,0.25,0.046176579239009974,21,-0.0006323571893239748,-0.0009485357839859624,0.087781677133358,0.08742900812707799,1.3877787807814457e-17,0.08679665093775402,0.0868412791189509,-2.7755575615628914e-17,0.08620892192962692,0.08625355011082375,-5.551115123125783e-17,0.08530501432683779
development-low_mom52-20220328-UNIUSDT,low_mom52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,UNIUSDT,DeFi,20,-0.0645121224982094,-0.09259085228065364,-0.07823222865173296,-0.16520369066337603,-0.9795772694258076,0.261077923350173,0.07555849329117331,-0.9795772694258076,2.0,11.4,11.872,0.25,0.021929824561403508,21,-0.0005303015061403508,-0.0007954522592105263,0.010350877192982444,0.010044666666666646,-8.673617379884035e-18,0.009514365160526296,0.009534321999999984,-3.469446951953614e-17,0.009004020493859633,0.009023977333333266,-3.8163916471489756e-17,0.00822852507412274
development-low_mom52-20220411-SNXUSDT,low_mom52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,SNXUSDT,DeFi,20,-0.07557118684961557,-0.09570785458584855,-0.10042249607083006,-0.1584919108503665,-0.8932526119132967,1.4763445574621634,0.12528145383354344,-0.8932526119132967,1.0,5.076,4.99,0.25,0.04925137903861308,20,0.000316456967610791,4.6787153830582656e-05,-0.0042356185973206895,-0.004533077226162308,-3.469446951953614e-18,-0.004216620258551517,-0.005028844148936146,1.734723475976807e-18,-0.004712387181325355,-0.005524611071709984,-3.5561831257524545e-17,-0.0054778239178794015
development-low_mom52-20220411-UNIUSDT,low_mom52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,UNIUSDT,DeFi,20,-0.07969267951707659,-0.07463757650805994,-0.0692479232049252,-0.17019853176873267,-0.7224186207889008,0.6378430936104792,0.06929000861202836,-0.7224186207889008,2.0,9.88,9.229,0.25,0.025303643724696356,20,-0.0004274962138681301,-0.0006416392155390372,-0.01647267206477737,-0.016762788461538475,2.7755575615628914e-17,-0.017190284675406606,-0.017246325673076934,-6.938893903907228e-18,-0.017673821886945065,-0.01772986288461542,1.3877787807814457e-17,-0.01837150210015446
development-low_mom52-20220418-VETUSDT,low_mom52,2022-04-18T00:00:00+0000,2022-04-25T00:00:00+0000,2022-04-16T00:00:00+0000,VETUSDT,Layer-1,22,-0.06530935326598565,-0.07901097936288076,-0.05843442421855137,-0.19086242988699254,-0.7607796782439998,0.07199190416275877,0.06745965035989579,-0.7607796782439998,2.0,0.05784,0.05587,0.25,4.322268326417704,21,-0.00043213467116787684,-0.0006807297409081086,-0.008514868603042874,-0.008809759681881024,2.6020852139652106e-17,-0.009241894353048901,-0.009301249922199162,-1.214306433183765e-17,-0.009733384593367039,-0.0097927401625173,-1.734723475976807e-17,-0.010473469903425408
development-low_mom52-20220425-BCHUSDT,low_mom52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,BCHUSDT,Payment,22,-0.062057398538744306,-0.0664625518905988,-0.09135411910107877,-0.14956992771492408,-0.6116246579622996,0.6350074478007794,0.06266133152421441,-0.6116246579622996,3.0,307.38,283.66,0.25,0.0008133255254082894,21,-0.00037241229954183987,-0.0005681900214350728,-0.0192920814626846,-0.01958050621380697,2.0816681711721685e-17,-0.019952918513348808,-0.020061225707593194,-3.8163916471489756e-17,-0.020433638007135033,-0.020541945201379364,0.0,-0.021110135222814436
development-low_mom52-20220425-UNIUSDT,low_mom52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,UNIUSDT,DeFi,22,-0.08710762810433287,-0.08122160857382917,-0.06746221485400429,-0.17181517545253802,-0.9277031460587456,0.6858118700228292,0.06761943470297652,-0.9277031460587456,1.0,8.704,7.109,0.25,0.028722426470588234,21,-0.0003630044156916935,-0.0005666167361913488,-0.04581227022058826,-0.04608478285845588,1.3877787807814457e-17,-0.04644778727414758,-0.04653899807559747,-4.163336342344337e-17,-0.04690200249128917,-0.04699321329273895,1.3877787807814457e-17,-0.0475598300289303
development-low_mom52-20220502-SNXUSDT,low_mom52,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,SNXUSDT,DeFi,22,-0.06941665921005075,-0.08627149268069981,-0.09370120644677067,-0.15390676870226344,-0.6274653266580263,1.4591022656201893,0.12267717993253634,-0.6274653266580263,3.0,4.812,4.214,0.25,0.05195344970906068,22,0.0012687392084217946,0.0006343696042108973,-0.031068162926018272,-0.03134952202826263,3.469446951953614e-17,-0.030080782819840838,-0.0318184725062344,-2.0816681711721685e-17,-0.030549733297812607,-0.03228742298420617,-3.469446951953614e-17,-0.03165305337999527
development-low_mom52-20220502-VETUSDT,low_mom52,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,VETUSDT,Layer-1,22,-0.07013071409132628,-0.07441498805076822,-0.05883676451896623,-0.19495627846746286,-0.7079244430856226,0.2215650275916444,0.06471332256871126,-0.7079244430856226,2.0,0.04843,0.04445,0.25,5.162089613875697,22,-0.00039764926039025404,-0.0006120849539758415,-0.020545116663225255,-0.02083278959322729,3.469446951953614e-17,-0.021230438853617545,-0.021312256803634078,3.469446951953614e-18,-0.021709906064024332,-0.021791724014040864,6.938893903907228e-18,-0.022403808968016706
development-low_mom52-20220509-BCHUSDT,low_mom52,2022-05-09T00:00:00+0000,2022-05-16T00:00:00+0000,2022-05-07T00:00:00+0000,BCHUSDT,Payment,22,-0.05141135596140945,-0.07412178709259339,-0.08956749416014928,-0.17837345853465794,-0.7105040732498421,0.17291368693886053,0.05798979309800023,-0.7105040732498421,2.0,261.63,214.75,0.25,0.0009555479111722662,20,-7.766964580147061e-05,-0.00029338774266052703,-0.04479608607575583,-0.04506920842411036,2.0816681711721685e-17,-0.04514687806991183,-0.045524439215686274,-2.7755575615628914e-17,-0.045602108861487745,-0.045979670007262136,6.938893903907228e-18,-0.046273057749922665
