trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,ptv26,ptv52,ptv78,ptv52_zero,mom52,skew52,vol52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-low_skew52-20220328-KAVAUSDT,low_skew52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,KAVAUSDT,DeFi,20,-0.0726851781109334,-0.09032365152796001,-0.08955185545403595,-0.14850559357353865,-0.41965659362026997,0.20759348467591787,0.10282104466100421,0.20759348467591787,1.0,4.1072,4.6349,0.25,0.06086871834826646,21,0.00043696717717368275,1.83417266127471e-05,0.032120422672380244,0.03180115041877679,-1.3877787807814457e-17,0.03223811759595047,0.03126904926835805,3.469446951953614e-17,0.03170601644553173,0.030736948117939256,2.0816681711721685e-17,0.030755289844552003
development-low_skew52-20220328-UNIUSDT,low_skew52,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,UNIUSDT,DeFi,20,-0.0645121224982094,-0.09259085228065364,-0.07823222865173296,-0.16520369066337603,-0.9795772694258076,0.261077923350173,0.07555849329117331,0.261077923350173,2.0,11.4,11.872,0.25,0.021929824561403508,21,-0.0005303015061403508,-0.0007954522592105263,0.010350877192982444,0.010044666666666646,-8.673617379884035e-18,0.009514365160526296,0.009534321999999984,-3.469446951953614e-17,0.009004020493859633,0.009023977333333266,-3.8163916471489756e-17,0.00822852507412274
development-low_skew52-20220411-KAVAUSDT,low_skew52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,KAVAUSDT,DeFi,20,-0.060076591290518816,-0.0796452447578929,-0.08739428552688326,-0.1481888888564713,-0.028621042812603997,0.1040729083467817,0.10445692319777067,0.1040729083467817,1.0,4.7674,4.0608,0.25,0.052439484834500984,20,0.0006535553219204284,0.0002872357962442002,-0.03705373998405839,-0.03733150774006794,2.0816681711721685e-17,-0.03667795241814751,-0.03779447623232787,1.3877787807814457e-17,-0.037140920910407445,-0.03825744472458778,3.469446951953614e-17,-0.03797020892834358
development-low_skew52-20220411-TRXUSDT,low_skew52,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,TRXUSDT,Layer-1,20,-0.048978730208550855,-0.0631789082072804,-0.06268400597575367,-0.13792012326683675,-0.31980295509374634,0.2729439303521234,0.06909010783085606,0.2729439303521234,2.0,0.0623,0.06004,0.25,4.012841091492777,20,-0.0004210199161581059,-0.0006324827968760031,-0.009069020866773664,-0.00936357945425359,1.3877787807814457e-17,-0.009784599370411696,-0.009854515874799324,-8.673617379884035e-18,-0.01027553579095743,-0.010345452295345087,2.7755575615628914e-17,-0.01097793509222109
development-low_skew52-20220418-VETUSDT,low_skew52,2022-04-18T00:00:00+0000,2022-04-25T00:00:00+0000,2022-04-16T00:00:00+0000,VETUSDT,Layer-1,22,-0.06530935326598565,-0.07901097936288076,-0.05843442421855137,-0.19086242988699254,-0.7607796782439998,0.07199190416275877,0.06745965035989579,0.07199190416275877,1.0,0.05784,0.05587,0.25,4.322268326417704,21,-0.00043213467116787684,-0.0006807297409081086,-0.008514868603042874,-0.008809759681881024,2.6020852139652106e-17,-0.009241894353048901,-0.009301249922199162,-1.214306433183765e-17,-0.009733384593367039,-0.0097927401625173,-1.734723475976807e-17,-0.010473469903425408
development-low_skew52-20220425-BNBUSDT,low_skew52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,BNBUSDT,Layer-1,22,-0.035016306559039256,-0.04912166162234635,-0.019339279959780513,-0.13512896054705242,0.07693865415751971,0.17577161238062297,0.06608331555052464,0.17577161238062297,2.0,398.62,389.55,0.25,0.0006271637148161156,21,0.0003614187498372705,0.00018070937491863526,-0.00568837489338217,-0.005984961868446104,3.122502256758253e-17,-0.005623543118608833,-0.00647927690657768,-3.9898639947466563e-17,-0.006117858156740409,-0.006973591944709229,2.3418766925686896e-17,-0.006792882569790593
development-low_skew52-20220425-TRXUSDT,low_skew52,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,TRXUSDT,Layer-1,22,-0.04108942733703954,-0.056744360641702726,-0.06742922178910586,-0.116058307494653,-0.12446752529253284,0.3432430600980565,0.06919655845228281,0.3432430600980565,3.0,0.06563,0.07077,0.25,3.809233582203261,21,-0.0002137414479254914,-0.0004142527690869268,0.0195794606125248,0.01926771293615731,4.163336342344337e-17,0.01905397148823182,0.018748145223221158,2.7755575615628914e-17,0.018534403775295666,0.01822857751028495,-4.5102810375396984e-17,0.017814324741198023
development-low_skew52-20220502-VETUSDT,low_skew52,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,VETUSDT,Layer-1,22,-0.07013071409132628,-0.07441498805076822,-0.05883676451896623,-0.19495627846746286,-0.7079244430856226,0.2215650275916444,0.06471332256871126,0.2215650275916444,2.0,0.04843,0.04445,0.25,5.162089613875697,22,-0.00039764926039025404,-0.0006120849539758415,-0.020545116663225255,-0.02083278959322729,3.469446951953614e-17,-0.021230438853617545,-0.021312256803634078,3.469446951953614e-18,-0.021709906064024332,-0.021791724014040864,6.938893903907228e-18,-0.022403808968016706
development-low_skew52-20220509-BCHUSDT,low_skew52,2022-05-09T00:00:00+0000,2022-05-16T00:00:00+0000,2022-05-07T00:00:00+0000,BCHUSDT,Payment,22,-0.05141135596140945,-0.07412178709259339,-0.08956749416014928,-0.17837345853465794,-0.7105040732498421,0.17291368693886053,0.05798979309800023,0.17291368693886053,1.0,261.63,214.75,0.25,0.0009555479111722662,20,-7.766964580147061e-05,-0.00029338774266052703,-0.04479608607575583,-0.04506920842411036,2.0816681711721685e-17,-0.04514687806991183,-0.045524439215686274,-2.7755575615628914e-17,-0.045602108861487745,-0.045979670007262136,6.938893903907228e-18,-0.046273057749922665
development-low_skew52-20220509-BNBUSDT,low_skew52,2022-05-09T00:00:00+0000,2022-05-16T00:00:00+0000,2022-05-07T00:00:00+0000,BNBUSDT,Layer-1,22,-0.03765128637159208,-0.03857444350195344,-0.016756856079133846,-0.1440129668498974,0.37173138275251005,0.23810297129303054,0.06728002477878939,0.23810297129303054,3.0,355.75,312.06,0.25,0.0007027406886858749,20,0.0018632494663918609,0.0009316247331959304,-0.030702740688685864,-0.030984319044272624,4.163336342344337e-17,-0.029121069577880764,-0.03145363472522836,-2.7755575615628914e-17,-0.029590385258836498,-0.03192295040618409,2.7755575615628914e-17,-0.030991325672988162
