trade_id,slot_id,variant,symbol,signal_time,decision_time,entry_time,exit_time,oi,rolling_q25,rolling_q75,direction,direction_name,six_hour_return,entry_price,exit_price,quantity_per_unit_plan_capital,notional_fraction,funding_events,actual_funding_return,stress_funding_return,maximum_adverse_price_return,gross_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-delayed5-202411020015-BTCUSDT,20241102-A,delayed5,BTCUSDT,2024-11-02T00:15:00Z,2024-11-02T00:16:00Z,2024-11-02T00:21:00Z,2024-11-02T12:21:00Z,-0.6451660060270359,-0.27620966333346686,0.3144501853156561,-1,SHORT,0.0017098445595855605,69559.4,69572.7,3.594050552477451e-06,0.25,1,2.5091503915311955e-05,1.2545751957655977e-05,-0.0012712156804113306,-4.780087234796056e-05,-0.00034782955287135375,1.5504091066542713e-17,-0.0003227380489560418,-0.0008478773824241725,2.4936649967166602e-17,-0.0008227858785088606,-0.0013479252119771024,-2.45029690981724e-17,-0.0013353794600194464
development-delayed5-202411021215-BTCUSDT,20241102-B,delayed5,BTCUSDT,2024-11-02T12:15:00Z,2024-11-02T12:16:00Z,2024-11-02T12:21:00Z,2024-11-03T00:21:00Z,-0.7474959505351617,-0.2790184932915562,0.3144501853156561,-1,SHORT,-0.00032889445504047377,69572.7,69296.9,3.593363488839732e-06,0.25,2,4.9862732597272354e-05,2.4931366298636177e-05,-0.00045743517212931684,0.0009910496502220085,0.0006916442800121436,1.8431436932253575e-18,0.000741507012609416,0.00019263592429216714,-1.951563910473908e-17,0.0002424986568894395,-0.00030637243142780934,1.1600963245594897e-17,-0.00028144106512917316
development-delayed5-202411030015-BTCUSDT,20241103-A,delayed5,BTCUSDT,2024-11-03T00:15:00Z,2024-11-03T00:16:00Z,2024-11-03T00:21:00Z,2024-11-03T12:21:00Z,-0.6385734986851523,-0.2790184932915562,0.3144501853156561,-1,SHORT,0.0007752195372645598,69296.9,68339.0,3.607664989342958e-06,0.25,1,2.467468909526978e-05,1.233734454763489e-05,-0.00021934603135204123,0.003455782293291598,0.003157855762667555,-1.7780915628762273e-17,0.003182530451762825,0.0026613136184302777,1.474514954580286e-17,0.0026859883075255474,0.002164771474192889,-1.0842021724855044e-17,0.0021771088187405242
development-delayed5-202411041215-BTCUSDT,20241104-B,delayed5,BTCUSDT,2024-11-04T12:15:00Z,2024-11-04T12:16:00Z,2024-11-04T12:21:00Z,2024-11-05T00:21:00Z,-0.39501797545442796,-0.2886844441802293,0.313241077551736,-1,SHORT,-0.0017884057971013778,68921.8,67928.2,3.62729934505483e-06,0.25,2,4.949823489696656e-05,2.474911744848328e-05,-0.0011679903891076426,0.0036040846292465004,0.0033062470800240273,-2.0816681711721685e-17,0.003355745314920994,0.002809853327104095,-9.540979117872439e-18,0.0028593515620010616,0.002313459574184107,0.0,0.00233820869163259
development-delayed5-202411051215-BTCUSDT,20241105-B,delayed5,BTCUSDT,2024-11-05T12:15:00Z,2024-11-05T12:16:00Z,2024-11-05T12:21:00Z,2024-11-06T00:21:00Z,-0.6247886006227023,-0.3180471670658281,0.3124908866244216,-1,SHORT,0.002622669609268824,68690.4,69742.1,3.6395187682703847e-06,0.25,2,5.0574059204532235e-05,2.5287029602266117e-05,-0.006722191164995395,-0.003827681888590006,-0.004129978497723147,1.3010426069826053e-17,-0.004079404438518615,-0.004633808476220885,-1.9081958235744878e-17,-0.004583234417016353,-0.0051376384547186515,-2.688821387764051e-17,-0.005112351425116385
development-delayed5-202411060015-BTCUSDT,20241106-A,delayed5,BTCUSDT,2024-11-06T00:15:00Z,2024-11-06T00:16:00Z,2024-11-06T00:21:00Z,2024-11-06T12:21:00Z,-0.5339653984163772,-0.323339912652275,0.3124908866244216,-1,SHORT,-0.0012480382846502547,69742.1,74389.6,3.5846353923956974e-06,0.25,1,2.6319649341100993e-05,1.3159824670550497e-05,-0.02119953371062816,-0.016659592986159003,-0.016969588741950675,2.42861286636753e-17,-0.016943269092609573,-0.017486258330692672,-3.122502256758253e-17,-0.01745993868135157,-0.01800292791943464,-3.469446951953614e-18,-0.017989768094764092
development-delayed5-202411070015-BTCUSDT,20241107-A,delayed5,BTCUSDT,2024-11-07T00:15:00Z,2024-11-07T00:16:00Z,2024-11-07T00:21:00Z,2024-11-07T12:21:00Z,-0.5147023293855411,-0.3431610723974963,0.3101776308602558,-1,SHORT,0.008639181765174753,75426.1,74943.1,3.3145025395718457e-06,0.25,1,2.4792478995997406e-05,1.2396239497998703e-05,-0.0021424944415792124,0.0016009047266132015,0.0013018652694491706,1.3010426069826053e-18,0.001326657748445168,0.0008034671347186828,1.929879867024198e-17,0.0008282596137146802,0.00030506899998811177,2.3852447794681098e-18,0.0003174652394861105
development-delayed5-202411080015-BTCUSDT,20241108-A,delayed5,BTCUSDT,2024-11-08T00:15:00Z,2024-11-08T00:16:00Z,2024-11-08T00:21:00Z,2024-11-08T12:21:00Z,0.349594625543034,-0.36790392094904084,0.3010691202583977,1,LONG,1.5774653812306028e-05,76164.5,76031.2,3.282369082709136e-06,0.25,1,-2.5002100716212933e-05,-3.75031510743194e-05,-0.0019306894944494946,-0.0004375397987251374,-0.0007372772748459044,-2.168404344971009e-18,-0.0007622793755621174,-0.0012368399975710154,-1.7997756063259374e-17,-0.0012618420982872284,-0.0017364027202961818,6.071532165918825e-18,-0.0017739058713705012
development-delayed5-202411081215-BTCUSDT,20241108-B,delayed5,BTCUSDT,2024-11-08T12:15:00Z,2024-11-08T12:16:00Z,2024-11-08T12:21:00Z,2024-11-09T00:21:00Z,0.32751231830813454,-0.36790392094904084,0.3010691202583977,1,LONG,0.0005698478124687156,76031.2,76549.9,3.2881238228516714e-06,0.25,2,-5.0278461214721724e-05,-7.541769182208259e-05,-0.0013517477035742964,0.0017055498269131523,0.0014045264970170002,-4.336808689942018e-18,0.0013542480358022784,0.0009028219705199958,-5.637851296924623e-18,0.000852543509305274,0.00040111744402299143,-6.776263578034403e-18,0.00032569975220090886
development-delayed5-202411100015-BTCUSDT,20241110-A,delayed5,BTCUSDT,2024-11-10T00:15:00Z,2024-11-10T00:16:00Z,2024-11-10T00:21:00Z,2024-11-10T12:21:00Z,0.39707801454738756,-0.3431610723974963,0.3010691202583977,1,LONG,0.006602535499619533,76615.3,79497.1,3.263055812611841e-06,0.25,1,-6.588130877905589e-05,-9.882196316858384e-05,-3.458839161371574e-05,0.009403474240784812,0.009097832156240326,-1.5612511283791264e-17,0.00903195084746127,0.008588434324084127,-2.949029909160572e-17,0.00852255301530507,0.008079036491927871,-1.734723475976807e-18,0.007980214528759287
development-delayed5-202411120015-BTCUSDT,20241112-A,delayed5,BTCUSDT,2024-11-12T00:15:00Z,2024-11-12T00:16:00Z,2024-11-12T00:21:00Z,2024-11-12T12:21:00Z,0.3109922862112793,-0.323339912652275,0.3101776308602558,1,LONG,0.03956189899009033,87026.6,87392.3,2.8726849032364815e-06,0.25,1,-0.00011194179451455071,-0.00016791269177182606,-0.004385440773280819,0.001050540869113573,0.0007499105445921139,9.107298248878237e-18,0.0006379687500775633,0.0002488606340474986,-2.0599841277224584e-18,0.00013691883953294786,-0.00025218927649706124,4.87890977618477e-19,-0.0004201019682688873
development-delayed5-202411121215-BTCUSDT,20241112-B,delayed5,BTCUSDT,2024-11-12T12:15:00Z,2024-11-12T12:16:00Z,2024-11-12T12:21:00Z,2024-11-13T00:21:00Z,-0.5808759739327387,-0.323339912652275,0.3113371325065346,-1,SHORT,-0.008120721806756048,87392.3,87890.7,2.8606639257692036e-06,0.25,2,0.00012121746832751948,6.060873416375974e-05,-0.0072309002051668125,-0.0014257549006033545,-0.0017266103535437116,4.7704895589362195e-18,-0.0016053928852161922,-0.002228036963897284,-3.599551212651875e-17,-0.0021068194955697647,-0.0027294635742507734,4.8138576458356397e-17,-0.0026688548400870134
development-delayed5-202411140015-BTCUSDT,20241114-A,delayed5,BTCUSDT,2024-11-14T00:15:00Z,2024-11-14T00:16:00Z,2024-11-14T00:21:00Z,2024-11-14T12:21:00Z,-0.4234280607781702,-0.323339912652275,0.30983278456500046,-1,SHORT,-0.025404369274746097,90382.5,91521.0,2.7660221834979118e-06,0.25,1,2.512070920808785e-05,1.2560354604043925e-05,-0.003716427405747791,-0.0031491162559123724,-0.003451005725665951,-3.122502256758253e-17,-0.0034258850164578633,-0.003954156731391573,1.3877787807814457e-17,-0.0039290360221834845,-0.00445730773711725,3.469446951953614e-18,-0.004444747382513206
