trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-market-20230102-AAVEUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AAVEUSDT,-0.16106393728185503,1,21,52.1,59.32,0.5,0.009596928982725527,20,-0.0010433224446302668,-0.0015649836669454004,0.06928982725527832,0.0686482533589251,-2.7755575615628914e-17,0.06760493091429484,0.06757900510556614,-1.1102230246251565e-16,0.06653568266093587,0.06650975685220728,-1.3877787807814457e-17,0.06494477318526189
development-market-20230102-AVAXUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,AVAXUSDT,-0.28541846338161336,2,21,10.86,12.087,0.5,0.04604051565377532,20,-0.0004782779197605526,-0.0009132938435726613,0.05649171270718234,0.05585781767955811,8.326672684688674e-17,0.05537953975979756,0.05480135986187851,-2.7755575615628914e-17,0.054323081942117955,0.053744902044198906,2.0816681711721685e-17,0.05283160820062625
development-market-20230102-BCHUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BCHUSDT,-0.19504853214175902,3,21,96.76,103.64,0.5,0.005167424555601488,20,0.0007544150733996206,0.0001924947441155968,0.03555188094253825,0.03493054981397281,1.1796119636642288e-16,0.03568496488737243,0.03389501926415872,-5.551115123125783e-17,0.03464943433755834,0.03285948871434474,2.0816681711721685e-17,0.03305198345846034
development-market-20230102-BNBUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BNBUSDT,-0.09050194531391474,4,21,244.35,274.7,0.5,0.0020462451401677922,20,0.0017569392132696785,0.0008784696066348393,0.06210354000409246,0.06146627788009007,4.163336342344337e-17,0.06322321709335975,0.06040421160220999,-1.3877787807814457e-17,0.06216115081547967,0.05934214532432991,3.469446951953614e-17,0.06022061493096475
development-market-20230102-CRVUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,CRVUSDT,-0.09835256511900103,5,21,0.527,0.577,0.5,0.9487666034155597,20,-5.9753821705692606e-05,-0.0007139123932680268,0.04743833017077792,0.046809867172675435,-2.0816681711721685e-17,0.04675011335096974,0.04576245730550277,-1.3877787807814457e-17,0.045702703483797076,0.0447150474383301,-2.0816681711721685e-17,0.044001135045062076
development-market-20230102-DASHUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,DASHUSDT,-0.014399737251872958,6,21,42.19,47.82,0.5,0.011851149561507467,20,-0.0008404518907283373,-0.0012606778360925064,0.06672197203128705,0.06608193884806834,4.163336342344337e-17,0.06524148695734,0.06501525690922028,4.163336342344337e-17,0.06417480501849193,0.06394857497037221,1.1102230246251565e-16,0.0626878971342797
development-market-20230102-ENSUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ENSUSDT,-0.1503069306955541,7,21,10.896,12.076,0.5,0.04588839941262848,20,-0.0006028669559413363,-0.0009725972694639409,0.054148311306901564,0.05351582232011742,-3.469446951953614e-17,0.05291295536417609,0.052461706497797356,-6.938893903907228e-18,0.05185883954185602,0.05140759067547718,-2.7755575615628914e-17,0.050434993406013234
development-market-20230102-ETCUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ETCUSDT,-0.009721893665528367,8,21,15.782,20.394,0.5,0.031681662653656066,20,0.0005432490439565391,-1.1531883168229645e-05,0.14611582815866175,0.14542815866176662,8.326672684688674e-17,0.14597140770572314,0.1442821305031048,-5.551115123125783e-17,0.14482537954706132,0.14313610234444307,5.551115123125783e-17,0.14312457046127483
development-market-20230102-KAVAUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,KAVAUSDT,-0.532005328945571,9,21,0.5361,0.6819,0.5,0.9326618168252191,20,0.009915398260352733,0.004799240036923988,0.1359820928931169,0.135300503637381,-2.7755575615628914e-17,0.14521590189773373,0.13416460313374368,0.0,0.1440800013940964,0.13302870263010624,0.0,0.13782794266703025
development-market-20230102-LINKUSDT,market,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LINKUSDT,-0.18162409174745084,10,21,5.627,5.962,0.5,0.0888572951839346,20,-0.000785700722623956,-0.0012013119334116757,0.029767193886618082,0.02914933357028615,3.469446951953614e-17,0.028363632847662194,0.02811958423671579,-5.898059818321144e-17,0.02733388351409183,0.02708983490314565,7.632783294297951e-17,0.025888522969733974
