trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20220214-SOLUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,SOLUSDT,-0.5272951400031582,1,24,92.79,90.63,0.25,0.002694255846535187,22,-0.00014171173853291062,-0.00035305498048589815,-0.005819592628516029,-0.006116100872938873,4.9439619065339e-17,-0.0062578126114717835,-0.006610284772066016,-3.729655473350135e-17,-0.0067519965105989265,-0.007104468671192993,4.336808689942018e-17,-0.007457523651678891
development-main-20220214-RUNEUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,RUNEUSDT,-0.5003191625175539,2,24,3.915,3.808,0.25,0.06385696040868455,22,0.0006324426391659835,0.00014438847706585886,-0.006832694763729247,-0.007128595146871003,1.9081958235744878e-17,-0.006496152507705019,-0.007621766551724113,5.204170427930421e-18,-0.006989323912558129,-0.00811493795657725,5.0306980803327406e-17,-0.007970549479511391
development-main-20220214-UNIUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,UNIUSDT,-0.3752269151639841,3,24,10.331,9.348,0.25,0.024199012680282645,22,-0.0005209042938909424,-0.0007925432582283068,-0.023787629464717824,-0.024073356887038988,-6.938893903907228e-18,-0.02459426118092993,-0.02454958353015191,-1.0408340855860843e-17,-0.02507048782404285,-0.025025810173264912,-1.3877787807814457e-17,-0.02581835343149322
development-main-20220214-VETUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,VETUSDT,-0.37348189415041777,4,24,0.05623,0.04916,0.25,4.446025253423439,22,-0.00027290729747688066,-0.0004874900869373554,-0.03143339854170371,-0.03171453850257866,3.469446951953614e-17,-0.03198744580005554,-0.032183123964076105,-3.469446951953614e-17,-0.032456031261552984,-0.03265170942557355,-1.3877787807814457e-17,-0.0331391995125109
development-main-20220214-ZECUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ZECUSDT,-0.3598115481538293,5,24,116.87,107.79,0.25,0.0021391289466929065,22,-0.00035996917245044,-0.00057962219040808,-0.01942329083597158,-0.01971163686147001,-6.938893903907228e-18,-0.020071606033920452,-0.020192225224608534,-2.7755575615628914e-17,-0.020552194397058975,-0.020672813587747085,-2.0816681711721685e-17,-0.021252435778155165
development-main-20220214-1000XECUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,1000XECUSDT,-0.32229965156794427,6,24,0.0817,0.07438,0.25,3.0599755201958385,22,-0.0005049894407613219,-0.0007581282422313343,-0.022399020807833514,-0.02268558139534879,2.7755575615628914e-17,-0.023190570836110112,-0.023163195813953458,-2.0816681711721685e-17,-0.02366818525471478,-0.023640810232558096,0.0,-0.024398938474789432
development-main-20220214-BNBUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,BNBUSDT,-0.2866134672285483,7,24,397.83,380.31,0.25,0.0006284091194731418,22,0.00045137220420875767,0.00022568610210437883,-0.011009727773169442,-0.011303121936505511,2.0816681711721685e-17,-0.010851749732296754,-0.011792118814569041,-4.683753385137379e-17,-0.011340746610360284,-0.012281115692632516,1.3877787807814457e-17,-0.012055429590528138
development-main-20220214-ZILUSDT,main,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ZILUSDT,-0.2831778513391514,8,24,0.04765,0.04334,0.25,5.246589716684156,22,-0.0003259028678536202,-0.0005167840058743443,-0.022612801678908723,-0.022899233997901336,3.8163916471489756e-17,-0.023225136865754958,-0.023376634763903476,-6.938893903907228e-18,-0.023702537631757097,-0.023854035529905532,2.7755575615628914e-17,-0.024370819535779877
development-main-20220221-BCHUSDT,main,2022-02-21T00:00:00+0000,2022-02-28T00:00:00+0000,2022-02-20T00:00:00+0000,BCHUSDT,-0.3389349008981447,7,24,302.5,303.84,0.25,0.0008264462809917355,21,-0.0001725688884594787,-0.0003852004564412888,0.0011074380165289055,0.000806773553718998,1.0408340855860843e-17,0.0006342046652595192,0.00030566678016524795,-7.697835424647081e-17,0.00013309789170576924,-0.00019543999338844653,3.2282119685755895e-17,-0.0005806404498297353
development-main-20220228-ENSUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,ENSUSDT,-0.6769336238767965,1,25,13.194,14.023,0.25,0.018948006669698345,20,0.00031059316362289476,-0.00020245696027207545,0.015707897529179893,0.01539847279066242,2.2551405187698492e-17,0.015709065954285315,0.014882774317871772,8.673617379884035e-18,0.015193367481494666,0.014367075845081068,5.204170427930421e-18,0.014164618884808992
development-main-20220228-SOLUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,SOLUSDT,-0.5241854775936841,2,25,85.57,84.53,0.25,0.002921584667523665,20,-0.00040424964549917936,-0.0006284756235997124,-0.003038448054224596,-0.003336624985392056,-2.6020852139652106e-18,-0.0037408746308912355,-0.0038335883604066756,-4.119968255444917e-17,-0.004237838005905855,-0.00433055173542124,1.734723475976807e-17,-0.004959027359020952
development-main-20220228-CRVUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,CRVUSDT,-0.4754137682897577,3,25,2.187,2.058,0.25,0.11431184270690445,20,0.0017360422063456683,0.0008642003384821505,-0.014746227709190679,-0.01503737997256513,3.122502256758253e-17,-0.013301337766219461,-0.015522642592592562,-1.0408340855860843e-17,-0.013786600386246893,-0.016007905212619994,-3.469446951953614e-18,-0.015143704874137843
development-main-20220228-RUNEUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,RUNEUSDT,-0.436080467229072,4,25,3.477,4.692,0.25,0.07190106413574922,20,0.00042564183382840816,-0.00022769076891761942,0.08735979292493529,0.08700737704918038,1.3877787807814457e-17,0.08743301888300879,0.08642006967213112,-5.551115123125783e-17,0.08684571150595953,0.08583276229508202,1.3877787807814457e-17,0.08560507152616441
development-main-20220228-VETUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,VETUSDT,-0.4334453990785706,5,25,0.0455,0.04763,0.25,5.4945054945054945,20,-0.0005134876327692308,-0.0007773248051978023,0.011703296703296728,0.011396274725274713,-1.0408340855860843e-17,0.010882787092505482,0.010884578450549465,-3.469446951953614e-18,0.010371090817780234,0.010372882175824216,4.5102810375396984e-17,0.009595557370626414
development-main-20220228-ZILUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,ZILUSDT,-0.358540193983232,6,25,0.03899,0.03792,0.25,6.411900487304438,20,0.00019403997142664785,-0.00015745588458675308,-0.006860733521415724,-0.00715661708130283,3.469446951953614e-17,-0.006962577109876182,-0.0076497604642215,1.3010426069826053e-17,-0.0074557204927948525,-0.008142903847140254,0.0,-0.008300359731727007
development-main-20220228-HBARUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,HBARUSDT,-0.35265074368944027,7,25,0.20975,0.20241,0.25,1.1918951132300357,20,-0.0001621226529419547,-0.0004439623640156735,-0.008748510131108445,-0.00904326102502978,0.0,-0.009205383677971735,-0.009534517764004768,-2.6020852139652106e-17,-0.009696640416946723,-0.0100257745029797,8.673617379884035e-18,-0.010469736866995375
development-main-20220228-ZECUSDT,main,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,ZECUSDT,-0.3498730964467005,8,25,102.48,107.3,0.25,0.0024395003903200626,20,-0.00019916145129052746,-0.00045214684391799555,0.0117583918813427,0.011451336846213911,3.2959746043559335e-17,0.011252175394923384,0.010939585509367744,3.122502256758253e-17,0.010740424058077217,0.010427834172521466,2.6020852139652106e-17,0.009975687328603471
development-main-20220307-AAVEUSDT,main,2022-03-07T00:00:00+0000,2022-03-14T00:00:00+0000,2022-03-06T00:00:00+0000,AAVEUSDT,-0.5650876538604999,4,25,116.61,115.53,0.25,0.002143898464968699,21,-0.0002544712896852217,-0.00044896395835641287,-0.002315410342166202,-0.0026140210959608723,1.9081958235744878e-17,-0.002868492385646094,-0.0031117070748648834,1.9081958235744878e-17,-0.003366178364550105,-0.003609393053768978,-3.469446951953614e-18,-0.00405835701212539
