trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-market_long-20220214-1000XECUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,1000XECUSDT,-0.32229965156794427,1,24,0.0817,0.07438,0.25,3.0599755201958385,22,-0.0005049894407613219,-0.0007581282422313343,-0.022399020807833514,-0.02268558139534879,2.7755575615628914e-17,-0.023190570836110112,-0.023163195813953458,-2.0816681711721685e-17,-0.02366818525471478,-0.023640810232558096,0.0,-0.024398938474789432
development-market_long-20220214-AAVEUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,AAVEUSDT,-0.1750796053661846,2,24,158.02,137.4,0.25,0.0015820782179470953,22,-0.00015167516629020363,-0.0003505886535367268,-0.03262245285406912,-0.03290287938235664,2.0816681711721685e-17,-0.03305455454864684,-0.033370276502974305,2.0816681711721685e-17,-0.033521951669264506,-0.03383767362359191,2.0816681711721685e-17,-0.034188262277128637
development-market_long-20220214-AVAXUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,AVAXUSDT,-0.0978393095058796,3,24,77.88,77.27,0.25,0.0032100667693888037,22,-0.0003867673526157971,-0.0006147072383971192,-0.001958140729327179,-0.002256965844889547,2.5153490401663703e-17,-0.0026437331975053442,-0.002755008879044646,1.0842021724855044e-17,-0.003141776231660443,-0.0032530519131997726,1.431146867680866e-17,-0.003867759151596892
development-market_long-20220214-BCHUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,BCHUSDT,-0.2642296152488528,4,24,333.52,302.5,0.25,0.0007495802350683617,22,-0.00034476906568091647,-0.0005190278597265653,-0.02325197889182057,-0.023538027704485487,-1.0408340855860843e-17,-0.023882796770166404,-0.024014789676781,-2.7755575615628914e-17,-0.024359558742461918,-0.024491551649076543,-3.8163916471489756e-17,-0.02501057950880311
development-market_long-20220214-BNBUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,BNBUSDT,-0.2866134672285483,5,24,397.83,380.31,0.25,0.0006284091194731418,22,0.00045137220420875767,0.00022568610210437883,-0.011009727773169442,-0.011303121936505511,2.0816681711721685e-17,-0.010851749732296754,-0.011792118814569041,-4.683753385137379e-17,-0.011340746610360284,-0.012281115692632516,1.3877787807814457e-17,-0.012055429590528138
development-market_long-20220214-CRVUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,CRVUSDT,-0.2413506781068364,6,24,2.741,2.547,0.25,0.09120758847136082,22,0.0010017543923470083,0.00048219629502656877,-0.01769427216344399,-0.01798365560014592,1.0408340855860843e-17,-0.01698190120779891,-0.018465971944545745,1.3877787807814457e-17,-0.017464217552198735,-0.01894828828894568,-1.0408340855860843e-17,-0.01846609199391911
development-market_long-20220214-DASHUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,DASHUSDT,-0.24226420708122576,7,24,101.86,97.88,0.25,0.002454349106616925,22,-0.0002647471660778203,-0.0005528063769378295,-0.009768309444335377,-0.010062448458668771,0.0,-0.010327195624746592,-0.010552686010210116,-3.642919299551295e-17,-0.010817433176287937,-0.011042923561751461,0.0,-0.01159572993868929
development-market_long-20220214-ETCUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ETCUSDT,-0.16307906473150968,8,24,32.466,27.236,0.25,0.007700363457155177,22,-1.2300157859075688e-05,-0.0002725262342068803,-0.040272900880921586,-0.040548737140393004,2.0816681711721685e-17,-0.04056103729825208,-0.04100848840325261,1.3877787807814457e-17,-0.04102078856111168,-0.04146823966611224,0.0,-0.04174076590031912
development-market_long-20220214-HBARUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,HBARUSDT,-0.1762608252674478,9,24,0.22642,0.21469,0.25,1.104142743573889,22,-0.000180851697570886,-0.0005607499661416835,-0.012951594382121734,-0.013243823425492462,3.469446951953614e-18,-0.013424675123063348,-0.013730879602066981,-4.336808689942018e-17,-0.013911731299637867,-0.0142179357786415,1.734723475976807e-18,-0.014778685744783183
development-market_long-20220214-KAVAUSDT,market_long,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,KAVAUSDT,-0.14775087414885513,10,24,3.2402,3.1879,0.25,0.07715573112770815,22,0.001068107422264783,0.000515832604868843,-0.004035244737979143,-0.0043328235911363755,-8.673617379884035e-18,-0.0032647161688715925,-0.004828790767545221,-3.0357660829594124e-17,-0.0037606833452804383,-0.005324757943954095,-1.0408340855860843e-17,-0.0048089253390852515
