trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-mom84-20220214-RUNEUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,RUNEUSDT,-0.6392959174269652,1,24,3.915,3.808,0.25,0.06385696040868455,22,0.0006324426391659835,0.00014438847706585886,-0.006832694763729247,-0.007128595146871003,1.9081958235744878e-17,-0.006496152507705019,-0.007621766551724113,5.204170427930421e-18,-0.006989323912558129,-0.00811493795657725,5.0306980803327406e-17,-0.007970549479511391
development-mom84-20220214-SOLUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,SOLUSDT,-0.5978993708511708,2,24,92.79,90.63,0.25,0.002694255846535187,22,-0.00014171173853291062,-0.00035305498048589815,-0.005819592628516029,-0.006116100872938873,4.9439619065339e-17,-0.0062578126114717835,-0.006610284772066016,-3.729655473350135e-17,-0.0067519965105989265,-0.007104468671192993,4.336808689942018e-17,-0.007457523651678891
development-mom84-20220214-VETUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,VETUSDT,-0.5759107021645675,3,24,0.05623,0.04916,0.25,4.446025253423439,22,-0.00027290729747688066,-0.0004874900869373554,-0.03143339854170371,-0.03171453850257866,3.469446951953614e-17,-0.03198744580005554,-0.032183123964076105,-3.469446951953614e-17,-0.032456031261552984,-0.03265170942557355,-1.3877787807814457e-17,-0.0331391995125109
development-mom84-20220214-UNIUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,UNIUSDT,-0.5224991906765944,4,24,10.331,9.348,0.25,0.024199012680282645,22,-0.0005209042938909424,-0.0007925432582283068,-0.023787629464717824,-0.024073356887038988,-6.938893903907228e-18,-0.02459426118092993,-0.02454958353015191,-1.0408340855860843e-17,-0.02507048782404285,-0.025025810173264912,-1.3877787807814457e-17,-0.02581835343149322
development-mom84-20220214-1000XECUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,1000XECUSDT,-0.5141259739487302,5,24,0.0817,0.07438,0.25,3.0599755201958385,22,-0.0005049894407613219,-0.0007581282422313343,-0.022399020807833514,-0.02268558139534879,2.7755575615628914e-17,-0.023190570836110112,-0.023163195813953458,-2.0816681711721685e-17,-0.02366818525471478,-0.023640810232558096,0.0,-0.024398938474789432
development-mom84-20220214-DASHUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,DASHUSDT,-0.5085391740640679,6,24,101.86,97.88,0.25,0.002454349106616925,22,-0.0002647471660778203,-0.0005528063769378295,-0.009768309444335377,-0.010062448458668771,0.0,-0.010327195624746592,-0.010552686010210116,-3.642919299551295e-17,-0.010817433176287937,-0.011042923561751461,0.0,-0.01159572993868929
development-mom84-20220214-ZECUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ZECUSDT,-0.4910500413745046,7,24,116.87,107.79,0.25,0.0021391289466929065,22,-0.00035996917245044,-0.00057962219040808,-0.01942329083597158,-0.01971163686147001,-6.938893903907228e-18,-0.020071606033920452,-0.020192225224608534,-2.7755575615628914e-17,-0.020552194397058975,-0.020672813587747085,-2.0816681711721685e-17,-0.021252435778155165
development-mom84-20220214-ZILUSDT,mom84,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ZILUSDT,-0.4869143780290791,8,24,0.04765,0.04334,0.25,5.246589716684156,22,-0.0003259028678536202,-0.0005167840058743443,-0.022612801678908723,-0.022899233997901336,3.8163916471489756e-17,-0.023225136865754958,-0.023376634763903476,-6.938893903907228e-18,-0.023702537631757097,-0.023854035529905532,2.7755575615628914e-17,-0.024370819535779877
development-mom84-20220221-CRVUSDT,mom84,2022-02-21T00:00:00+0000,2022-02-28T00:00:00+0000,2022-02-20T00:00:00+0000,CRVUSDT,-0.47753846153846147,8,24,2.547,2.187,0.25,0.09815469179426776,21,0.0009277770273459559,0.00044986736462706125,-0.035335689045936425,-0.03561448763250885,6.938893903907228e-18,-0.034686710605162895,-0.03607917314487635,6.938893903907228e-18,-0.0351513961175304,-0.03654385865724383,2.0816681711721685e-17,-0.03609399129261676
development-mom84-20220228-ENSUSDT,mom84,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,ENSUSDT,-0.7320920977828311,1,25,13.194,14.023,0.25,0.018948006669698345,20,0.00031059316362289476,-0.00020245696027207545,0.015707897529179893,0.01539847279066242,2.2551405187698492e-17,0.015709065954285315,0.014882774317871772,8.673617379884035e-18,0.015193367481494666,0.014367075845081068,5.204170427930421e-18,0.014164618884808992
